game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 2, 3, 4, 7]",270.0,[3 2 3 5 8],,168.0,False,False,False,False,False
0,1,2,1.0,"[3, 0, 0, 1, 1]",156.0,[3 2 3 5 8],156.0,992.0,False,True,False,False,True
0,2,1,0.9,"[1, 0, 3, 3, 6]",199.8,[3 2 3 5 8],199.8,151.20000000000002,False,False,True,False,False
0,2,2,0.9,"[2, 0, 0, 2, 2]",252.0,[3 2 3 5 8],252.0,892.8000000000001,False,True,True,False,True
0,3,1,0.81,"[1, 0, 3, 3, 6]",179.82000000000002,[3 2 3 5 8],179.82000000000002,136.08,False,False,True,False,False
1,1,1,1.0,"[2, 1, 1, 4, 2]",700.0,[4 3 3 8 4],,64.0,False,False,False,False,False
1,1,2,1.0,"[1, 1, 2, 3, 1]",367.0,[4 3 3 8 4],367.0,479.0,False,True,True,False,True
1,2,1,0.9,"[2, 1, 1, 5, 2]",585.0,[4 3 3 8 4],585.0,57.6,False,False,True,False,True
1,2,2,0.9,"[1, 2, 2, 4, 1]",388.8,[4 3 3 8 4],388.8,431.1,False,True,True,False,True
1,3,1,0.81,"[2, 1, 1, 5, 2]",526.5,[4 3 3 8 4],526.5,51.84,False,False,True,False,True
2,1,1,1.0,"[1, 0, 2, 1, 3]",308.0,[2 2 3 2 5],,295.0,False,False,False,False,False
2,1,2,1.0,"[1, 1, 1, 0, 2]",449.0,[2 2 3 2 5],449.0,785.0,False,True,False,False,True
2,2,1,0.9,"[1, 0, 2, 1, 4]",263.7,[2 2 3 2 5],263.7,265.5,False,True,False,False,True
2,2,2,0.9,"[1, 1, 1, 0, 3]",490.5,[2 2 3 2 5],490.5,706.5,False,True,False,False,True
2,3,1,0.81,"[1, 0, 2, 1, 4]",237.33,[2 2 3 2 5],237.33,238.95000000000002,False,True,False,False,True
3,1,1,1.0,"[2, 1, 1, 3, 3]",485.0,[4 2 3 4 6],,767.0,False,True,False,False,False
3,1,2,1.0,"[1, 1, 2, 2, 4]",690.0,[4 2 3 4 6],690.0,564.0,False,False,False,False,True
3,2,1,0.9,"[2, 1, 1, 3, 4]",404.1,[4 2 3 4 6],404.1,690.3000000000001,False,True,False,False,True
3,2,2,0.9,"[1, 1, 2, 2, 3]",564.3000000000001,[4 2 3 4 6],564.3000000000001,507.6,False,False,False,False,True
3,3,1,0.81,"[2, 1, 1, 3, 4]",363.69,[4 2 3 4 6],363.69,621.2700000000001,False,True,False,False,True
4,1,1,1.0,"[2, 3, 1, 4, 1]",680.0,[4 6 3 7 3],,289.0,False,False,False,False,False
4,1,2,1.0,"[1, 2, 1, 3, 2]",439.0,[4 6 3 7 3],439.0,858.0,False,True,True,False,True
4,2,1,0.9,"[2, 3, 1, 5, 1]",594.9,[4 6 3 7 3],594.9,260.1,False,False,True,False,True
4,2,2,0.9,"[1, 2, 2, 4, 1]",488.7,[4 6 3 7 3],488.7,772.2,False,True,True,False,True
4,3,1,0.81,"[2, 3, 1, 5, 1]",535.4100000000001,[4 6 3 7 3],535.4100000000001,234.09,False,False,True,False,True
5,1,1,1.0,"[1, 1, 2, 3, 2]",347.0,[2 2 4 5 3],,788.0,False,True,False,False,False
5,1,2,1.0,"[1, 0, 2, 2, 1]",255.0,[2 2 4 5 3],255.0,572.0,False,True,False,False,True
5,2,1,0.9,"[1, 1, 3, 2, 1]",284.40000000000003,[2 2 4 5 3],284.40000000000003,709.2,False,True,False,False,True
5,2,2,0.9,"[1, 0, 2, 3, 1]",253.8,[2 2 4 5 3],253.8,514.8000000000001,False,True,False,False,True
5,3,1,0.81,"[1, 1, 2, 2, 1]",324.0,[2 2 4 5 3],324.0,638.2800000000001,False,True,False,False,True
5,3,2,0.81,"[1, 1, 2, 2, 1]",281.07,[2 2 4 5 3],281.07,463.32000000000005,True,True,False,False,False
6,1,1,1.0,"[1, 2, 3, 0, 3]",826.0,[2 5 6 1 7],,324.0,False,False,False,False,False
6,1,2,1.0,"[1, 3, 4, 0, 4]",336.0,[2 5 6 1 7],336.0,240.0,False,False,True,False,False
6,2,1,0.9,"[1, 2, 3, 0, 5]",572.4,[2 5 6 1 7],572.4,291.6,False,False,True,False,True
6,2,2,0.9,"[1, 3, 4, 0, 4]",302.40000000000003,[2 5 6 1 7],302.40000000000003,216.0,False,False,True,False,False
6,3,1,0.81,"[1, 2, 3, 0, 5]",515.1600000000001,[2 5 6 1 7],515.1600000000001,262.44,False,False,True,False,True
7,1,1,1.0,"[2, 3, 0, 2, 0]",274.0,[4 6 1 3 1],,147.0,False,False,False,False,False
7,1,2,1.0,"[1, 2, 0, 1, 0]",304.0,[4 6 1 3 1],304.0,772.0,False,True,True,False,True
7,2,1,0.9,"[2, 4, 0, 2, 0]",228.6,[4 6 1 3 1],228.6,132.3,False,False,True,False,True
7,2,2,0.9,"[2, 3, 0, 1, 0]",411.3,[4 6 1 3 1],411.3,694.8000000000001,False,True,True,False,True
