game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 2, 0, 0, 2]",88.0,[3 3 1 1 4],,249.0,False,True,False,False,False
0,1,2,1.0,"[2, 1, 0, 0, 3]",212.0,[3 3 1 1 4],212.0,814.0,False,True,False,False,False
0,2,1,0.9,"[2, 2, 0, 0, 2]",59.4,[3 3 1 1 4],59.4,224.1,False,True,False,False,True
0,2,2,0.9,"[1, 2, 0, 0, 3]",125.10000000000001,[3 3 1 1 4],125.10000000000001,732.6,False,True,False,False,True
0,3,1,0.81,[],,[3 3 1 1 4],,,,,,,
1,1,1,1.0,"[0, 2, 5, 0, 0]",987.0,[5 2 5 3 4],,956.0,False,False,False,False,False
1,1,2,1.0,"[5, 0, 0, 3, 4]",449.0,[5 2 5 3 4],449.0,285.0,False,False,False,False,False
1,2,1,0.9,"[2, 0, 3, 1, 2]",612.0,[5 2 5 3 4],612.0,860.4,False,True,False,False,False
1,2,2,0.9,"[3, 0, 2, 2, 1]",268.2,[5 2 5 3 4],268.2,256.5,False,False,False,False,True
1,3,1,0.81,[],,[5 2 5 3 4],,,,,,,
2,1,1,1.0,"[0, 2, 1, 2, 1]",954.0,[1 5 4 5 4],,444.0,False,False,False,False,False
2,1,2,1.0,"[1, 3, 2, 3, 2]",697.0,[1 5 4 5 4],697.0,861.0,False,True,True,False,False
2,2,1,0.9,"[0, 3, 1, 3, 1]",757.8000000000001,[1 5 4 5 4],757.8000000000001,399.6,False,False,True,False,False
2,2,2,0.9,"[1, 2, 3, 2, 3]",676.8000000000001,[1 5 4 5 4],676.8000000000001,774.9,False,True,True,False,False
2,3,1,0.81,[],,[1 5 4 5 4],,,,,,,
3,1,1,1.0,"[2, 4, 1, 5, 1]",593.0,[ 4  8  2 10  3],,976.0,False,True,False,False,False
3,1,2,1.0,"[1, 3, 1, 4, 0]",655.0,[ 4  8  2 10  3],655.0,133.0,False,False,False,False,True
3,2,1,0.9,"[2, 5, 1, 6, 1]",471.6,[ 4  8  2 10  3],471.6,878.4,False,True,False,False,True
3,2,2,0.9,"[1, 4, 1, 5, 0]",731.7,[ 4  8  2 10  3],731.7,119.7,False,False,False,False,True
3,3,1,0.81,[],,[ 4  8  2 10  3],,,,,,,
