game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 6, 2, 2, 2]",721.0,[4 6 4 5 4],,584.0,False,False,False,False,False
0,1,2,1.0,"[2, 3, 2, 3, 2]",567.0,[4 6 4 5 4],567.0,866.0,False,True,True,False,True
0,2,1,0.9,"[1, 5, 2, 2, 2]",728.1,[4 6 4 5 4],728.1,525.6,False,False,True,False,False
0,2,2,0.9,"[2, 4, 2, 3, 2]",576.9,[4 6 4 5 4],576.9,779.4,False,True,True,False,False
0,3,1,0.81,[],,[4 6 4 5 4],,,,,,,
1,1,1,1.0,"[1, 3, 0, 1, 1]",345.0,[2 6 1 3 2],,188.0,False,False,False,False,False
1,1,2,1.0,"[1, 4, 0, 2, 1]",411.0,[2 6 1 3 2],411.0,678.0,False,True,True,False,False
1,2,1,0.9,"[1, 5, 0, 2, 1]",235.8,[2 6 1 3 2],235.8,169.20000000000002,False,False,True,False,True
1,2,2,0.9,"[1, 3, 0, 2, 1]",345.6,[2 6 1 3 2],345.6,610.2,False,True,True,False,True
1,3,1,0.81,"[1, 3, 0, 2, 1]",228.42000000000002,[2 6 1 3 2],228.42000000000002,152.28,False,False,False,False,True
2,1,1,1.0,"[2, 6, 2, 3, 1]",486.0,[4 7 4 5 2],,301.0,False,False,False,False,False
2,1,2,1.0,"[1, 5, 1, 2, 0]",201.0,[4 7 4 5 2],201.0,165.0,False,False,True,False,True
2,2,1,0.9,"[2, 4, 2, 3, 1]",444.6,[4 7 4 5 2],444.6,270.90000000000003,False,False,True,False,True
2,2,2,0.9,"[1, 3, 1, 2, 0]",168.3,[4 7 4 5 2],168.3,148.5,False,False,True,False,True
2,3,1,0.81,"[2, 5, 2, 3, 1]",396.90000000000003,[4 7 4 5 2],396.90000000000003,243.81,False,False,True,False,True
3,1,1,1.0,"[0, 3, 3, 2, 1]",703.0,[1 7 7 4 3],,359.0,False,False,False,False,False
3,1,2,1.0,"[1, 2, 2, 1, 0]",354.0,[1 7 7 4 3],354.0,466.0,False,True,True,False,True
3,2,1,0.9,"[0, 4, 3, 2, 1]",553.5,[1 7 7 4 3],553.5,323.1,False,False,True,False,True
3,2,2,0.9,"[1, 3, 2, 1, 0]",353.7,[1 7 7 4 3],353.7,419.40000000000003,False,True,True,False,True
3,3,1,0.81,"[0, 5, 3, 2, 1]",426.87,[1 7 7 4 3],426.87,290.79,False,False,True,False,True
4,1,1,1.0,"[3, 3, 1, 3, 1]",606.0,[6 6 3 6 3],,895.0,False,True,False,False,False
