game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[3, 7, 0, 5, 3]",424.0,[6 7 4 5 6],,918.0,False,True,False,False,False
0,1,2,1.0,"[6, 7, 0, 5, 6]",980.0,[6 7 4 5 6],980.0,899.0,False,False,False,False,False
0,2,1,0.9,[],,[6 7 4 5 6],,,,,,,
1,1,1,1.0,"[0, 0, 3, 1, 6]",1160.0,[5 3 3 6 6],,718.0,False,False,False,False,False
1,1,2,1.0,"[4, 2, 0, 3, 2]",389.0,[5 3 3 6 6],389.0,135.0,False,False,False,False,False
1,2,1,0.9,"[2, 1, 3, 2, 4]",855.9,[5 3 3 6 6],855.9,646.2,False,False,False,False,True
1,2,2,0.9,"[2, 1, 3, 2, 4]",362.7,[5 3 3 6 6],362.7,121.5,False,False,False,False,False
2,1,1,1.0,"[2, 2, 2, 3, 0]",879.0,[6 4 3 8 3],,378.0,False,False,False,False,False
2,1,2,1.0,"[3, 1, 1, 4, 2]",770.0,[6 4 3 8 3],770.0,854.0,False,True,False,False,False
2,2,1,0.9,"[2, 2, 2, 3, 0]",791.1,[6 4 3 8 3],791.1,340.2,False,False,False,False,False
2,2,2,0.9,"[2, 1, 1, 4, 1]",570.6,[6 4 3 8 3],570.6,768.6,False,True,False,False,True
2,3,1,0.81,"[2, 1, 1, 4, 1]",629.37,[6 4 3 8 3],629.37,306.18,False,False,False,False,True
3,1,1,1.0,"[0, 0, 2, 7, 8]",350.0,[2 2 2 7 8],,678.0,False,True,False,False,False
3,1,2,1.0,"[0, 2, 0, 3, 4]",639.0,[2 2 2 7 8],639.0,628.0,False,False,False,False,True
3,2,1,0.9,"[0, 0, 1, 5, 7]",422.1,[2 2 2 7 8],422.1,610.2,False,True,False,False,True
3,2,2,0.9,"[1, 1, 0, 3, 4]",652.5,[2 2 2 7 8],652.5,565.2,False,False,False,False,True
3,3,1,0.81,"[1, 1, 0, 3, 4]",358.83000000000004,[2 2 2 7 8],358.83000000000004,549.1800000000001,True,True,False,False,True
4,1,1,1.0,"[6, 0, 0, 0, 5]",677.0,[6 5 2 2 5],,995.0,False,True,False,False,False
4,1,2,1.0,"[6, 5, 0, 2, 0]",436.0,[6 5 2 2 5],436.0,694.0,False,True,False,False,True
4,2,1,0.9,"[6, 5, 0, 2, 0]",173.70000000000002,[6 5 2 2 5],173.70000000000002,895.5,True,True,False,False,True
5,1,1,1.0,"[2, 3, 1, 3, 1]",812.0,[6 8 2 7 2],,230.0,False,False,False,False,False
5,1,2,1.0,"[2, 5, 2, 2, 1]",653.0,[6 8 2 7 2],653.0,625.0,False,False,False,False,False
5,2,1,0.9,"[2, 4, 1, 3, 1]",662.4,[6 8 2 7 2],662.4,207.0,False,False,False,False,True
5,2,2,0.9,"[3, 4, 0, 2, 1]",590.4,[6 8 2 7 2],590.4,562.5,False,False,False,False,True
5,3,1,0.81,"[3, 4, 0, 2, 1]",656.1,[6 8 2 7 2],656.1,186.3,False,False,False,False,True
6,1,1,1.0,"[1, 2, 3, 4, 2]",428.0,[3 5 5 6 3],,610.0,False,True,False,False,False
