game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 2, 1, 3, 2]",288.0,[1 4 3 6 4],,722.0,False,True,False,False,False
0,1,2,1.0,"[1, 2, 2, 3, 2]",309.0,[1 4 3 6 4],309.0,354.0,False,True,False,False,False
0,2,1,0.9,"[1, 2, 2, 3, 2]",143.1,[1 4 3 6 4],143.1,649.8000000000001,True,True,False,False,True
1,1,1,1.0,"[0, 1, 6, 0, 0]",1006.0,[3 3 6 1 6],,313.0,False,False,False,False,False
1,1,2,1.0,"[0, 2, 0, 1, 6]",153.0,[3 3 6 1 6],153.0,614.0,False,True,False,False,True
1,2,1,0.9,"[0, 2, 0, 1, 6]",369.0,[3 3 6 1 6],369.0,281.7,False,False,False,False,True
2,1,1,1.0,"[0, 2, 0, 7, 2]",766.0,[2 6 2 7 4],,589.0,False,False,False,False,False
2,1,2,1.0,"[1, 5, 1, 0, 3]",453.0,[2 6 2 7 4],453.0,988.0,False,True,False,False,True
2,2,1,0.9,"[0, 3, 0, 7, 2]",618.3000000000001,[2 6 2 7 4],618.3000000000001,530.1,False,False,False,False,False
2,2,2,0.9,"[0, 3, 0, 7, 2]",810.9,[2 6 2 7 4],810.9,889.2,True,True,False,False,False
3,1,1,1.0,"[1, 1, 0, 0, 0]",661.0,[5 2 1 3 2],,27.0,False,False,False,False,False
3,1,2,1.0,"[5, 0, 0, 0, 0]",180.0,[5 2 1 3 2],180.0,645.0,False,True,False,False,False
3,2,1,0.9,"[2, 1, 0, 0, 0]",551.7,[5 2 1 3 2],551.7,24.3,False,False,False,False,False
3,2,2,0.9,"[3, 0, 0, 0, 1]",145.8,[5 2 1 3 2],145.8,580.5,False,True,False,False,False
3,3,1,0.81,"[3, 0, 0, 0, 1]",405.81,[5 2 1 3 2],405.81,21.87,False,False,False,False,True
4,1,1,1.0,"[3, 2, 2, 1, 1]",1060.0,[9 7 6 3 5],,815.0,False,False,False,False,False
4,1,2,1.0,"[6, 5, 4, 2, 0]",988.0,[9 7 6 3 5],988.0,762.0,False,False,False,False,False
4,2,1,0.9,"[6, 5, 4, 2, 0]",631.8000000000001,[9 7 6 3 5],631.8000000000001,733.5,True,True,False,False,True
5,1,1,1.0,"[1, 2, 3, 3, 3]",1003.0,[3 4 7 8 4],,104.0,False,False,False,False,False
5,1,2,1.0,"[2, 1, 3, 4, 2]",538.0,[3 4 7 8 4],538.0,730.0,False,True,False,False,True
5,2,1,0.9,"[1, 2, 3, 3, 3]",902.7,[3 4 7 8 4],902.7,93.60000000000001,False,False,False,False,True
5,2,2,0.9,"[1, 2, 4, 4, 1]",523.8000000000001,[3 4 7 8 4],523.8000000000001,657.0,False,True,False,False,True
5,3,1,0.81,"[1, 2, 4, 4, 1]",708.75,[3 4 7 8 4],708.75,84.24000000000001,False,False,False,False,True
6,1,1,1.0,"[2, 0, 2, 3, 1]",654.0,[4 1 5 7 3],,614.0,False,False,False,False,False
6,1,2,1.0,"[2, 0, 3, 5, 1]",460.0,[4 1 5 7 3],460.0,747.0,False,True,False,False,False
6,2,1,0.9,"[2, 0, 3, 5, 1]",407.7,[4 1 5 7 3],407.7,552.6,True,True,False,False,True
7,1,1,1.0,"[2, 6, 0, 3, 3]",217.0,[5 8 1 5 4],,357.0,False,True,False,False,False
7,1,2,1.0,"[0, 8, 0, 5, 4]",567.0,[5 8 1 5 4],567.0,163.0,False,False,False,False,False
7,2,1,0.9,"[0, 8, 0, 3, 4]",231.3,[5 8 1 5 4],231.3,321.3,False,True,False,False,False
7,2,2,0.9,"[0, 8, 0, 3, 4]",447.3,[5 8 1 5 4],447.3,146.70000000000002,False,False,False,False,False
8,1,1,1.0,"[3, 2, 3, 7, 1]",905.0,[ 7  4  7 14  4],,54.0,False,False,False,False,False
8,1,2,1.0,"[2, 3, 6, 12, 1]",513.0,[ 7  4  7 14  4],513.0,389.0,False,False,False,False,True
8,2,1,0.9,"[2, 1, 2, 5, 1]",972.0,[ 7  4  7 14  4],972.0,48.6,False,False,False,False,False
8,2,2,0.9,"[2, 3, 6, 13, 1]",468.90000000000003,[ 7  4  7 14  4],468.90000000000003,350.1,False,False,False,False,False
8,3,1,0.81,"[2, 3, 6, 13, 1]",471.42,[ 7  4  7 14  4],471.42,43.74,False,False,False,False,True
9,1,1,1.0,"[0, 1, 1, 2, 2]",666.0,[2 7 4 4 3],,720.0,False,True,False,False,False
9,1,2,1.0,"[0, 6, 3, 2, 2]",525.0,[2 7 4 4 3],525.0,753.0,False,True,False,False,False
9,2,1,0.9,"[0, 6, 3, 2, 2]",184.5,[2 7 4 4 3],184.5,648.0,True,True,False,False,True
10,1,1,1.0,"[2, 0, 1, 0, 1]",816.0,[8 1 2 1 5],,833.0,False,True,False,False,False
10,1,2,1.0,"[3, 1, 1, 1, 2]",606.0,[8 1 2 1 5],606.0,683.0,False,True,False,False,False
10,2,1,0.9,"[3, 1, 1, 1, 2]",485.1,[8 1 2 1 5],485.1,749.7,True,True,False,False,True
11,1,1,1.0,"[0, 1, 0, 0, 4]",1170.0,[4 5 3 5 4],,853.0,False,False,False,False,False
11,1,2,1.0,"[4, 4, 0, 0, 0]",100.0,[4 5 3 5 4],100.0,970.0,False,True,False,False,True
11,2,1,0.9,"[0, 2, 0, 0, 4]",999.9,[4 5 3 5 4],999.9,767.7,False,False,False,False,False
11,2,2,0.9,"[4, 5, 0, 0, 0]",98.10000000000001,[4 5 3 5 4],98.10000000000001,873.0,False,True,False,False,True
11,3,1,0.81,[],,[4 5 3 5 4],,,,,,,
12,1,1,1.0,"[2, 1, 1, 1, 3]",511.0,[5 3 3 3 6],,562.0,False,True,False,False,False
12,1,2,1.0,"[2, 1, 2, 1, 4]",175.0,[5 3 3 3 6],175.0,698.0,False,True,False,False,False
12,2,1,0.9,"[2, 1, 2, 1, 4]",370.8,[5 3 3 3 6],370.8,505.8,True,True,False,False,True
13,1,1,1.0,"[2, 1, 1, 0, 2]",634.0,[5 2 3 1 4],,630.0,False,False,False,False,False
13,1,2,1.0,"[5, 0, 0, 0, 2]",131.0,[5 2 3 1 4],131.0,790.0,False,True,False,False,True
13,2,1,0.9,"[2, 0, 0, 0, 3]",684.9,[5 2 3 1 4],684.9,567.0,False,False,False,False,False
13,2,2,0.9,"[5, 1, 0, 0, 2]",160.20000000000002,[5 2 3 1 4],160.20000000000002,711.0,False,True,False,False,False
13,3,1,0.81,"[5, 1, 0, 0, 2]",468.18,[5 2 3 1 4],468.18,510.3,True,True,False,False,True
14,1,1,1.0,"[1, 1, 1, 3, 0]",766.0,[4 4 3 3 1],,129.0,False,False,False,False,False
14,1,2,1.0,"[3, 3, 1, 0, 1]",278.0,[4 4 3 3 1],278.0,80.0,False,False,False,False,True
14,2,1,0.9,"[1, 1, 1, 3, 0]",689.4,[4 4 3 3 1],689.4,116.10000000000001,False,False,False,False,False
14,2,2,0.9,"[3, 3, 1, 0, 1]",250.20000000000002,[4 4 3 3 1],250.20000000000002,72.0,False,False,False,False,True
14,3,1,0.81,"[3, 3, 1, 0, 1]",334.53000000000003,[4 4 3 3 1],334.53000000000003,104.49000000000001,False,False,False,False,True
15,1,1,1.0,"[2, 0, 1, 2, 1]",508.0,[6 1 2 6 3],,570.0,False,True,False,False,False
15,1,2,1.0,"[0, 0, 0, 4, 2]",130.0,[6 1 2 6 3],130.0,988.0,False,True,False,False,True
15,2,1,0.9,"[2, 0, 1, 2, 1]",457.2,[6 1 2 6 3],457.2,513.0,False,True,False,False,True
16,1,1,1.0,"[0, 0, 3, 0, 4]",930.0,[5 3 3 4 4],,214.0,False,False,False,False,False
16,1,2,1.0,"[0, 0, 3, 0, 4]",640.0,[5 3 3 4 4],640.0,431.0,False,False,False,False,False
17,1,1,1.0,"[2, 2, 1, 1, 0]",715.0,[4 6 2 2 2],,932.0,False,True,False,False,False
17,1,2,1.0,"[4, 5, 2, 0, 0]",268.0,[4 6 2 2 2],268.0,563.0,False,True,False,False,False
17,2,1,0.9,"[1, 3, 0, 1, 0]",631.8000000000001,[4 6 2 2 2],631.8000000000001,838.8000000000001,False,True,False,False,False
17,2,2,0.9,"[4, 6, 2, 0, 0]",264.6,[4 6 2 2 2],264.6,506.7,False,True,False,False,False
17,3,1,0.81,[],,[4 6 2 2 2],,,,,,,
18,1,1,1.0,"[2, 2, 1, 0, 1]",483.0,[5 4 3 0 2],,216.0,False,False,False,False,False
18,1,2,1.0,"[2, 1, 1, 0, 0]",296.0,[5 4 3 0 2],296.0,558.0,False,True,False,False,True
18,2,1,0.9,"[2, 2, 1, 0, 1]",434.7,[5 4 3 0 2],434.7,194.4,False,False,False,False,True
18,2,2,0.9,"[2, 2, 1, 0, 1]",433.8,[5 4 3 0 2],433.8,502.2,True,True,False,False,False
19,1,1,1.0,"[0, 0, 0, 0, 9]",1307.0,[7 3 1 8 9],,934.0,False,False,False,False,False
19,1,2,1.0,"[0, 0, 0, 8, 0]",176.0,[7 3 1 8 9],176.0,285.0,False,True,False,False,True
19,2,1,0.9,"[0, 3, 0, 0, 9]",1106.1000000000001,[7 3 1 8 9],1106.1000000000001,840.6,False,False,False,False,False
20,1,1,1.0,"[2, 2, 1, 1, 4]",622.0,[4 5 3 2 8],,803.0,False,True,False,False,False
20,1,2,1.0,"[2, 4, 2, 1, 2]",337.0,[4 5 3 2 8],337.0,255.0,False,False,False,False,True
20,2,1,0.9,"[1, 3, 2, 1, 4]",533.7,[4 5 3 2 8],533.7,722.7,False,True,False,False,True
20,2,2,0.9,"[3, 4, 1, 1, 2]",333.90000000000003,[4 5 3 2 8],333.90000000000003,229.5,False,False,False,False,True
20,3,1,0.81,"[3, 4, 1, 1, 2]",427.68,[4 5 3 2 8],427.68,650.4300000000001,True,True,False,False,True
21,1,1,1.0,"[0, 1, 7, 0, 0]",1088.0,[4 6 9 5 1],,242.0,False,False,False,False,False
21,1,2,1.0,"[3, 4, 9, 1, 1]",326.0,[4 6 9 5 1],326.0,649.0,False,True,False,False,False
21,2,1,0.9,"[1, 4, 9, 0, 0]",754.2,[4 6 9 5 1],754.2,217.8,False,False,False,False,False
22,1,1,1.0,"[2, 1, 1, 2, 1]",610.0,[4 2 2 5 3],,220.0,False,False,False,False,False
22,1,2,1.0,"[0, 2, 2, 1, 1]",190.0,[4 2 2 5 3],190.0,396.0,False,True,False,False,True
22,2,1,0.9,"[2, 0, 0, 2, 1]",702.0,[4 2 2 5 3],702.0,198.0,False,False,False,False,False
22,2,2,0.9,"[1, 1, 2, 1, 1]",219.6,[4 2 2 5 3],219.6,356.40000000000003,False,True,False,False,True
22,3,1,0.81,"[1, 1, 2, 1, 1]",515.1600000000001,[4 2 2 5 3],515.1600000000001,178.20000000000002,False,False,False,False,True
23,1,1,1.0,"[1, 0, 2, 2, 0]",939.0,[3 2 5 6 1],,576.0,False,False,False,False,False
23,1,2,1.0,"[2, 2, 2, 4, 0]",442.0,[3 2 5 6 1],442.0,774.0,False,True,False,False,False
23,2,1,0.9,"[1, 0, 2, 2, 1]",798.3000000000001,[3 2 5 6 1],798.3000000000001,518.4,False,False,False,False,False
24,1,1,1.0,"[1, 1, 4, 1, 3]",761.0,[3 2 8 5 7],,837.0,False,True,False,False,False
24,1,2,1.0,"[0, 1, 6, 4, 3]",399.0,[3 2 8 5 7],399.0,239.0,False,False,False,False,True
24,2,1,0.9,"[0, 1, 6, 4, 3]",387.0,[3 2 8 5 7],387.0,753.3000000000001,True,True,False,False,True
25,1,1,1.0,"[1, 0, 4, 1, 5]",579.0,[4 3 6 4 7],,41.0,False,False,False,False,False
25,1,2,1.0,"[0, 0, 4, 0, 7]",208.0,[4 3 6 4 7],208.0,978.0,False,True,False,False,True
25,2,1,0.9,"[2, 0, 4, 1, 6]",484.2,[4 3 6 4 7],484.2,36.9,False,False,False,False,True
26,1,1,1.0,"[0, 0, 0, 0, 6]",2051.0,[2 9 8 5 6],,309.0,False,False,False,False,False
26,1,2,1.0,"[1, 8, 4, 2, 1]",540.0,[2 9 8 5 6],540.0,827.0,False,True,False,False,False
26,2,1,0.9,"[2, 1, 3, 1, 5]",1416.6000000000001,[2 9 8 5 6],1416.6000000000001,278.1,False,False,False,False,False
26,2,2,0.9,"[2, 1, 3, 1, 5]",702.0,[2 9 8 5 6],702.0,744.3000000000001,True,True,False,False,False
27,1,1,1.0,"[2, 1, 1, 3, 1]",1063.0,[ 6  5  4  4 10],,915.0,False,False,False,False,False
27,1,2,1.0,"[1, 3, 2, 3, 8]",655.0,[ 6  5  4  4 10],655.0,424.0,False,False,False,False,False
27,2,1,0.9,"[1, 3, 2, 3, 8]",380.7,[ 6  5  4  4 10],380.7,823.5,True,True,False,False,True
28,1,1,1.0,"[1, 1, 2, 2, 1]",1242.0,[3 4 6 5 7],,209.0,False,False,False,False,False
