game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 2, 1, 1, 4]",484.0,[4 4 1 4 6],,152.0,False,False,False,False,False
0,1,2,1.0,"[3, 1, 1, 1, 2]",350.1,[4 4 1 4 6],350.1,175.0,False,False,False,False,True
0,2,1,0.9,"[3, 1, 1, 1, 2]",375.3,[4 4 1 4 6],,136.8,False,False,False,False,False
1,1,1,1.0,[],,[2 3 5 0 4],,,,,,,
2,1,1,1.0,"[1, 2, 3, 2, 0]",466.0,[3 4 4 3 2],,502.0,False,True,False,False,False
3,1,1,1.0,"[1, 3, 4, 0, 1]",743.0,[5 4 5 1 6],,234.0,False,False,False,False,False
3,1,2,1.0,"[1, 3, 4, 0, 1]",365.0,[5 4 5 1 6],,76.0,False,False,False,False,False
4,1,1,1.0,"[0, 3, 1, 1, 1]",585.0,[2 5 4 3 3],,743.0,False,True,False,False,False
4,1,2,1.0,"[2, 4, 1, 2, 1]",336.6,[2 5 4 3 3],336.6,31.0,False,False,False,False,False
4,2,1,0.9,[],,[2 5 4 3 3],,,,,,,
5,1,1,1.0,"[2, 2, 2, 0, 7]",827.0,[6 9 7 1 8],,293.0,False,False,False,False,False
5,1,2,1.0,"[2, 4, 2, 0, 4]",774.0,[6 9 7 1 8],774.0,320.0,False,False,False,False,True
5,2,1,0.9,"[3, 3, 2, 0, 6]",675.0,[6 9 7 1 8],675.0,263.7,False,False,False,False,False
5,2,2,0.9,"[3, 3, 2, 0, 6]",887.4,[6 9 7 1 8],,288.0,False,False,False,False,False
6,1,1,1.0,"[2, 2, 2, 2, 3]",844.0,[3 4 3 9 5],,597.0,False,False,False,False,False
7,1,1,1.0,[],,[1 5 3 6 6],,,,,,,
8,1,1,1.0,"[1, 0, 5, 5, 0]",226.0,[4 2 6 7 1],,426.0,False,True,False,False,False
8,1,2,1.0,"[1, 0, 5, 5, 0]",221.0,[4 2 6 7 1],,150.0,False,False,False,False,False
9,1,1,1.0,"[0, 1, 4, 2, 2]",602.0,[1 4 7 4 4],,342.0,False,False,False,False,False
9,1,2,1.0,"[0, 2, 3, 2, 2]",202.5,[1 4 7 4 4],202.5,41.0,False,False,False,False,True
9,2,1,0.9,"[0, 1, 4, 2, 2]",541.8000000000001,[1 4 7 4 4],541.8000000000001,307.8,False,False,False,False,False
9,2,2,0.9,"[0, 1, 4, 2, 2]",209.70000000000002,[1 4 7 4 4],,36.9,False,False,False,False,False
10,1,1,1.0,"[1, 1, 1, 1, 0]",1176.0,[5 3 6 3 1],,747.0,False,False,False,False,False
10,1,2,1.0,"[2, 1, 3, 1, 0]",333.0,[5 3 6 3 1],333.0,115.0,False,False,False,False,False
10,2,1,0.9,"[1, 2, 2, 1, 0]",939.6,[5 3 6 3 1],939.6,672.3000000000001,False,False,False,False,False
10,2,2,0.9,"[1, 2, 2, 1, 0]",279.0,[5 3 6 3 1],,103.5,False,False,False,False,False
11,1,1,1.0,"[0, 5, 2, 1, 1]",570.0,[2 7 3 1 5],,243.0,False,False,False,False,False
12,1,1,1.0,"[1, 0, 2, 3, 2]",835.0,[3 2 4 6 4],,165.0,False,False,False,False,False
13,1,1,1.0,"[2, 1, 1, 1, 1]",670.0,[3 5 2 3 3],,183.0,False,False,False,False,False
14,1,1,1.0,"[1, 2, 4, 1, 1]",943.0,[4 6 5 4 6],,314.0,False,False,False,False,False
14,1,2,1.0,"[1, 4, 2, 1, 3]",337.5,[4 6 5 4 6],337.5,359.0,False,True,False,False,True
14,2,1,0.9,"[1, 2, 4, 1, 1]",848.7,[4 6 5 4 6],848.7,282.6,False,False,False,False,False
14,2,2,0.9,"[1, 4, 2, 1, 3]",303.75,[4 6 5 4 6],303.75,323.1,False,True,False,False,True
14,3,1,0.81,"[1, 4, 2, 1, 3]",538.6500000000001,[4 6 5 4 6],,254.34,False,False,False,False,False
15,1,1,1.0,"[1, 2, 1, 2, 0]",632.0,[4 5 3 4 0],,123.0,False,False,False,False,False
15,1,2,1.0,"[3, 1, 1, 2, 0]",299.7,[4 5 3 4 0],299.7,566.0,False,True,False,False,True
15,2,1,0.9,"[3, 1, 1, 2, 0]",452.7,[4 5 3 4 0],,110.7,False,False,False,False,False
16,1,1,1.0,"[1, 1, 2, 3, 1]",869.0,[4 4 3 4 5],,172.0,False,False,False,False,False
17,1,1,1.0,"[2, 1, 1, 1, 3]",1015.0,[7 2 5 3 4],,535.0,False,False,False,False,False
17,1,2,1.0,"[5, 0, 3, 2, 2]",673.2,[7 2 5 3 4],673.2,509.0,False,False,False,False,False
17,2,1,0.9,"[5, 0, 3, 2, 2]",478.8,[7 2 5 3 4],,481.5,True,False,False,False,False
18,1,1,1.0,"[0, 1, 1, 0, 0]",563.0,[0 2 3 2 2],,342.0,False,False,False,False,False
19,1,1,1.0,"[1, 1, 0, 0, 2]",855.0,[5 2 1 1 9],,92.0,False,False,False,False,False
20,1,1,1.0,"[1, 3, 2, 3, 1]",1276.0,[ 1  5  6 11  3],,5.0,False,False,False,False,False
20,1,2,1.0,"[0, 3, 4, 5, 1]",775.8000000000001,[ 1  5  6 11  3],775.8000000000001,239.0,False,False,False,False,False
20,2,1,0.9,"[0, 3, 4, 5, 1]",864.0,[ 1  5  6 11  3],,4.5,False,False,False,False,False
21,1,1,1.0,"[0, 1, 4, 2, 2]",1046.0,[2 5 5 7 4],,466.0,False,False,False,False,False
21,1,2,1.0,"[2, 1, 1, 4, 2]",504.0,[2 5 5 7 4],504.0,575.0,False,True,False,False,True
21,2,1,0.9,"[0, 2, 4, 2, 2]",864.9,[2 5 5 7 4],864.9,419.40000000000003,False,False,False,False,False
21,2,2,0.9,"[0, 2, 4, 2, 2]",612.0,[2 5 5 7 4],,517.5,False,False,False,False,False
22,1,1,1.0,"[1, 0, 1, 0, 1]",607.0,[5 1 5 1 3],,116.0,False,False,False,False,False
22,1,2,1.0,"[2, 0, 2, 1, 3]",256.5,[5 1 5 1 3],256.5,220.0,False,False,False,False,False
22,2,1,0.9,"[2, 0, 2, 1, 3]",246.6,[5 1 5 1 3],,104.4,False,False,False,False,False
23,1,1,1.0,"[2, 0, 2, 1, 1]",826.0,[4 0 6 4 4],,592.0,False,False,False,False,False
24,1,1,1.0,[],,[5 3 0 3 3],,,,,,,
25,1,1,1.0,"[0, 1, 3, 3, 2]",616.0,[1 4 4 4 6],,79.0,False,False,False,False,False
25,1,2,1.0,"[0, 1, 3, 3, 2]",451.0,[1 4 4 4 6],,106.0,False,False,False,False,False
26,1,1,1.0,"[0, 2, 1, 2, 3]",1058.0,[ 1  2  3  9 10],,44.0,False,False,False,False,False
