game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
1,1,1,1,False,False,False,False,False,False,True
1,1,2,2,True,False,False,False,False,False,True
4,1,1,1,True,False,True,True,True,True,True
4,1,2,2,True,False,True,True,True,True,True
6,1,1,1,False,False,False,False,False,False,False
6,1,2,2,True,False,False,False,False,False,False
7,1,1,1,False,False,True,True,True,False,True
7,1,2,2,True,False,True,True,True,False,True
8,1,1,1,True,False,True,True,True,True,True
8,1,2,2,True,False,True,True,True,True,True
10,1,1,1,False,False,True,True,True,True,True
10,1,2,2,True,False,True,True,True,True,True
11,1,1,1,True,False,True,True,True,True,True
11,1,2,2,True,False,True,True,True,True,True
13,1,1,1,False,False,True,True,True,False,True
13,1,2,2,False,False,True,True,True,False,True
14,1,1,1,True,False,True,True,True,True,True
14,1,2,2,True,False,True,True,True,True,True
16,1,1,1,True,False,True,True,True,False,True
16,1,2,2,True,False,True,True,True,False,True
17,1,1,1,True,False,True,True,True,False,True
17,1,2,2,True,False,True,True,True,False,True
18,1,1,1,True,False,False,False,False,False,True
18,1,2,2,False,False,False,False,False,False,True
19,1,1,1,False,False,False,False,False,False,False
19,1,2,2,True,False,False,False,False,False,False
23,1,1,1,True,False,True,False,False,False,True
23,1,2,2,True,False,True,False,False,False,True
24,1,1,1,True,False,True,True,True,True,True
24,1,2,2,True,False,True,True,True,True,True
28,1,1,1,False,False,True,True,True,False,True
28,1,2,2,True,False,True,True,True,False,True
31,1,1,1,False,False,False,False,False,False,True
31,1,2,2,True,False,False,False,False,False,True
31,2,1,1,True,False,True,True,True,False,True
31,2,2,2,True,False,True,True,True,False,True
32,1,1,1,True,False,True,True,True,False,True
32,1,2,2,True,False,True,True,True,False,True
35,1,1,1,False,False,True,True,True,False,True
35,1,2,2,True,False,True,True,True,False,True
36,1,1,1,False,False,False,False,False,False,False
36,1,2,2,True,False,False,False,False,False,False
36,2,1,1,False,False,True,True,True,False,False
36,2,2,2,False,False,True,True,True,False,False
37,1,1,1,False,False,True,True,True,False,True
37,1,2,2,True,False,True,True,True,False,True
38,1,1,1,False,False,False,False,False,False,True
38,1,2,2,True,False,False,False,False,False,True
38,2,1,1,False,False,False,False,False,False,True
38,2,2,2,False,False,False,False,False,False,True
39,1,1,1,False,False,True,True,True,True,True
39,1,2,2,True,False,True,True,True,True,True
41,1,1,1,True,False,True,True,True,True,True
41,1,2,2,True,False,True,True,True,True,True
42,1,1,1,False,False,False,False,False,True,True
42,1,2,2,True,False,False,False,False,True,True
46,1,1,1,True,False,True,True,True,False,True
46,1,2,2,False,False,True,True,True,False,True
47,1,1,1,True,False,False,False,False,True,True
47,1,2,2,False,False,False,False,False,True,True
48,1,1,1,False,False,True,True,True,False,True
48,1,2,2,True,False,True,True,True,False,True
49,1,1,1,True,False,True,False,False,False,True
49,1,2,2,True,False,True,False,False,False,True
50,1,1,1,True,False,True,True,True,True,True
50,1,2,2,True,False,True,True,True,True,True
52,1,1,1,False,False,True,True,True,False,True
52,1,2,2,True,False,True,True,True,False,True
53,1,1,1,False,False,True,True,True,True,True
53,1,2,2,True,False,True,True,True,True,True
55,1,1,1,True,False,True,True,True,True,True
55,1,2,2,True,False,True,True,True,True,True
56,1,1,1,False,False,False,False,False,False,True
56,1,2,2,True,False,False,False,False,False,True
56,2,1,1,False,False,True,True,True,False,True
56,2,2,2,True,False,True,True,True,False,True
58,1,1,1,False,False,False,False,False,False,True
58,1,2,2,True,False,False,False,False,False,True
58,2,1,1,False,False,True,True,True,False,True
58,2,2,2,True,False,True,True,True,False,True
59,1,1,1,True,False,True,False,False,False,True
59,1,2,2,True,False,True,False,False,False,True
60,1,1,1,True,False,True,True,True,False,True
60,1,2,2,True,False,True,True,True,False,True
61,1,1,1,False,False,False,False,False,True,True
61,1,2,2,True,False,False,False,False,True,True
62,1,1,1,True,False,False,False,False,True,True
62,1,2,2,False,False,False,False,False,True,True
65,1,1,1,True,False,True,True,True,True,True
65,1,2,2,True,False,True,True,True,True,True
67,1,1,1,False,False,True,True,True,False,True
67,1,2,2,True,False,True,True,True,False,True
69,1,1,1,True,False,False,False,False,True,True
69,1,2,2,False,False,False,False,False,True,True
70,1,1,1,False,False,True,True,True,False,True
70,1,2,2,True,False,True,True,True,False,True
72,1,1,1,True,False,True,False,True,True,True
72,1,2,2,True,False,True,False,True,True,True
73,1,1,1,False,False,True,True,True,False,True
73,1,2,2,True,False,True,True,True,False,True
75,1,1,1,True,False,True,True,True,True,True
75,1,2,2,True,False,True,True,True,True,True
77,1,1,1,False,False,True,True,False,False,True
77,1,2,2,True,False,True,True,False,False,True
78,1,1,1,True,False,True,True,True,True,True
78,1,2,2,True,False,True,True,True,True,True
79,1,1,1,True,False,False,False,False,True,True
79,1,2,2,False,False,False,False,False,True,True
79,2,1,1,False,False,True,True,True,True,True
79,2,2,2,False,False,True,True,True,True,True
82,1,1,1,True,False,True,True,True,True,True
82,1,2,2,True,False,True,True,True,True,True
84,1,1,1,False,False,True,False,False,False,True
84,1,2,2,True,False,True,False,False,False,True
88,1,1,1,False,False,True,True,True,False,True
88,1,2,2,True,False,True,True,True,False,True
90,1,1,1,True,False,True,True,True,True,True
90,1,2,2,True,False,True,True,True,True,True
91,1,1,1,True,False,True,True,True,True,True
91,1,2,2,True,False,True,True,True,True,True
96,1,1,1,False,False,True,True,False,True,True
96,1,2,2,True,False,True,True,False,True,True
98,1,1,1,True,False,True,True,True,True,True
98,1,2,2,True,False,True,True,True,True,True
99,1,1,1,True,False,True,True,True,True,True
99,1,2,2,True,False,True,True,True,True,True
