game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 2, 1, 1, 2]",822.0,[3 3 7 4 4],,691.0,False,False,False,False,False
1,1,1,1.0,"[0, 2, 0, 0, 1]",724.0,[1 3 0 5 3],,591.0,False,False,False,False,False
1,1,2,1.0,"[0, 0, 0, 4, 1]",238.5,[1 3 0 5 3],238.5,234.0,False,False,False,False,False
1,2,1,0.9,"[0, 0, 0, 4, 1]",428.40000000000003,[1 3 0 5 3],,531.9,True,False,False,False,False
2,1,1,1.0,"[1, 3, 0, 0, 4]",283.0,[2 4 3 1 7],,860.0,False,True,False,False,False
3,1,1,1.0,"[1, 1, 2, 1, 1]",485.0,[5 2 4 2 5],,655.0,False,True,False,False,False
4,1,1,1.0,"[0, 3, 2, 4, 3]",802.0,[2 6 4 8 5],,177.0,False,False,False,False,False
4,1,2,1.0,"[0, 3, 2, 4, 3]",420.0,[2 6 4 8 5],,82.0,False,False,False,False,False
5,1,1,1.0,"[1, 0, 2, 0, 0]",1324.0,[6 4 4 5 3],,901.0,False,False,False,False,False
6,1,1,1.0,"[1, 1, 1, 1, 1]",1125.0,[3 4 5 6 3],,53.0,False,False,False,False,False
6,1,2,1.0,"[2, 2, 3, 4, 2]",423.0,[3 4 5 6 3],423.0,964.0,False,True,False,False,False
6,2,1,0.9,"[2, 2, 3, 4, 2]",495.0,[3 4 5 6 3],,47.7,False,False,False,False,False
7,1,1,1.0,"[1, 0, 0, 1, 2]",743.0,[5 3 4 5 7],,795.0,False,True,False,False,False
7,1,2,1.0,"[0, 2, 3, 3, 4]",423.0,[5 3 4 5 7],423.0,381.0,False,False,False,False,False
7,2,1,0.9,[],,[5 3 4 5 7],,,,,,,
8,1,1,1.0,"[2, 1, 1, 1, 2]",977.0,[6 6 3 4 7],,597.0,False,False,False,False,False
8,1,2,1.0,"[2, 1, 1, 1, 2]",1185.0,[6 6 3 4 7],,92.0,False,False,False,False,False
9,1,1,1.0,"[1, 0, 1, 2, 1]",668.0,[4 3 3 5 5],,282.0,False,False,False,False,False
10,1,1,1.0,"[1, 2, 0, 0, 0]",1221.0,[4 8 3 3 4],,269.0,False,False,False,False,False
10,1,2,1.0,"[2, 4, 1, 1, 2]",401.40000000000003,[4 8 3 3 4],401.40000000000003,598.0,False,True,False,False,False
10,2,1,0.9,[],,[4 8 3 3 4],,,,,,,
11,1,1,1.0,"[2, 1, 5, 3, 2]",887.0,[7 6 7 5 4],,755.0,False,False,False,False,False
11,1,2,1.0,"[2, 1, 5, 3, 2]",799.0,[7 6 7 5 4],,711.0,False,False,False,False,False
12,1,1,1.0,"[0, 2, 2, 3, 3]",886.0,[3 5 4 7 7],,95.0,False,False,False,False,False
13,1,1,1.0,"[1, 0, 1, 4, 1]",469.0,[3 1 5 6 2],,765.0,False,True,False,False,False
13,1,2,1.0,"[2, 1, 4, 1, 1]",517.5,[3 1 5 6 2],517.5,772.0,False,True,False,False,False
13,2,1,0.9,[],,[3 1 5 6 2],,,,,,,
14,1,1,1.0,"[2, 1, 0, 0, 0]",1114.0,[7 5 4 4 2],,270.0,False,False,False,False,False
14,1,2,1.0,"[2, 1, 0, 0, 0]",402.0,[7 5 4 4 2],,11.0,False,False,False,False,False
15,1,1,1.0,"[0, 2, 0, 1, 1]",1363.0,[5 5 5 3 4],,951.0,False,False,False,False,False
16,1,1,1.0,"[1, 2, 1, 3, 3]",528.0,[3 5 3 6 6],,923.0,False,True,False,False,False
16,1,2,1.0,"[1, 2, 1, 3, 3]",988.0,[3 5 3 6 6],,633.0,False,False,False,False,False
17,1,1,1.0,"[2, 1, 0, 0, 0]",824.0,[7 3 6 2 3],,978.0,False,True,False,False,False
17,1,2,1.0,"[2, 1, 0, 0, 0]",1176.0,[7 3 6 2 3],,131.0,False,False,False,False,False
18,1,1,1.0,"[1, 2, 2, 3, 2]",860.0,[3 4 4 7 4],,739.0,False,False,False,False,False
18,1,2,1.0,"[2, 3, 1, 2, 1]",607.5,[3 4 4 7 4],607.5,984.0,False,True,False,False,False
18,2,1,0.9,"[1, 1, 1, 3, 1]",996.3000000000001,[3 4 4 7 4],996.3000000000001,665.1,False,False,False,False,False
19,1,1,1.0,"[1, 2, 0, 3, 1]",645.0,[3 5 1 7 4],,31.0,False,False,False,False,False
19,1,2,1.0,"[2, 3, 1, 4, 3]",404.1,[3 5 1 7 4],404.1,737.0,False,True,False,False,True
19,2,1,0.9,"[2, 3, 1, 4, 3]",251.1,[3 5 1 7 4],,27.900000000000002,False,False,False,False,False
20,1,1,1.0,"[2, 0, 1, 1, 1]",1061.0,[6 0 4 6 4],,576.0,False,False,False,False,False
21,1,1,1.0,"[2, 0, 0, 2, 2]",473.0,[4 1 1 4 4],,133.0,False,False,False,False,False
22,1,1,1.0,"[3, 2, 2, 2, 3]",367.0,[6 3 3 4 4],,609.0,False,True,False,False,False
23,1,1,1.0,"[2, 2, 4, 2, 3]",480.0,[3 3 7 4 6],,616.0,False,True,False,False,False
23,1,2,1.0,"[2, 2, 4, 2, 3]",667.0,[3 3 7 4 6],,567.0,False,False,False,False,False
24,1,1,1.0,"[1, 2, 0, 1, 2]",697.0,[3 3 4 5 4],,169.0,False,False,False,False,False
24,1,2,1.0,"[1, 2, 0, 1, 2]",753.0,[3 3 4 5 4],,367.0,False,False,False,False,False
25,1,1,1.0,"[0, 1, 2, 0, 3]",534.0,[1 3 3 3 7],,850.0,False,True,False,False,False
26,1,1,1.0,"[1, 2, 0, 2, 0]",383.0,[5 4 0 7 0],,290.0,False,False,False,False,False
27,1,1,1.0,"[2, 1, 1, 1, 1]",843.0,[7 6 5 4 3],,428.0,False,False,False,False,False
28,1,1,1.0,"[1, 0, 0, 1, 0]",766.0,[5 2 3 2 1],,682.0,False,False,False,False,False
28,1,2,1.0,"[1, 2, 1, 0, 0]",493.2,[5 2 3 2 1],493.2,290.0,False,False,False,False,False
28,2,1,0.9,[],,[5 2 3 2 1],,,,,,,
29,1,1,1.0,"[0, 1, 2, 0, 0]",601.0,[1 5 4 2 3],,343.0,False,False,False,False,False
30,1,1,1.0,"[0, 1, 1, 1, 1]",958.0,[1 3 4 6 5],,899.0,False,False,False,False,False
31,1,1,1.0,"[1, 1, 1, 1, 1]",472.0,[6 4 3 5 5],,808.0,False,True,False,False,False
31,1,2,1.0,"[2, 2, 2, 2, 2]",729.0,[6 4 3 5 5],729.0,903.0,False,True,False,False,False
31,2,1,0.9,"[1, 1, 1, 1, 1]",424.8,[6 4 3 5 5],424.8,727.2,False,True,False,False,False
31,2,2,0.9,"[1, 1, 1, 1, 1]",967.5,[6 4 3 5 5],,812.7,False,False,False,False,False
32,1,1,1.0,"[2, 1, 0, 1, 1]",389.0,[6 3 3 4 5],,703.0,False,True,False,False,False
32,1,2,1.0,"[2, 1, 0, 1, 1]",616.0,[6 3 3 4 5],,13.0,False,False,False,False,False
33,1,1,1.0,"[3, 3, 1, 0, 3]",406.0,[5 5 2 1 5],,552.0,False,True,False,False,False
34,1,1,1.0,[],,[5 4 4 3 5],,,,,,,
35,1,1,1.0,"[0, 0, 0, 2, 0]",1403.0,[ 3  3  3 10  3],,787.0,False,False,False,False,False
35,1,2,1.0,"[3, 3, 3, 8, 3]",95.4,[ 3  3  3 10  3],95.4,795.0,False,True,False,False,True
35,2,1,0.9,[],,[ 3  3  3 10  3],,,,,,,
36,1,1,1.0,"[2, 4, 1, 1, 0]",291.0,[5 8 2 3 1],,375.0,False,True,False,False,False
36,1,2,1.0,"[3, 4, 1, 2, 1]",410.40000000000003,[5 8 2 3 1],410.40000000000003,769.0,False,True,False,False,True
36,2,1,0.9,"[3, 5, 0, 0, 0]",331.2,[5 8 2 3 1],331.2,337.5,False,True,False,False,False
36,2,2,0.9,"[2, 3, 1, 1, 0]",552.4200000000001,[5 8 2 3 1],552.4200000000001,692.1,False,True,False,False,False
36,3,1,0.81,[],,[5 8 2 3 1],,,,,,,
37,1,1,1.0,"[0, 1, 0, 0, 1]",820.0,[5 7 2 3 2],,821.0,False,True,False,False,False
37,1,2,1.0,"[0, 6, 0, 0, 1]",493.2,[5 7 2 3 2],493.2,332.0,False,False,False,False,False
37,2,1,0.9,[],,[5 7 2 3 2],,,,,,,
38,1,1,1.0,"[2, 3, 1, 1, 2]",915.0,[4 7 3 4 5],,719.0,False,False,False,False,False
