game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,[],,[7 7 0 4 1],,,,,,,
1,1,1,1.0,"[0, 1, 8, 2, 0]",1202.0,[ 3  2 13  5  4],,683.0,False,False,False,False,False
1,1,2,1.0,"[1, 0, 8, 1, 1]",492.3,[ 3  2 13  5  4],492.3,707.0,False,True,False,False,False
1,2,1,0.9,"[2, 1, 5, 1, 3]",894.6,[ 3  2 13  5  4],894.6,614.7,False,False,False,False,True
2,1,1,1.0,[],,[5 5 3 4 4],,,,,,,
3,1,1,1.0,"[0, 3, 3, 1, 1]",736.0,[1 6 3 4 3],,152.0,False,False,False,False,False
3,1,2,1.0,"[0, 3, 3, 1, 1]",391.0,[1 6 3 4 3],,6.0,False,False,False,False,False
4,1,1,1.0,"[2, 3, 3, 0, 0]",1021.0,[2 3 4 7 4],,405.0,False,False,False,False,False
5,1,1,1.0,[],,[2 4 3 4 4],,,,,,,
6,1,1,1.0,"[1, 0, 2, 1, 0]",516.0,[3 0 5 3 3],,459.0,False,False,False,False,False
6,1,2,1.0,"[0, 0, 0, 0, 3]",43.2,[3 0 5 3 3],43.2,345.0,False,True,False,False,True
6,2,1,0.9,"[1, 0, 2, 0, 2]",494.1,[3 0 5 3 3],494.1,413.1,False,False,False,False,True
6,2,2,0.9,"[1, 0, 2, 1, 0]",132.03,[3 0 5 3 3],132.03,310.5,False,True,False,False,False
6,3,1,0.81,"[1, 0, 1, 0, 3]",477.09000000000003,[3 0 5 3 3],477.09000000000003,371.79,False,False,False,False,False
7,1,1,1.0,"[0, 3, 0, 1, 1]",619.0,[2 6 3 3 4],,216.0,False,False,False,False,False
7,1,2,1.0,"[0, 2, 1, 1, 1]",248.4,[2 6 3 3 4],248.4,386.0,False,True,False,False,True
7,2,1,0.9,"[0, 2, 3, 3, 2]",405.0,[2 6 3 3 4],405.0,194.4,False,False,False,False,True
7,2,2,0.9,"[0, 2, 3, 3, 2]",399.6,[2 6 3 3 4],,347.40000000000003,False,False,False,False,False
8,1,1,1.0,"[1, 1, 1, 2, 0]",1238.0,[5 3 5 6 3],,506.0,False,False,False,False,False
8,1,2,1.0,"[1, 0, 2, 2, 1]",407.7,[5 3 5 6 3],407.7,308.0,False,False,False,False,False
8,2,1,0.9,"[1, 1, 2, 2, 0]",1053.0,[5 3 5 6 3],1053.0,455.40000000000003,False,False,False,False,True
8,2,2,0.9,"[1, 1, 2, 2, 0]",352.8,[5 3 5 6 3],,277.2,False,False,False,False,False
9,1,1,1.0,[],,[4 8 2 2 2],,,,,,,
