game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 1, 2, 3, 1]",486.0,[5 3 4 7 2],,757.0,False,True,False,False,False
0,1,2,1.0,"[2, 1, 2, 3, 1]",342.0,[5 3 4 7 2],,197.0,False,False,False,False,False
1,1,1,1.0,"[1, 2, 2, 1, 1]",569.0,[2 5 4 3 2],,318.0,False,False,False,False,False
1,1,2,1.0,"[1, 2, 2, 1, 1]",521.0,[2 5 4 3 2],,242.0,False,False,False,False,False
2,1,1,1.0,"[0, 2, 1, 3, 1]",506.0,[1 5 2 7 2],,15.0,False,False,False,False,False
3,1,1,1.0,"[1, 2, 2, 5, 5]",803.0,[ 2  4  5 10 10],,372.0,False,False,False,False,False
3,1,2,1.0,"[1, 2, 2, 5, 5]",867.0,[ 2  4  5 10 10],,45.0,False,False,False,False,False
4,1,1,1.0,"[0, 1, 0, 0, 2]",1251.0,[7 4 4 0 5],,104.0,False,False,False,False,False
4,1,2,1.0,"[3, 2, 2, 0, 3]",358.2,[7 4 4 0 5],358.2,486.0,False,True,False,False,False
4,2,1,0.9,[],,[7 4 4 0 5],,,,,,,
5,1,1,1.0,"[1, 0, 3, 1, 0]",628.0,[3 1 6 4 3],,236.0,False,False,False,False,False
6,1,1,1.0,"[0, 1, 2, 5, 1]",442.0,[ 1  3  5 10  2],,889.0,False,True,False,False,False
6,1,2,1.0,"[0, 1, 2, 5, 1]",472.0,[ 1  3  5 10  2],,140.0,False,False,False,False,False
7,1,1,1.0,"[1, 1, 1, 4, 1]",810.0,[4 3 2 6 4],,435.0,False,False,False,False,False
8,1,1,1.0,"[0, 0, 4, 0, 0]",1450.0,[6 7 7 3 6],,304.0,False,False,False,False,False
9,1,1,1.0,"[0, 1, 1, 1, 1]",405.0,[1 2 2 3 3],,111.0,False,False,False,False,False
10,1,1,1.0,"[0, 1, 3, 1, 2]",500.0,[1 3 7 2 5],,662.0,False,True,False,False,False
10,1,2,1.0,"[1, 2, 4, 1, 3]",143.1,[1 3 7 2 5],143.1,539.0,False,True,False,False,True
10,2,1,0.9,[],,[1 3 7 2 5],,,,,,,
11,1,1,1.0,"[2, 1, 2, 1, 1]",381.0,[5 3 4 3 3],,422.0,False,True,False,False,False
11,1,2,1.0,"[3, 2, 2, 2, 2]",156.6,[5 3 4 3 3],156.6,461.0,False,True,False,False,True
11,2,1,0.9,[],,[5 3 4 3 3],,,,,,,
12,1,1,1.0,[],,[ 4  4  3 10  5],,,,,,,
13,1,1,1.0,"[0, 0, 3, 3, 2]",377.0,[3 1 6 6 4],,935.0,False,True,False,False,False
14,1,1,1.0,[],,[2 7 2 5 2],,,,,,,
15,1,1,1.0,"[0, 4, 3, 1, 0]",622.0,[2 9 7 4 3],,34.0,False,False,False,False,False
16,1,1,1.0,"[1, 0, 0, 1, 2]",442.0,[3 1 2 5 8],,689.0,False,True,False,False,False
16,1,2,1.0,"[1, 0, 0, 1, 2]",966.0,[3 1 2 5 8],,178.0,False,False,False,False,False
17,1,1,1.0,"[0, 2, 3, 3, 1]",382.0,[1 4 6 7 3],,393.0,False,True,False,False,False
18,1,1,1.0,"[2, 1, 4, 0, 2]",321.0,[5 3 8 1 4],,185.0,False,False,False,False,False
19,1,1,1.0,"[0, 1, 1, 0, 3]",522.0,[1 3 3 1 7],,434.0,False,False,False,False,False
19,1,2,1.0,"[1, 2, 2, 1, 2]",490.5,[1 3 3 1 7],490.5,663.0,False,True,False,False,False
19,2,1,0.9,"[1, 1, 1, 0, 4]",360.90000000000003,[1 3 3 1 7],360.90000000000003,390.6,False,True,False,False,True
20,1,1,1.0,"[1, 2, 1, 3, 3]",1226.0,[ 3  5  3 11  6],,728.0,False,False,False,False,False
20,1,2,1.0,"[1, 2, 1, 3, 3]",1264.0,[ 3  5  3 11  6],,137.0,False,False,False,False,False
21,1,1,1.0,"[1, 1, 1, 0, 0]",183.0,[3 2 2 1 1],,715.0,False,True,False,False,False
21,1,2,1.0,"[2, 0, 0, 1, 0]",318.6,[3 2 2 1 1],318.6,889.0,False,True,False,False,False
21,2,1,0.9,"[1, 1, 1, 0, 0]",164.70000000000002,[3 2 2 1 1],164.70000000000002,643.5,False,True,False,False,False
22,1,1,1.0,"[3, 1, 3, 2, 4]",1073.0,[6 2 7 4 8],,74.0,False,False,False,False,False
22,1,2,1.0,"[3, 1, 3, 2, 4]",687.0,[6 2 7 4 8],,275.0,False,False,False,False,False
23,1,1,1.0,"[1, 3, 1, 1, 3]",296.0,[2 5 2 2 4],,198.0,False,False,False,False,False
24,1,1,1.0,"[1, 3, 0, 2, 0]",915.0,[3 7 1 4 2],,122.0,False,False,False,False,False
24,1,2,1.0,"[2, 4, 1, 2, 1]",553.5,[3 7 1 4 2],553.5,983.0,False,True,False,False,True
24,2,1,0.9,"[2, 4, 1, 2, 1]",515.7,[3 7 1 4 2],,109.8,False,False,False,False,False
25,1,1,1.0,"[5, 1, 1, 3, 3]",691.0,[11  2  3  6  7],,300.0,False,False,False,False,False
25,1,2,1.0,"[5, 1, 1, 3, 3]",1045.0,[11  2  3  6  7],,132.0,False,False,False,False,False
26,1,1,1.0,"[1, 0, 0, 3, 0]",745.0,[3 4 1 6 3],,384.0,False,False,False,False,False
26,1,2,1.0,"[1, 0, 0, 3, 0]",485.0,[3 4 1 6 3],,32.0,False,False,False,False,False
27,1,1,1.0,[],,[3 2 2 3 2],,,,,,,
28,1,1,1.0,[],,[3 3 2 3 2],,,,,,,
29,1,1,1.0,"[0, 2, 0, 3, 0]",884.0,[1 2 5 5 4],,510.0,False,False,False,False,False
29,1,2,1.0,"[0, 2, 0, 3, 0]",967.0,[1 2 5 5 4],,137.0,False,False,False,False,False
30,1,1,1.0,"[1, 1, 2, 0, 2]",452.0,[2 3 4 1 5],,81.0,False,False,False,False,False
31,1,1,1.0,"[2, 1, 1, 3, 2]",763.0,[4 2 2 6 5],,645.0,False,False,False,False,False
31,1,2,1.0,"[2, 1, 1, 3, 2]",513.0,[4 2 2 6 5],,252.0,False,False,False,False,False
32,1,1,1.0,"[0, 0, 3, 4, 2]",843.0,[2 1 7 8 5],,478.0,False,False,False,False,False
32,1,2,1.0,"[0, 0, 4, 3, 1]",598.5,[2 1 7 8 5],598.5,515.0,False,False,False,False,False
32,2,1,0.9,[],,[2 1 7 8 5],,,,,,,
33,1,1,1.0,"[1, 4, 3, 2, 1]",543.0,[2 8 5 3 2],,411.0,False,False,False,False,False
33,1,2,1.0,"[1, 4, 3, 2, 1]",522.0,[2 8 5 3 2],,475.0,False,False,False,False,False
34,1,1,1.0,"[1, 2, 1, 1, 1]",469.0,[3 5 3 2 3],,151.0,False,False,False,False,False
34,1,2,1.0,"[1, 2, 1, 1, 1]",693.0,[3 5 3 2 3],,403.0,False,False,False,False,False
35,1,1,1.0,[],,[4 6 5 4 2],,,,,,,
36,1,1,1.0,"[0, 1, 2, 2, 2]",252.0,[0 3 4 4 4],,799.0,False,True,False,False,False
37,1,1,1.0,"[2, 2, 1, 2, 2]",785.0,[5 4 3 4 5],,867.0,False,True,False,False,False
37,1,2,1.0,"[2, 2, 1, 2, 2]",665.0,[5 4 3 4 5],,96.0,False,False,False,False,False
38,1,1,1.0,"[2, 1, 0, 0, 0]",669.0,[7 3 3 3 3],,79.0,False,False,False,False,False
39,1,1,1.0,"[1, 3, 2, 1, 3]",1053.0,[3 7 5 4 8],,423.0,False,False,False,False,False
39,1,2,1.0,"[1, 3, 2, 1, 3]",675.0,[3 7 5 4 8],,311.0,False,False,False,False,False
40,1,1,1.0,"[0, 0, 1, 1, 0]",1110.0,[4 4 5 5 5],,983.0,False,False,False,False,False
40,1,2,1.0,"[0, 0, 1, 1, 0]",1150.0,[4 4 5 5 5],,720.0,False,False,False,False,False
41,1,1,1.0,"[0, 1, 2, 0, 0]",239.0,[0 4 5 1 1],,593.0,False,True,False,False,False
41,1,2,1.0,"[0, 2, 1, 1, 0]",416.7,[0 4 5 1 1],416.7,834.0,False,True,False,False,False
41,2,1,0.9,[],,[0 4 5 1 1],,,,,,,
42,1,1,1.0,"[2, 0, 0, 3, 0]",675.0,[4 2 2 6 1],,980.0,False,True,False,False,False
43,1,1,1.0,"[3, 0, 0, 4, 1]",717.0,[7 1 1 9 3],,811.0,False,True,False,False,False
44,1,1,1.0,"[0, 3, 1, 0, 3]",662.0,[1 3 2 8 6],,77.0,False,False,False,False,False
44,1,2,1.0,"[1, 0, 1, 8, 6]",95.4,[1 3 2 8 6],95.4,439.0,False,True,False,False,True
44,2,1,0.9,[],,[1 3 2 8 6],,,,,,,
45,1,1,1.0,"[2, 1, 3, 1, 0]",526.0,[5 3 7 3 1],,481.0,False,False,False,False,False
46,1,1,1.0,"[0, 2, 3, 0, 2]",566.0,[0 5 8 1 5],,215.0,False,False,False,False,False
46,1,2,1.0,"[0, 3, 4, 1, 4]",210.6,[0 5 8 1 5],210.6,908.0,False,True,False,False,True
