game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
0,1,1,1,True,False,True,True,True,True,True
0,1,2,2,True,False,True,True,True,True,True
1,1,1,1,True,False,True,False,True,True,True
1,1,2,2,True,False,True,False,True,True,True
2,1,1,1,True,False,True,True,True,True,True
2,1,2,2,True,False,True,True,True,True,True
3,1,1,1,True,False,True,True,True,True,True
3,1,2,2,False,False,True,True,True,True,True
4,1,1,1,True,False,True,True,True,True,True
4,1,2,2,True,False,True,True,True,True,True
5,1,1,1,False,False,True,True,True,True,True
5,1,2,2,True,False,True,True,True,True,True
9,1,1,1,True,False,True,True,True,True,True
9,1,2,2,True,False,True,True,True,True,True
10,1,1,1,True,False,True,True,True,True,True
10,1,2,2,True,False,True,True,True,True,True
11,1,1,1,True,False,False,False,False,True,True
11,1,2,2,False,False,False,False,False,True,True
12,1,1,1,True,False,True,True,True,True,True
12,1,2,2,True,False,True,True,True,True,True
15,1,1,1,True,False,True,True,True,True,True
15,1,2,2,True,False,True,True,True,True,True
20,1,1,1,True,False,True,True,True,True,True
20,1,2,2,True,False,True,True,True,True,True
24,1,1,1,True,False,True,True,True,True,True
24,1,2,2,True,False,True,True,True,True,True
25,1,1,1,False,False,True,True,True,True,True
25,1,2,2,True,False,True,True,True,True,True
27,1,1,1,True,False,True,True,True,True,True
27,1,2,2,True,False,True,True,True,True,True
28,1,1,1,True,False,True,True,True,True,True
28,1,2,2,True,False,True,True,True,True,True
30,1,1,1,True,False,True,True,True,True,True
30,1,2,2,True,False,True,True,True,True,True
31,1,1,1,True,False,True,True,True,True,True
31,1,2,2,True,False,True,True,True,True,True
32,1,1,1,True,False,True,True,True,True,True
32,1,2,2,True,False,True,True,True,True,True
33,1,1,1,True,False,True,True,True,True,True
33,1,2,2,True,False,True,True,True,True,True
34,1,1,1,True,False,True,False,True,True,True
34,1,2,2,True,False,True,False,True,True,True
35,1,1,1,True,False,True,True,True,True,True
35,1,2,2,True,False,True,True,True,True,True
37,1,1,1,True,False,True,True,True,True,True
37,1,2,2,True,False,True,True,True,True,True
40,1,1,1,True,False,True,True,True,True,True
40,1,2,2,True,False,True,True,True,True,True
41,1,1,1,True,False,True,False,False,True,True
41,1,2,2,True,False,True,False,False,True,True
42,1,1,1,True,False,True,True,True,True,True
42,1,2,2,True,False,True,True,True,True,True
43,1,1,1,True,False,True,True,True,True,True
43,1,2,2,True,False,True,True,True,True,True
44,1,1,1,True,False,True,True,True,True,True
44,1,2,2,True,False,True,True,True,True,True
47,1,1,1,True,False,True,False,False,True,True
47,1,2,2,True,False,True,False,False,True,True
50,1,1,1,True,False,True,True,True,True,True
50,1,2,2,True,False,True,True,True,True,True
53,1,1,1,True,False,True,True,True,True,True
53,1,2,2,True,False,True,True,True,True,True
54,1,1,1,True,False,True,True,True,True,True
54,1,2,2,True,False,True,True,True,True,True
55,1,1,1,True,False,True,True,True,True,True
55,1,2,2,True,False,True,True,True,True,True
56,1,1,1,False,False,False,False,False,True,False
56,1,2,2,True,False,False,False,False,True,False
58,1,1,1,True,False,True,True,True,True,True
58,1,2,2,True,False,True,True,True,True,True
60,1,1,1,False,False,False,False,False,False,False
60,1,2,2,True,False,False,False,False,False,False
61,1,1,1,True,False,True,True,True,True,True
61,1,2,2,True,False,True,True,True,True,True
63,1,1,1,True,False,True,True,True,True,True
63,1,2,2,True,False,True,True,True,True,True
64,1,1,1,True,False,True,True,True,True,True
64,1,2,2,True,False,True,True,True,True,True
65,1,1,1,True,False,True,False,False,True,True
65,1,2,2,True,False,True,False,False,True,True
66,1,1,1,True,False,True,True,True,True,True
66,1,2,2,True,False,True,True,True,True,True
68,1,1,1,True,False,True,True,True,True,True
68,1,2,2,True,False,True,True,True,True,True
69,1,1,1,True,False,True,False,False,True,True
69,1,2,2,True,False,True,False,False,True,True
70,1,1,1,True,False,True,False,False,True,True
70,1,2,2,True,False,True,False,False,True,True
71,1,1,1,True,False,True,False,True,True,True
71,1,2,2,True,False,True,False,True,True,True
72,1,1,1,True,False,True,True,True,True,True
72,1,2,2,True,False,True,True,True,True,True
74,1,1,1,True,False,True,True,True,True,True
74,1,2,2,True,False,True,True,True,True,True
75,1,1,1,True,False,True,True,True,True,True
75,1,2,2,True,False,True,True,True,True,True
78,1,1,1,True,False,True,True,True,True,True
78,1,2,2,True,False,True,True,True,True,True
80,1,1,1,True,False,True,False,True,True,True
80,1,2,2,True,False,True,False,True,True,True
82,1,1,1,True,False,True,True,True,True,True
82,1,2,2,True,False,True,True,True,True,True
84,1,1,1,True,False,True,True,True,True,True
84,1,2,2,True,False,True,True,True,True,True
90,1,1,1,True,False,False,False,False,True,True
90,1,2,2,False,False,False,False,False,True,True
91,1,1,1,True,False,True,True,True,True,True
91,1,2,2,True,False,True,True,True,True,True
92,1,1,1,False,False,True,True,True,False,True
92,1,2,2,True,False,True,True,True,False,True
94,1,1,1,True,False,True,True,True,True,True
94,1,2,2,True,False,True,True,True,True,True
