game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 1, 1, 2, 1]",796.0,[7 3 6 5 4],,214.0,False,False,False,False,False
0,1,2,1.0,"[2, 1, 1, 2, 1]",262.0,[7 3 6 5 4],,181.0,False,False,False,False,False
1,1,1,1.0,"[1, 1, 1, 2, 2]",397.0,[2 2 1 5 5],,166.0,False,False,False,False,False
1,1,2,1.0,"[1, 1, 1, 2, 2]",135.0,[2 2 1 5 5],,61.0,False,False,False,False,False
2,1,1,1.0,"[1, 0, 2, 0, 0]",632.0,[2 1 8 3 2],,228.0,False,False,False,False,False
2,1,2,1.0,"[1, 0, 2, 0, 0]",190.0,[2 1 8 3 2],,65.0,False,False,False,False,False
3,1,1,1.0,"[4, 2, 1, 1, 3]",615.0,[9 4 3 3 6],,255.0,False,False,False,False,False
3,1,2,1.0,"[4, 1, 1, 1, 3]",438.3,[9 4 3 3 6],438.3,310.5,False,False,False,False,False
3,2,1,0.9,[],,[9 4 3 3 6],,,,,,,
4,1,1,1.0,"[1, 1, 1, 2, 1]",529.0,[2 2 3 4 3],,235.0,False,False,False,False,False
4,1,2,1.0,"[1, 1, 1, 2, 1]",258.0,[2 2 3 4 3],,230.0,False,False,False,False,False
5,1,1,1.0,"[1, 3, 2, 2, 2]",808.0,[3 6 7 6 4],,134.0,False,False,False,False,False
5,1,2,1.0,"[2, 2, 4, 2, 2]",456.3,[3 6 7 6 4],456.3,307.8,False,False,False,False,False
5,2,1,0.9,[],,[3 6 7 6 4],,,,,,,
6,1,1,1.0,[],,[3 7 4 2 5],,,,,,,
7,1,1,1.0,"[1, 2, 3, 0, 0]",632.0,[2 3 7 1 2],,179.0,False,False,False,False,False
8,1,1,1.0,"[0, 1, 0, 1, 0]",879.0,[1 4 3 2 3],,312.0,False,False,False,False,False
9,1,1,1.0,"[2, 0, 0, 2, 1]",679.0,[4 6 6 5 6],,103.0,False,False,False,False,False
9,1,2,1.0,"[2, 0, 0, 2, 1]",414.0,[4 6 6 5 6],,170.0,False,False,False,False,False
10,1,1,1.0,"[1, 3, 1, 1, 1]",454.0,[2 6 2 2 3],,40.0,False,False,False,False,False
10,1,2,1.0,"[1, 3, 1, 1, 1]",412.0,[2 6 2 2 3],,357.0,False,False,False,False,False
11,1,1,1.0,"[0, 1, 1, 0, 2]",535.0,[1 1 3 1 5],,141.0,False,False,False,False,False
11,1,2,1.0,"[0, 0, 1, 0, 2]",340.2,[1 1 3 1 5],340.2,189.0,False,False,False,False,False
11,2,1,0.9,"[0, 0, 1, 0, 2]",230.4,[1 1 3 1 5],,126.9,False,False,False,False,False
12,1,1,1.0,"[0, 0, 5, 2, 2]",911.0,[ 2  1 10  5  4],,350.0,False,False,False,False,False
12,1,2,1.0,"[0, 0, 5, 2, 2]",285.0,[ 2  1 10  5  4],,153.0,False,False,False,False,False
13,1,1,1.0,"[2, 3, 1, 3, 2]",394.0,[3 7 4 5 5],,213.0,False,False,False,False,False
14,1,1,1.0,"[1, 2, 2, 2, 5]",554.0,[2 4 4 4 9],,514.0,False,False,False,False,False
15,1,1,1.0,"[2, 3, 1, 3, 2]",753.0,[5 6 2 6 5],,635.0,False,False,False,False,False
15,1,2,1.0,"[2, 3, 1, 3, 2]",618.0,[5 6 2 6 5],,201.0,False,False,False,False,False
16,1,1,1.0,"[4, 3, 4, 6, 1]",282.0,[5 4 5 8 2],,298.0,False,True,False,False,False
17,1,1,1.0,"[1, 3, 0, 4, 1]",662.0,[4 3 2 8 5],,399.0,False,False,False,False,False
18,1,1,1.0,"[1, 2, 1, 1, 1]",546.0,[4 4 4 4 3],,104.0,False,False,False,False,False
19,1,1,1.0,"[4, 1, 1, 3, 0]",1013.0,[9 2 3 6 1],,640.0,False,False,False,False,False
20,1,1,1.0,"[3, 2, 0, 1, 4]",880.0,[7 2 5 4 9],,95.0,False,False,False,False,False
20,1,2,1.0,"[3, 2, 0, 1, 4]",513.0,[7 2 5 4 9],,204.0,False,False,False,False,False
21,1,1,1.0,"[0, 1, 0, 1, 2]",778.0,[2 3 2 4 5],,91.0,False,False,False,False,False
22,1,1,1.0,"[3, 0, 1, 2, 3]",475.0,[5 1 1 4 5],,148.0,False,False,False,False,False
23,1,1,1.0,[],,[5 4 4 4 4],,,,,,,
24,1,1,1.0,"[1, 2, 3, 0, 2]",770.0,[3 4 9 4 6],,317.0,False,False,False,False,False
24,1,2,1.0,"[1, 2, 3, 0, 2]",475.0,[3 4 9 4 6],,387.0,False,False,False,False,False
25,1,1,1.0,"[1, 1, 0, 0, 1]",1240.0,[6 3 5 0 3],,66.0,False,False,False,False,False
25,1,2,1.0,"[5, 2, 4, 0, 2]",120.60000000000001,[6 3 5 0 3],120.60000000000001,216.0,False,True,False,False,False
25,2,1,0.9,[],,[6 3 5 0 3],,,,,,,
26,1,1,1.0,"[0, 2, 0, 3, 3]",634.0,[1 4 2 6 8],,154.0,False,False,False,False,False
27,1,1,1.0,"[2, 0, 1, 3, 0]",553.0,[4 0 2 6 4],,225.0,False,False,False,False,False
27,1,2,1.0,"[2, 0, 1, 3, 0]",378.0,[4 0 2 6 4],,243.0,False,False,False,False,False
28,1,1,1.0,"[3, 2, 0, 1, 2]",403.0,[7 4 0 2 4],,292.0,False,False,False,False,False
28,1,2,1.0,"[3, 2, 0, 1, 2]",183.0,[7 4 0 2 4],,163.0,False,False,False,False,False
29,1,1,1.0,"[2, 1, 3, 1, 2]",320.0,[3 3 6 3 4],,49.0,False,False,False,False,False
30,1,1,1.0,"[2, 2, 1, 0, 1]",264.0,[4 3 2 1 3],,124.0,False,False,False,False,False
30,1,2,1.0,"[2, 2, 1, 0, 1]",381.0,[4 3 2 1 3],,35.0,False,False,False,False,False
31,1,1,1.0,"[1, 2, 4, 1, 2]",581.0,[3 5 9 3 4],,408.0,False,False,False,False,False
31,1,2,1.0,"[1, 2, 4, 1, 2]",695.0,[3 5 9 3 4],,561.0,False,False,False,False,False
32,1,1,1.0,"[1, 1, 2, 1, 1]",399.0,[2 2 5 2 2],,216.0,False,False,False,False,False
32,1,2,1.0,"[1, 1, 2, 1, 1]",223.0,[2 2 5 2 2],,98.0,False,False,False,False,False
33,1,1,1.0,"[1, 1, 3, 2, 0]",626.0,[3 3 6 4 2],,144.0,False,False,False,False,False
33,1,2,1.0,"[1, 1, 3, 2, 0]",109.0,[3 3 6 4 2],,86.0,False,False,False,False,False
34,1,1,1.0,"[2, 1, 1, 1, 3]",731.0,[5 1 3 1 6],,512.0,False,False,False,False,False
34,1,2,1.0,"[2, 1, 1, 1, 3]",559.0,[5 1 3 1 6],,203.0,False,False,False,False,False
35,1,1,1.0,"[1, 1, 2, 3, 3]",753.0,[3 3 5 7 7],,346.0,False,False,False,False,False
35,1,2,1.0,"[1, 1, 2, 3, 3]",605.0,[3 3 5 7 7],,20.0,False,False,False,False,False
37,1,1,1.0,"[2, 2, 3, 1, 2]",480.0,[4 4 6 3 5],,398.0,False,False,False,False,False
37,1,2,1.0,"[2, 2, 3, 1, 2]",482.0,[4 4 6 3 5],,417.0,False,False,False,False,False
38,1,1,1.0,"[1, 2, 1, 1, 0]",274.0,[3 4 3 2 1],,116.0,False,False,False,False,False
39,1,1,1.0,"[1, 3, 2, 0, 2]",553.0,[4 7 5 1 4],,396.0,False,False,False,False,False
40,1,1,1.0,"[2, 1, 2, 3, 2]",829.0,[5 3 4 7 5],,461.0,False,False,False,False,False
40,1,2,1.0,"[2, 1, 2, 3, 2]",603.0,[5 3 4 7 5],,80.0,False,False,False,False,False
41,1,1,1.0,"[1, 2, 2, 1, 4]",442.0,[1 3 4 2 8],,102.0,False,False,False,False,False
41,1,2,1.0,"[1, 2, 2, 1, 4]",597.0,[1 3 4 2 8],,154.0,False,False,False,False,False
42,1,1,1.0,"[1, 1, 1, 1, 2]",520.0,[3 2 3 2 5],,185.0,False,False,False,False,False
42,1,2,1.0,"[1, 1, 1, 1, 2]",334.0,[3 2 3 2 5],,104.0,False,False,False,False,False
43,1,1,1.0,"[1, 1, 1, 1, 1]",648.0,[3 4 3 3 2],,225.0,False,False,False,False,False
43,1,2,1.0,"[1, 1, 1, 1, 1]",281.0,[3 4 3 3 2],,99.0,False,False,False,False,False
44,1,1,1.0,"[4, 2, 2, 3, 1]",1078.0,[9 5 4 4 3],,154.0,False,False,False,False,False
44,1,2,1.0,"[4, 2, 2, 3, 1]",509.0,[9 5 4 4 3],,33.0,False,False,False,False,False
45,1,1,1.0,"[1, 2, 1, 2, 1]",620.0,[3 4 3 3 4],,482.0,False,False,False,False,False
47,1,1,1.0,"[4, 2, 0, 4, 1]",529.0,[7 3 3 7 3],,135.0,False,False,False,False,False
47,1,2,1.0,"[4, 2, 0, 4, 1]",660.0,[7 3 3 7 3],,412.0,False,False,False,False,False
48,1,1,1.0,"[1, 2, 0, 3, 2]",865.0,[4 6 1 6 6],,467.0,False,False,False,False,False
