game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 0, 0, 2, 3]",821.0,[2 2 7 3 4],,383.0,False,False,False,False,False
1,1,1,1.0,"[1, 2, 0, 4, 2]",964.0,[6 4 1 8 5],,558.0,False,False,False,False,False
1,1,2,1.0,"[1, 2, 0, 4, 2]",459.0,[6 4 1 8 5],,72.0,False,False,False,False,False
2,1,1,1.0,"[2, 2, 1, 1, 1]",912.0,[10  5  2  1  4],,782.0,False,False,False,False,False
2,1,2,1.0,"[4, 0, 0, 0, 2]",782.1,[10  5  2  1  4],782.1,710.1,False,False,False,False,False
2,2,1,0.9,"[0, 1, 0, 1, 2]",995.4,[10  5  2  1  4],995.4,703.8000000000001,False,False,False,False,False
2,2,2,0.9,"[5, 2, 0, 0, 2]",558.09,[10  5  2  1  4],558.09,639.09,False,True,False,False,False
2,3,1,0.81,[],,[10  5  2  1  4],,,,,,,
3,1,1,1.0,[],,[5 3 4 5 5],,,,,,,
4,1,1,1.0,[],,[8 3 3 4 6],,,,,,,
5,1,1,1.0,"[0, 1, 1, 3, 1]",593.0,[1 4 3 6 3],,616.0,False,True,False,False,False
5,1,2,1.0,"[0, 1, 0, 3, 0]",320.40000000000003,[1 4 3 6 3],320.40000000000003,22.5,False,False,False,False,False
5,2,1,0.9,"[1, 0, 0, 3, 0]",702.9,[1 4 3 6 3],702.9,554.4,False,False,False,False,False
5,2,2,0.9,"[1, 0, 0, 3, 0]",134.1,[1 4 3 6 3],,22.5,False,False,False,False,False
6,1,1,1.0,[],,[4 2 8 6 2],,,,,,,
7,1,1,1.0,"[2, 0, 3, 0, 1]",897.0,[6 1 8 2 3],,962.0,False,True,False,False,False
7,1,2,1.0,"[0, 0, 2, 1, 0]",771.3000000000001,[6 1 8 2 3],771.3000000000001,678.6,False,False,False,False,False
7,2,1,0.9,"[2, 0, 2, 1, 1]",855.9,[6 1 8 2 3],855.9,865.8000000000001,False,True,False,False,False
8,1,1,1.0,"[2, 0, 3, 3, 1]",716.0,[3 1 7 6 2],,49.0,False,False,False,False,False
8,1,2,1.0,"[2, 0, 3, 3, 1]",741.0,[3 1 7 6 2],,460.0,False,False,False,False,False
9,1,1,1.0,"[1, 1, 0, 1, 2]",718.0,[4 3 0 5 6],,548.0,False,False,False,False,False
9,1,2,1.0,"[2, 1, 0, 2, 3]",270.0,[4 3 0 5 6],270.0,198.9,False,False,False,False,False
9,2,1,0.9,"[2, 0, 0, 2, 2]",630.9,[4 3 0 5 6],630.9,493.2,False,False,False,False,False
10,1,1,1.0,"[3, 1, 1, 0, 2]",243.0,[5 2 2 1 5],,171.0,False,False,False,False,False
10,1,2,1.0,"[2, 0, 0, 0, 2]",402.3,[5 2 2 1 5],402.3,296.1,False,False,False,False,False
10,2,1,0.9,"[4, 2, 0, 0, 4]",226.8,[5 2 2 1 5],226.8,153.9,False,False,False,False,False
11,1,1,1.0,"[3, 4, 3, 3, 0]",576.0,[3 4 4 6 5],,325.0,False,False,False,False,False
11,1,2,1.0,"[3, 4, 3, 3, 0]",899.0,[3 4 4 6 5],,439.0,False,False,False,False,False
12,1,1,1.0,"[2, 3, 0, 1, 1]",903.0,[5 6 1 3 4],,831.0,False,False,False,False,False
12,1,2,1.0,"[2, 3, 0, 1, 1]",369.0,[5 6 1 3 4],,84.0,False,False,False,False,False
13,1,1,1.0,"[3, 1, 1, 2, 2]",652.0,[6 6 2 4 5],,94.0,False,False,False,False,False
13,1,2,1.0,"[2, 2, 1, 1, 1]",505.8,[6 6 2 4 5],505.8,390.6,False,False,False,False,False
13,2,1,0.9,"[2, 2, 1, 1, 1]",276.3,[6 6 2 4 5],,84.60000000000001,False,False,False,False,False
14,1,1,1.0,"[4, 3, 3, 1, 1]",758.0,[7 7 6 3 2],,310.0,False,False,False,False,False
15,1,1,1.0,[],,[1 3 5 2 3],,,,,,,
16,1,1,1.0,"[2, 1, 1, 3, 0]",733.0,[5 2 4 7 1],,714.0,False,False,False,False,False
16,1,2,1.0,"[1, 0, 1, 5, 0]",622.8000000000001,[5 2 4 7 1],622.8000000000001,455.40000000000003,False,False,False,False,False
16,2,1,0.9,"[2, 1, 1, 2, 0]",746.1,[5 2 4 7 1],746.1,642.6,False,False,False,False,False
17,1,1,1.0,"[1, 3, 1, 5, 0]",298.0,[1 3 3 6 1],,257.0,False,False,False,False,False
17,1,2,1.0,"[1, 3, 1, 5, 0]",382.0,[1 3 3 6 1],,217.0,False,False,False,False,False
18,1,1,1.0,"[0, 0, 3, 5, 0]",564.0,[3 2 6 7 2],,365.0,False,False,False,False,False
18,1,2,1.0,"[2, 1, 2, 2, 1]",432.0,[3 2 6 7 2],432.0,380.7,False,False,False,False,False
18,2,1,0.9,"[1, 1, 4, 3, 1]",350.1,[3 2 6 7 2],350.1,328.5,False,False,False,False,False
18,2,2,0.9,"[1, 0, 3, 4, 0]",433.35,[3 2 6 7 2],433.35,342.63,False,False,False,False,False
18,3,1,0.81,[],,[3 2 6 7 2],,,,,,,
19,1,1,1.0,"[1, 1, 2, 2, 1]",500.0,[5 2 2 2 2],,135.0,False,False,False,False,False
19,1,2,1.0,"[1, 0, 1, 0, 2]",368.1,[5 2 2 2 2],368.1,333.0,False,False,False,False,False
19,2,1,0.9,"[1, 0, 1, 0, 2]",295.2,[5 2 2 2 2],,121.5,False,False,False,False,False
20,1,1,1.0,"[1, 1, 0, 1, 0]",901.0,[4 5 3 5 1],,779.0,False,False,False,False,False
20,1,2,1.0,"[1, 1, 0, 1, 0]",117.0,[4 5 3 5 1],,54.0,False,False,False,False,False
21,1,1,1.0,"[1, 0, 0, 2, 1]",743.0,[3 2 4 4 2],,379.0,False,False,False,False,False
21,1,2,1.0,"[0, 0, 1, 1, 0]",666.9,[3 2 4 4 2],666.9,220.5,False,False,False,False,False
21,2,1,0.9,"[1, 0, 1, 2, 0]",595.8000000000001,[3 2 4 4 2],595.8000000000001,341.1,False,False,False,False,False
21,2,2,0.9,"[0, 0, 0, 4, 1]",534.6,[3 2 4 4 2],534.6,198.45000000000002,False,False,False,False,False
21,3,1,0.81,[],,[3 2 4 4 2],,,,,,,
22,1,1,1.0,"[0, 0, 4, 4, 0]",867.0,[1 4 4 4 6],,668.0,False,False,False,False,False
22,1,2,1.0,"[0, 0, 4, 4, 0]",500.0,[1 4 4 4 6],,57.0,False,False,False,False,False
23,1,1,1.0,"[1, 2, 1, 2, 2]",864.0,[4 6 2 4 4],,329.0,False,False,False,False,False
23,1,2,1.0,"[1, 1, 1, 1, 1]",848.7,[4 6 2 4 4],848.7,645.3000000000001,False,False,False,False,False
23,2,1,0.9,[],,[4 6 2 4 4],,,,,,,
24,1,1,1.0,"[0, 1, 0, 0, 0]",776.0,[2 1 6 4 2],,588.0,False,False,False,False,False
24,1,2,1.0,"[2, 0, 3, 3, 1]",307.8,[2 1 6 4 2],307.8,89.10000000000001,False,False,False,False,False
24,2,1,0.9,[],,[2 1 6 4 2],,,,,,,
25,1,1,1.0,"[2, 1, 1, 0, 0]",823.0,[5 2 2 3 4],,526.0,False,False,False,False,False
25,1,2,1.0,"[1, 0, 2, 0, 0]",615.6,[5 2 2 3 4],615.6,443.7,False,False,False,False,False
25,2,1,0.9,"[3, 0, 0, 1, 2]",561.6,[5 2 2 3 4],561.6,473.40000000000003,False,False,False,False,False
26,1,1,1.0,"[1, 2, 4, 0, 5]",483.0,[4 4 7 1 7],,631.0,False,True,False,False,False
27,1,1,1.0,"[3, 2, 3, 1, 3]",503.0,[6 3 6 3 5],,404.0,False,False,False,False,False
27,1,2,1.0,"[3, 2, 3, 1, 3]",671.0,[6 3 6 3 5],,396.0,False,False,False,False,False
28,1,1,1.0,"[4, 3, 0, 0, 0]",717.0,[4 3 4 4 1],,162.0,False,False,False,False,False
28,1,2,1.0,"[4, 3, 0, 0, 0]",439.0,[4 3 4 4 1],,175.0,False,False,False,False,False
29,1,1,1.0,"[1, 2, 1, 2, 0]",651.0,[3 4 3 5 1],,221.0,False,False,False,False,False
29,1,2,1.0,"[1, 2, 1, 2, 0]",339.0,[3 4 3 5 1],,172.0,False,False,False,False,False
30,1,1,1.0,"[0, 1, 0, 0, 2]",1097.0,[5 2 4 3 5],,1000.0,False,False,False,False,False
30,1,2,1.0,"[2, 0, 2, 0, 3]",416.7,[5 2 4 3 5],416.7,140.4,False,False,False,False,False
30,2,1,0.9,[],,[5 2 4 3 5],,,,,,,
31,1,1,1.0,"[5, 0, 3, 0, 1]",336.0,[5 0 3 4 1],,301.0,False,False,False,False,False
31,1,2,1.0,"[5, 0, 3, 0, 1]",310.0,[5 0 3 4 1],,303.0,False,False,False,False,False
32,1,1,1.0,"[3, 3, 2, 1, 0]",938.0,[6 7 7 5 3],,678.0,False,False,False,False,False
