game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 0, 0, 0, 0]",854.0,[5 3 6 5 4],,677.0,False,False,False,True,False
0,1,2,1.0,"[3, 1, 3, 2, 2]",667.8000000000001,[5 3 6 5 4],667.8000000000001,270.90000000000003,False,False,False,False,False
0,2,1,0.9,[],,[5 3 6 5 4],,,,,,,
1,1,1,1.0,"[1, 2, 1, 3, 1]",772.0,[3 7 4 8 4],,372.0,False,False,False,False,False
1,1,2,1.0,"[2, 4, 2, 4, 2]",594.0,[3 7 4 8 4],594.0,90.9,False,False,False,False,False
1,2,1,0.9,"[0, 2, 0, 0, 0]",913.5,[3 7 4 8 4],913.5,334.8,False,False,False,False,False
1,2,2,0.9,"[1, 3, 1, 3, 1]",734.6700000000001,[3 7 4 8 4],734.6700000000001,81.81,False,False,False,False,False
1,3,1,0.81,"[1, 3, 1, 3, 1]",340.20000000000005,[3 7 4 8 4],,301.32,False,False,False,False,False
2,1,1,1.0,"[2, 0, 1, 0, 0]",1210.0,[6 2 5 4 3],,526.0,False,False,False,False,False
2,1,2,1.0,"[1, 0, 1, 0, 0]",953.1,[6 2 5 4 3],953.1,612.0,False,False,False,False,False
2,2,1,0.9,"[1, 0, 1, 0, 0]",1152.0,[6 2 5 4 3],1152.0,473.40000000000003,False,False,False,False,False
2,2,2,0.9,"[0, 0, 1, 1, 0]",889.3800000000001,[6 2 5 4 3],889.3800000000001,550.8000000000001,False,False,False,False,False
2,3,1,0.81,"[0, 0, 0, 0, 0]",1165.5900000000001,[6 2 5 4 3],1165.5900000000001,426.06,False,False,False,True,False
3,1,1,1.0,"[0, 1, 1, 0, 0]",543.0,[2 1 2 1 7],,26.0,False,False,False,False,False
3,1,2,1.0,"[1, 0, 1, 0, 1]",446.40000000000003,[2 1 2 1 7],446.40000000000003,333.90000000000003,False,False,False,False,False
3,2,1,0.9,"[0, 0, 0, 0, 3]",396.0,[2 1 2 1 7],396.0,23.400000000000002,False,False,False,False,False
3,2,2,0.9,"[0, 0, 0, 0, 1]",449.55,[2 1 2 1 7],449.55,300.51000000000005,False,False,False,False,False
3,3,1,0.81,"[0, 0, 0, 0, 1]",38.07,[2 1 2 1 7],,21.060000000000002,False,False,False,False,False
4,1,1,1.0,"[1, 1, 1, 1, 1]",233.0,[1 2 6 2 2],,81.0,False,False,False,False,False
4,1,2,1.0,"[0, 0, 0, 0, 0]",399.6,[1 2 6 2 2],399.6,9.9,False,False,False,True,False
4,2,1,0.9,"[0, 1, 3, 1, 1]",258.3,[1 2 6 2 2],258.3,72.9,False,False,False,False,False
4,2,2,0.9,"[0, 0, 0, 0, 0]",359.64000000000004,[1 2 6 2 2],359.64000000000004,8.91,False,False,False,True,False
4,3,1,0.81,"[0, 0, 0, 0, 0]",387.18,[1 2 6 2 2],387.18,65.61,False,False,False,True,False
5,1,1,1.0,"[1, 1, 0, 1, 1]",829.0,[8 4 0 2 7],,459.0,False,False,False,False,False
5,1,2,1.0,"[3, 1, 0, 1, 3]",1092.6000000000001,[8 4 0 2 7],1092.6000000000001,144.9,False,False,False,False,False
5,2,1,0.9,"[0, 0, 0, 0, 0]",918.9,[8 4 0 2 7],918.9,413.1,False,False,False,True,False
5,2,2,0.9,"[1, 1, 0, 1, 1]",1289.52,[8 4 0 2 7],1289.52,130.41,False,False,False,False,False
5,3,1,0.81,[],,[8 4 0 2 7],,,,,,,
6,1,1,1.0,"[1, 1, 1, 1, 1]",887.0,[6 5 3 5 2],,89.0,False,False,False,False,False
6,1,2,1.0,"[0, 0, 0, 0, 0]",1308.6000000000001,[6 5 3 5 2],1308.6000000000001,509.40000000000003,False,False,False,True,False
6,2,1,0.9,"[1, 1, 1, 1, 1]",798.3000000000001,[6 5 3 5 2],798.3000000000001,80.10000000000001,False,False,False,False,False
6,2,2,0.9,"[0, 0, 0, 0, 0]",1177.74,[6 5 3 5 2],1177.74,458.46000000000004,False,False,False,True,False
6,3,1,0.81,"[1, 1, 1, 1, 1]",718.47,[6 5 3 5 2],718.47,72.09,False,False,False,False,False
7,1,1,1.0,"[3, 2, 1, 4, 0]",751.0,[7 4 3 8 1],,74.0,False,False,False,False,False
7,1,2,1.0,"[1, 0, 0, 0, 0]",810.9,[7 4 3 8 1],810.9,144.0,False,False,False,False,False
7,2,1,0.9,"[0, 0, 0, 0, 0]",1208.7,[7 4 3 8 1],1208.7,66.60000000000001,False,False,False,True,False
7,2,2,0.9,"[0, 0, 0, 1, 0]",776.7900000000001,[7 4 3 8 1],776.7900000000001,129.60000000000002,False,False,False,False,False
7,3,1,0.81,"[0, 0, 0, 1, 0]",1048.95,[7 4 3 8 1],1048.95,59.940000000000005,False,False,False,False,False
8,1,1,1.0,"[1, 1, 1, 1, 1]",995.0,[ 4 10  4  5  6],,143.0,False,False,False,False,False
8,1,2,1.0,"[1, 1, 1, 1, 1]",778.5,[ 4 10  4  5  6],778.5,636.3000000000001,False,False,False,False,False
8,2,1,0.9,"[0, 0, 0, 0, 0]",1057.5,[ 4 10  4  5  6],1057.5,128.70000000000002,False,False,False,True,False
8,2,2,0.9,"[0, 0, 0, 0, 0]",845.6400000000001,[ 4 10  4  5  6],845.6400000000001,572.6700000000001,False,False,False,True,False
8,3,1,0.81,"[1, 1, 1, 1, 1]",805.95,[ 4 10  4  5  6],805.95,115.83000000000001,False,False,False,False,False
9,1,1,1.0,"[0, 0, 0, 0, 0]",1285.0,[3 8 2 6 2],,54.0,False,False,False,True,False
9,1,2,1.0,"[1, 4, 1, 2, 1]",750.6,[3 8 2 6 2],750.6,653.4,False,False,False,False,False
9,2,1,0.9,"[0, 1, 0, 1, 0]",1057.5,[3 8 2 6 2],1057.5,48.6,False,False,False,False,False
9,2,2,0.9,"[1, 0, 1, 3, 1]",927.45,[3 8 2 6 2],927.45,588.0600000000001,False,False,False,False,False
9,3,1,0.81,"[1, 0, 1, 3, 1]",428.49,[3 8 2 6 2],,43.74,False,False,False,False,False
10,1,1,1.0,"[0, 0, 1, 1, 1]",1246.0,[ 2  2  7 10  4],,1103.0,False,False,False,False,False
10,1,2,1.0,"[0, 0, 1, 1, 0]",1303.2,[ 2  2  7 10  4],1303.2,517.5,False,False,False,False,False
10,2,1,0.9,"[0, 0, 0, 2, 0]",1242.0,[ 2  2  7 10  4],1242.0,992.7,False,False,False,False,False
10,2,2,0.9,"[1, 1, 4, 5, 2]",616.4100000000001,[ 2  2  7 10  4],616.4100000000001,465.75000000000006,False,False,False,False,False
10,3,1,0.81,[],,[ 2  2  7 10  4],,,,,,,
11,1,1,1.0,"[1, 1, 0, 1, 1]",1085.0,[4 5 1 7 7],,808.0,False,False,False,False,False
11,1,2,1.0,"[0, 0, 1, 0, 0]",1521.9,[4 5 1 7 7],1521.9,837.9,False,False,False,False,False
11,2,1,0.9,"[1, 1, 1, 1, 1]",956.7,[4 5 1 7 7],956.7,727.2,False,False,False,False,False
11,2,2,0.9,"[0, 0, 1, 0, 0]",1369.71,[4 5 1 7 7],1369.71,754.11,False,False,False,False,False
11,3,1,0.81,"[0, 0, 0, 0, 0]",1041.66,[4 5 1 7 7],1041.66,654.48,False,False,False,True,False
12,1,1,1.0,"[2, 2, 4, 2, 2]",430.0,[4 4 7 3 3],,426.0,False,False,False,False,False
12,1,2,1.0,"[1, 1, 1, 1, 0]",539.1,[4 4 7 3 3],539.1,129.6,False,False,False,False,False
12,2,1,0.9,"[1, 0, 0, 0, 0]",886.5,[4 4 7 3 3],886.5,383.40000000000003,False,False,False,False,False
12,2,2,0.9,"[1, 1, 1, 1, 1]",460.89000000000004,[4 4 7 3 3],460.89000000000004,116.64000000000001,False,False,False,False,False
12,3,1,0.81,"[0, 0, 0, 0, 0]",811.62,[4 4 7 3 3],811.62,345.06,False,False,False,True,False
12,3,2,0.81,"[0, 0, 0, 0, 0]",0.0,[4 4 7 3 3],,116.64000000000001,True,False,False,False,False
13,1,1,1.0,"[1, 1, 1, 2, 0]",229.0,[2 2 2 4 0],,204.0,False,False,False,False,False
13,1,2,1.0,"[0, 0, 0, 1, 0]",395.1,[2 2 2 4 0],395.1,251.1,False,False,False,False,False
13,2,1,0.9,"[0, 0, 0, 0, 0]",412.2,[2 2 2 4 0],412.2,183.6,False,False,False,True,False
13,2,2,0.9,"[0, 0, 0, 0, 0]",413.1,[2 2 2 4 0],413.1,225.99,False,False,False,True,False
13,3,1,0.81,[],,[2 2 2 4 0],,,,,,,
14,1,1,1.0,"[1, 1, 1, 0, 0]",825.0,[6 6 6 3 2],,180.0,False,False,False,False,False
14,1,2,1.0,"[1, 0, 0, 0, 0]",1049.4,[6 6 6 3 2],1049.4,155.70000000000002,False,False,False,False,False
14,2,1,0.9,"[2, 2, 2, 1, 1]",565.2,[6 6 6 3 2],565.2,162.0,False,False,False,False,False
14,2,2,0.9,"[2, 2, 2, 1, 1]",370.8,[6 6 6 3 2],,155.70000000000002,False,False,False,False,False
15,1,1,1.0,"[1, 1, 0, 0, 0]",928.0,[3 3 0 4 4],,315.0,False,False,False,False,False
