game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[3, 1, 2, 1, 1]",297.0,[7 3 4 1 2],,94.0,False,False,False,False,False
0,1,2,1.0,"[5, 0, 3, 0, 0]",380.7,[7 3 4 1 2],380.7,366.3,False,False,False,False,False
0,2,1,0.9,"[5, 0, 3, 0, 0]",236.70000000000002,[7 3 4 1 2],,84.60000000000001,False,False,False,False,False
1,1,1,1.0,"[1, 0, 1, 0, 0]",936.0,[7 3 5 4 1],,802.0,False,False,False,False,False
2,1,1,1.0,"[1, 0, 1, 0, 1]",342.0,[4 1 3 3 2],,376.0,False,True,False,False,False
2,1,2,1.0,"[2, 1, 0, 0, 0]",425.7,[4 1 3 3 2],425.7,339.3,False,False,False,False,False
2,2,1,0.9,[],,[4 1 3 3 2],,,,,,,
3,1,1,1.0,"[0, 0, 0, 2, 1]",757.0,[6 5 2 2 4],,592.0,False,False,False,False,False
3,1,2,1.0,"[6, 5, 0, 0, 1]",295.2,[6 5 2 2 4],295.2,78.3,False,False,False,False,False
3,2,1,0.9,[],,[6 5 2 2 4],,,,,,,
4,1,1,1.0,"[0, 0, 0, 0, 6]",708.0,[5 6 5 4 6],,69.0,False,False,False,False,False
5,1,1,1.0,"[1, 4, 2, 1, 3]",887.0,[1 7 4 4 7],,459.0,False,False,False,False,False
5,1,2,1.0,"[1, 4, 2, 1, 3]",467.0,[1 7 4 4 7],,27.0,False,False,False,False,False
6,1,1,1.0,"[1, 4, 0, 3, 4]",776.0,[4 4 2 7 7],,986.0,False,True,False,False,False
6,1,2,1.0,"[2, 2, 0, 2, 2]",820.8000000000001,[4 4 2 7 7],820.8000000000001,544.5,False,False,False,False,False
6,2,1,0.9,"[3, 1, 1, 4, 4]",522.9,[4 4 2 7 7],522.9,887.4,False,True,False,False,False
6,2,2,0.9,"[3, 1, 1, 4, 4]",648.9,[4 4 2 7 7],,544.5,False,False,False,False,False
7,1,1,1.0,"[0, 3, 0, 2, 0]",446.0,[2 3 3 4 2],,81.0,False,False,False,False,False
7,1,2,1.0,"[2, 0, 3, 0, 2]",356.40000000000003,[2 3 3 4 2],356.40000000000003,257.40000000000003,False,False,False,False,False
7,2,1,0.9,"[2, 0, 3, 0, 2]",336.6,[2 3 3 4 2],,72.9,False,False,False,False,False
8,1,1,1.0,"[2, 1, 2, 3, 1]",647.0,[4 2 4 6 3],,997.0,False,True,False,False,False
8,1,2,1.0,"[2, 1, 2, 3, 1]",504.0,[4 2 4 6 3],,218.0,False,False,False,False,False
9,1,1,1.0,"[1, 2, 1, 1, 1]",468.0,[4 7 4 3 3],,65.0,False,False,False,False,False
9,1,2,1.0,"[1, 2, 1, 1, 1]",397.0,[4 7 4 3 3],,205.0,False,False,False,False,False
10,1,1,1.0,"[1, 0, 1, 1, 1]",560.0,[2 1 5 6 5],,329.0,False,False,False,False,False
10,1,2,1.0,"[0, 0, 0, 0, 2]",855.0,[2 1 5 6 5],855.0,603.0,False,False,False,False,False
10,2,1,0.9,"[1, 0, 3, 2, 2]",387.90000000000003,[2 1 5 6 5],387.90000000000003,296.1,False,False,False,False,False
11,1,1,1.0,"[3, 1, 0, 2, 2]",860.0,[6 2 7 2 3],,789.0,False,False,False,False,False
11,1,2,1.0,"[1, 0, 0, 0, 0]",1037.7,[6 2 7 2 3],1037.7,767.7,False,False,False,False,False
11,2,1,0.9,"[0, 0, 1, 0, 0]",875.7,[6 2 7 2 3],875.7,710.1,False,False,False,False,False
12,1,1,1.0,"[0, 0, 0, 2, 0]",632.0,[4 4 1 3 4],,402.0,False,False,False,False,False
12,1,2,1.0,"[4, 2, 0, 2, 1]",316.8,[4 4 1 3 4],316.8,58.5,False,False,False,False,False
12,2,1,0.9,"[2, 0, 0, 2, 0]",527.4,[4 4 1 3 4],527.4,361.8,False,False,False,False,False
12,2,2,0.9,"[2, 0, 0, 2, 0]",93.60000000000001,[4 4 1 3 4],,58.5,False,False,False,False,False
14,1,1,1.0,"[1, 1, 0, 3, 1]",720.0,[3 3 2 7 3],,876.0,False,True,False,False,False
15,1,1,1.0,"[1, 1, 1, 0, 0]",531.0,[5 2 4 1 1],,246.0,False,False,False,False,False
15,1,2,1.0,"[1, 1, 1, 0, 0]",201.0,[5 2 4 1 1],,89.0,False,False,False,False,False
16,1,1,1.0,"[2, 2, 1, 1, 1]",1011.0,[7 6 5 2 2],,457.0,False,False,False,False,False
16,1,2,1.0,"[2, 2, 0, 0, 0]",1004.4,[7 6 5 2 2],1004.4,1115.1000000000001,False,True,False,False,False
16,2,1,0.9,"[2, 2, 0, 0, 0]",239.4,[7 6 5 2 2],,411.3,True,False,False,False,False
17,1,1,1.0,"[2, 2, 2, 1, 1]",751.0,[7 3 5 3 3],,222.0,False,False,False,False,False
17,1,2,1.0,"[2, 2, 2, 1, 1]",308.0,[7 3 5 3 3],,334.0,True,False,False,False,False
18,1,1,1.0,"[2, 2, 0, 1, 3]",723.0,[5 4 1 2 6],,518.0,False,False,False,False,False
18,1,2,1.0,"[1, 1, 0, 0, 2]",879.3000000000001,[5 4 1 2 6],879.3000000000001,961.2,False,True,False,False,False
18,2,1,0.9,"[2, 2, 1, 1, 2]",642.6,[5 4 1 2 6],642.6,466.2,False,False,False,False,False
19,1,1,1.0,"[2, 2, 2, 2, 2]",380.0,[7 4 6 8 3],,183.0,False,False,False,False,False
20,1,1,1.0,"[2, 0, 1, 2, 1]",901.0,[6 1 2 6 4],,551.0,False,False,False,False,False
20,1,2,1.0,"[3, 0, 1, 3, 0]",488.7,[6 1 2 6 4],488.7,231.3,False,False,False,False,False
20,2,1,0.9,"[2, 0, 1, 3, 0]",813.6,[6 1 2 6 4],813.6,495.90000000000003,False,False,False,False,False
20,2,2,0.9,"[2, 0, 1, 2, 2]",320.76000000000005,[6 1 2 6 4],320.76000000000005,208.17000000000002,False,False,False,False,False
20,3,1,0.81,[],,[6 1 2 6 4],,,,,,,
21,1,1,1.0,"[0, 0, 1, 1, 1]",472.0,[2 1 3 3 2],,6.0,False,False,False,False,False
21,1,2,1.0,"[0, 0, 1, 1, 1]",109.0,[2 1 3 3 2],,26.0,False,False,False,False,False
22,1,1,1.0,"[0, 0, 1, 0, 2]",535.0,[1 1 5 2 2],,462.0,False,False,False,False,False
23,1,1,1.0,"[0, 0, 0, 1, 1]",652.0,[3 1 2 5 2],,52.0,False,False,False,False,False
23,1,2,1.0,"[0, 0, 0, 1, 1]",93.0,[3 1 2 5 2],,65.0,False,False,False,False,False
24,1,1,1.0,"[2, 0, 2, 2, 1]",714.0,[ 7  7 10  4  1],,584.0,False,False,False,False,False
25,1,1,1.0,[],,[2 6 5 4 2],,,,,,,
26,1,1,1.0,"[0, 0, 0, 2, 0]",771.0,[5 3 4 4 2],,12.0,False,False,False,False,False
26,1,2,1.0,"[0, 0, 4, 0, 0]",840.6,[5 3 4 4 2],840.6,929.7,False,True,False,False,False
26,2,1,0.9,"[0, 0, 4, 0, 0]",208.8,[5 3 4 4 2],,10.8,False,False,False,False,False
27,1,1,1.0,"[0, 1, 1, 3, 3]",549.0,[2 4 4 5 5],,492.0,False,False,False,False,False
27,1,2,1.0,"[0, 1, 1, 3, 3]",411.0,[2 4 4 5 5],,127.0,False,False,False,False,False
28,1,1,1.0,"[0, 1, 3, 4, 0]",278.0,[1 3 4 6 1],,13.0,False,False,False,False,False
28,1,2,1.0,"[0, 1, 3, 4, 0]",348.0,[1 3 4 6 1],,69.0,False,False,False,False,False
29,1,1,1.0,"[1, 3, 0, 1, 2]",724.0,[6 6 3 2 3],,533.0,False,False,False,False,False
29,1,2,1.0,"[5, 3, 1, 1, 1]",366.3,[6 6 3 2 3],366.3,563.4,False,True,False,False,False
29,2,1,0.9,"[3, 3, 0, 1, 2]",552.6,[6 6 3 2 3],552.6,479.7,False,False,False,False,False
30,1,1,1.0,"[0, 1, 0, 2, 1]",695.0,[3 3 1 7 2],,544.0,False,False,False,False,False
30,1,2,1.0,"[0, 1, 0, 2, 1]",350.0,[3 3 1 7 2],,397.0,True,False,False,False,False
31,1,1,1.0,"[0, 2, 2, 2, 1]",598.0,[1 5 4 6 3],,213.0,False,False,False,False,False
32,1,1,1.0,"[0, 3, 0, 2, 1]",1492.0,[ 4  7  2  4 10],,286.0,False,False,False,False,False
32,1,2,1.0,"[2, 3, 1, 1, 4]",756.0,[ 4  7  2  4 10],756.0,1050.3,False,True,False,False,False
32,2,1,0.9,"[2, 3, 1, 1, 4]",639.0,[ 4  7  2  4 10],,257.40000000000003,False,False,False,False,False
33,1,1,1.0,"[1, 3, 2, 4, 1]",976.0,[2 7 5 8 3],,296.0,False,False,False,False,False
33,1,2,1.0,"[1, 3, 2, 4, 1]",628.0,[2 7 5 8 3],,164.0,False,False,False,False,False
34,1,1,1.0,"[0, 2, 4, 1, 5]",624.0,[3 4 4 5 5],,557.0,False,False,False,False,False
34,1,2,1.0,"[0, 0, 0, 3, 5]",551.7,[3 4 4 5 5],551.7,351.90000000000003,False,False,False,False,False
34,2,1,0.9,"[1, 1, 1, 3, 5]",576.9,[3 4 4 5 5],576.9,501.3,False,False,False,False,False
35,1,1,1.0,"[0, 0, 2, 0, 2]",729.0,[5 3 5 2 2],,84.0,False,False,False,False,False
36,1,1,1.0,"[2, 2, 1, 2, 1]",882.0,[6 5 1 7 3],,739.0,False,False,False,False,False
36,1,2,1.0,"[5, 4, 1, 6, 3]",134.1,[6 5 1 7 3],134.1,891.9,False,True,False,False,True
36,2,1,0.9,"[5, 4, 1, 6, 3]",1045.8,[6 5 1 7 3],,665.1,False,False,False,False,False
37,1,1,1.0,"[0, 3, 0, 3, 5]",339.0,[3 3 1 6 5],,489.0,False,True,False,False,False
37,1,2,1.0,"[0, 0, 0, 5, 3]",599.4,[3 3 1 6 5],599.4,743.4,False,True,False,False,False
37,2,1,0.9,[],,[3 3 1 6 5],,,,,,,
38,1,1,1.0,"[1, 0, 0, 0, 0]",570.0,[1 0 1 5 3],,655.0,False,True,False,False,False
38,1,2,1.0,"[1, 0, 0, 0, 0]",86.0,[1 0 1 5 3],,63.0,False,False,False,False,False
39,1,1,1.0,"[6, 0, 0, 0, 4]",1342.0,[7 5 4 3 8],,1370.0,False,True,False,False,False
39,1,2,1.0,"[6, 0, 0, 0, 4]",424.0,[7 5 4 3 8],,3.0,False,False,False,False,False
40,1,1,1.0,[],,[7 1 4 2 1],,,,,,,
41,1,1,1.0,"[2, 1, 0, 3, 2]",341.0,[5 2 1 7 4],,323.0,False,False,False,False,False
41,1,2,1.0,"[2, 1, 0, 3, 2]",447.0,[5 2 1 7 4],,163.0,False,False,False,False,False
42,1,1,1.0,"[1, 2, 2, 1, 0]",842.0,[5 5 5 4 1],,334.0,False,False,False,False,False
42,1,2,1.0,"[2, 1, 1, 2, 0]",690.3000000000001,[5 5 5 4 1],690.3000000000001,427.5,False,False,False,False,False
42,2,1,0.9,"[2, 1, 1, 2, 0]",390.6,[5 5 5 4 1],,300.6,False,False,False,False,False
43,1,1,1.0,"[0, 2, 0, 1, 3]",817.0,[3 2 4 4 6],,529.0,False,False,False,False,False
43,1,2,1.0,"[0, 2, 0, 1, 3]",279.0,[3 2 4 4 6],,125.0,False,False,False,False,False
44,1,1,1.0,"[1, 2, 2, 3, 2]",635.0,[4 3 4 7 4],,456.0,False,False,False,False,False
44,1,2,1.0,"[1, 2, 2, 3, 2]",415.0,[4 3 4 7 4],,48.0,False,False,False,False,False
45,1,1,1.0,"[0, 0, 2, 0, 3]",687.0,[1 2 6 3 5],,761.0,False,True,False,False,False
45,1,2,1.0,"[0, 0, 2, 0, 3]",211.0,[1 2 6 3 5],,209.0,False,False,False,False,False
46,1,1,1.0,"[3, 2, 0, 2, 1]",314.0,[3 3 2 5 2],,164.0,False,False,False,False,False
46,1,2,1.0,"[1, 1, 0, 1, 1]",544.5,[3 3 2 5 2],544.5,712.8000000000001,False,True,False,False,True
46,2,1,0.9,"[1, 3, 0, 1, 0]",444.6,[3 3 2 5 2],444.6,147.6,False,False,False,False,False
47,1,1,1.0,"[1, 1, 1, 2, 1]",966.0,[6 4 4 8 6],,360.0,False,False,False,False,False
47,1,2,1.0,"[2, 1, 2, 1, 1]",1358.1000000000001,[6 4 4 8 6],1358.1000000000001,1645.2,False,True,False,False,False
47,2,1,0.9,"[2, 2, 1, 1, 5]",495.90000000000003,[6 4 4 8 6],495.90000000000003,324.0,False,False,False,False,False
48,1,1,1.0,"[0, 0, 2, 0, 1]",503.0,[5 2 5 1 4],,436.0,False,False,False,False,False
48,1,2,1.0,"[0, 0, 2, 0, 1]",185.0,[5 2 5 1 4],,304.0,True,False,False,False,False
49,1,1,1.0,"[1, 1, 1, 1, 1]",823.0,[7 3 4 2 7],,683.0,False,False,False,False,False
50,1,1,1.0,"[3, 0, 1, 1, 2]",454.0,[6 2 3 3 4],,287.0,False,False,False,False,False
50,1,2,1.0,"[3, 0, 1, 1, 2]",173.0,[6 2 3 3 4],,116.0,False,False,False,False,False
