game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 6, 0, 0, 0]",956.0,[ 4 10  4  4  2],,217.0,False,False,False,False,False
0,1,2,1.0,"[1, 7, 0, 0, 0]",586.8000000000001,[ 4 10  4  4  2],586.8000000000001,64.8,False,False,False,False,False
0,2,1,0.9,"[1, 7, 0, 0, 0]",114.3,[ 4 10  4  4  2],,195.3,True,False,False,False,False
1,1,1,1.0,"[2, 0, 1, 3, 4]",543.0,[4 1 2 6 9],,117.0,False,False,False,False,False
1,1,2,1.0,"[1, 0, 1, 2, 3]",1056.6000000000001,[4 1 2 6 9],1056.6000000000001,1156.5,False,True,False,False,False
1,2,1,0.9,"[3, 1, 1, 4, 7]",237.6,[4 1 2 6 9],237.6,105.3,False,False,False,False,True
1,2,2,0.9,"[2, 1, 1, 3, 5]",630.99,[4 1 2 6 9],630.99,1040.8500000000001,False,True,False,False,True
1,3,1,0.81,"[2, 1, 1, 3, 5]",439.83000000000004,[4 1 2 6 9],,94.77000000000001,False,False,False,False,False
2,1,1,1.0,"[1, 1, 1, 1, 1]",786.0,[3 7 4 3 8],,712.0,False,False,False,False,False
2,1,2,1.0,"[0, 0, 4, 0, 0]",1614.6000000000001,[3 7 4 3 8],1614.6000000000001,1428.3,False,False,False,False,False
2,2,1,0.9,"[0, 0, 4, 0, 0]",18.0,[3 7 4 3 8],,640.8000000000001,True,False,False,False,False
3,1,1,1.0,"[0, 2, 2, 2, 2]",576.0,[0 6 4 4 6],,741.0,False,True,False,False,False
3,1,2,1.0,"[0, 1, 2, 2, 5]",704.7,[0 6 4 4 6],704.7,731.7,False,True,False,False,False
3,2,1,0.9,"[0, 3, 1, 1, 3]",423.90000000000003,[0 6 4 4 6],423.90000000000003,666.9,False,True,False,False,False
4,1,1,1.0,"[3, 3, 0, 0, 2]",924.0,[7 7 1 1 5],,921.0,False,False,False,False,False
4,1,2,1.0,"[3, 3, 0, 0, 1]",692.1,[7 7 1 1 5],692.1,154.8,False,False,False,False,False
4,2,1,0.9,"[2, 2, 0, 0, 1]",1036.8,[7 7 1 1 5],1036.8,828.9,False,False,False,False,False
4,2,2,0.9,"[2, 2, 0, 0, 1]",213.3,[7 7 1 1 5],,154.8,False,False,False,False,False
6,1,1,1.0,"[0, 2, 0, 0, 0]",286.0,[3 3 1 4 2],,249.0,False,False,False,False,False
