game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 2, 1, 1, 2]",698.0,[3 7 2 3 6],,849.0,False,True,False,False,False
0,1,2,1.0,"[1, 2, 1, 1, 2]",252.0,[3 7 2 3 6],,291.0,True,False,False,False,False
1,1,1,1.0,"[1, 3, 2, 1, 2]",820.0,[3 7 5 3 4],,557.0,False,False,False,False,False
1,1,2,1.0,"[2, 3, 3, 2, 2]",513.0,[3 7 5 3 4],513.0,26.1,False,False,False,False,False
1,2,1,0.9,"[1, 4, 2, 1, 1]",747.9,[3 7 5 3 4],747.9,501.3,False,False,False,False,False
1,2,2,0.9,"[1, 4, 2, 1, 1]",487.8,[3 7 5 3 4],,26.1,False,False,False,False,False
2,1,1,1.0,"[1, 2, 2, 1, 3]",278.0,[2 4 4 2 6],,258.0,False,False,False,False,False
2,1,2,1.0,"[1, 2, 2, 1, 3]",367.0,[2 4 4 2 6],,310.0,False,False,False,False,False
3,1,1,1.0,"[1, 3, 1, 1, 1]",479.0,[3 6 3 3 4],,456.0,False,False,False,False,False
3,1,2,1.0,"[0, 2, 1, 1, 1]",441.90000000000003,[3 6 3 3 4],441.90000000000003,427.5,False,False,False,False,False
3,2,1,0.9,"[0, 2, 1, 1, 1]",125.10000000000001,[3 6 3 3 4],,410.40000000000003,True,False,False,False,False
4,1,1,1.0,"[1, 1, 1, 1, 1]",1014.0,[4 5 3 5 4],,41.0,False,False,False,False,False
4,1,2,1.0,"[0, 1, 0, 1, 0]",1295.1000000000001,[4 5 3 5 4],1295.1000000000001,1086.3,False,False,False,False,False
4,2,1,0.9,"[0, 1, 0, 1, 0]",78.3,[4 5 3 5 4],,36.9,False,False,False,False,False
5,1,1,1.0,"[1, 1, 1, 1, 0]",785.0,[4 5 4 5 1],,711.0,False,False,False,False,False
6,1,1,1.0,"[2, 3, 0, 0, 5]",369.0,[5 6 2 2 6],,324.0,False,False,False,False,False
6,1,2,1.0,"[0, 1, 0, 0, 3]",513.9,[5 6 2 2 6],513.9,483.3,False,False,False,False,False
6,2,1,0.9,"[0, 1, 0, 0, 3]",58.5,[5 6 2 2 6],,291.6,True,False,False,False,False
7,1,1,1.0,[],,[3 6 2 4 5],,,,,,,
9,1,1,1.0,"[1, 3, 2, 1, 1]",745.0,[4 8 6 2 5],,644.0,False,False,False,False,False
9,1,2,1.0,"[1, 3, 2, 1, 1]",352.0,[4 8 6 2 5],,470.0,True,False,False,False,False
10,1,1,1.0,"[1, 0, 2, 2, 2]",504.0,[4 0 5 5 5],,697.0,False,True,False,False,False
11,1,1,1.0,[],,[6 3 6 4 1],,,,,,,
12,1,1,1.0,[],,[3 3 5 3 4],,,,,,,
13,1,1,1.0,"[2, 2, 2, 2, 2]",1003.0,[4 3 7 3 6],,749.0,False,False,False,False,False
13,1,2,1.0,"[2, 2, 2, 2, 2]",360.0,[4 3 7 3 6],,291.0,False,False,False,False,False
14,1,1,1.0,"[3, 0, 0, 3, 2]",658.0,[6 2 3 6 4],,27.0,False,False,False,False,False
14,1,2,1.0,"[3, 0, 0, 3, 2]",474.0,[6 2 3 6 4],,924.0,True,False,False,False,False
15,1,1,1.0,"[2, 3, 2, 3, 2]",721.0,[4 6 4 7 5],,356.0,False,False,False,False,False
15,1,2,1.0,"[2, 3, 2, 3, 2]",717.0,[4 6 4 7 5],,219.0,False,False,False,False,False
16,1,1,1.0,"[1, 1, 0, 0, 4]",617.0,[4 3 1 2 5],,595.0,False,False,False,False,False
16,1,2,1.0,"[1, 1, 0, 0, 4]",129.0,[4 3 1 2 5],,158.0,True,False,False,False,False
17,1,1,1.0,"[1, 1, 1, 1, 0]",643.0,[5 4 5 3 1],,680.0,False,True,False,False,False
18,1,1,1.0,"[3, 2, 1, 0, 2]",949.0,[8 5 1 2 6],,740.0,False,False,False,False,False
18,1,2,1.0,"[2, 1, 1, 0, 2]",689.4,[8 5 1 2 6],689.4,815.4,False,True,False,False,False
18,2,1,0.9,"[2, 1, 1, 0, 2]",370.8,[8 5 1 2 6],,666.0,True,False,False,False,False
