game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
1,1,1,1.0,"[3, 3, 1, 0, 0]",269.0,[6 6 2 0 1],,258.0,False,False,False,False,False
2,1,1,1.0,"[2, 3, 1, 2, 5]",1307.0,[7 6 6 7 7],,1017.0,False,False,False,False,False
2,1,2,1.0,"[4, 4, 4, 4, 4]",722.7,[7 6 6 7 7],722.7,1347.3,False,True,False,False,True
2,2,1,0.9,[],,[7 6 6 7 7],,,,,,,
3,1,1,1.0,[],,[1 5 6 7 3],,,,,,,
4,1,1,1.0,"[2, 3, 1, 2, 1]",542.0,[5 6 3 4 2],,942.0,False,True,False,False,False
4,1,2,1.0,"[5, 6, 3, 4, 2]",0.0,[5 6 3 4 2],0.0,245.70000000000002,False,True,False,True,True
4,2,1,0.9,[],,[5 6 3 4 2],,,,,,,
5,1,1,1.0,"[1, 1, 2, 0, 2]",975.0,[5 4 5 2 7],,377.0,False,False,False,False,False
7,1,1,1.0,"[1, 2, 0, 0, 3]",560.0,[3 4 2 2 5],,300.0,False,False,False,False,False
8,1,1,1.0,[],,[3 5 6 4 7],,,,,,,
9,1,1,1.0,"[1, 1, 3, 1, 0]",652.0,[5 5 5 5 2],,87.0,False,False,False,False,False
10,1,1,1.0,"[1, 1, 3, 1, 2]",326.0,[3 2 6 2 5],,525.0,False,True,False,False,False
10,1,2,1.0,"[1, 1, 3, 1, 2]",474.0,[3 2 6 2 5],,254.0,False,False,False,False,False
11,1,1,1.0,"[0, 0, 0, 0, 5]",1002.0,[4 5 2 7 5],,862.0,False,False,False,False,False
12,1,1,1.0,"[2, 3, 3, 1, 1]",753.0,[4 7 6 3 3],,675.0,False,False,False,False,False
13,1,1,1.0,"[3, 1, 1, 2, 3]",974.0,[6 4 4 3 6],,954.0,False,False,False,False,False
14,1,1,1.0,"[1, 2, 0, 2, 2]",554.0,[3 4 2 4 4],,956.0,False,True,False,False,False
15,1,1,1.0,"[3, 3, 1, 2, 1]",658.0,[6 6 3 4 3],,898.0,False,True,False,False,False
16,1,1,1.0,"[2, 3, 2, 0, 1]",553.0,[5 5 4 3 3],,321.0,False,False,False,False,False
17,1,1,1.0,"[0, 0, 3, 2, 1]",587.0,[3 3 7 3 2],,198.0,False,False,False,False,False
18,1,1,1.0,[],,[4 2 3 4 9],,,,,,,
19,1,1,1.0,"[0, 1, 1, 1, 2]",233.0,[0 2 3 2 4],,104.0,False,False,False,False,False
