game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 3, 1, 2, 5]",685.0,[1 4 4 9 6],,658.0,False,False,False,False,False
0,1,2,1.0,"[0, 3, 3, 3, 2]",471.0,[1 4 4 9 6],471.0,394.0,False,False,False,False,True
0,2,1,0.9,"[1, 4, 1, 2, 5]",571.5,[1 4 4 9 6],571.5,592.2,False,True,False,False,False
0,2,2,0.9,"[0, 2, 2, 3, 2]",368.1,[1 4 4 9 6],368.1,354.6,False,False,False,False,True
0,3,1,0.81,[],,[1 4 4 9 6],,,,,,,
1,1,1,1.0,"[1, 2, 1, 1, 1]",260.0,[4 4 4 3 2],,25.0,False,False,False,False,False
1,1,2,1.0,"[1, 3, 1, 2, 0]",116.0,[4 4 4 3 2],116.0,164.0,False,True,False,False,True
1,2,1,0.9,"[1, 3, 1, 2, 0]",198.0,[4 4 4 3 2],198.0,22.5,False,False,False,False,True
2,1,1,1.0,"[1, 1, 2, 1, 3]",772.0,[2 3 5 2 8],,543.0,False,False,False,False,False
2,1,2,1.0,"[1, 2, 3, 2, 2]",495.0,[2 3 5 2 8],495.0,411.0,False,False,False,False,False
2,2,1,0.9,"[1, 1, 2, 1, 4]",636.3000000000001,[2 3 5 2 8],636.3000000000001,488.7,False,False,False,False,True
2,2,2,0.9,"[1, 1, 2, 0, 3]",413.1,[2 3 5 2 8],413.1,369.90000000000003,False,False,False,False,True
2,3,1,0.81,[],,[2 3 5 2 8],,,,,,,
3,1,1,1.0,"[2, 1, 1, 1, 1]",621.0,[5 3 3 2 2],,415.0,False,False,False,False,False
3,1,2,1.0,"[2, 2, 2, 0, 1]",200.0,[5 3 3 2 2],200.0,41.0,False,False,False,False,True
3,2,1,0.9,"[2, 1, 1, 0, 1]",626.4,[5 3 3 2 2],626.4,373.5,False,False,False,False,False
3,2,2,0.9,"[2, 1, 1, 1, 0]",171.0,[5 3 3 2 2],171.0,36.9,False,False,False,False,False
3,3,1,0.81,[],,[5 3 3 2 2],,,,,,,
4,1,1,1.0,"[5, 1, 3, 2, 2]",993.0,[6 6 6 5 5],,71.0,False,False,False,False,False
4,1,2,1.0,"[1, 5, 1, 3, 3]",291.0,[6 6 6 5 5],291.0,70.0,False,False,False,False,True
4,2,1,0.9,"[4, 1, 3, 2, 2]",902.7,[6 6 6 5 5],902.7,63.9,False,False,False,False,False
4,2,2,0.9,"[4, 1, 3, 2, 2]",610.2,[6 6 6 5 5],610.2,63.0,False,False,False,False,False
5,1,1,1.0,"[2, 1, 0, 1, 2]",411.0,[3 3 1 3 3],,135.0,False,False,False,False,False
5,1,2,1.0,"[1, 1, 1, 2, 1]",316.0,[3 3 1 3 3],316.0,396.0,False,True,False,False,True
5,2,1,0.9,"[1, 0, 1, 1, 2]",425.7,[3 3 1 3 3],425.7,121.5,False,False,False,False,False
5,2,2,0.9,"[1, 1, 0, 2, 1]",255.6,[3 3 1 3 3],255.6,356.40000000000003,False,True,False,False,True
5,3,1,0.81,"[1, 1, 0, 2, 1]",319.14000000000004,[3 3 1 3 3],319.14000000000004,109.35000000000001,False,False,False,False,True
6,1,1,1.0,"[1, 1, 0, 4, 3]",476.0,[3 3 2 6 5],,602.0,False,True,False,False,False
6,1,2,1.0,"[2, 1, 1, 4, 1]",421.0,[3 3 2 6 5],421.0,381.0,False,False,False,False,True
6,2,1,0.9,"[1, 1, 1, 4, 3]",371.7,[3 3 2 6 5],371.7,541.8000000000001,False,True,False,False,True
6,2,2,0.9,"[1, 1, 1, 4, 3]",473.40000000000003,[3 3 2 6 5],473.40000000000003,342.90000000000003,False,False,False,False,False
7,1,1,1.0,"[1, 3, 1, 5, 2]",779.0,[3 4 3 7 8],,695.0,False,False,False,False,False
7,1,2,1.0,"[1, 1, 2, 4, 5]",530.0,[3 4 3 7 8],530.0,618.0,False,True,False,False,True
7,2,1,0.9,"[1, 3, 1, 4, 3]",651.6,[3 4 3 7 8],651.6,625.5,False,False,False,False,False
7,2,2,0.9,"[1, 1, 2, 4, 5]",477.0,[3 4 3 7 8],477.0,556.2,False,True,False,False,True
7,3,1,0.81,[],,[3 4 3 7 8],,,,,,,
8,1,1,1.0,"[1, 1, 2, 3, 2]",723.0,[3 2 6 5 5],,909.0,False,True,False,False,False
8,1,2,1.0,"[1, 1, 2, 1, 2]",225.0,[3 2 6 5 5],225.0,861.0,False,True,False,False,True
8,2,1,0.9,[],,[3 2 6 5 5],,,,,,,
9,1,1,1.0,"[6, 2, 1, 3, 1]",943.0,[8 5 5 5 3],,880.0,False,False,False,False,False
9,1,2,1.0,"[6, 3, 4, 2, 1]",691.0,[8 5 5 5 3],691.0,406.0,False,False,False,False,False
9,2,1,0.9,"[7, 2, 1, 4, 1]",780.3000000000001,[8 5 5 5 3],780.3000000000001,792.0,False,True,False,False,False
9,2,2,0.9,"[7, 2, 1, 4, 1]",712.8000000000001,[8 5 5 5 3],712.8000000000001,365.40000000000003,False,False,False,False,False
10,1,1,1.0,"[1, 1, 1, 2, 3]",499.0,[3 3 2 4 4],,945.0,False,True,False,False,False
10,1,2,1.0,"[1, 2, 0, 2, 3]",191.0,[3 3 2 4 4],191.0,570.0,False,True,False,False,True
10,2,1,0.9,"[1, 2, 0, 2, 2]",477.90000000000003,[3 3 2 4 4],477.90000000000003,850.5,False,True,False,False,True
11,1,1,1.0,"[1, 0, 1, 5, 1]",810.0,[2 2 5 6 3],,57.0,False,False,False,False,False
11,1,2,1.0,"[1, 0, 4, 6, 2]",241.0,[2 2 5 6 3],241.0,495.0,False,True,False,False,False
11,2,1,0.9,"[1, 1, 2, 5, 1]",559.8000000000001,[2 2 5 6 3],559.8000000000001,51.300000000000004,False,False,False,False,False
11,2,2,0.9,"[1, 0, 3, 6, 2]",189.9,[2 2 5 6 3],189.9,445.5,False,True,False,False,True
11,3,1,0.81,"[1, 0, 3, 6, 2]",424.44000000000005,[2 2 5 6 3],424.44000000000005,46.17,False,False,False,False,True
12,1,1,1.0,"[3, 1, 2, 1, 4]",316.0,[6 2 3 4 5],,811.0,False,True,False,False,False
12,1,2,1.0,"[4, 1, 0, 2, 2]",225.0,[6 2 3 4 5],225.0,816.0,False,True,False,False,True
12,2,1,0.9,[],,[6 2 3 4 5],,,,,,,
13,1,1,1.0,"[3, 2, 3, 1, 5]",695.0,[4 6 7 4 6],,552.0,False,False,False,False,False
13,1,2,1.0,"[2, 1, 4, 2, 1]",237.0,[4 6 7 4 6],237.0,724.0,False,True,False,False,True
13,2,1,0.9,"[3, 2, 2, 1, 4]",675.9,[4 6 7 4 6],675.9,496.8,False,False,False,False,False
14,1,1,1.0,"[1, 3, 2, 1, 1]",820.0,[6 4 5 3 3],,836.0,False,True,False,False,False
14,1,2,1.0,"[4, 1, 3, 1, 2]",398.0,[6 4 5 3 3],398.0,651.0,False,True,False,False,True
14,2,1,0.9,"[2, 3, 3, 1, 1]",624.6,[6 4 5 3 3],624.6,752.4,False,True,False,False,False
15,1,1,1.0,"[1, 3, 4, 2, 1]",336.0,[3 4 6 2 3],,494.0,False,True,False,False,False
15,1,2,1.0,"[2, 3, 2, 0, 0]",111.0,[3 4 6 2 3],111.0,876.0,False,True,False,False,True
15,2,1,0.9,"[1, 2, 3, 2, 1]",362.7,[3 4 6 2 3],362.7,444.6,False,True,False,False,True
16,1,1,1.0,"[4, 0, 2, 2, 2]",1034.0,[10  2  5  5  2],,246.0,False,False,False,False,False
16,1,2,1.0,"[3, 1, 2, 4, 0]",323.0,[10  2  5  5  2],323.0,214.0,False,False,False,False,True
16,2,1,0.9,"[3, 0, 3, 2, 1]",938.7,[10  2  5  5  2],938.7,221.4,False,False,False,False,False
16,2,2,0.9,"[4, 1, 2, 4, 0]",329.40000000000003,[10  2  5  5  2],329.40000000000003,192.6,False,False,False,False,True
16,3,1,0.81,"[4, 1, 2, 4, 0]",644.76,[10  2  5  5  2],644.76,199.26000000000002,False,False,False,False,True
17,1,1,1.0,"[0, 1, 1, 1, 3]",634.0,[1 3 4 2 5],,956.0,False,True,False,False,False
17,1,2,1.0,"[1, 1, 1, 0, 4]",238.0,[1 3 4 2 5],238.0,664.0,False,True,False,False,True
17,2,1,0.9,"[0, 1, 1, 1, 4]",546.3000000000001,[1 3 4 2 5],546.3000000000001,860.4,False,True,False,False,True
18,1,1,1.0,"[0, 1, 4, 0, 5]",345.0,[2 3 5 1 7],,761.0,False,True,False,False,False
18,1,2,1.0,"[1, 2, 1, 1, 2]",495.0,[2 3 5 1 7],495.0,152.0,False,False,False,False,True
18,2,1,0.9,[],,[2 3 5 1 7],,,,,,,
19,1,1,1.0,"[2, 2, 1, 3, 1]",653.0,[7 4 2 4 2],,217.0,False,False,False,False,False
20,1,1,1.0,"[1, 2, 1, 0, 2]",730.0,[2 5 4 2 3],,971.0,False,True,False,False,False
20,1,2,1.0,"[0, 3, 3, 0, 1]",246.0,[2 5 4 2 3],246.0,489.0,False,True,False,False,True
20,2,1,0.9,"[1, 3, 1, 0, 2]",594.9,[2 5 4 2 3],594.9,873.9,False,True,False,False,False
21,1,1,1.0,"[4, 4, 3, 1, 4]",413.0,[5 8 4 5 7],,554.0,False,True,False,False,False
21,1,2,1.0,"[2, 4, 2, 2, 2]",550.0,[5 8 4 5 7],550.0,938.0,False,True,False,False,True
21,2,1,0.9,"[3, 3, 3, 1, 4]",400.5,[5 8 4 5 7],400.5,498.6,False,True,False,False,True
22,1,1,1.0,"[2, 2, 6, 1, 1]",899.0,[5 5 9 3 5],,692.0,False,False,False,False,False
22,1,2,1.0,"[2, 3, 4, 1, 3]",549.0,[5 5 9 3 5],549.0,283.0,False,False,False,False,True
22,2,1,0.9,"[2, 2, 5, 1, 1]",829.8000000000001,[5 5 9 3 5],829.8000000000001,622.8000000000001,False,False,False,False,False
22,2,2,0.9,"[2, 2, 5, 1, 1]",461.7,[5 5 9 3 5],461.7,254.70000000000002,False,False,False,False,False
23,1,1,1.0,"[2, 0, 1, 3, 4]",539.0,[4 1 3 6 6],,357.0,False,False,False,False,False
23,1,2,1.0,"[1, 0, 1, 2, 5]",275.0,[4 1 3 6 6],275.0,525.0,False,True,False,False,True
23,2,1,0.9,"[2, 0, 1, 3, 4]",485.1,[4 1 3 6 6],485.1,321.3,False,False,False,False,True
23,2,2,0.9,"[1, 0, 1, 2, 5]",247.5,[4 1 3 6 6],247.5,472.5,False,True,False,False,True
23,3,1,0.81,[],,[4 1 3 6 6],,,,,,,
24,1,1,1.0,"[1, 2, 5, 1, 1]",528.0,[2 7 6 2 4],,840.0,False,True,False,False,False
24,1,2,1.0,"[1, 3, 2, 1, 2]",251.0,[2 7 6 2 4],251.0,386.0,False,True,False,False,True
24,2,1,0.9,[],,[2 7 6 2 4],,,,,,,
25,1,1,1.0,"[6, 4, 1, 1, 1]",1067.0,[8 9 4 5 3],,254.0,False,False,False,False,False
26,1,1,1.0,"[1, 6, 0, 2, 1]",354.0,[3 8 1 2 5],,31.0,False,False,False,False,False
26,1,2,1.0,"[2, 2, 0, 2, 1]",224.0,[3 8 1 2 5],224.0,906.0,False,True,False,False,True
26,2,1,0.9,"[1, 6, 0, 2, 2]",292.5,[3 8 1 2 5],292.5,27.900000000000002,False,False,False,False,False
27,1,1,1.0,"[1, 2, 1, 1, 1]",541.0,[2 5 2 1 2],,464.0,False,False,False,False,False
