game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[4, 1, 3, 0, 2]",623.0,[5 5 4 2 4],,154.0,False,False,False,False,False
0,1,2,1.0,"[1, 4, 1, 0, 2]",586.0,[5 5 4 2 4],586.0,436.0,False,False,False,False,True
0,2,1,0.9,"[4, 1, 3, 1, 2]",480.6,[5 5 4 2 4],480.6,138.6,False,False,False,False,False
0,2,2,0.9,"[1, 4, 1, 0, 2]",527.4,[5 5 4 2 4],527.4,392.40000000000003,False,False,False,False,True
0,3,1,0.81,"[1, 4, 1, 0, 2]",326.43,[5 5 4 2 4],326.43,124.74000000000001,False,False,False,False,True
1,1,1,1.0,"[1, 1, 2, 3, 1]",389.0,[2 1 5 5 3],,553.0,False,True,False,False,False
1,1,2,1.0,"[1, 0, 2, 3, 1]",314.0,[2 1 5 5 3],314.0,683.0,False,True,False,False,True
1,2,1,0.9,[],,[2 1 5 5 3],,,,,,,
2,1,1,1.0,"[0, 1, 1, 3, 0]",607.0,[1 4 5 4 1],,10.0,False,False,False,False,False
2,1,2,1.0,"[1, 1, 1, 1, 1]",200.0,[1 4 5 4 1],200.0,977.0,False,True,False,False,True
2,2,1,0.9,"[0, 1, 2, 3, 0]",490.5,[1 4 5 4 1],490.5,9.0,False,False,False,False,True
3,1,1,1.0,"[1, 1, 3, 0, 1]",532.0,[3 2 6 2 4],,838.0,False,True,False,False,False
3,1,2,1.0,"[2, 0, 2, 0, 3]",260.0,[3 2 6 2 4],260.0,478.0,False,True,False,False,True
3,2,1,0.9,"[1, 1, 3, 0, 1]",478.8,[3 2 6 2 4],478.8,754.2,False,True,False,False,False
4,1,1,1.0,"[1, 4, 3, 1, 3]",644.0,[2 7 5 5 5],,14.0,False,False,False,False,False
4,1,2,1.0,"[1, 2, 2, 4, 2]",674.0,[2 7 5 5 5],674.0,518.0,False,False,False,False,True
4,2,1,0.9,"[1, 2, 2, 4, 2]",459.0,[2 7 5 5 5],459.0,12.6,False,False,False,False,True
5,1,1,1.0,"[2, 1, 4, 1, 4]",1026.0,[4 5 7 5 5],,841.0,False,False,False,False,False
5,1,2,1.0,"[1, 2, 2, 4, 2]",621.0,[4 5 7 5 5],621.0,693.0,False,True,False,False,True
5,2,1,0.9,"[2, 1, 3, 1, 3]",1000.8000000000001,[4 5 7 5 5],1000.8000000000001,756.9,False,False,False,False,False
5,2,2,0.9,"[1, 2, 3, 4, 2]",622.8000000000001,[4 5 7 5 5],622.8000000000001,623.7,False,True,False,False,True
5,3,1,0.81,[],,[4 5 7 5 5],,,,,,,
