game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 0, 1, 2, 0]",935.0,[4 2 3 6 3],,774.0,False,False,False,False,False
0,1,2,1.0,"[3, 1, 2, 4, 1]",327.0,[4 2 3 6 3],327.0,999.0,False,True,False,False,False
0,2,1,0.9,"[2, 0, 1, 2, 0]",810.0,[4 2 3 6 3],810.0,696.6,False,False,False,False,False
0,2,2,0.9,"[2, 1, 1, 4, 1]",232.20000000000002,[4 2 3 6 3],232.20000000000002,899.1,False,True,False,False,False
0,3,1,0.81,"[2, 1, 1, 4, 1]",462.51000000000005,[4 2 3 6 3],462.51000000000005,626.94,True,True,False,False,True
1,1,1,1.0,"[1, 0, 3, 2, 1]",316.0,[4 0 4 4 5],,162.0,False,False,False,False,False
1,1,2,1.0,"[2, 0, 1, 3, 4]",513.0,[4 0 4 4 5],513.0,422.0,False,False,False,False,False
1,2,1,0.9,"[1, 0, 2, 2, 2]",252.0,[4 0 4 4 5],252.0,145.8,False,False,False,False,False
1,2,2,0.9,"[2, 0, 1, 3, 3]",410.40000000000003,[4 0 4 4 5],410.40000000000003,379.8,False,False,False,False,False
1,3,1,0.81,"[2, 0, 1, 3, 3]",162.0,[4 0 4 4 5],162.0,131.22,False,False,False,False,True
2,1,1,1.0,"[1, 2, 1, 4, 1]",842.0,[3 6 3 6 2],,255.0,False,False,False,False,False
2,1,2,1.0,"[3, 5, 0, 5, 1]",421.0,[3 6 3 6 2],421.0,541.0,False,True,False,False,False
2,2,1,0.9,"[1, 2, 1, 3, 1]",802.8000000000001,[3 6 3 6 2],802.8000000000001,229.5,False,False,False,False,False
2,2,2,0.9,"[2, 4, 0, 5, 1]",319.5,[3 6 3 6 2],319.5,486.90000000000003,False,True,False,False,False
2,3,1,0.81,"[2, 4, 0, 5, 1]",498.15000000000003,[3 6 3 6 2],498.15000000000003,206.55,False,False,False,False,True
3,1,1,1.0,"[1, 1, 0, 1, 1]",737.0,[4 4 1 4 4],,924.0,False,True,False,False,False
3,1,2,1.0,"[4, 1, 0, 1, 4]",194.0,[4 4 1 4 4],194.0,649.0,False,True,False,False,False
3,2,1,0.9,"[2, 2, 0, 1, 2]",523.8000000000001,[4 4 1 4 4],523.8000000000001,831.6,False,True,False,False,False
3,2,2,0.9,"[4, 0, 0, 1, 4]",137.70000000000002,[4 4 1 4 4],137.70000000000002,584.1,False,True,False,False,True
3,3,1,0.81,"[4, 0, 0, 1, 4]",385.56,[4 4 1 4 4],385.56,748.44,True,True,False,False,True
4,1,1,1.0,"[3, 1, 1, 3, 1]",1024.0,[7 5 5 7 2],,132.0,False,False,False,False,False
4,1,2,1.0,"[4, 2, 2, 4, 1]",542.0,[7 5 5 7 2],542.0,765.0,False,True,False,False,False
4,2,1,0.9,"[4, 2, 2, 4, 1]",702.0,[7 5 5 7 2],702.0,118.8,False,False,False,False,True
5,1,1,1.0,"[0, 0, 0, 0, 2]",1635.0,[5 3 6 8 2],,690.0,False,False,False,False,False
5,1,2,1.0,"[5, 3, 0, 8, 0]",106.0,[5 3 6 8 2],106.0,453.0,False,True,False,False,True
5,2,1,0.9,"[5, 0, 0, 0, 2]",1300.5,[5 3 6 8 2],1300.5,621.0,False,False,False,False,False
5,2,2,0.9,"[0, 3, 0, 8, 0]",45.9,[5 3 6 8 2],45.9,407.7,False,True,False,False,True
5,3,1,0.81,"[0, 3, 0, 8, 0]",584.82,[5 3 6 8 2],584.82,558.9000000000001,False,False,False,False,True
6,1,1,1.0,"[1, 1, 4, 0, 1]",560.0,[3 3 5 1 3],,350.0,False,False,False,False,False
6,1,2,1.0,"[2, 2, 5, 0, 2]",345.0,[3 3 5 1 3],345.0,161.0,False,False,False,False,False
6,2,1,0.9,"[1, 1, 3, 0, 1]",538.2,[3 3 5 1 3],538.2,315.0,False,False,False,False,False
6,2,2,0.9,"[1, 2, 4, 0, 1]",196.20000000000002,[3 3 5 1 3],196.20000000000002,144.9,False,False,False,False,False
6,3,1,0.81,"[1, 2, 4, 0, 1]",384.75,[3 3 5 1 3],384.75,283.5,False,False,False,False,True
7,1,1,1.0,"[0, 1, 1, 2, 4]",784.0,[7 3 2 2 4],,796.0,False,True,False,False,False
7,1,2,1.0,"[7, 2, 1, 0, 0]",523.0,[7 3 2 2 4],523.0,901.0,False,True,False,False,True
7,2,1,0.9,"[7, 2, 1, 0, 0]",135.9,[7 3 2 2 4],135.9,716.4,True,True,False,False,True
8,1,1,1.0,"[0, 1, 0, 0, 4]",923.0,[5 3 1 3 5],,146.0,False,False,False,False,False
8,1,2,1.0,"[4, 0, 0, 0, 5]",384.0,[5 3 1 3 5],384.0,559.0,False,True,False,False,False
8,2,1,0.9,"[2, 2, 0, 0, 4]",622.8000000000001,[5 3 1 3 5],622.8000000000001,131.4,False,False,False,False,False
8,2,2,0.9,"[4, 0, 0, 2, 4]",457.2,[5 3 1 3 5],457.2,503.1,False,True,False,False,False
8,3,1,0.81,"[4, 0, 0, 2, 4]",324.0,[5 3 1 3 5],324.0,118.26,False,False,False,False,True
9,1,1,1.0,"[7, 0, 8, 2, 8]",0.0,[7 0 8 2 8],,779.0,False,True,False,True,False
9,1,2,1.0,"[0, 0, 8, 0, 0]",144.0,[7 0 8 2 8],144.0,401.0,False,True,False,False,True
9,2,1,0.9,"[4, 0, 0, 1, 6]",265.5,[7 0 8 2 8],265.5,701.1,False,True,False,False,False
9,2,2,0.9,"[4, 0, 0, 1, 6]",845.1,[7 0 8 2 8],845.1,360.90000000000003,False,False,False,False,False
10,1,1,1.0,"[4, 0, 0, 5, 4]",759.0,[4 5 4 5 4],,697.0,False,False,False,False,False
10,1,2,1.0,"[4, 0, 0, 5, 4]",412.0,[4 5 4 5 4],412.0,42.0,False,False,False,False,False
11,1,1,1.0,"[0, 1, 3, 4, 0]",938.0,[3 7 8 4 0],,35.0,False,False,False,False,False
11,1,2,1.0,"[3, 6, 8, 0, 0]",386.0,[3 7 8 4 0],386.0,783.0,False,True,False,False,False
11,2,1,0.9,"[0, 2, 4, 4, 0]",715.5,[3 7 8 4 0],715.5,31.5,False,False,False,False,False
11,2,2,0.9,"[0, 2, 4, 4, 0]",311.40000000000003,[3 7 8 4 0],311.40000000000003,704.7,True,True,False,False,False
12,1,1,1.0,"[1, 0, 0, 1, 4]",305.0,[3 1 0 3 5],,711.0,False,True,False,False,False
12,1,2,1.0,"[2, 0, 0, 3, 1]",197.0,[3 1 0 3 5],197.0,880.0,False,True,False,False,True
12,2,1,0.9,"[1, 0, 0, 1, 3]",307.8,[3 1 0 3 5],307.8,639.9,False,True,False,False,False
12,2,2,0.9,"[2, 0, 0, 3, 1]",177.3,[3 1 0 3 5],177.3,792.0,False,True,False,False,True
12,3,1,0.81,"[2, 0, 0, 3, 1]",196.83,[3 1 0 3 5],196.83,575.9100000000001,True,True,False,False,True
13,1,1,1.0,"[0, 0, 3, 2, 3]",932.0,[4 6 3 2 3],,803.0,False,False,False,False,False
13,1,2,1.0,"[0, 6, 0, 2, 3]",661.0,[4 6 3 2 3],661.0,314.0,False,False,False,False,False
13,2,1,0.9,"[0, 1, 3, 0, 3]",880.2,[4 6 3 2 3],880.2,722.7,False,False,False,False,False
13,2,2,0.9,"[0, 3, 0, 2, 3]",373.5,[4 6 3 2 3],373.5,282.6,False,False,False,False,False
13,3,1,0.81,"[0, 3, 0, 2, 3]",545.94,[4 6 3 2 3],545.94,650.4300000000001,True,True,False,False,True
14,1,1,1.0,"[1, 2, 1, 1, 3]",785.0,[4 6 3 3 5],,547.0,False,False,False,False,False
14,1,2,1.0,"[2, 3, 1, 2, 2]",294.0,[4 6 3 3 5],294.0,432.0,False,True,False,False,False
14,2,1,0.9,"[1, 3, 1, 1, 3]",647.1,[4 6 3 3 5],647.1,492.3,False,False,False,False,False
14,2,2,0.9,"[2, 3, 2, 1, 3]",330.3,[4 6 3 3 5],330.3,388.8,False,True,False,False,False
14,3,1,0.81,"[2, 3, 2, 1, 3]",489.24,[4 6 3 3 5],489.24,443.07000000000005,False,False,False,False,True
