game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 2, 0, 0, 0]",1028.0,[1 3 5 5 3],,843.0,False,False,False,False,False
0,1,2,1.0,"[1, 1, 1, 4, 1]",417.0,[1 3 5 5 3],417.0,721.0,False,True,False,False,False
0,2,1,0.9,"[1, 3, 4, 0, 0]",729.0,[1 3 5 5 3],729.0,758.7,False,True,False,False,False
0,2,2,0.9,"[0, 1, 2, 3, 1]",401.40000000000003,[1 3 5 5 3],401.40000000000003,648.9,False,True,False,False,True
0,3,1,0.81,[],,[1 3 5 5 3],,,,,,,
1,1,1,1.0,"[2, 2, 2, 0, 2]",625.0,[14  6  6  0  3],,47.0,False,False,False,False,False
1,1,2,1.0,"[13, 1, 1, 0, 1]",90.0,[14  6  6  0  3],90.0,252.0,False,True,False,False,True
1,2,1,0.9,"[12, 1, 1, 0, 2]",538.2,[14  6  6  0  3],538.2,42.300000000000004,False,False,False,False,True
1,2,2,0.9,"[13, 1, 1, 0, 1]",81.0,[14  6  6  0  3],81.0,226.8,False,True,False,False,True
1,3,1,0.81,"[13, 1, 1, 0, 1]",477.09000000000003,[14  6  6  0  3],477.09000000000003,38.07,False,False,False,False,True
2,1,1,1.0,"[0, 4, 6, 0, 2]",1002.0,[6 4 6 6 2],,988.0,False,False,False,False,False
2,1,2,1.0,"[6, 0, 6, 0, 0]",264.0,[6 4 6 6 2],264.0,884.0,False,True,False,False,True
2,2,1,0.9,"[0, 4, 6, 0, 2]",901.8000000000001,[6 4 6 6 2],901.8000000000001,889.2,False,False,False,False,False
2,2,2,0.9,"[0, 0, 6, 6, 0]",270.0,[6 4 6 6 2],270.0,795.6,False,True,False,False,True
2,3,1,0.81,"[0, 0, 6, 6, 0]",617.22,[6 4 6 6 2],617.22,800.2800000000001,True,True,False,False,True
3,1,1,1.0,"[0, 0, 5, 6, 0]",256.0,[2 1 5 6 2],,457.0,False,True,False,False,False
3,1,2,1.0,"[2, 0, 2, 3, 1]",105.0,[2 1 5 6 2],105.0,598.0,False,True,False,False,True
3,2,1,0.9,"[0, 0, 5, 6, 1]",200.70000000000002,[2 1 5 6 2],200.70000000000002,411.3,False,True,False,False,False
3,2,2,0.9,"[0, 0, 2, 3, 0]",69.3,[2 1 5 6 2],69.3,538.2,False,True,False,False,True
3,3,1,0.81,[],,[2 1 5 6 2],,,,,,,
4,1,1,1.0,"[0, 3, 7, 0, 0]",949.0,[3 7 7 6 1],,221.0,False,False,False,False,False
4,1,2,1.0,"[0, 3, 7, 0, 0]",640.0,[3 7 7 6 1],640.0,623.0,False,False,False,False,False
5,1,1,1.0,"[0, 0, 4, 1, 2]",834.0,[6 6 4 1 2],,872.0,False,True,False,False,False
5,1,2,1.0,"[0, 0, 4, 0, 2]",142.0,[6 6 4 1 2],142.0,408.0,False,True,False,False,True
5,2,1,0.9,[],,[6 6 4 1 2],,,,,,,
6,1,1,1.0,"[3, 2, 2, 1, 5]",1285.0,[3 7 8 5 6],,593.0,False,False,False,False,False
6,1,2,1.0,"[2, 1, 6, 3, 4]",968.0,[3 7 8 5 6],968.0,852.0,False,False,False,False,False
6,2,1,0.9,"[2, 3, 2, 1, 4]",1122.3,[3 7 8 5 6],1122.3,533.7,False,False,False,False,False
6,2,2,0.9,"[1, 2, 3, 2, 4]",643.5,[3 7 8 5 6],643.5,766.8000000000001,False,True,False,False,True
6,3,1,0.81,"[1, 2, 3, 2, 4]",926.6400000000001,[3 7 8 5 6],926.6400000000001,480.33000000000004,False,False,False,False,True
7,1,1,1.0,"[0, 3, 0, 1, 1]",726.0,[1 7 1 4 1],,412.0,False,False,False,False,False
7,1,2,1.0,"[0, 3, 1, 2, 1]",327.0,[1 7 1 4 1],327.0,775.0,False,True,False,False,False
7,2,1,0.9,"[0, 2, 0, 1, 0]",766.8000000000001,[1 7 1 4 1],766.8000000000001,370.8,False,False,False,False,False
7,2,2,0.9,"[0, 2, 0, 2, 0]",205.20000000000002,[1 7 1 4 1],205.20000000000002,697.5,False,True,False,False,False
7,3,1,0.81,[],,[1 7 1 4 1],,,,,,,
8,1,1,1.0,"[0, 3, 1, 0, 1]",420.0,[3 3 2 1 1],,113.0,False,False,False,False,False
8,1,2,1.0,"[1, 0, 1, 0, 1]",165.0,[3 3 2 1 1],165.0,319.0,False,True,False,False,True
8,2,1,0.9,"[0, 3, 1, 0, 1]",378.0,[3 3 2 1 1],378.0,101.7,False,False,False,False,False
8,2,2,0.9,"[0, 3, 1, 0, 1]",348.3,[3 3 2 1 1],348.3,287.1,False,False,False,False,False
9,1,1,1.0,"[0, 1, 6, 0, 0]",404.0,[1 2 7 2 1],,422.0,False,True,False,False,False
