game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 2, 1, 0, 1]",439.0,[1 2 4 2 3],,526.0,False,True,False,False,False
0,1,2,1.0,"[1, 2, 1, 0, 1]",176.0,[1 2 4 2 3],176.0,1.0,False,False,False,False,False
0,2,1,0.9,"[0, 2, 1, 0, 1]",395.1,[1 2 4 2 3],395.1,473.40000000000003,False,True,False,False,False
0,2,2,0.9,"[1, 2, 1, 0, 2]",207.9,[1 2 4 2 3],207.9,0.9,False,False,False,False,False
0,3,1,0.81,[],,[1 2 4 2 3],,,,,,,
1,1,1,1.0,"[2, 0, 2, 2, 1]",690.0,[4 1 8 4 3],,193.0,False,False,False,False,False
1,1,2,1.0,"[1, 0, 3, 3, 1]",446.0,[4 1 8 4 3],446.0,346.0,False,False,False,False,False
1,2,1,0.9,"[2, 0, 2, 2, 1]",621.0,[4 1 8 4 3],621.0,173.70000000000002,False,False,False,False,False
1,2,2,0.9,"[2, 0, 2, 2, 1]",387.90000000000003,[4 1 8 4 3],387.90000000000003,311.40000000000003,False,False,False,False,False
2,1,1,1.0,"[1, 2, 0, 4, 0]",576.0,[5 3 2 5 1],,504.0,False,False,False,False,False
2,1,2,1.0,"[3, 0, 0, 3, 0]",291.0,[5 3 2 5 1],291.0,35.0,False,False,False,False,True
2,2,1,0.9,"[1, 2, 0, 4, 1]",474.3,[5 3 2 5 1],474.3,453.6,False,False,False,False,True
2,2,2,0.9,"[1, 2, 0, 4, 1]",386.1,[5 3 2 5 1],386.1,31.5,False,False,False,False,False
3,1,1,1.0,"[1, 2, 3, 1, 1]",666.0,[2 6 4 2 4],,445.0,False,False,False,False,False
3,1,2,1.0,"[0, 2, 1, 2, 3]",296.0,[2 6 4 2 4],296.0,687.0,False,True,False,False,True
3,2,1,0.9,"[1, 1, 3, 1, 1]",663.3000000000001,[2 6 4 2 4],663.3000000000001,400.5,False,False,False,False,False
3,2,2,0.9,"[0, 2, 1, 2, 1]",208.8,[2 6 4 2 4],208.8,618.3000000000001,False,True,False,False,True
3,3,1,0.81,[],,[2 6 4 2 4],,,,,,,
4,1,1,1.0,"[0, 2, 0, 1, 2]",761.0,[1 5 2 4 2],,951.0,False,True,False,False,False
4,1,2,1.0,"[0, 1, 2, 1, 2]",315.0,[1 5 2 4 2],315.0,913.0,False,True,False,False,False
4,2,1,0.9,[],,[1 5 2 4 2],,,,,,,
5,1,1,1.0,"[3, 1, 3, 1, 0]",597.0,[5 3 4 4 2],,366.0,False,False,False,False,False
5,1,2,1.0,"[2, 0, 3, 3, 0]",163.0,[5 3 4 4 2],163.0,990.0,False,True,False,False,True
5,2,1,0.9,"[2, 1, 1, 1, 0]",619.2,[5 3 4 4 2],619.2,329.40000000000003,False,False,False,False,False
6,1,1,1.0,"[2, 2, 4, 1, 2]",903.0,[2 8 6 4 3],,871.0,False,False,False,False,False
6,1,2,1.0,"[0, 3, 4, 2, 1]",528.0,[2 8 6 4 3],528.0,654.0,False,True,False,False,True
6,2,1,0.9,"[0, 2, 2, 1, 1]",929.7,[2 8 6 4 3],929.7,783.9,False,False,False,False,False
7,1,1,1.0,"[1, 2, 1, 1, 0]",333.0,[1 3 1 3 2],,1.0,False,False,False,False,False
7,1,2,1.0,"[0, 1, 1, 1, 2]",305.0,[1 3 1 3 2],305.0,235.0,False,False,False,False,True
7,2,1,0.9,"[0, 2, 1, 1, 1]",247.5,[1 3 1 3 2],247.5,0.9,False,False,False,False,False
7,2,2,0.9,"[0, 1, 0, 1, 1]",200.70000000000002,[1 3 1 3 2],200.70000000000002,211.5,False,True,False,False,True
7,3,1,0.81,"[0, 1, 0, 1, 1]",269.73,[1 3 1 3 2],269.73,0.81,False,False,False,False,True
8,1,1,1.0,"[1, 2, 2, 0, 3]",609.0,[5 2 3 2 3],,833.0,False,True,False,False,False
8,1,2,1.0,"[2, 0, 2, 2, 0]",104.0,[5 2 3 2 3],104.0,589.0,False,True,False,False,True
8,2,1,0.9,"[1, 2, 1, 0, 3]",606.6,[5 2 3 2 3],606.6,749.7,False,True,False,False,False
8,2,2,0.9,"[4, 0, 2, 2, 0]",126.0,[5 2 3 2 3],126.0,530.1,False,True,False,False,True
8,3,1,0.81,[],,[5 2 3 2 3],,,,,,,
9,1,1,1.0,"[1, 2, 0, 1, 1]",429.0,[3 5 1 1 2],,77.0,False,False,False,False,False
9,1,2,1.0,"[1, 3, 0, 0, 1]",332.0,[3 5 1 1 2],332.0,947.0,False,True,False,False,True
9,2,1,0.9,"[1, 2, 0, 1, 0]",424.8,[3 5 1 1 2],424.8,69.3,False,False,False,False,False
10,1,1,1.0,"[5, 4, 2, 4, 2]",808.0,[6 5 9 9 3],,204.0,False,False,False,False,False
10,1,2,1.0,"[5, 0, 7, 4, 2]",658.0,[6 5 9 9 3],658.0,672.0,False,True,False,False,True
10,2,1,0.9,"[3, 5, 2, 5, 3]",720.0,[6 5 9 9 3],720.0,183.6,False,False,False,False,False
10,2,2,0.9,"[3, 5, 2, 5, 3]",1017.9,[6 5 9 9 3],1017.9,604.8000000000001,False,False,False,False,False
11,1,1,1.0,"[2, 2, 0, 0, 1]",511.0,[4 4 0 5 1],,288.0,False,False,False,False,False
11,1,2,1.0,"[1, 2, 0, 2, 0]",175.0,[4 4 0 5 1],175.0,465.0,False,True,False,False,True
11,2,1,0.9,"[1, 2, 0, 2, 1]",433.8,[4 4 0 5 1],433.8,259.2,False,False,False,False,True
12,1,1,1.0,"[1, 0, 0, 4, 1]",514.0,[3 0 1 6 5],,415.0,False,False,False,False,False
12,1,2,1.0,"[2, 0, 1, 2, 2]",382.0,[3 0 1 6 5],382.0,452.0,False,True,False,False,True
12,2,1,0.9,"[1, 0, 0, 3, 1]",478.8,[3 0 1 6 5],478.8,373.5,False,False,False,False,False
12,2,2,0.9,"[1, 0, 0, 2, 2]",332.1,[3 0 1 6 5],332.1,406.8,False,True,False,False,True
12,3,1,0.81,[],,[3 0 1 6 5],,,,,,,
13,1,1,1.0,"[2, 2, 4, 3, 0]",902.0,[7 5 5 4 1],,523.0,False,False,False,False,False
13,1,2,1.0,"[4, 2, 1, 3, 0]",332.0,[7 5 5 4 1],332.0,515.0,False,True,False,False,True
13,2,1,0.9,"[4, 2, 1, 3, 0]",725.4,[7 5 5 4 1],725.4,470.7,False,False,False,False,True
14,1,1,1.0,"[1, 1, 3, 1, 2]",1192.0,[2 5 4 5 8],,422.0,False,False,False,False,False
14,1,2,1.0,"[1, 1, 4, 4, 3]",335.0,[2 5 4 5 8],335.0,281.0,False,False,False,False,False
14,2,1,0.9,"[1, 2, 3, 2, 3]",855.9,[2 5 4 5 8],855.9,379.8,False,False,False,False,True
14,2,2,0.9,"[0, 1, 3, 4, 3]",245.70000000000002,[2 5 4 5 8],245.70000000000002,252.9,False,True,False,False,True
14,3,1,0.81,"[0, 1, 3, 4, 3]",744.3900000000001,[2 5 4 5 8],744.3900000000001,341.82000000000005,False,False,False,False,True
15,1,1,1.0,"[0, 1, 2, 4, 4]",1049.0,[2 5 7 5 5],,664.0,False,False,False,False,False
15,1,2,1.0,"[2, 4, 5, 1, 1]",112.0,[2 5 7 5 5],112.0,539.0,False,True,False,False,True
15,2,1,0.9,"[0, 1, 2, 4, 4]",944.1,[2 5 7 5 5],944.1,597.6,False,False,False,False,False
16,1,1,1.0,"[3, 1, 0, 0, 1]",350.0,[4 1 0 0 5],,454.0,False,True,False,False,False
16,1,2,1.0,"[1, 0, 0, 0, 0]",10.0,[4 1 0 0 5],10.0,929.0,False,True,False,False,True
16,2,1,0.9,"[2, 0, 0, 0, 3]",186.3,[4 1 0 0 5],186.3,408.6,False,True,False,False,True
17,1,1,1.0,"[3, 3, 0, 0, 1]",864.0,[4 3 3 1 8],,887.0,False,True,False,False,False
17,1,2,1.0,"[3, 1, 1, 1, 2]",480.0,[4 3 3 1 8],480.0,413.0,False,False,False,False,False
17,2,1,0.9,"[1, 2, 0, 0, 3]",761.4,[4 3 3 1 8],761.4,798.3000000000001,False,True,False,False,False
17,2,2,0.9,"[3, 1, 1, 1, 2]",432.0,[4 3 3 1 8],432.0,371.7,False,False,False,False,True
17,3,1,0.81,[],,[4 3 3 1 8],,,,,,,
18,1,1,1.0,"[0, 2, 0, 3, 2]",715.0,[3 5 2 4 4],,583.0,False,False,False,False,False
18,1,2,1.0,"[2, 1, 1, 3, 2]",221.0,[3 5 2 4 4],221.0,412.0,False,True,False,False,False
18,2,1,0.9,"[0, 1, 0, 3, 3]",652.5,[3 5 2 4 4],652.5,524.7,False,False,False,False,False
18,2,2,0.9,"[1, 2, 1, 2, 2]",227.70000000000002,[3 5 2 4 4],227.70000000000002,370.8,False,True,False,False,False
18,3,1,0.81,[],,[3 5 2 4 4],,,,,,,
19,1,1,1.0,"[3, 3, 0, 2, 1]",530.0,[4 5 0 3 4],,6.0,False,False,False,False,False
19,1,2,1.0,"[4, 2, 0, 3, 3]",271.0,[4 5 0 3 4],271.0,188.0,False,False,False,False,True
19,2,1,0.9,"[3, 2, 0, 2, 1]",534.6,[4 5 0 3 4],534.6,5.4,False,False,False,False,False
19,2,2,0.9,"[4, 1, 0, 2, 3]",160.20000000000002,[4 5 0 3 4],160.20000000000002,169.20000000000002,False,True,False,False,True
19,3,1,0.81,"[4, 1, 0, 2, 3]",323.19,[4 5 0 3 4],323.19,4.86,False,False,False,False,True
20,1,1,1.0,"[0, 1, 0, 5, 0]",844.0,[5 4 0 5 2],,157.0,False,False,False,False,False
20,1,2,1.0,"[5, 0, 0, 0, 2]",143.0,[5 4 0 5 2],143.0,687.0,False,True,False,False,True
20,2,1,0.9,"[1, 3, 0, 4, 1]",519.3000000000001,[5 4 0 5 2],519.3000000000001,141.3,False,False,False,False,False
21,1,1,1.0,"[2, 1, 2, 3, 3]",1017.0,[3 4 6 6 6],,110.0,False,False,False,False,False
21,1,2,1.0,"[1, 3, 4, 3, 2]",533.0,[3 4 6 6 6],533.0,3.0,False,False,False,False,True
21,2,1,0.9,"[1, 1, 3, 3, 3]",851.4,[3 4 6 6 6],851.4,99.0,False,False,False,False,False
21,2,2,0.9,"[1, 3, 3, 4, 2]",466.2,[3 4 6 6 6],466.2,2.7,False,False,False,False,True
21,3,1,0.81,"[1, 3, 3, 4, 2]",607.5,[3 4 6 6 6],607.5,89.10000000000001,False,False,False,False,True
22,1,1,1.0,"[2, 1, 2, 1, 2]",895.0,[7 2 3 4 4],,339.0,False,False,False,False,False
22,1,2,1.0,"[5, 0, 1, 1, 2]",306.0,[7 2 3 4 4],306.0,710.0,False,True,False,False,True
22,2,1,0.9,"[3, 1, 2, 1, 2]",726.3000000000001,[7 2 3 4 4],726.3000000000001,305.1,False,False,False,False,False
22,2,2,0.9,"[4, 0, 1, 1, 2]",255.6,[7 2 3 4 4],255.6,639.0,False,True,False,False,True
22,3,1,0.81,"[4, 0, 1, 1, 2]",643.95,[7 2 3 4 4],643.95,274.59000000000003,False,False,False,False,True
23,1,1,1.0,"[1, 4, 2, 1, 1]",803.0,[4 5 6 4 4],,380.0,False,False,False,False,False
23,1,2,1.0,"[3, 2, 4, 1, 1]",268.0,[4 5 6 4 4],268.0,687.0,False,True,False,False,True
23,2,1,0.9,"[1, 3, 2, 2, 1]",693.0,[4 5 6 4 4],693.0,342.0,False,False,False,False,False
24,1,1,1.0,"[1, 1, 4, 4, 2]",868.0,[6 4 5 5 5],,645.0,False,False,False,False,False
