game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
0,1,1,1,False,False,True,True,True,False,True
0,1,2,2,True,False,True,True,True,False,True
1,1,1,1,True,False,True,True,True,True,True
1,1,2,2,True,False,True,True,True,True,True
2,1,1,1,False,False,True,True,True,True,True
2,1,2,2,False,False,True,True,True,True,True
3,1,1,1,True,False,True,True,True,True,True
3,1,2,2,True,False,True,True,True,True,True
4,1,1,1,True,False,False,False,False,True,True
4,1,2,2,False,False,False,False,False,True,True
4,2,1,1,True,False,False,False,False,True,True
4,2,2,2,False,False,False,False,False,True,True
5,1,1,1,False,False,False,False,False,False,True
5,1,2,2,True,False,False,False,False,False,True
5,2,1,1,True,False,True,False,True,False,True
5,2,2,2,True,False,True,False,True,False,True
6,1,1,1,True,False,True,True,True,True,True
6,1,2,2,True,False,True,True,True,True,True
7,1,1,1,False,False,False,False,False,True,True
7,1,2,2,True,False,False,False,False,True,True
7,2,1,1,True,False,True,True,True,True,True
7,2,2,2,True,False,True,True,True,True,True
8,1,1,1,True,False,False,False,False,True,True
8,1,2,2,False,False,False,False,False,True,True
9,1,1,1,True,False,False,False,False,True,True
9,1,2,2,False,False,False,False,False,True,True
10,1,1,1,True,False,True,True,True,True,True
10,1,2,2,True,False,True,True,True,True,True
11,1,1,1,False,False,True,True,True,False,True
11,1,2,2,True,False,True,True,True,False,True
12,1,1,1,True,False,True,True,True,True,True
12,1,2,2,True,False,True,True,True,True,True
13,1,1,1,True,False,False,False,False,False,True
13,1,2,2,False,False,False,False,False,False,True
14,1,1,1,True,False,False,False,False,True,True
14,1,2,2,False,False,False,False,False,True,True
15,1,1,1,True,False,True,True,True,True,True
15,1,2,2,True,False,True,True,True,True,True
18,1,1,1,False,False,True,True,True,False,True
18,1,2,2,True,False,True,True,True,False,True
19,1,1,1,True,False,True,True,True,True,True
19,1,2,2,True,False,True,True,True,True,True
20,1,1,1,True,False,False,False,False,True,True
20,1,2,2,False,False,False,False,False,True,True
20,2,1,1,True,False,False,False,False,True,True
20,2,2,2,False,False,False,False,False,True,True
21,1,1,1,True,False,False,False,False,False,True
21,1,2,2,False,False,False,False,False,False,True
22,1,1,1,True,False,False,False,False,True,True
22,1,2,2,False,False,False,False,False,True,True
23,1,1,1,True,False,True,True,True,True,True
23,1,2,2,True,False,True,True,True,True,True
24,1,1,1,True,False,False,False,False,False,True
24,1,2,2,False,False,False,False,False,False,True
25,1,1,1,True,False,True,True,True,True,True
25,1,2,2,True,False,True,True,True,True,True
26,1,1,1,True,False,True,True,True,True,True
26,1,2,2,True,False,True,True,True,True,True
27,1,1,1,True,False,True,False,False,False,True
27,1,2,2,False,False,True,False,False,False,True
28,1,1,1,True,False,True,True,True,True,True
28,1,2,2,False,False,True,True,True,True,True
29,1,1,1,True,False,True,True,True,True,True
29,1,2,2,True,False,True,True,True,True,True
30,1,1,1,False,False,False,False,False,True,True
30,1,2,2,True,False,False,False,False,True,True
30,2,1,1,True,False,False,False,False,True,True
30,2,2,2,False,False,False,False,False,True,True
30,3,1,1,True,False,True,True,True,True,True
30,3,2,2,True,False,True,True,True,True,True
32,1,1,1,True,False,True,True,True,True,True
32,1,2,2,True,False,True,True,True,True,True
33,1,1,1,False,False,False,False,False,True,True
33,1,2,2,False,False,False,False,False,True,True
34,1,1,1,True,False,True,True,True,True,True
34,1,2,2,True,False,True,True,True,True,True
36,1,1,1,True,False,False,False,False,False,True
36,1,2,2,False,False,False,False,False,False,True
37,1,1,1,True,False,False,False,False,True,True
37,1,2,2,False,False,False,False,False,True,True
39,1,1,1,False,False,False,False,False,True,True
39,1,2,2,True,False,False,False,False,True,True
40,1,1,1,True,False,False,False,False,False,True
40,1,2,2,False,False,False,False,False,False,True
41,1,1,1,True,False,False,False,False,True,True
41,1,2,2,False,False,False,False,False,True,True
42,1,1,1,True,False,True,True,True,False,True
42,1,2,2,True,False,True,True,True,False,True
43,1,1,1,True,False,True,True,True,True,True
43,1,2,2,True,False,True,True,True,True,True
44,1,1,1,True,False,False,False,False,False,True
44,1,2,2,False,False,False,False,False,False,True
45,1,1,1,True,False,False,False,False,True,True
45,1,2,2,False,False,False,False,False,True,True
46,1,1,1,True,False,True,True,True,True,True
46,1,2,2,True,False,True,True,True,True,True
47,1,1,1,False,False,False,False,False,False,True
47,1,2,2,True,False,False,False,False,False,True
47,2,1,1,False,False,True,True,True,False,True
47,2,2,2,False,False,True,True,True,False,True
48,1,1,1,True,False,False,False,False,True,True
48,1,2,2,False,False,False,False,False,True,True
48,2,1,1,True,False,True,True,True,True,True
48,2,2,2,True,False,True,True,True,True,True
49,1,1,1,False,False,False,False,False,False,True
49,1,2,2,True,False,False,False,False,False,True
50,1,1,1,True,False,True,True,True,True,True
50,1,2,2,True,False,True,True,True,True,True
51,1,1,1,True,False,False,False,False,False,True
51,1,2,2,False,False,False,False,False,False,True
52,1,1,1,True,False,True,True,True,False,True
52,1,2,2,True,False,True,True,True,False,True
53,1,1,1,True,False,True,True,True,False,True
53,1,2,2,True,False,True,True,True,False,True
54,1,1,1,True,False,False,False,False,True,True
54,1,2,2,False,False,False,False,False,True,True
55,1,1,1,True,False,True,True,True,False,True
55,1,2,2,True,False,True,True,True,False,True
57,1,1,1,True,False,False,False,False,True,True
57,1,2,2,False,False,False,False,False,True,True
