game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 2, 5, 3, 1]",1118.0,[2 9 7 9 2],,761.0,False,False,False,False,False
0,1,2,1.0,"[1, 2, 2, 2, 1]",1547.1000000000001,[2 9 7 9 2],1547.1000000000001,1911.6000000000001,False,True,False,False,False
0,2,1,0.9,"[0, 3, 5, 3, 0]",1031.4,[2 9 7 9 2],1031.4,684.9,False,False,False,False,False
1,1,1,1.0,"[4, 3, 1, 2, 0]",670.0,[7 7 2 7 0],,648.0,False,False,False,False,False
2,1,1,1.0,"[2, 2, 1, 2, 3]",1148.0,[5 6 3 5 8],,800.0,False,False,False,False,False
2,1,2,1.0,"[2, 4, 1, 2, 5]",479.7,[5 6 3 5 8],479.7,380.7,False,False,False,False,False
2,2,1,0.9,"[2, 4, 1, 2, 5]",869.4,[5 6 3 5 8],,720.0,False,False,False,False,False
3,1,1,1.0,"[4, 1, 1, 3, 3]",424.0,[6 4 2 5 4],,75.0,False,False,False,False,False
3,1,2,1.0,"[4, 1, 1, 3, 3]",768.0,[6 4 2 5 4],,468.0,False,False,False,False,False
4,1,1,1.0,"[1, 2, 2, 2, 1]",496.0,[5 6 8 6 5],,506.0,False,True,False,False,False
5,1,1,1.0,"[4, 3, 1, 2, 0]",619.0,[8 5 3 3 1],,248.0,False,False,False,False,False
5,1,2,1.0,"[4, 3, 1, 2, 0]",575.0,[8 5 3 3 1],,510.0,False,False,False,False,False
6,1,1,1.0,"[2, 3, 0, 1, 1]",624.0,[5 5 2 4 3],,57.0,False,False,False,False,False
6,1,2,1.0,"[2, 1, 1, 3, 2]",639.0,[5 5 2 4 3],639.0,349.2,False,False,False,False,False
6,2,1,0.9,"[2, 1, 1, 3, 2]",448.2,[5 5 2 4 3],,51.300000000000004,False,False,False,False,False
7,1,1,1.0,"[2, 3, 1, 1, 2]",840.0,[4 7 3 2 6],,688.0,False,False,False,False,False
7,1,2,1.0,"[2, 4, 1, 1, 3]",573.3000000000001,[4 7 3 2 6],573.3000000000001,13.5,False,False,False,False,False
7,2,1,0.9,"[2, 3, 1, 1, 2]",756.0,[4 7 3 2 6],756.0,619.2,False,False,False,False,False
7,2,2,0.9,"[2, 3, 1, 1, 2]",422.1,[4 7 3 2 6],,13.5,False,False,False,False,False
8,1,1,1.0,"[2, 4, 2, 1, 1]",958.0,[4 5 9 4 4],,1261.0,False,True,False,False,False
8,1,2,1.0,"[3, 4, 2, 1, 1]",1065.6000000000001,[4 5 9 4 4],1065.6000000000001,587.7,False,False,False,False,False
8,2,1,0.9,[],,[4 5 9 4 4],,,,,,,
9,1,1,1.0,"[2, 3, 3, 1, 2]",1012.0,[4 4 4 4 8],,932.0,False,False,False,False,False
10,1,1,1.0,"[1, 1, 0, 1, 1]",461.0,[2 2 0 4 4],,174.0,False,False,False,False,False
10,1,2,1.0,"[0, 0, 0, 1, 1]",625.5,[2 2 0 4 4],625.5,437.40000000000003,False,False,False,False,False
10,2,1,0.9,"[1, 1, 0, 1, 1]",414.90000000000003,[2 2 0 4 4],414.90000000000003,156.6,False,False,False,False,False
11,1,1,1.0,"[3, 1, 3, 0, 0]",519.0,[5 3 4 2 3],,475.0,False,False,False,False,False
11,1,2,1.0,"[2, 2, 1, 2, 1]",607.5,[5 3 4 2 3],607.5,648.0,False,True,False,False,False
11,2,1,0.9,"[2, 1, 3, 0, 0]",487.8,[5 3 4 2 3],487.8,427.5,False,False,False,False,False
12,1,1,1.0,"[1, 2, 3, 2, 0]",1010.0,[6 6 8 6 1],,1232.0,False,True,False,False,False
13,1,1,1.0,"[2, 0, 1, 0, 2]",539.0,[4 3 2 2 5],,504.0,False,False,False,False,False
13,1,2,1.0,"[2, 2, 1, 2, 1]",531.9,[4 3 2 2 5],531.9,440.1,False,False,False,False,False
13,2,1,0.9,[],,[4 3 2 2 5],,,,,,,
