game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,[],,[3 2 7 1 2],,,,,,,
1,1,1,1.0,[],,[3 2 4 2 4],,,,,,,
2,1,1,1.0,[],,[2 1 4 3 4],,,,,,,
3,1,1,1.0,[],,[6 2 4 7 2],,,,,,,
4,1,1,1.0,[],,[3 3 1 3 2],,,,,,,
5,1,1,1.0,[],,[3 2 4 4 5],,,,,,,
6,1,1,1.0,[],,[5 8 4 7 3],,,,,,,
7,1,1,1.0,[],,[4 2 6 3 2],,,,,,,
8,1,1,1.0,[],,[2 5 2 4 6],,,,,,,
9,1,1,1.0,[],,[ 3  6  2  4 11],,,,,,,
10,1,1,1.0,[],,[6 2 3 6 0],,,,,,,
11,1,1,1.0,[],,[3 4 4 5 4],,,,,,,
12,1,1,1.0,[],,[3 5 4 8 6],,,,,,,
13,1,1,1.0,[],,[1 3 4 5 3],,,,,,,
14,1,1,1.0,[],,[3 3 4 2 1],,,,,,,
15,1,1,1.0,[],,[ 5  4  8  0 12],,,,,,,
16,1,1,1.0,[],,[6 7 5 5 5],,,,,,,
17,1,1,1.0,[],,[3 3 3 4 3],,,,,,,
18,1,1,1.0,[],,[6 5 5 2 3],,,,,,,
19,1,1,1.0,[],,[3 5 4 4 5],,,,,,,
20,1,1,1.0,[],,[8 2 1 6 3],,,,,,,
21,1,1,1.0,[],,[2 4 5 6 5],,,,,,,
22,1,1,1.0,[],,[3 3 7 3 5],,,,,,,
23,1,1,1.0,[],,[6 6 2 2 5],,,,,,,
24,1,1,1.0,[],,[3 1 3 8 6],,,,,,,
25,1,1,1.0,[],,[3 3 0 5 4],,,,,,,
26,1,1,1.0,[],,[7 3 2 4 5],,,,,,,
27,1,1,1.0,[],,[2 4 6 4 7],,,,,,,
28,1,1,1.0,[],,[11  1  6  2  6],,,,,,,
29,1,1,1.0,[],,[7 6 6 7 5],,,,,,,
