game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 4, 1, 2, 1]",761.0,[2 8 2 5 3],,623.0,False,False,False,False,False
0,1,2,1.0,"[1, 3, 1, 3, 1]",529.0,[2 8 2 5 3],529.0,565.0,False,True,True,False,True
0,2,1,0.9,"[1, 4, 1, 2, 1]",684.9,[2 8 2 5 3],684.9,560.7,False,False,True,False,True
0,2,2,0.9,"[1, 3, 1, 3, 1]",476.1,[2 8 2 5 3],476.1,508.5,False,True,True,False,True
0,3,1,0.81,[],,[2 8 2 5 3],,,,,,,
1,1,1,1.0,"[0, 2, 0, 3, 0]",496.0,[1 5 2 6 1],,556.0,False,True,False,False,False
1,1,2,1.0,"[1, 3, 1, 4, 1]",468.0,[1 5 2 6 1],468.0,147.0,False,False,False,False,False
1,2,1,0.9,"[0, 2, 1, 3, 0]",364.5,[1 5 2 6 1],364.5,500.40000000000003,False,True,False,False,False
1,2,2,0.9,"[1, 2, 1, 4, 0]",361.8,[1 5 2 6 1],361.8,132.3,False,False,False,False,False
1,3,1,0.81,"[0, 3, 1, 3, 0]",303.75,[1 5 2 6 1],303.75,450.36,False,True,False,False,False
2,1,1,1.0,"[1, 1, 2, 4, 2]",270.0,[3 3 4 7 4],,707.0,False,True,False,False,False
2,1,2,1.0,"[2, 1, 1, 3, 2]",509.0,[3 3 4 7 4],509.0,435.0,False,False,False,False,True
2,2,1,0.9,"[1, 2, 2, 3, 1]",241.20000000000002,[3 3 4 7 4],241.20000000000002,636.3000000000001,False,True,False,False,True
2,2,2,0.9,"[2, 1, 1, 4, 2]",517.5,[3 3 4 7 4],517.5,391.5,False,False,False,False,False
2,3,1,0.81,[],,[3 3 4 7 4],,,,,,,
3,1,1,1.0,"[1, 1, 2, 2, 2]",327.0,[3 2 4 3 3],,406.0,False,True,False,False,False
3,1,2,1.0,"[2, 0, 1, 1, 1]",214.0,[3 2 4 3 3],214.0,258.0,False,True,False,False,True
3,2,1,0.9,"[1, 1, 2, 2, 1]",297.90000000000003,[3 2 4 3 3],297.90000000000003,365.40000000000003,False,True,False,False,True
3,2,2,0.9,"[2, 0, 1, 1, 2]",208.8,[3 2 4 3 3],208.8,232.20000000000002,False,True,False,False,True
3,3,1,0.81,[],,[3 2 4 3 3],,,,,,,
4,1,1,1.0,"[0, 3, 2, 4, 1]",693.0,[3 5 3 7 2],,946.0,False,True,False,False,False
4,1,2,1.0,"[2, 1, 1, 3, 0]",393.0,[3 5 3 7 2],393.0,859.0,False,True,False,False,True
4,2,1,0.9,"[1, 2, 1, 3, 1]",654.3000000000001,[3 5 3 7 2],654.3000000000001,851.4,False,True,False,False,True
4,2,2,0.9,"[2, 1, 1, 4, 0]",384.3,[3 5 3 7 2],384.3,773.1,False,True,False,False,False
4,3,1,0.81,[],,[3 5 3 7 2],,,,,,,
5,1,1,1.0,"[2, 0, 2, 1, 2]",751.0,[4 1 4 4 5],,210.0,False,False,False,False,False
5,1,2,1.0,"[1, 0, 3, 0, 3]",472.0,[4 1 4 4 5],472.0,357.0,False,False,True,False,True
5,2,1,0.9,"[2, 0, 2, 2, 1]",647.1,[4 1 4 4 5],647.1,189.0,False,False,True,False,True
5,2,2,0.9,"[1, 0, 3, 1, 2]",431.1,[4 1 4 4 5],431.1,321.3,False,False,True,False,True
5,3,1,0.81,"[2, 0, 2, 2, 1]",582.39,[4 1 4 4 5],582.39,170.10000000000002,False,False,True,False,True
6,1,1,1.0,"[4, 3, 4, 1, 1]",771.0,[9 7 8 2 3],,549.0,False,False,False,False,False
6,1,2,1.0,"[3, 2, 5, 1, 0]",422.0,[9 7 8 2 3],422.0,810.0,False,True,True,False,True
6,2,1,0.9,"[5, 4, 3, 1, 2]",576.0,[9 7 8 2 3],576.0,494.1,False,False,True,False,True
6,2,2,0.9,"[4, 3, 4, 1, 1]",537.3000000000001,[9 7 8 2 3],537.3000000000001,729.0,False,True,True,False,True
6,3,1,0.81,"[4, 3, 4, 1, 1]",624.51,[9 7 8 2 3],624.51,444.69000000000005,False,False,False,False,True
7,1,1,1.0,"[1, 2, 3, 0, 2]",553.0,[3 4 5 3 4],,942.0,False,True,False,False,False
7,1,2,1.0,"[2, 1, 2, 1, 3]",401.0,[3 4 5 3 4],401.0,197.0,False,False,False,False,True
7,2,1,0.9,"[1, 2, 4, 0, 1]",490.5,[3 4 5 3 4],490.5,847.8000000000001,False,True,False,False,False
7,2,2,0.9,"[2, 1, 3, 1, 2]",426.6,[3 4 5 3 4],426.6,177.3,False,False,False,False,True
7,3,1,0.81,[],,[3 4 5 3 4],,,,,,,
8,1,1,1.0,"[3, 1, 2, 2, 2]",387.0,[6 2 4 3 4],,994.0,False,True,False,False,False
8,1,2,1.0,"[2, 1, 1, 1, 2]",387.0,[6 2 4 3 4],387.0,338.0,False,False,False,False,True
8,2,1,0.9,"[3, 1, 2, 1, 2]",353.7,[6 2 4 3 4],353.7,894.6,False,True,False,False,True
8,2,2,0.9,"[2, 1, 1, 2, 1]",358.2,[6 2 4 3 4],358.2,304.2,False,False,False,False,True
8,3,1,0.81,[],,[6 2 4 3 4],,,,,,,
9,1,1,1.0,"[2, 1, 0, 4, 0]",636.0,[5 4 2 5 2],,200.0,False,False,False,False,False
9,1,2,1.0,"[3, 2, 1, 1, 1]",216.0,[5 4 2 5 2],216.0,262.0,False,True,True,False,True
9,2,1,0.9,"[2, 1, 0, 3, 1]",503.1,[5 4 2 5 2],503.1,180.0,False,False,True,False,False
9,2,2,0.9,"[3, 2, 1, 2, 0]",237.6,[5 4 2 5 2],237.6,235.8,False,False,True,False,True
9,3,1,0.81,"[2, 1, 0, 3, 1]",452.79,[5 4 2 5 2],452.79,162.0,False,False,True,False,False
10,1,1,1.0,"[2, 3, 2, 2, 4]",719.0,[4 6 4 4 8],,289.0,False,False,False,False,False
10,1,2,1.0,"[1, 2, 1, 1, 3]",387.0,[4 6 4 4 8],387.0,150.0,False,False,True,False,True
10,2,1,0.9,"[1, 3, 2, 2, 5]",648.0,[4 6 4 4 8],648.0,260.1,False,False,True,False,True
10,2,2,0.9,"[2, 2, 1, 1, 4]",426.6,[4 6 4 4 8],426.6,135.0,False,False,True,False,True
10,3,1,0.81,"[1, 3, 2, 2, 5]",583.2,[4 6 4 4 8],583.2,234.09,False,False,True,False,True
11,1,1,1.0,"[3, 2, 1, 1, 2]",393.0,[6 3 2 2 4],,821.0,False,True,False,False,False
11,1,2,1.0,"[2, 1, 1, 0, 2]",379.0,[6 3 2 2 4],379.0,988.0,False,True,False,False,True
11,2,1,0.9,"[2, 1, 0, 1, 1]",526.5,[6 3 2 2 4],526.5,738.9,False,True,False,False,False
11,2,2,0.9,"[3, 0, 1, 0, 2]",297.0,[6 3 2 2 4],297.0,889.2,False,True,False,False,False
11,3,1,0.81,[],,[6 3 2 2 4],,,,,,,
12,1,1,1.0,"[2, 3, 1, 1, 1]",586.0,[4 7 4 2 3],,78.0,False,False,False,False,False
12,1,2,1.0,"[1, 2, 2, 1, 0]",373.0,[4 7 4 2 3],373.0,102.0,False,False,True,False,True
12,2,1,0.9,"[2, 4, 1, 1, 1]",481.5,[4 7 4 2 3],481.5,70.2,False,False,True,False,True
12,2,2,0.9,"[1, 3, 2, 1, 0]",409.5,[4 7 4 2 3],409.5,91.8,False,False,True,False,True
12,3,1,0.81,"[1, 4, 1, 1, 1]",448.74,[4 7 4 2 3],448.74,63.18000000000001,False,False,True,False,True
13,1,1,1.0,"[0, 2, 0, 3, 4]",362.0,[3 2 1 3 5],,804.0,False,True,False,False,False
13,1,2,1.0,"[2, 0, 1, 0, 1]",310.0,[3 2 1 3 5],310.0,663.0,False,True,False,False,True
13,2,1,0.9,"[1, 2, 0, 2, 3]",281.7,[3 2 1 3 5],281.7,723.6,False,True,False,False,False
13,2,2,0.9,"[2, 0, 1, 1, 2]",345.6,[3 2 1 3 5],345.6,596.7,False,True,False,False,True
13,3,1,0.81,[],,[3 2 1 3 5],,,,,,,
14,1,1,1.0,"[3, 1, 1, 2, 1]",659.0,[7 3 2 4 3],,287.0,False,False,False,False,False
14,1,2,1.0,"[4, 2, 0, 1, 1]",253.0,[7 3 2 4 3],253.0,694.0,False,True,True,False,False
14,2,1,0.9,"[2, 1, 1, 2, 0]",709.2,[7 3 2 4 3],709.2,258.3,False,False,True,False,False
14,2,2,0.9,"[3, 1, 0, 2, 1]",183.6,[7 3 2 4 3],183.6,624.6,False,True,True,False,False
14,3,1,0.81,"[2, 1, 1, 2, 0]",638.2800000000001,[7 3 2 4 3],638.2800000000001,232.47000000000003,False,False,True,False,False
15,1,1,1.0,"[2, 1, 1, 2, 1]",673.0,[5 4 3 5 3],,547.0,False,False,False,False,False
15,1,2,1.0,"[3, 2, 2, 3, 2]",492.0,[5 4 3 5 3],492.0,906.0,False,True,False,False,False
15,2,1,0.9,"[2, 1, 1, 3, 1]",558.0,[5 4 3 5 3],558.0,492.3,False,False,True,False,False
15,2,2,0.9,"[2, 2, 1, 2, 2]",334.8,[5 4 3 5 3],334.8,815.4,False,True,False,False,False
15,3,1,0.81,"[3, 1, 1, 2, 1]",533.7900000000001,[5 4 3 5 3],533.7900000000001,443.07000000000005,False,False,True,False,False
16,1,1,1.0,"[2, 1, 3, 2, 3]",694.0,[5 3 6 4 6],,807.0,False,True,False,False,False
16,1,2,1.0,"[3, 2, 2, 1, 4]",897.0,[5 3 6 4 6],897.0,463.0,False,False,False,False,False
16,2,1,0.9,"[2, 1, 4, 2, 3]",566.1,[5 3 6 4 6],566.1,726.3000000000001,False,True,False,False,True
16,2,2,0.9,"[3, 2, 3, 1, 4]",892.8000000000001,[5 3 6 4 6],892.8000000000001,416.7,False,False,False,False,False
16,3,1,0.81,[],,[5 3 6 4 6],,,,,,,
17,1,1,1.0,"[2, 2, 4, 3, 0]",871.0,[4 4 9 7 1],,557.0,False,False,False,False,False
17,1,2,1.0,"[1, 1, 3, 2, 0]",363.0,[4 4 9 7 1],363.0,125.0,False,False,True,False,True
17,2,1,0.9,"[1, 2, 5, 4, 0]",745.2,[4 4 9 7 1],745.2,501.3,False,False,True,False,True
17,2,2,0.9,"[2, 1, 4, 3, 0]",468.0,[4 4 9 7 1],468.0,112.5,False,False,True,False,True
17,3,1,0.81,"[1, 2, 5, 4, 0]",670.6800000000001,[4 4 9 7 1],670.6800000000001,451.17,False,False,True,False,True
18,1,1,1.0,"[2, 0, 3, 1, 1]",235.0,[4 0 4 3 2],,886.0,False,True,False,False,False
18,1,2,1.0,"[1, 0, 2, 2, 1]",276.0,[4 0 4 3 2],276.0,500.0,False,True,False,False,True
18,2,1,0.9,"[2, 0, 1, 1, 1]",218.70000000000002,[4 0 4 3 2],218.70000000000002,797.4,False,True,False,False,True
18,2,2,0.9,"[1, 0, 2, 2, 1]",248.4,[4 0 4 3 2],248.4,450.0,False,True,False,False,False
18,3,1,0.81,[],,[4 0 4 3 2],,,,,,,
19,1,1,1.0,"[1, 2, 1, 1, 2]",520.0,[3 5 3 2 4],,62.0,False,False,False,False,False
19,1,2,1.0,"[2, 1, 1, 0, 2]",341.0,[3 5 3 2 4],341.0,396.0,False,True,True,False,True
19,2,1,0.9,"[1, 2, 2, 1, 1]",476.1,[3 5 3 2 4],476.1,55.800000000000004,False,False,True,False,True
19,2,2,0.9,"[2, 1, 1, 0, 3]",369.90000000000003,[3 5 3 2 4],369.90000000000003,356.40000000000003,False,False,True,False,True
19,3,1,0.81,[],,[3 5 3 2 4],,,,,,,
20,1,1,1.0,"[1, 2, 2, 3, 0]",209.0,[3 3 3 5 1],,861.0,False,True,False,False,False
20,1,2,1.0,"[2, 1, 1, 2, 0]",431.0,[3 3 3 5 1],431.0,202.0,False,False,False,False,True
20,2,1,0.9,"[0, 0, 0, 4, 0]",278.1,[3 3 3 5 1],278.1,774.9,False,True,False,False,False
20,2,2,0.9,"[1, 2, 2, 1, 0]",435.6,[3 3 3 5 1],435.6,181.8,False,False,False,False,False
20,3,1,0.81,[],,[3 3 3 5 1],,,,,,,
21,1,1,1.0,"[0, 0, 0, 0, 5]",774.0,[3 2 4 1 5],,583.0,False,False,False,False,False
21,1,2,1.0,"[3, 2, 4, 1, 0]",173.0,[3 2 4 1 5],173.0,92.0,False,False,False,False,True
21,2,1,0.9,"[1, 0, 2, 0, 4]",509.40000000000003,[3 2 4 1 5],509.40000000000003,524.7,False,True,False,False,False
21,2,2,0.9,"[2, 1, 3, 0, 1]",162.9,[3 2 4 1 5],162.9,82.8,False,False,False,False,True
21,3,1,0.81,"[1, 0, 2, 0, 3]",471.42,[3 2 4 1 5],471.42,472.23,False,True,False,False,False
22,1,1,1.0,"[1, 1, 2, 1, 3]",480.0,[3 3 4 2 6],,235.0,False,False,False,False,False
22,1,2,1.0,"[2, 3, 1, 0, 2]",316.0,[3 3 4 2 6],316.0,304.0,False,False,True,False,True
22,2,1,0.9,[],,[3 3 4 2 6],,,,,,,
23,1,1,1.0,"[0, 0, 4, 3, 4]",506.0,[3 1 4 3 7],,179.0,False,False,False,False,False
23,1,2,1.0,"[3, 0, 0, 0, 7]",772.0,[3 1 4 3 7],772.0,68.0,False,False,False,False,False
23,2,1,0.9,[],,[3 1 4 3 7],,,,,,,
24,1,1,1.0,"[5, 0, 0, 1, 1]",530.0,[11  0  0  2  3],,749.0,False,True,False,False,False
24,1,2,1.0,"[6, 0, 0, 2, 3]",462.0,[11  0  0  2  3],462.0,644.0,False,True,False,False,False
24,2,1,0.9,"[4, 0, 0, 1, 2]",465.3,[11  0  0  2  3],465.3,674.1,False,True,False,False,False
24,2,2,0.9,"[3, 0, 0, 1, 1]",205.20000000000002,[11  0  0  2  3],205.20000000000002,579.6,False,True,False,False,True
24,3,1,0.81,"[3, 0, 0, 1, 1]",524.88,[11  0  0  2  3],524.88,606.69,True,True,False,False,True
25,1,1,1.0,"[0, 0, 4, 0, 3]",228.0,[2 1 5 2 3],,983.0,False,True,False,False,False
26,1,1,1.0,[],,[3 4 3 4 5],,,,,,,
27,1,1,1.0,"[4, 0, 0, 0, 0]",909.0,[8 3 5 3 4],,282.0,False,False,False,False,False
27,1,2,1.0,"[7, 3, 5, 3, 4]",1254.0,[8 3 5 3 4],1254.0,865.0,False,False,False,False,False
28,1,1,1.0,[],,[ 4  1  1  4 10],,,,,,,
29,1,1,1.0,"[0, 0, 7, 0, 0]",390.0,[3 1 7 1 3],,760.0,False,True,False,False,False
29,1,2,1.0,"[3, 1, 0, 1, 3]",247.0,[3 1 7 1 3],247.0,523.0,False,True,False,False,True
29,2,1,0.9,"[0, 0, 6, 0, 0]",352.8,[3 1 7 1 3],352.8,684.0,False,True,False,False,False
30,1,1,1.0,"[0, 0, 0, 0, 5]",843.0,[5 4 3 1 5],,103.0,False,False,False,False,False
30,1,2,1.0,"[4, 3, 2, 0, 4]",948.0,[5 4 3 1 5],948.0,468.0,False,False,True,False,False
30,2,1,0.9,"[1, 2, 1, 0, 3]",564.3000000000001,[5 4 3 1 5],564.3000000000001,92.7,False,False,True,False,False
30,2,2,0.9,"[3, 1, 2, 0, 2]",566.1,[5 4 3 1 5],566.1,421.2,False,False,True,False,False
30,3,1,0.81,[],,[5 4 3 1 5],,,,,,,
31,1,1,1.0,"[0, 0, 0, 0, 6]",431.0,[3 5 3 0 7],,480.0,False,True,False,False,False
31,1,2,1.0,"[3, 4, 3, 0, 6]",685.0,[3 5 3 0 7],685.0,114.0,False,False,False,False,False
31,2,1,0.9,"[0, 4, 3, 0, 6]",139.5,[3 5 3 0 7],139.5,432.0,False,True,False,False,False
31,2,2,0.9,"[2, 4, 3, 0, 5]",549.0,[3 5 3 0 7],549.0,102.60000000000001,False,False,False,False,True
31,3,1,0.81,"[2, 4, 3, 0, 5]",188.73000000000002,[3 5 3 0 7],188.73000000000002,388.8,True,True,False,False,True
32,1,1,1.0,"[3, 2, 5, 2, 3]",700.0,[6 7 9 4 6],,187.0,False,False,False,False,False
32,1,2,1.0,"[4, 6, 7, 0, 4]",790.0,[6 7 9 4 6],790.0,341.0,False,False,True,False,False
32,2,1,0.9,"[2, 3, 4, 1, 2]",690.3000000000001,[6 7 9 4 6],690.3000000000001,168.3,False,False,True,False,False
32,2,2,0.9,"[4, 5, 6, 0, 3]",611.1,[6 7 9 4 6],611.1,306.90000000000003,False,False,True,False,False
32,3,1,0.81,"[2, 4, 5, 1, 2]",553.23,[6 7 9 4 6],553.23,151.47,False,False,True,False,False
33,1,1,1.0,"[0, 0, 0, 4, 3]",604.0,[2 5 3 4 3],,206.0,False,False,False,False,False
33,1,2,1.0,"[2, 4, 3, 0, 0]",336.0,[2 5 3 4 3],336.0,385.0,False,True,True,False,False
33,2,1,0.9,"[0, 5, 0, 4, 0]",295.2,[2 5 3 4 3],295.2,185.4,False,False,True,False,True
34,1,1,1.0,"[0, 0, 0, 0, 0]",605.0,[2 2 3 2 4],,890.0,False,True,False,True,False
34,1,2,1.0,"[2, 2, 3, 2, 4]",521.0,[2 2 3 2 4],521.0,801.0,False,True,False,True,False
34,2,1,0.9,"[1, 1, 1, 1, 2]",309.6,[2 2 3 2 4],309.6,801.0,False,True,False,False,False
34,2,2,0.9,"[0, 0, 3, 0, 4]",76.5,[2 2 3 2 4],76.5,720.9,False,True,False,False,True
34,3,1,0.81,[],,[2 2 3 2 4],,,,,,,
35,1,1,1.0,"[0, 3, 0, 0, 4]",392.0,[2 5 1 4 5],,540.0,False,True,False,False,False
36,1,1,1.0,"[0, 0, 0, 0, 0]",631.0,[4 2 2 1 5],,347.0,False,False,False,True,False
37,1,1,1.0,"[0, 0, 0, 0, 0]",968.0,[4 2 4 3 1],,941.0,False,False,False,True,False
38,1,1,1.0,"[0, 0, 0, 0, 3]",827.0,[2 4 3 1 5],,390.0,False,False,False,False,False
38,1,2,1.0,"[2, 4, 3, 0, 2]",908.0,[2 4 3 1 5],908.0,883.0,False,False,False,False,False
38,2,1,0.9,"[0, 0, 0, 0, 4]",659.7,[2 4 3 1 5],659.7,351.0,False,False,True,False,False
39,1,1,1.0,"[0, 0, 3, 0, 0]",755.0,[4 2 6 3 5],,56.0,False,False,False,False,False
39,1,2,1.0,"[4, 2, 3, 3, 5]",622.0,[4 2 6 3 5],622.0,779.0,False,True,True,False,False
