game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 1, 3, 2, 1]",630.0,[5 3 6 4 3],,409.0,False,False,False,False,False
0,1,2,1.0,"[3, 2, 3, 1, 2]",594.0,[5 3 6 4 3],594.0,286.0,False,False,True,False,False
0,2,1,0.9,"[2, 1, 4, 2, 1]",495.90000000000003,[5 3 6 4 3],495.90000000000003,368.1,False,False,True,False,True
0,2,2,0.9,"[3, 2, 3, 1, 2]",534.6,[5 3 6 4 3],534.6,257.40000000000003,False,False,True,False,False
0,3,1,0.81,"[3, 2, 3, 1, 2]",505.44000000000005,[5 3 6 4 3],505.44000000000005,331.29,False,False,False,False,True
1,1,1,1.0,"[3, 2, 1, 3, 2]",268.0,[6 4 2 5 3],,494.0,False,True,False,False,False
1,1,2,1.0,"[3, 2, 0, 2, 1]",172.0,[6 4 2 5 3],172.0,109.0,False,False,False,False,True
1,2,1,0.9,"[3, 1, 1, 2, 1]",332.1,[6 4 2 5 3],332.1,444.6,False,True,False,False,True
1,2,2,0.9,"[2, 2, 0, 3, 1]",153.0,[6 4 2 5 3],153.0,98.10000000000001,False,False,False,False,True
1,3,1,0.81,"[3, 1, 1, 2, 2]",289.98,[6 4 2 5 3],289.98,400.14000000000004,False,True,False,False,True
2,1,1,1.0,"[2, 1, 2, 0, 1]",412.0,[5 3 4 1 3],,651.0,False,True,False,False,False
2,1,2,1.0,"[3, 2, 1, 0, 2]",423.0,[5 3 4 1 3],423.0,531.0,False,True,False,False,False
2,2,1,0.9,"[2, 1, 3, 0, 1]",315.90000000000003,[5 3 4 1 3],315.90000000000003,585.9,False,True,False,False,True
2,2,2,0.9,"[3, 2, 2, 0, 1]",358.2,[5 3 4 1 3],358.2,477.90000000000003,False,True,False,False,False
2,3,1,0.81,"[3, 2, 2, 0, 1]",275.40000000000003,[5 3 4 1 3],275.40000000000003,527.3100000000001,True,True,False,False,True
3,1,1,1.0,"[3, 1, 2, 1, 3]",337.0,[6 3 5 2 6],,395.0,False,True,False,False,False
3,1,2,1.0,"[2, 1, 3, 1, 2]",423.0,[6 3 5 2 6],423.0,95.0,False,False,False,False,True
3,2,1,0.9,"[2, 2, 2, 1, 3]",316.8,[6 3 5 2 6],316.8,355.5,False,True,False,False,True
3,2,2,0.9,"[3, 1, 3, 1, 2]",443.7,[6 3 5 2 6],443.7,85.5,False,False,False,False,False
3,3,1,0.81,"[3, 1, 3, 1, 2]",253.53000000000003,[6 3 5 2 6],253.53000000000003,319.95000000000005,True,True,False,False,True
4,1,1,1.0,"[1, 2, 2, 2, 3]",517.0,[2 4 5 4 5],,857.0,False,True,False,False,False
4,1,2,1.0,"[1, 1, 3, 2, 2]",682.0,[2 4 5 4 5],682.0,596.0,False,False,False,False,True
4,2,1,0.9,"[1, 2, 2, 2, 3]",465.3,[2 4 5 4 5],465.3,771.3000000000001,False,True,False,False,True
