game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[4, 3, 2, 0, 2]",636.0,[8 6 4 1 5],,509.0,False,False,False,False,False
0,1,2,1.0,"[3, 2, 1, 0, 2]",519.0,[8 6 4 1 5],519.0,369.0,False,False,False,False,True
0,2,1,0.9,"[4, 3, 2, 0, 3]",546.3000000000001,[8 6 4 1 5],546.3000000000001,458.1,False,False,False,False,True
0,2,2,0.9,"[4, 3, 1, 0, 2]",578.7,[8 6 4 1 5],578.7,332.1,False,False,False,False,True
0,3,1,0.81,"[4, 3, 1, 0, 2]",555.6600000000001,[8 6 4 1 5],555.6600000000001,412.29,False,False,False,False,True
1,1,1,1.0,"[3, 0, 2, 3, 4]",850.0,[7 1 4 3 8],,184.0,False,False,False,False,False
1,1,2,1.0,"[4, 1, 2, 0, 4]",843.0,[7 1 4 3 8],843.0,186.0,False,False,False,False,True
1,2,1,0.9,"[3, 0, 3, 1, 5]",651.6,[7 1 4 3 8],651.6,165.6,False,False,False,False,True
1,2,2,0.9,"[4, 1, 1, 2, 3]",811.8000000000001,[7 1 4 3 8],811.8000000000001,167.4,False,False,False,False,True
1,3,1,0.81,"[3, 0, 2, 1, 4]",690.12,[7 1 4 3 8],690.12,149.04000000000002,False,False,False,False,True
1,3,2,0.81,"[4, 1, 2, 0, 3]",617.22,[7 1 4 3 8],617.22,150.66,False,False,True,False,True
2,1,1,1.0,"[2, 3, 3, 2, 2]",1040.0,[5 6 6 4 5],,201.0,False,False,False,False,False
2,1,2,1.0,"[3, 2, 2, 1, 3]",432.0,[5 6 6 4 5],432.0,333.0,False,False,False,False,True
2,2,1,0.9,"[2, 3, 4, 2, 1]",876.6,[5 6 6 4 5],876.6,180.9,False,False,False,False,True
2,2,2,0.9,"[3, 2, 2, 1, 3]",388.8,[5 6 6 4 5],388.8,299.7,False,False,False,False,True
2,3,1,0.81,"[2, 3, 3, 2, 2]",842.4000000000001,[5 6 6 4 5],842.4000000000001,162.81,False,False,False,False,True
2,3,2,0.81,"[3, 2, 2, 1, 3]",349.92,[5 6 6 4 5],349.92,269.73,False,False,True,False,True
3,1,1,1.0,"[1, 2, 2, 1, 0]",291.0,[3 4 4 3 1],,883.0,False,True,False,False,False
3,1,2,1.0,"[2, 1, 1, 2, 0]",402.0,[3 4 4 3 1],402.0,49.0,False,False,False,False,False
3,2,1,0.9,"[1, 3, 2, 1, 0]",250.20000000000002,[3 4 4 3 1],250.20000000000002,794.7,False,True,False,False,False
3,2,2,0.9,"[2, 1, 1, 2, 0]",361.8,[3 4 4 3 1],361.8,44.1,False,False,False,False,True
3,3,1,0.81,"[1, 2, 2, 1, 0]",235.71,[3 4 4 3 1],235.71,715.23,False,True,False,False,False
3,3,2,0.81,"[2, 1, 1, 2, 0]",325.62,[3 4 4 3 1],325.62,39.690000000000005,False,False,True,False,False
4,1,1,1.0,"[2, 1, 1, 1, 2]",662.0,[4 4 4 2 5],,637.0,False,False,False,False,False
4,1,2,1.0,"[1, 2, 2, 0, 3]",549.0,[4 4 4 2 5],549.0,264.0,False,False,False,False,False
4,2,1,0.9,"[2, 1, 1, 1, 2]",595.8000000000001,[4 4 4 2 5],595.8000000000001,573.3000000000001,False,False,False,False,False
4,2,2,0.9,"[2, 0, 2, 0, 3]",387.0,[4 4 4 2 5],387.0,237.6,False,False,False,False,False
4,3,1,0.81,"[2, 2, 1, 1, 2]",497.34000000000003,[4 4 4 2 5],497.34000000000003,515.97,False,True,False,False,True
4,3,2,0.81,"[2, 1, 2, 0, 3]",420.39000000000004,[4 4 4 2 5],420.39000000000004,213.84,False,False,True,False,False
5,1,1,1.0,"[1, 2, 3, 3, 3]",591.0,[2 4 6 6 6],,407.0,False,False,False,False,False
5,1,2,1.0,"[1, 1, 3, 2, 4]",725.0,[2 4 6 6 6],725.0,508.0,False,False,False,False,True
5,2,1,0.9,"[1, 3, 2, 3, 2]",609.3000000000001,[2 4 6 6 6],609.3000000000001,366.3,False,False,False,False,True
5,2,2,0.9,"[1, 2, 3, 2, 3]",689.4,[2 4 6 6 6],689.4,457.2,False,False,False,False,True
5,3,1,0.81,"[1, 3, 3, 3, 2]",483.57000000000005,[2 4 6 6 6],483.57000000000005,329.67,False,False,False,False,True
6,1,1,1.0,"[1, 0, 2, 1, 1]",609.0,[3 2 5 3 2],,323.0,False,False,False,False,False
6,1,2,1.0,"[2, 1, 3, 2, 0]",386.0,[3 2 5 3 2],386.0,90.0,False,False,False,False,False
6,2,1,0.9,"[1, 0, 2, 1, 1]",548.1,[3 2 5 3 2],548.1,290.7,False,False,False,False,False
6,2,2,0.9,"[2, 1, 3, 2, 0]",347.40000000000003,[3 2 5 3 2],347.40000000000003,81.0,False,False,False,False,False
6,3,1,0.81,"[1, 0, 2, 1, 1]",493.29,[3 2 5 3 2],493.29,261.63,False,False,False,False,False
6,3,2,0.81,"[2, 1, 3, 2, 0]",312.66,[3 2 5 3 2],312.66,72.9,False,False,True,False,False
7,1,1,1.0,"[2, 3, 1, 1, 2]",750.0,[4 6 3 3 5],,567.0,False,False,False,False,False
7,1,2,1.0,"[1, 2, 1, 1, 3]",497.0,[4 6 3 3 5],497.0,899.0,False,True,False,False,True
7,2,1,0.9,"[2, 3, 1, 2, 1]",703.8000000000001,[4 6 3 3 5],703.8000000000001,510.3,False,False,False,False,True
7,2,2,0.9,"[2, 2, 1, 1, 3]",528.3000000000001,[4 6 3 3 5],528.3000000000001,809.1,False,True,False,False,True
7,3,1,0.81,"[2, 3, 1, 2, 2]",568.62,[4 6 3 3 5],568.62,459.27000000000004,False,False,False,False,True
7,3,2,0.81,"[2, 2, 1, 1, 3]",475.47,[4 6 3 3 5],475.47,728.19,False,True,False,False,True
8,1,1,1.0,"[1, 2, 3, 1, 1]",337.0,[3 5 6 3 3],,197.0,False,False,False,False,False
8,1,2,1.0,"[2, 3, 0, 2, 0]",326.0,[3 5 6 3 3],326.0,703.0,False,True,False,False,False
