game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 1, 2, 1, 2]",375.0,[4 2 5 3 5],,48.0,False,False,False,False,False
0,1,2,1.0,"[2, 1, 3, 2, 3]",167.0,[4 2 5 3 5],167.0,801.0,False,True,False,False,False
0,2,1,0.9,"[2, 1, 2, 1, 3]",309.6,[4 2 5 3 5],309.6,43.2,False,False,False,False,False
0,2,2,0.9,"[2, 1, 3, 2, 2]",145.8,[4 2 5 3 5],145.8,720.9,False,True,False,False,False
0,3,1,0.81,"[2, 1, 3, 2, 2]",234.09,[4 2 5 3 5],234.09,38.88,False,False,False,False,True
1,1,1,1.0,"[4, 1, 2, 2, 2]",1038.0,[9 3 3 4 5],,344.0,False,False,False,False,False
1,1,2,1.0,"[5, 2, 1, 2, 3]",577.0,[9 3 3 4 5],577.0,732.0,False,True,False,False,False
1,2,1,0.9,"[4, 1, 2, 3, 2]",895.5,[9 3 3 4 5],895.5,309.6,False,False,False,False,False
1,2,2,0.9,"[5, 2, 1, 1, 3]",490.5,[9 3 3 4 5],490.5,658.8000000000001,False,True,False,False,True
1,3,1,0.81,"[4, 1, 2, 2, 2]",840.7800000000001,[9 3 3 4 5],840.7800000000001,278.64000000000004,False,False,False,False,False
1,3,2,0.81,"[5, 2, 1, 2, 3]",467.37,[9 3 3 4 5],467.37,592.9200000000001,False,True,False,False,False
2,1,1,1.0,"[3, 1, 2, 4, 0]",502.0,[6 2 5 8 1],,599.0,False,True,False,False,False
2,1,2,1.0,"[2, 0, 3, 3, 1]",325.0,[6 2 5 8 1],325.0,318.0,False,False,False,False,True
2,2,1,0.9,"[4, 1, 2, 5, 0]",394.2,[6 2 5 8 1],394.2,539.1,False,True,False,False,True
2,2,2,0.9,"[2, 0, 3, 3, 1]",292.5,[6 2 5 8 1],292.5,286.2,False,False,False,False,True
2,3,1,0.81,"[4, 1, 2, 5, 0]",354.78000000000003,[6 2 5 8 1],354.78000000000003,485.19000000000005,False,True,False,False,True
3,1,1,1.0,"[3, 2, 1, 2, 1]",653.0,[7 4 2 4 3],,105.0,False,False,False,False,False
3,1,2,1.0,"[4, 1, 0, 2, 1]",510.0,[7 4 2 4 3],510.0,331.0,False,False,False,False,True
3,2,1,0.9,"[2, 2, 1, 1, 0]",787.5,[7 4 2 4 3],787.5,94.5,False,False,False,False,False
3,2,2,0.9,"[5, 3, 1, 3, 2]",728.1,[7 4 2 4 3],728.1,297.90000000000003,False,False,False,False,False
3,3,1,0.81,"[2, 1, 1, 1, 0]",733.86,[7 4 2 4 3],733.86,85.05000000000001,False,False,False,False,False
3,3,2,0.81,"[5, 3, 1, 3, 2]",655.2900000000001,[7 4 2 4 3],655.2900000000001,268.11,False,False,True,False,False
4,1,1,1.0,"[1, 1, 0, 4, 3]",420.0,[2 3 1 8 7],,259.0,False,False,False,False,False
4,1,2,1.0,"[1, 2, 0, 3, 4]",704.0,[2 3 1 8 7],704.0,245.0,False,False,False,False,False
4,2,1,0.9,"[1, 1, 0, 5, 2]",368.1,[2 3 1 8 7],368.1,233.1,False,False,False,False,True
4,2,2,0.9,"[1, 2, 0, 4, 3]",660.6,[2 3 1 8 7],660.6,220.5,False,False,False,False,False
4,3,1,0.81,"[1, 1, 0, 5, 2]",331.29,[2 3 1 8 7],331.29,209.79000000000002,False,False,False,False,False
4,3,2,0.81,"[1, 2, 0, 4, 3]",594.5400000000001,[2 3 1 8 7],594.5400000000001,198.45000000000002,False,False,True,False,False
5,1,1,1.0,"[1, 1, 3, 2, 2]",428.0,[3 2 6 4 4],,723.0,False,True,False,False,False
5,1,2,1.0,"[2, 1, 3, 2, 2]",232.0,[3 2 6 4 4],232.0,900.0,False,True,False,False,False
5,2,1,0.9,"[1, 0, 4, 2, 1]",492.3,[3 2 6 4 4],492.3,650.7,False,True,False,False,False
5,2,2,0.9,"[2, 1, 2, 2, 3]",234.9,[3 2 6 4 4],234.9,810.0,False,True,False,False,False
5,3,1,0.81,"[1, 0, 3, 2, 1]",460.08000000000004,[3 2 6 4 4],460.08000000000004,585.63,False,True,False,False,False
5,3,2,0.81,"[2, 1, 3, 2, 2]",187.92000000000002,[3 2 6 4 4],187.92000000000002,729.0,False,True,False,False,False
6,1,1,1.0,"[1, 3, 2, 2, 2]",588.0,[2 7 5 4 5],,471.0,False,False,False,False,False
6,1,2,1.0,"[1, 4, 3, 2, 3]",585.0,[2 7 5 4 5],585.0,290.0,False,False,False,False,False
6,2,1,0.9,"[1, 5, 4, 1, 4]",444.6,[2 7 5 4 5],444.6,423.90000000000003,False,False,False,False,True
6,2,2,0.9,"[1, 3, 2, 2, 1]",402.3,[2 7 5 4 5],402.3,261.0,False,False,False,False,True
6,3,1,0.81,"[1, 4, 3, 1, 2]",490.86,[2 7 5 4 5],490.86,381.51000000000005,False,False,False,False,True
6,3,2,0.81,"[1, 4, 3, 1, 2]",432.54,[2 7 5 4 5],432.54,234.9,False,False,False,False,False
7,1,1,1.0,"[2, 3, 2, 1, 1]",493.0,[5 6 5 3 4],,606.0,False,True,False,False,False
7,1,2,1.0,"[3, 2, 3, 2, 2]",700.0,[5 6 5 3 4],700.0,81.0,False,False,False,False,False
7,2,1,0.9,"[2, 3, 2, 1, 0]",522.9,[5 6 5 3 4],522.9,545.4,False,True,False,False,False
7,2,2,0.9,"[3, 2, 3, 2, 1]",589.5,[5 6 5 3 4],589.5,72.9,False,False,False,False,False
7,3,1,0.81,"[2, 3, 2, 1, 0]",470.61,[5 6 5 3 4],470.61,490.86,False,True,False,False,False
7,3,2,0.81,"[3, 2, 3, 2, 1]",530.5500000000001,[5 6 5 3 4],530.5500000000001,65.61,False,False,True,False,False
8,1,1,1.0,"[2, 1, 3, 2, 3]",1066.0,[5 4 7 5 7],,866.0,False,False,False,False,False
8,1,2,1.0,"[3, 2, 4, 3, 4]",761.0,[5 4 7 5 7],761.0,274.0,False,False,False,False,False
8,2,1,0.9,"[2, 1, 3, 2, 4]",905.4,[5 4 7 5 7],905.4,779.4,False,False,False,False,False
8,2,2,0.9,"[3, 2, 4, 3, 3]",638.1,[5 4 7 5 7],638.1,246.6,False,False,False,False,False
8,3,1,0.81,"[2, 1, 3, 2, 4]",814.86,[5 4 7 5 7],814.86,701.46,False,False,False,False,False
