game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 2, 5, 1, 1]",665.0,[ 1  5 10  3  2],,519.0,False,False,False,False,False
0,1,2,1.0,"[1, 3, 5, 2, 1]",613.0,[ 1  5 10  3  2],613.0,487.0,False,False,False,False,False
0,2,1,0.9,"[0, 2, 6, 1, 1]",539.1,[ 1  5 10  3  2],539.1,467.1,False,False,False,False,False
0,2,2,0.9,"[1, 3, 4, 2, 1]",489.6,[ 1  5 10  3  2],489.6,438.3,False,False,False,False,True
0,3,1,0.81,"[0, 2, 7, 1, 1]",431.73,[ 1  5 10  3  2],431.73,420.39000000000004,False,False,False,False,True
1,1,1,1.0,"[2, 1, 3, 1, 1]",424.0,[4 3 4 3 2],,310.0,False,False,False,False,False
1,1,2,1.0,"[2, 2, 1, 2, 1]",459.0,[4 3 4 3 2],459.0,920.0,False,True,False,False,True
1,2,1,0.9,"[1, 2, 2, 1, 1]",442.8,[4 3 4 3 2],442.8,279.0,False,False,False,False,False
1,2,2,0.9,"[3, 1, 2, 2, 1]",495.90000000000003,[4 3 4 3 2],495.90000000000003,828.0,False,True,False,False,False
1,3,1,0.81,"[1, 2, 2, 1, 0]",457.65000000000003,[4 3 4 3 2],457.65000000000003,251.10000000000002,False,False,False,False,False
2,1,1,1.0,"[1, 2, 1, 0, 3]",775.0,[2 5 3 1 6],,777.0,False,True,False,False,False
2,1,2,1.0,"[1, 3, 2, 1, 3]",508.0,[2 5 3 1 6],508.0,994.0,False,True,False,False,False
2,2,1,0.9,"[1, 2, 1, 0, 4]",627.3000000000001,[2 5 3 1 6],627.3000000000001,699.3000000000001,False,True,False,False,False
2,2,2,0.9,"[1, 3, 2, 1, 2]",380.7,[2 5 3 1 6],380.7,894.6,False,True,False,False,True
2,3,1,0.81,"[1, 2, 1, 0, 3]",627.75,[2 5 3 1 6],627.75,629.37,False,True,False,False,False
3,1,1,1.0,"[2, 1, 3, 2, 4]",226.0,[5 4 6 5 9],,390.0,False,True,False,False,False
3,1,2,1.0,"[3, 2, 2, 3, 5]",624.0,[5 4 6 5 9],624.0,671.0,False,True,False,False,False
3,2,1,0.9,"[2, 1, 4, 2, 3]",180.0,[5 4 6 5 9],180.0,351.0,False,True,False,False,True
3,2,2,0.9,"[3, 2, 2, 3, 6]",599.4,[5 4 6 5 9],599.4,603.9,False,True,False,False,False
3,3,1,0.81,"[2, 1, 3, 2, 5]",181.44,[5 4 6 5 9],181.44,315.90000000000003,False,True,False,False,True
4,1,1,1.0,"[0, 7, 0, 3, 6]",762.0,[4 9 3 3 8],,955.0,False,True,False,False,False
4,1,2,1.0,"[2, 2, 3, 0, 2]",518.0,[4 9 3 3 8],518.0,816.0,False,True,False,False,True
4,2,1,0.9,[],,[4 9 3 3 8],,,,,,,
5,1,1,1.0,"[0, 0, 3, 0, 0]",484.0,[2 4 6 4 4],,249.0,False,False,False,False,False
5,1,2,1.0,"[2, 4, 3, 4, 4]",989.0,[2 4 6 4 4],989.0,887.0,False,False,False,False,False
5,2,1,0.9,"[1, 2, 3, 2, 2]",263.7,[2 4 6 4 4],263.7,224.1,False,False,False,False,False
5,2,2,0.9,"[1, 3, 2, 3, 1]",475.2,[2 4 6 4 4],475.2,798.3000000000001,False,True,False,False,True
5,3,1,0.81,"[1, 3, 2, 3, 1]",243.00000000000003,[2 4 6 4 4],243.00000000000003,201.69000000000003,False,False,False,False,True
6,1,1,1.0,"[3, 2, 2, 1, 1]",695.0,[6 4 5 3 3],,61.0,False,False,False,False,False
6,1,2,1.0,"[2, 1, 1, 2, 2]",403.0,[6 4 5 3 3],403.0,516.0,False,True,False,False,True
6,2,1,0.9,"[4, 3, 3, 1, 1]",470.7,[6 4 5 3 3],470.7,54.9,False,False,False,False,True
6,2,2,0.9,"[0, 0, 0, 0, 0]",0.0,[6 4 5 3 3],0.0,464.40000000000003,False,True,False,True,True
6,3,1,0.81,[],,[6 4 5 3 3],,,,,,,
7,1,1,1.0,"[0, 0, 0, 4, 3]",805.0,[5 1 3 8 6],,435.0,False,False,False,False,False
8,1,1,1.0,"[0, 0, 7, 0, 6]",1140.0,[5 4 8 3 8],,742.0,False,False,False,False,False
9,1,1,1.0,"[0, 0, 3, 0, 4]",563.0,[5 4 3 2 4],,110.0,False,False,False,False,False
9,1,2,1.0,"[5, 4, 0, 2, 0]",163.0,[5 4 3 2 4],163.0,89.0,False,False,False,False,True
9,2,1,0.9,"[0, 2, 3, 0, 2]",364.5,[5 4 3 2 4],364.5,99.0,False,False,False,False,False
9,2,2,0.9,"[5, 2, 0, 2, 0]",121.5,[5 4 3 2 4],121.5,80.10000000000001,False,False,False,False,True
9,3,1,0.81,[],,[5 4 3 2 4],,,,,,,
10,1,1,1.0,"[0, 0, 0, 4, 0]",653.0,[1 3 4 4 3],,260.0,False,False,False,False,False
10,1,2,1.0,"[1, 2, 3, 0, 2]",483.0,[1 3 4 4 3],483.0,357.0,False,False,False,False,False
10,2,1,0.9,"[0, 3, 4, 4, 0]",349.2,[1 3 4 4 3],349.2,234.0,False,False,False,False,False
10,2,2,0.9,"[1, 1, 0, 0, 3]",155.70000000000002,[1 3 4 4 3],155.70000000000002,321.3,False,True,False,False,True
10,3,1,0.81,"[1, 1, 0, 0, 3]",241.38000000000002,[1 3 4 4 3],241.38000000000002,210.60000000000002,False,False,False,False,True
11,1,1,1.0,"[0, 0, 0, 0, 0]",966.0,[1 3 4 3 4],,701.0,False,False,False,True,False
11,1,2,1.0,"[0, 3, 4, 3, 4]",545.0,[1 3 4 3 4],545.0,967.0,False,True,False,False,False
11,2,1,0.9,"[1, 1, 0, 2, 0]",766.8000000000001,[1 3 4 3 4],766.8000000000001,630.9,False,False,False,False,False
11,2,2,0.9,"[0, 1, 4, 1, 4]",290.7,[1 3 4 3 4],290.7,870.3000000000001,False,True,False,False,False
11,3,1,0.81,[],,[1 3 4 3 4],,,,,,,
12,1,1,1.0,"[1, 0, 1, 1, 2]",209.0,[3 0 2 3 4],,440.0,False,True,False,False,False
12,1,2,1.0,"[2, 0, 1, 2, 2]",185.0,[3 0 2 3 4],185.0,14.0,False,False,False,False,False
12,2,1,0.9,"[1, 0, 1, 1, 3]",183.6,[3 0 2 3 4],183.6,396.0,False,True,False,False,False
12,2,2,0.9,"[2, 0, 1, 2, 1]",117.9,[3 0 2 3 4],117.9,12.6,False,False,False,False,True
12,3,1,0.81,[],,[3 0 2 3 4],,,,,,,
13,1,1,1.0,"[0, 2, 3, 0, 3]",642.0,[1 4 6 1 6],,178.0,False,False,False,False,False
13,1,2,1.0,"[1, 2, 3, 0, 3]",304.0,[1 4 6 1 6],304.0,127.0,False,False,False,False,False
13,2,1,0.9,"[0, 1, 4, 0, 2]",650.7,[1 4 6 1 6],650.7,160.20000000000002,False,False,False,False,False
13,2,2,0.9,"[1, 2, 2, 0, 4]",259.2,[1 4 6 1 6],259.2,114.3,False,False,False,False,False
13,3,1,0.81,"[0, 2, 3, 0, 3]",520.02,[1 4 6 1 6],520.02,144.18,False,False,False,False,False
14,1,1,1.0,"[2, 0, 2, 2, 1]",398.0,[4 1 3 4 2],,383.0,False,False,False,False,False
14,1,2,1.0,"[1, 0, 3, 1, 1]",150.0,[4 1 3 4 2],150.0,649.0,False,True,False,False,True
14,2,1,0.9,"[3, 0, 0, 3, 0]",352.8,[4 1 3 4 2],352.8,344.7,False,False,False,False,True
15,1,1,1.0,"[0, 3, 0, 0, 4]",582.0,[1 5 3 4 5],,321.0,False,False,False,False,False
15,1,2,1.0,"[1, 2, 3, 4, 1]",236.0,[1 5 3 4 5],236.0,204.0,False,False,False,False,True
15,2,1,0.9,"[0, 2, 1, 2, 3]",374.40000000000003,[1 5 3 4 5],374.40000000000003,288.90000000000003,False,False,False,False,False
15,2,2,0.9,"[1, 3, 2, 2, 2]",237.6,[1 5 3 4 5],237.6,183.6,False,False,False,False,False
