game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
0,1,1,1,True,False,True,True,True,False,True
0,1,2,2,True,False,True,True,True,False,True
1,1,1,1,False,False,False,False,False,True,True
1,1,2,2,True,False,False,False,False,True,True
1,2,1,1,True,False,True,True,True,True,True
1,2,2,2,True,False,True,True,True,True,True
2,1,1,1,True,False,True,True,True,True,True
2,1,2,2,True,False,True,True,True,True,True
3,1,1,1,True,False,False,False,False,False,True
3,1,2,2,False,False,False,False,False,False,True
4,1,1,1,True,False,False,False,False,True,True
4,1,2,2,False,False,False,False,False,True,True
6,1,1,1,True,False,False,False,False,False,True
6,1,2,2,False,False,False,False,False,False,True
9,1,1,1,True,False,True,True,True,True,True
9,1,2,2,True,False,True,True,True,True,True
13,1,1,1,True,False,True,True,True,True,True
13,1,2,2,True,False,True,True,True,True,True
14,1,1,1,True,False,True,True,True,False,True
14,1,2,2,True,False,True,True,True,False,True
15,1,1,1,True,False,True,True,True,True,True
15,1,2,2,True,False,True,True,True,True,True
16,1,1,1,True,False,True,True,True,True,True
16,1,2,2,True,False,True,True,True,True,True
18,1,1,1,True,False,False,False,False,False,True
18,1,2,2,False,False,False,False,False,False,True
19,1,1,1,False,False,False,False,False,False,False
19,1,2,2,True,False,False,False,False,False,False
20,1,1,1,False,False,False,False,False,False,True
20,1,2,2,True,False,False,False,False,False,True
20,2,1,1,True,False,True,True,True,False,True
20,2,2,2,True,False,True,True,True,False,True
21,1,1,1,True,False,True,True,True,True,True
21,1,2,2,True,False,True,True,True,True,True
22,1,1,1,True,False,True,True,True,True,True
22,1,2,2,True,False,True,True,True,True,True
29,1,1,1,True,False,True,False,False,False,True
29,1,2,2,True,False,True,False,False,False,True
30,1,1,1,False,False,True,True,True,True,True
30,1,2,2,True,False,True,True,True,True,True
31,1,1,1,True,False,False,False,False,False,True
31,1,2,2,False,False,False,False,False,False,True
32,1,1,1,False,False,False,False,False,False,False
32,1,2,2,True,False,False,False,False,False,False
32,2,1,1,True,False,True,False,False,False,False
32,2,2,2,True,False,True,False,False,False,False
35,1,1,1,False,False,False,False,False,False,True
35,1,2,2,False,False,False,False,False,False,True
36,1,1,1,True,False,True,True,True,True,True
36,1,2,2,True,False,True,True,True,True,True
37,1,1,1,True,False,False,False,False,True,True
37,1,2,2,False,False,False,False,False,True,True
37,2,1,1,True,False,True,True,True,True,True
37,2,2,2,True,False,True,True,True,True,True
38,1,1,1,False,False,True,True,True,False,True
38,1,2,2,False,False,True,True,True,False,True
48,1,1,1,False,False,False,False,False,True,True
48,1,2,2,True,False,False,False,False,True,True
49,1,1,1,False,False,False,False,False,True,True
49,1,2,2,True,False,False,False,False,True,True
49,2,1,1,False,False,False,False,False,True,True
49,2,2,2,True,False,False,False,False,True,True
51,1,1,1,False,False,False,False,False,False,True
51,1,2,2,True,False,False,False,False,False,True
51,2,1,1,False,False,True,True,True,False,True
51,2,2,2,True,False,True,True,True,False,True
53,1,1,1,True,False,True,True,True,True,True
53,1,2,2,True,False,True,True,True,True,True
54,1,1,1,False,False,False,False,False,False,False
54,1,2,2,False,False,False,False,False,False,False
63,1,1,1,True,False,False,False,False,True,True
63,1,2,2,False,False,False,False,False,True,True
63,2,1,1,True,False,True,True,True,True,True
63,2,2,2,True,False,True,True,True,True,True
64,1,1,1,True,False,False,False,False,True,True
64,1,2,2,False,False,False,False,False,True,True
64,2,1,1,True,False,True,True,True,True,True
64,2,2,2,True,False,True,True,True,True,True
65,1,1,1,False,False,False,False,False,False,True
65,1,2,2,False,False,False,False,False,False,True
66,1,1,1,False,False,False,False,False,True,False
66,1,2,2,True,False,False,False,False,True,False
66,2,1,1,True,False,True,False,False,True,False
66,2,2,2,True,False,True,False,False,True,False
68,1,1,1,True,False,True,False,False,False,True
68,1,2,2,True,False,True,False,False,False,True
71,1,1,1,False,False,False,False,False,True,True
71,1,2,2,True,False,False,False,False,True,True
76,1,1,1,False,False,True,True,True,False,True
76,1,2,2,True,False,True,True,True,False,True
77,1,1,1,True,False,False,False,False,False,True
77,1,2,2,False,False,False,False,False,False,True
77,2,1,1,True,False,False,False,False,False,True
77,2,2,2,False,False,False,False,False,False,True
78,1,1,1,True,False,True,True,True,True,True
78,1,2,2,True,False,True,True,True,True,True
79,1,1,1,True,False,False,False,False,True,True
79,1,2,2,False,False,False,False,False,True,True
79,2,1,1,True,False,False,False,False,True,True
79,2,2,2,False,False,False,False,False,True,True
80,1,1,1,False,False,False,False,False,True,True
80,1,2,2,True,False,False,False,False,True,True
81,1,1,1,True,False,True,True,True,False,True
81,1,2,2,True,False,True,True,True,False,True
82,1,1,1,False,False,False,False,False,False,True
82,1,2,2,True,False,False,False,False,False,True
83,1,1,1,False,False,True,False,True,False,True
83,1,2,2,True,False,True,False,True,False,True
92,1,1,1,True,False,False,False,False,False,True
92,1,2,2,False,False,False,False,False,False,True
93,1,1,1,False,False,False,False,False,True,True
93,1,2,2,False,False,False,False,False,True,True
93,2,1,1,True,False,True,True,True,True,True
93,2,2,2,True,False,True,True,True,True,True
94,1,1,1,False,False,True,True,True,False,True
94,1,2,2,True,False,True,True,True,False,True
95,1,1,1,True,False,False,False,False,True,True
95,1,2,2,False,False,False,False,False,True,True
96,1,1,1,False,False,False,False,False,False,True
96,1,2,2,False,False,False,False,False,False,True
96,2,1,1,True,False,False,False,False,False,True
96,2,2,2,False,False,False,False,False,False,True
