game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[3, 1, 2, 1, 1]",496.0,[6 3 5 2 2],,131.0,False,False,False,False,False
0,1,2,1.0,"[2, 1, 1, 1, 0]",331.0,[6 3 5 2 2],331.0,249.0,False,False,True,False,True
0,2,1,0.9,"[2, 2, 3, 1, 1]",442.8,[6 3 5 2 2],442.8,117.9,False,False,True,False,True
0,2,2,0.9,"[3, 2, 2, 1, 0]",472.5,[6 3 5 2 2],472.5,224.1,False,False,True,False,True
0,3,1,0.81,"[3, 2, 2, 1, 0]",367.74,[6 3 5 2 2],367.74,106.11000000000001,False,False,False,False,True
1,1,1,1.0,"[2, 2, 1, 3, 2]",678.0,[5 3 2 6 4],,488.0,False,False,False,False,False
1,1,2,1.0,"[3, 1, 1, 3, 2]",677.0,[5 3 2 6 4],677.0,931.0,False,True,True,False,True
1,2,1,0.9,"[2, 1, 1, 4, 2]",533.7,[5 3 2 6 4],533.7,439.2,False,False,True,False,True
1,2,2,0.9,"[3, 1, 1, 3, 2]",609.3000000000001,[5 3 2 6 4],609.3000000000001,837.9,False,True,True,False,True
1,3,1,0.81,"[2, 1, 1, 4, 2]",480.33000000000004,[5 3 2 6 4],480.33000000000004,395.28000000000003,False,False,True,False,True
2,1,1,1.0,"[2, 3, 2, 1, 0]",551.0,[5 5 5 4 1],,401.0,False,False,False,False,False
2,1,2,1.0,"[3, 2, 1, 2, 0]",233.0,[5 5 5 4 1],233.0,466.0,False,True,True,False,False
2,2,1,0.9,"[2, 3, 2, 1, 0]",495.90000000000003,[5 5 5 4 1],495.90000000000003,360.90000000000003,False,False,True,False,False
2,2,2,0.9,"[2, 2, 1, 2, 0]",174.6,[5 5 5 4 1],174.6,419.40000000000003,False,True,True,False,True
2,3,1,0.81,"[2, 2, 1, 2, 0]",396.09000000000003,[5 5 5 4 1],396.09000000000003,324.81,False,False,False,False,True
3,1,1,1.0,"[2, 3, 1, 4, 0]",521.0,[4 7 2 9 0],,453.0,False,False,False,False,False
3,1,2,1.0,"[1, 4, 0, 5, 0]",452.0,[4 7 2 9 0],452.0,589.0,False,True,True,False,True
3,2,1,0.9,"[2, 3, 1, 6, 0]",454.5,[4 7 2 9 0],454.5,407.7,False,False,True,False,True
3,2,2,0.9,"[1, 4, 0, 7, 0]",484.2,[4 7 2 9 0],484.2,530.1,False,True,True,False,True
3,3,1,0.81,"[2, 3, 1, 5, 0]",415.53000000000003,[4 7 2 9 0],415.53000000000003,366.93,False,False,True,False,True
4,1,1,1.0,"[3, 6, 1, 2, 1]",748.0,[7 6 3 5 3],,835.0,False,True,False,False,False
4,1,2,1.0,"[4, 3, 2, 3, 2]",672.0,[7 6 3 5 3],672.0,836.0,False,True,False,False,True
4,2,1,0.9,"[4, 5, 1, 2, 1]",602.1,[7 6 3 5 3],602.1,751.5,False,True,False,False,False
4,2,2,0.9,"[3, 4, 2, 3, 2]",645.3000000000001,[7 6 3 5 3],645.3000000000001,752.4,False,True,False,False,True
4,3,1,0.81,"[4, 5, 1, 2, 1]",541.89,[7 6 3 5 3],541.89,676.35,False,True,False,False,False
5,1,1,1.0,"[2, 1, 1, 2, 2]",816.0,[5 3 3 4 5],,941.0,False,True,False,False,False
5,1,2,1.0,"[3, 1, 0, 2, 4]",426.0,[5 3 3 4 5],426.0,885.0,False,True,False,False,True
5,2,1,0.9,"[2, 1, 2, 2, 3]",575.1,[5 3 3 4 5],575.1,846.9,False,True,False,False,True
5,2,2,0.9,"[3, 1, 1, 2, 2]",463.5,[5 3 3 4 5],463.5,796.5,False,True,False,False,True
5,3,1,0.81,"[2, 1, 2, 3, 1]",579.1500000000001,[5 3 3 4 5],579.1500000000001,762.21,False,True,False,False,True
5,3,2,0.81,"[2, 1, 2, 3, 1]",496.53000000000003,[5 3 3 4 5],496.53000000000003,716.85,True,True,False,False,False
6,1,1,1.0,"[0, 1, 1, 3, 1]",517.0,[1 2 3 7 3],,458.0,False,False,False,False,False
6,1,2,1.0,"[1, 0, 2, 4, 0]",535.0,[1 2 3 7 3],535.0,86.0,False,False,True,False,False
6,2,1,0.9,"[0, 1, 1, 4, 1]",421.2,[1 2 3 7 3],421.2,412.2,False,False,True,False,True
6,2,2,0.9,"[1, 0, 2, 3, 0]",412.2,[1 2 3 7 3],412.2,77.4,False,False,True,False,True
6,3,1,0.81,"[0, 1, 1, 4, 2]",327.24,[1 2 3 7 3],327.24,370.98,False,True,False,False,True
7,1,1,1.0,"[3, 0, 1, 1, 1]",280.0,[6 1 2 3 3],,505.0,False,True,False,False,False
7,1,2,1.0,"[2, 0, 1, 2, 1]",153.0,[6 1 2 3 3],153.0,623.0,False,True,False,False,True
7,2,1,0.9,"[2, 0, 1, 1, 2]",252.0,[6 1 2 3 3],252.0,454.5,False,True,False,False,True
7,2,2,0.9,"[3, 0, 1, 2, 1]",181.8,[6 1 2 3 3],181.8,560.7,False,True,False,False,False
7,3,1,0.81,"[3, 0, 1, 2, 1]",186.3,[6 1 2 3 3],186.3,409.05,True,True,False,False,True
8,1,1,1.0,"[2, 2, 1, 1, 3]",659.0,[4 3 3 3 6],,103.0,False,False,False,False,False
8,1,2,1.0,"[1, 3, 0, 0, 5]",201.0,[4 3 3 3 6],201.0,570.0,False,True,True,False,True
8,2,1,0.9,"[2, 1, 2, 2, 3]",492.3,[4 3 3 3 6],492.3,92.7,False,False,True,False,True
8,2,2,0.9,"[1, 2, 1, 1, 4]",323.1,[4 3 3 3 6],323.1,513.0,False,True,True,False,True
8,3,1,0.81,"[2, 1, 2, 2, 3]",443.07000000000005,[4 3 3 3 6],443.07000000000005,83.43,False,False,True,False,True
9,1,1,1.0,"[2, 1, 2, 1, 2]",485.0,[5 2 4 2 4],,372.0,False,False,False,False,False
9,1,2,1.0,"[3, 1, 2, 0, 1]",316.0,[5 2 4 2 4],316.0,944.0,False,True,True,False,True
9,2,1,0.9,"[2, 1, 3, 1, 2]",379.8,[5 2 4 2 4],379.8,334.8,False,False,True,False,True
9,2,2,0.9,"[3, 1, 2, 0, 2]",367.2,[5 2 4 2 4],367.2,849.6,False,True,True,False,False
9,3,1,0.81,"[2, 1, 3, 1, 2]",341.82000000000005,[5 2 4 2 4],341.82000000000005,301.32,False,False,True,False,True
10,1,1,1.0,"[2, 1, 2, 1, 2]",541.0,[4 4 4 2 5],,686.0,False,True,False,False,False
10,1,2,1.0,"[1, 2, 1, 0, 3]",536.0,[4 4 4 2 5],536.0,196.0,False,False,False,False,True
10,2,1,0.9,"[2, 1, 2, 1, 2]",486.90000000000003,[4 4 4 2 5],486.90000000000003,617.4,False,True,False,False,True
10,2,2,0.9,"[1, 2, 1, 0, 3]",482.40000000000003,[4 4 4 2 5],482.40000000000003,176.4,False,False,False,False,True
10,3,1,0.81,"[2, 1, 2, 1, 3]",402.57000000000005,[4 4 4 2 5],402.57000000000005,555.6600000000001,False,True,False,False,True
11,1,1,1.0,"[3, 2, 2, 1, 1]",635.0,[7 6 6 2 3],,673.0,False,True,False,False,False
11,1,2,1.0,"[4, 3, 1, 0, 2]",88.0,[7 6 6 2 3],88.0,953.0,False,True,True,False,True
11,2,1,0.9,"[3, 3, 2, 1, 1]",545.4,[7 6 6 2 3],545.4,605.7,False,True,False,False,True
11,2,2,0.9,"[4, 2, 1, 0, 2]",73.8,[7 6 6 2 3],73.8,857.7,False,True,True,False,True
11,3,1,0.81,"[3, 3, 2, 1, 1]",490.86,[7 6 6 2 3],490.86,545.13,False,True,False,False,True
12,1,1,1.0,"[3, 2, 1, 4, 1]",301.0,[7 4 2 7 2],,215.0,False,False,False,False,False
12,1,2,1.0,"[4, 1, 1, 3, 1]",571.0,[7 4 2 7 2],571.0,398.0,False,False,True,False,False
12,2,1,0.9,"[3, 2, 1, 4, 0]",342.0,[7 4 2 7 2],342.0,193.5,False,False,True,False,False
12,2,2,0.9,"[4, 1, 1, 3, 1]",513.9,[7 4 2 7 2],513.9,358.2,False,False,True,False,False
12,3,1,0.81,"[3, 2, 1, 4, 0]",307.8,[7 4 2 7 2],307.8,174.15,False,False,True,False,False
13,1,1,1.0,"[5, 1, 3, 2, 0]",614.0,[10  3  6  4  1],,198.0,False,False,False,False,False
13,1,2,1.0,"[4, 1, 2, 2, 0]",266.0,[10  3  6  4  1],266.0,341.0,False,True,True,False,True
