game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 2, 2, 1, 3]",418.0,[3 3 5 2 6],,530.0,False,True,False,False,False
0,1,2,1.0,"[2, 1, 3, 1, 3]",532.0,[3 3 5 2 6],532.0,323.0,False,False,False,False,False
0,2,1,0.9,"[1, 2, 2, 1, 4]",355.5,[3 3 5 2 6],355.5,477.0,False,True,False,False,False
0,2,2,0.9,"[2, 1, 3, 1, 2]",422.1,[3 3 5 2 6],422.1,290.7,False,False,False,False,True
0,3,1,0.81,"[2, 1, 3, 1, 2]",272.16,[3 3 5 2 6],272.16,429.3,True,True,False,False,True
1,1,1,1.0,"[1, 2, 0, 1, 1]",484.0,[3 3 1 3 2],,546.0,False,True,False,False,False
1,1,2,1.0,"[2, 0, 1, 1, 1]",91.0,[3 3 1 3 2],91.0,179.0,False,True,False,False,True
1,2,1,0.9,"[1, 1, 0, 2, 0]",489.6,[3 3 1 3 2],489.6,491.40000000000003,False,True,False,False,False
1,2,2,0.9,"[1, 0, 1, 1, 2]",81.0,[3 3 1 3 2],81.0,161.1,False,True,False,False,True
1,3,1,0.81,"[1, 0, 1, 1, 2]",317.52000000000004,[3 3 1 3 2],317.52000000000004,442.26000000000005,True,True,False,False,True
2,1,1,1.0,"[0, 1, 2, 3, 4]",877.0,[1 3 5 7 9],,919.0,False,True,False,False,False
2,1,2,1.0,"[1, 2, 3, 4, 5]",938.0,[1 3 5 7 9],938.0,884.0,False,False,False,False,False
2,2,1,0.9,"[0, 2, 3, 5, 6]",461.7,[1 3 5 7 9],461.7,827.1,False,True,False,False,True
2,2,2,0.9,"[1, 1, 2, 3, 4]",622.8000000000001,[1 3 5 7 9],622.8000000000001,795.6,False,True,False,False,True
2,3,1,0.81,"[0, 2, 4, 6, 7]",255.96,[1 3 5 7 9],255.96,744.3900000000001,False,True,False,False,True
3,1,1,1.0,"[2, 3, 1, 2, 2]",466.0,[4 4 2 5 4],,801.0,False,True,False,False,False
3,1,2,1.0,"[1, 2, 1, 3, 1]",300.0,[4 4 2 5 4],300.0,540.0,False,True,False,False,True
3,2,1,0.9,"[2, 1, 1, 2, 3]",416.7,[4 4 2 5 4],416.7,720.9,False,True,False,False,True
3,2,2,0.9,"[2, 2, 1, 3, 1]",278.1,[4 4 2 5 4],278.1,486.0,False,True,False,False,True
3,3,1,0.81,"[2, 2, 1, 3, 1]",356.40000000000003,[4 4 2 5 4],356.40000000000003,648.8100000000001,True,True,False,False,True
4,1,1,1.0,"[1, 2, 1, 1, 2]",795.0,[3 6 2 3 5],,847.0,False,True,False,False,False
4,1,2,1.0,"[2, 3, 1, 2, 3]",429.0,[3 6 2 3 5],429.0,424.0,False,False,False,False,False
4,2,1,0.9,"[1, 3, 1, 1, 2]",635.4,[3 6 2 3 5],635.4,762.3000000000001,False,True,False,False,False
4,2,2,0.9,"[2, 4, 1, 2, 3]",435.6,[3 6 2 3 5],435.6,381.6,False,False,False,False,False
