game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[3, 0, 1, 4, 2]",1151.0,[6 1 2 9 5],,826.0,False,False,False,False,False
0,1,2,1.0,"[2, 0, 1, 3, 2]",575.0,[6 1 2 9 5],575.0,535.0,False,False,True,False,True
0,2,1,0.9,"[2, 0, 1, 5, 3]",979.2,[6 1 2 9 5],979.2,743.4,False,False,True,False,True
0,2,2,0.9,"[3, 0, 1, 4, 2]",653.4,[6 1 2 9 5],653.4,481.5,False,False,True,False,True
0,3,1,0.81,"[3, 0, 1, 4, 2]",932.3100000000001,[6 1 2 9 5],932.3100000000001,669.0600000000001,False,False,False,False,True
1,1,1,1.0,"[1, 2, 0, 0, 1]",211.0,[2 4 1 0 2],,478.0,False,True,False,False,False
1,1,2,1.0,"[1, 1, 0, 0, 1]",144.0,[2 4 1 0 2],144.0,287.0,False,True,False,False,True
1,2,1,0.9,"[1, 2, 0, 0, 1]",189.9,[2 4 1 0 2],189.9,430.2,False,True,False,False,True
1,2,2,0.9,"[1, 2, 0, 0, 0]",107.10000000000001,[2 4 1 0 2],107.10000000000001,258.3,False,True,False,False,True
1,3,1,0.81,"[1, 2, 0, 0, 0]",195.21,[2 4 1 0 2],195.21,387.18,True,True,False,False,True
2,1,1,1.0,"[1, 3, 2, 2, 0]",602.0,[2 6 4 4 1],,303.0,False,False,False,False,False
2,1,2,1.0,"[1, 5, 2, 2, 0]",144.0,[2 6 4 4 1],144.0,728.0,False,True,True,False,False
2,2,1,0.9,"[1, 4, 2, 2, 0]",491.40000000000003,[2 6 4 4 1],491.40000000000003,272.7,False,False,True,False,False
2,2,2,0.9,"[1, 5, 2, 2, 0]",129.6,[2 6 4 4 1],129.6,655.2,False,True,True,False,False
2,3,1,0.81,"[1, 5, 2, 2, 0]",396.90000000000003,[2 6 4 4 1],396.90000000000003,245.43,False,False,False,False,True
3,1,1,1.0,"[1, 2, 3, 1, 1]",558.0,[3 4 6 3 3],,934.0,False,True,False,False,False
3,1,2,1.0,"[2, 1, 3, 2, 1]",545.0,[3 4 6 3 3],545.0,83.0,False,False,False,False,False
3,2,1,0.9,"[1, 2, 4, 1, 2]",427.5,[3 4 6 3 3],427.5,840.6,False,True,False,False,True
3,2,2,0.9,"[2, 1, 3, 2, 1]",490.5,[3 4 6 3 3],490.5,74.7,False,False,False,False,True
3,3,1,0.81,"[1, 2, 4, 1, 2]",384.75,[3 4 6 3 3],384.75,756.5400000000001,False,True,False,False,True
4,1,1,1.0,"[2, 3, 4, 1, 2]",598.0,[4 6 6 2 5],,873.0,False,True,False,False,False
4,1,2,1.0,"[1, 2, 3, 1, 3]",565.0,[4 6 6 2 5],565.0,836.0,False,True,False,False,True
