game_id,player_id,total_value,outside_value,num_offers
1,1,787,323,0
1,2,1145,1045,0
2,1,491,258,0
2,2,728,110,1
3,1,1848,1017,1
3,2,1995,1497,1
4,1,863,444,0
4,2,1239,922,0
5,1,1003,942,1
5,2,858,273,1
6,1,1273,377,0
6,2,1252,803,1
7,1,526,451,0
7,2,1066,291,0
8,1,814,300,0
8,2,818,7,1
9,1,1473,430,0
9,2,1715,1511,0
10,1,805,87,0
10,2,1154,13,1
11,1,575,525,1
11,2,1041,254,1
12,1,1017,862,0
12,2,996,460,1
13,1,1314,675,0
13,2,1300,1231,1
14,1,1640,954,0
14,2,1580,660,1
15,1,996,956,0
15,2,727,165,1
16,1,1204,898,0
16,2,901,561,1
17,1,739,321,0
17,2,1285,43,1
18,1,739,198,0
18,2,939,869,1
19,1,1676,1610,0
19,2,1574,332,0
20,1,427,104,0
20,2,446,122,1
21,1,877,834,0
21,2,2776,1739,1
22,1,1288,1082,0
22,2,1002,68,1
23,1,562,389,0
23,2,936,284,0
24,1,1370,17,0
24,2,620,405,1
25,1,776,221,0
25,2,1012,458,0
26,1,704,494,0
26,2,364,296,1
27,1,540,538,1
27,2,1245,519,1
28,1,685,205,1
28,2,792,348,1
29,1,900,319,0
29,2,383,29,1
30,1,806,220,0
30,2,963,594,1
31,1,833,443,0
31,2,800,465,0
32,1,341,181,0
32,2,693,661,0
33,1,914,74,1
33,2,648,142,1
34,1,1278,666,0
34,2,1097,943,0
35,1,1923,60,0
35,2,1163,511,0
36,1,1153,1045,1
36,2,1367,390,1
37,1,1245,26,1
37,2,619,577,2
38,1,1442,584,1
38,2,944,419,1
39,1,699,671,0
39,2,1125,172,1
40,1,574,251,0
40,2,861,566,1
41,1,1210,526,0
41,2,534,294,0
42,1,1170,44,0
42,2,863,471,1
43,1,755,512,1
43,2,941,630,1
44,1,1552,846,0
44,2,1008,978,1
45,1,437,244,0
45,2,708,150,1
46,1,914,633,0
46,2,754,32,1
47,1,1365,360,0
47,2,1594,299,0
48,1,1071,813,0
48,2,1048,404,1
49,1,351,205,0
49,2,810,183,0
50,1,1250,305,1
50,2,854,727,2
51,1,932,714,1
51,2,658,442,1
52,1,674,253,0
52,2,577,80,1
53,1,697,298,0
53,2,549,546,1
54,1,1356,725,0
54,2,1584,1438,1
55,1,869,250,0
55,2,1196,508,1
56,1,775,23,0
56,2,776,198,1
57,1,324,151,0
57,2,1168,462,1
58,1,469,186,0
58,2,939,59,1
59,1,1248,614,0
59,2,408,344,1
60,1,843,253,0
60,2,1045,453,1
61,1,938,803,0
61,2,1166,45,1
62,1,536,512,0
62,2,738,323,1
63,1,866,252,0
63,2,1664,1549,0
64,1,1959,1013,0
64,2,1107,538,0
65,1,1209,523,0
65,2,983,682,1
66,1,829,164,0
66,2,1078,398,1
67,1,760,404,0
67,2,1444,316,0
68,1,909,113,1
68,2,1756,756,1
69,1,1089,82,0
69,2,1337,892,1
70,1,518,297,0
70,2,511,440,1
71,1,892,868,0
71,2,722,42,1
72,1,919,222,1
72,2,950,527,2
73,1,1168,228,0
73,2,257,176,0
74,1,2160,1131,1
74,2,1226,332,1
75,1,1259,904,0
75,2,1167,1117,0
76,1,810,74,0
76,2,668,163,0
77,1,1120,901,0
77,2,1580,1151,1
78,1,1886,919,0
78,2,1279,169,1
79,1,1305,751,0
79,2,1090,922,1
80,1,1010,162,0
80,2,440,198,1
81,1,1308,732,0
81,2,1399,1390,0
82,1,1184,736,0
82,2,1100,618,1
83,1,886,231,0
83,2,982,168,1
84,1,797,425,0
84,2,655,606,1
85,1,927,93,0
85,2,928,165,1
86,1,1264,447,1
86,2,1136,281,1
87,1,508,303,0
87,2,1374,645,1
88,1,806,84,0
88,2,586,584,1
89,1,1144,24,0
89,2,1201,391,1
90,1,885,385,1
90,2,449,417,1
91,1,1261,531,0
91,2,1007,566,1
92,1,1827,1319,1
92,2,1795,118,1
93,1,1493,1307,0
93,2,970,141,0
94,1,983,977,0
94,2,743,558,0
95,1,1075,885,1
95,2,1096,48,1
96,1,369,112,1
96,2,844,246,1
97,1,827,607,0
97,2,979,498,1
98,1,1431,236,0
98,2,756,639,1
99,1,1000,798,0
99,2,825,269,1
100,1,728,466,0
100,2,753,124,0
