game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 5, 0, 3, 2]",755.0,[4 5 4 6 5],,986.0,False,True,False,False,False
0,1,2,1.0,"[2, 3, 4, 3, 3]",458.0,[4 5 4 6 5],458.0,15.0,False,False,False,False,True
0,2,1,0.9,"[2, 4, 1, 3, 2]",606.6,[4 5 4 6 5],606.6,887.4,False,True,False,False,False
0,2,2,0.9,"[2, 3, 2, 3, 3]",408.6,[4 5 4 6 5],408.6,13.5,False,False,False,False,True
0,3,1,0.81,[],,[4 5 4 6 5],,,,,,,
1,1,1,1.0,"[2, 0, 3, 3, 2]",656.0,[4 2 6 7 4],,703.0,False,True,False,False,False
1,1,2,1.0,"[1, 2, 3, 2, 1]",365.0,[4 2 6 7 4],365.0,168.0,False,False,False,False,True
1,2,1,0.9,"[1, 0, 4, 3, 1]",681.3000000000001,[4 2 6 7 4],681.3000000000001,632.7,False,False,True,False,False
1,2,2,0.9,"[2, 1, 3, 2, 2]",378.0,[4 2 6 7 4],378.0,151.20000000000002,False,False,False,False,True
1,3,1,0.81,[],,[4 2 6 7 4],,,,,,,
2,1,1,1.0,"[1, 3, 0, 2, 3]",440.0,[3 3 0 4 7],,753.0,False,True,False,False,False
2,1,2,1.0,"[2, 1, 0, 2, 4]",426.0,[3 3 0 4 7],426.0,562.0,False,True,False,False,False
2,2,1,0.9,"[1, 2, 0, 3, 4]",321.3,[3 3 0 4 7],321.3,677.7,False,True,False,False,False
2,2,2,0.9,"[2, 1, 0, 2, 5]",442.8,[3 3 0 4 7],442.8,505.8,False,True,False,False,False
2,3,1,0.81,[],,[3 3 0 4 7],,,,,,,
3,1,1,1.0,"[1, 0, 0, 3, 2]",544.0,[3 1 1 6 4],,652.0,False,True,False,False,False
3,1,2,1.0,"[2, 1, 1, 3, 2]",437.0,[3 1 1 6 4],437.0,739.0,False,True,False,False,False
3,2,1,0.9,"[1, 0, 0, 4, 3]",356.40000000000003,[3 1 1 6 4],356.40000000000003,586.8000000000001,False,True,False,False,True
3,2,2,0.9,"[2, 1, 1, 2, 2]",355.5,[3 1 1 6 4],355.5,665.1,False,True,False,False,False
3,3,1,0.81,"[1, 0, 0, 3, 2]",440.64000000000004,[3 1 1 6 4],440.64000000000004,528.12,False,True,False,False,True
4,1,1,1.0,"[1, 3, 2, 4, 0]",720.0,[3 6 5 7 0],,749.0,False,True,False,False,False
4,1,2,1.0,"[2, 2, 3, 3, 0]",364.0,[3 6 5 7 0],364.0,96.0,False,False,False,False,True
4,2,1,0.9,"[1, 4, 2, 3, 0]",630.0,[3 6 5 7 0],630.0,674.1,False,True,False,False,False
4,2,2,0.9,"[2, 3, 2, 4, 0]",378.90000000000003,[3 6 5 7 0],378.90000000000003,86.4,False,False,False,False,False
4,3,1,0.81,[],,[3 6 5 7 0],,,,,,,
