game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 2, 2, 2, 2]",293.0,[2 5 4 3 4],,6.0,False,False,False,False,False
0,1,2,1.0,"[1, 3, 2, 1, 4]",323.0,[2 5 4 3 4],323.0,864.0,False,True,False,False,True
0,2,1,0.9,"[1, 2, 2, 2, 3]",229.5,[2 5 4 3 4],229.5,5.4,False,False,True,False,False
0,2,2,0.9,"[1, 3, 2, 1, 4]",290.7,[2 5 4 3 4],290.7,777.6,False,True,False,False,True
0,3,1,0.81,"[1, 3, 2, 1, 4]",134.46,[2 5 4 3 4],134.46,4.86,False,False,False,False,True
1,1,1,1.0,"[1, 1, 3, 1, 2]",294.0,[2 2 6 3 4],,135.0,False,False,False,False,False
1,1,2,1.0,"[1, 2, 6, 3, 2]",362.0,[2 2 6 3 4],362.0,727.0,False,True,False,False,False
1,2,1,0.9,"[1, 1, 4, 2, 2]",192.6,[2 2 6 3 4],192.6,121.5,False,False,True,False,False
1,2,2,0.9,"[1, 2, 3, 1, 2]",312.3,[2 2 6 3 4],312.3,654.3000000000001,False,True,False,False,False
1,3,1,0.81,"[1, 1, 4, 2, 2]",173.34,[2 2 6 3 4],173.34,109.35000000000001,False,False,True,False,True
2,1,1,1.0,"[2, 3, 1, 2, 4]",499.0,[4 5 2 3 7],,927.0,False,True,False,False,False
2,1,2,1.0,"[1, 2, 0, 1, 3]",421.0,[4 5 2 3 7],421.0,47.0,False,False,True,False,True
2,2,1,0.9,"[2, 2, 1, 1, 3]",593.1,[4 5 2 3 7],593.1,834.3000000000001,False,True,False,False,True
2,2,2,0.9,"[1, 2, 0, 1, 4]",448.2,[4 5 2 3 7],448.2,42.300000000000004,False,False,True,False,True
2,3,1,0.81,[],,[4 5 2 3 7],,,,,,,
3,1,1,1.0,"[3, 2, 2, 1, 3]",706.0,[7 5 4 3 6],,1.0,False,False,False,False,False
3,1,2,1.0,"[4, 3, 1, 2, 5]",527.0,[7 5 4 3 6],527.0,216.0,False,False,True,False,False
3,2,1,0.9,"[2, 2, 2, 1, 3]",714.6,[7 5 4 3 6],714.6,0.9,False,False,True,False,False
3,2,2,0.9,"[5, 1, 1, 2, 4]",477.0,[7 5 4 3 6],477.0,194.4,False,False,True,False,False
3,3,1,0.81,"[4, 2, 1, 1, 3]",569.4300000000001,[7 5 4 3 6],569.4300000000001,0.81,False,False,True,False,False
4,1,1,1.0,"[3, 6, 3, 2, 4]",386.0,[7 6 3 5 5],,650.0,False,True,False,False,False
4,1,2,1.0,"[4, 0, 0, 5, 1]",381.0,[7 6 3 5 5],381.0,725.0,False,True,False,False,True
4,2,1,0.9,"[2, 6, 3, 1, 3]",461.7,[7 6 3 5 5],461.7,585.0,False,True,False,False,False
