game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
0,1,1,1,False,False,False,False,False,True,True
0,1,2,2,True,False,False,False,False,True,True
0,2,1,1,False,False,True,True,True,True,True
0,2,2,2,False,False,True,True,True,True,True
1,1,1,1,False,False,False,False,False,True,True
1,1,2,2,False,False,False,False,False,True,True
1,2,1,1,True,False,True,True,True,True,True
1,2,2,2,True,False,True,True,True,True,True
2,1,1,1,True,False,False,False,False,True,True
2,1,2,2,False,False,False,False,False,True,True
2,2,1,1,False,False,True,True,True,True,True
2,2,2,2,True,False,True,True,True,True,True
3,1,1,1,True,False,False,False,False,False,True
3,1,2,2,False,False,False,False,False,False,True
4,1,1,1,False,False,False,False,False,False,True
4,1,2,2,True,False,False,False,False,False,True
4,2,1,1,False,False,True,True,False,False,True
4,2,2,2,True,False,True,True,False,False,True
5,1,1,1,False,False,False,False,False,False,False
5,1,2,2,True,False,False,False,False,False,False
5,2,1,1,True,False,True,False,False,False,False
5,2,2,2,False,False,True,False,False,False,False
6,1,1,1,False,False,False,False,False,False,False
6,1,2,2,True,False,False,False,False,False,False
6,2,1,1,True,False,True,False,False,False,False
6,2,2,2,True,False,True,False,False,False,False
7,1,1,1,False,False,False,False,False,False,False
7,1,2,2,True,False,False,False,False,False,False
7,2,1,1,False,False,True,False,False,False,False
7,2,2,2,True,False,True,False,False,False,False
8,1,1,1,False,False,False,False,False,False,True
8,1,2,2,False,False,False,False,False,False,True
8,2,1,1,True,False,True,True,True,False,True
8,2,2,2,False,False,True,True,True,False,True
9,1,1,1,False,False,False,False,False,True,True
9,1,2,2,True,False,False,False,False,True,True
9,2,1,1,False,False,True,True,True,True,True
9,2,2,2,True,False,True,True,True,True,True
10,1,1,1,False,False,False,False,False,True,True
10,1,2,2,True,False,False,False,False,True,True
10,2,1,1,False,False,False,False,False,True,True
10,2,2,2,True,False,False,False,False,True,True
11,1,1,1,True,False,False,False,False,True,True
11,1,2,2,False,False,False,False,False,True,True
11,2,1,1,True,False,True,True,True,True,True
11,2,2,2,False,False,True,True,True,True,True
12,1,1,1,False,False,False,False,False,False,True
12,1,2,2,True,False,False,False,False,False,True
12,2,1,1,True,False,True,True,True,False,True
12,2,2,2,False,False,True,True,True,False,True
13,1,1,1,False,False,True,True,False,False,True
13,1,2,2,True,False,True,True,False,False,True
14,1,1,1,False,False,True,True,False,False,True
14,1,2,2,True,False,True,True,False,False,True
15,1,1,1,False,False,False,False,False,True,True
15,1,2,2,True,False,False,False,False,True,True
15,2,1,1,False,False,True,True,True,True,True
15,2,2,2,True,False,True,True,True,True,True
16,1,1,1,False,False,True,True,False,False,True
16,1,2,2,True,False,True,True,False,False,True
17,1,1,1,False,False,False,False,False,False,True
17,1,2,2,False,False,False,False,False,False,True
17,2,1,1,True,False,True,True,True,False,True
17,2,2,2,False,False,True,True,True,False,True
18,1,1,1,False,False,False,False,False,False,True
18,1,2,2,True,False,False,False,False,False,True
18,2,1,1,False,False,True,True,True,False,True
18,2,2,2,False,False,True,True,True,False,True
19,1,1,1,False,False,False,False,False,True,True
19,1,2,2,True,False,False,False,False,True,True
19,2,1,1,False,False,True,True,True,True,True
19,2,2,2,False,False,True,True,True,True,True
20,1,1,1,False,False,False,False,False,True,True
20,1,2,2,True,False,False,False,False,True,True
20,2,1,1,True,False,True,True,False,True,True
20,2,2,2,True,False,True,True,False,True,True
21,1,1,1,True,False,False,False,False,True,True
21,1,2,2,False,False,False,False,False,True,True
21,2,1,1,True,False,True,True,True,True,True
21,2,2,2,False,False,True,True,True,True,True
22,1,1,1,False,False,False,False,False,False,False
22,1,2,2,True,False,False,False,False,False,False
22,2,1,1,False,False,True,False,False,False,False
22,2,2,2,True,False,True,False,False,False,False
23,1,1,1,False,False,False,False,False,True,True
23,1,2,2,True,False,False,False,False,True,True
23,2,1,1,False,False,True,False,True,True,True
23,2,2,2,True,False,True,False,True,True,True
24,1,1,1,False,False,False,False,False,False,False
