game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[3, 2, 1, 0, 1]",445.0,[9 5 3 0 3],,128.0,False,False,False,False,False
0,1,2,1.0,"[2, 1, 1, 0, 1]",336.0,[9 5 3 0 3],336.0,54.0,False,False,True,False,True
0,2,1,0.9,"[2, 1, 0, 0, 0]",528.3000000000001,[9 5 3 0 3],528.3000000000001,115.2,False,False,True,False,False
0,2,2,0.9,"[3, 1, 1, 0, 0]",306.90000000000003,[9 5 3 0 3],306.90000000000003,48.6,False,False,True,False,False
0,3,1,0.81,[],,[9 5 3 0 3],,,,,,,
1,1,1,1.0,"[0, 0, 6, 0, 0]",837.0,[5 5 6 2 2],,521.0,False,False,False,False,False
1,1,2,1.0,"[5, 0, 6, 0, 0]",226.0,[5 5 6 2 2],226.0,303.0,False,True,False,False,False
1,2,1,0.9,[],,[5 5 6 2 2],,,,,,,
2,1,1,1.0,"[1, 2, 1, 1, 1]",431.0,[2 6 4 3 3],,899.0,False,True,False,False,False
2,1,2,1.0,"[0, 2, 1, 1, 0]",172.0,[2 6 4 3 3],172.0,192.0,False,True,False,False,True
2,2,1,0.9,"[0, 2, 1, 1, 1]",440.1,[2 6 4 3 3],440.1,809.1,False,True,False,False,True
2,2,2,0.9,"[0, 2, 0, 1, 0]",74.7,[2 6 4 3 3],74.7,172.8,False,True,False,False,True
2,3,1,0.81,[],,[2 6 4 3 3],,,,,,,
3,1,1,1.0,"[0, 3, 2, 1, 4]",250.0,[0 6 4 2 8],,841.0,False,True,False,False,False
3,1,2,1.0,"[0, 2, 1, 1, 4]",319.0,[0 6 4 2 8],319.0,645.0,False,True,False,False,True
3,2,1,0.9,[],,[0 6 4 2 8],,,,,,,
4,1,1,1.0,"[0, 0, 0, 0, 0]",917.0,[3 5 5 2 2],,427.0,False,False,False,True,False
4,1,2,1.0,"[0, 3, 0, 0, 0]",294.0,[3 5 5 2 2],294.0,564.0,False,True,True,False,False
4,2,1,0.9,"[0, 0, 3, 0, 0]",728.1,[3 5 5 2 2],728.1,384.3,False,False,True,False,False
4,2,2,0.9,"[0, 3, 1, 0, 0]",303.3,[3 5 5 2 2],303.3,507.6,False,True,True,False,False
4,3,1,0.81,[],,[3 5 5 2 2],,,,,,,
