game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[3, 0, 3, 2, 0]",518.0,[8 2 9 4 1],,200.0,False,False,False,False,False
0,1,2,1.0,"[2, 0, 2, 2, 0]",476.0,[8 2 9 4 1],476.0,255.0,False,False,False,False,True
0,2,1,0.9,"[4, 0, 4, 0, 0]",476.1,[8 2 9 4 1],476.1,180.0,False,False,False,False,True
0,2,2,0.9,"[3, 0, 2, 2, 0]",482.40000000000003,[8 2 9 4 1],482.40000000000003,229.5,False,False,False,False,True
0,3,1,0.81,"[2, 0, 3, 2, 0]",435.78000000000003,[8 2 9 4 1],435.78000000000003,162.0,False,False,False,False,True
1,1,1,1.0,"[1, 3, 3, 3, 7]",122.0,[ 2  4  4  4 10],,558.0,False,True,False,False,False
1,1,2,1.0,"[0, 0, 1, 2, 3]",367.0,[ 2  4  4  4 10],367.0,878.0,False,True,False,False,True
1,2,1,0.9,[],,[ 2  4  4  4 10],,,,,,,
2,1,1,1.0,"[0, 2, 1, 4, 2]",590.0,[3 4 3 5 4],,488.0,False,False,False,False,False
2,1,2,1.0,"[0, 1, 0, 3, 1]",201.0,[3 4 3 5 4],201.0,743.0,False,True,False,False,True
2,2,1,0.9,"[0, 2, 0, 3, 1]",675.9,[3 4 3 5 4],675.9,439.2,False,False,False,False,True
3,1,1,1.0,"[1, 2, 1, 2, 0]",425.0,[4 4 3 4 1],,209.0,False,False,False,False,False
3,1,2,1.0,"[1, 1, 1, 1, 0]",329.0,[4 4 3 4 1],329.0,632.0,False,True,False,False,True
3,2,1,0.9,"[1, 0, 1, 1, 0]",594.9,[4 4 3 4 1],594.9,188.1,False,False,False,False,False
4,1,1,1.0,"[3, 1, 0, 2, 0]",1128.0,[9 5 5 4 1],,318.0,False,False,False,False,False
4,1,2,1.0,"[5, 2, 0, 2, 0]",460.0,[9 5 5 4 1],460.0,551.0,False,True,False,False,False
4,2,1,0.9,"[2, 1, 3, 1, 0]",1035.9,[9 5 5 4 1],1035.9,286.2,False,False,False,False,False
5,1,1,1.0,"[8, 0, 0, 0, 0]",615.0,[8 4 4 5 2],,827.0,False,True,False,False,False
6,1,1,1.0,"[2, 1, 0, 1, 2]",857.0,[5 3 1 4 6],,424.0,False,False,False,False,False
6,1,2,1.0,"[1, 1, 0, 1, 1]",262.0,[5 3 1 4 6],262.0,350.0,False,True,False,False,True
6,2,1,0.9,"[1, 0, 0, 1, 2]",881.1,[5 3 1 4 6],881.1,381.6,False,False,False,False,True
7,1,1,1.0,"[0, 1, 0, 2, 2]",585.0,[2 3 3 4 4],,221.0,False,False,False,False,False
8,1,1,1.0,"[0, 2, 1, 3, 0]",519.0,[2 4 2 6 2],,809.0,False,True,False,False,False
8,1,2,1.0,"[0, 1, 0, 2, 0]",197.0,[2 4 2 6 2],197.0,374.0,False,True,False,False,True
8,2,1,0.9,[],,[2 4 2 6 2],,,,,,,
9,1,1,1.0,"[0, 1, 1, 0, 2]",817.0,[1 6 3 2 5],,346.0,False,False,False,False,False
10,1,1,1.0,"[0, 2, 0, 0, 2]",631.0,[3 4 2 2 5],,297.0,False,False,False,False,False
10,1,2,1.0,"[0, 2, 0, 1, 2]",251.0,[3 4 2 2 5],251.0,61.0,False,False,False,False,False
10,2,1,0.9,[],,[3 4 2 2 5],,,,,,,
11,1,1,1.0,"[0, 0, 0, 5, 3]",251.0,[ 2  2  2 10  5],,551.0,False,True,False,False,False
12,1,1,1.0,"[1, 0, 1, 1, 3]",398.0,[4 1 4 2 4],,72.0,False,False,False,False,False
12,1,2,1.0,"[0, 0, 1, 1, 3]",396.0,[4 1 4 2 4],396.0,403.0,False,True,False,False,True
12,2,1,0.9,[],,[4 1 4 2 4],,,,,,,
13,1,1,1.0,"[0, 2, 1, 2, 1]",94.0,[1 3 2 3 1],,269.0,False,True,False,False,False
14,1,1,1.0,"[0, 4, 5, 0, 0]",1002.0,[5 4 5 4 4],,505.0,False,False,False,False,False
14,1,2,1.0,"[5, 0, 0, 4, 0]",705.0,[5 4 5 4 4],705.0,287.0,False,False,False,False,False
14,2,1,0.9,"[0, 0, 5, 0, 0]",1013.4,[5 4 5 4 4],1013.4,454.5,False,False,False,False,False
15,1,1,1.0,"[0, 1, 2, 0, 0]",525.0,[3 5 4 3 6],,205.0,False,False,False,False,False
15,1,2,1.0,"[0, 0, 1, 0, 0]",38.0,[3 5 4 3 6],38.0,106.0,False,True,False,False,True
15,2,1,0.9,"[1, 1, 3, 1, 2]",317.7,[3 5 4 3 6],317.7,184.5,False,False,False,False,True
15,2,2,0.9,"[1, 1, 3, 1, 2]",346.5,[3 5 4 3 6],346.5,95.4,False,False,False,False,False
16,1,1,1.0,"[0, 0, 0, 0, 0]",887.0,[5 5 1 5 2],,591.0,False,False,False,True,False
16,1,2,1.0,"[0, 0, 0, 1, 2]",97.0,[5 5 1 5 2],97.0,460.0,False,True,False,False,False
16,2,1,0.9,[],,[5 5 1 5 2],,,,,,,
17,1,1,1.0,"[1, 2, 0, 3, 2]",883.0,[3 7 1 6 4],,271.0,False,False,False,False,False
18,1,1,1.0,"[1, 0, 0, 1, 5]",1055.0,[6 4 1 5 5],,793.0,False,False,False,False,False
18,1,2,1.0,"[0, 2, 1, 2, 1]",366.0,[6 4 1 5 5],366.0,465.0,False,True,False,False,False
18,2,1,0.9,[],,[6 4 1 5 5],,,,,,,
19,1,1,1.0,"[0, 0, 1, 5, 1]",347.0,[0 3 3 7 2],,490.0,False,True,False,False,False
19,1,2,1.0,"[0, 0, 1, 5, 1]",434.0,[0 3 3 7 2],434.0,254.0,False,False,False,False,False
20,1,1,1.0,"[0, 1, 1, 3, 2]",1445.0,[4 6 6 7 5],,21.0,False,False,False,False,False
21,1,1,1.0,"[4, 1, 2, 1, 1]",332.0,[8 2 5 2 3],,929.0,False,True,False,False,False
21,1,2,1.0,"[4, 0, 2, 0, 1]",181.0,[8 2 5 2 3],181.0,538.0,False,True,False,False,True
21,2,1,0.9,[],,[8 2 5 2 3],,,,,,,
22,1,1,1.0,"[1, 0, 2, 0, 0]",631.0,[4 1 6 2 2],,864.0,False,True,False,False,False
23,1,1,1.0,"[0, 0, 0, 0, 0]",845.0,[6 5 4 3 5],,980.0,False,True,False,True,False
23,1,2,1.0,"[3, 0, 2, 1, 0]",97.0,[6 5 4 3 5],97.0,545.0,False,True,False,False,False
23,2,1,0.9,[],,[6 5 4 3 5],,,,,,,
24,1,1,1.0,"[0, 0, 1, 4, 2]",729.0,[7 3 2 6 3],,540.0,False,False,False,False,False
24,1,2,1.0,"[2, 0, 1, 3, 0]",194.0,[7 3 2 6 3],194.0,336.0,False,True,False,False,True
24,2,1,0.9,[],,[7 3 2 6 3],,,,,,,
25,1,1,1.0,"[0, 0, 0, 1, 0]",833.0,[0 3 2 5 2],,749.0,False,False,False,False,False
25,1,2,1.0,"[0, 2, 0, 3, 1]",151.0,[0 3 2 5 2],151.0,443.0,False,True,False,False,False
25,2,1,0.9,[],,[0 3 2 5 2],,,,,,,
26,1,1,1.0,"[0, 0, 2, 0, 2]",814.0,[3 2 4 3 6],,451.0,False,False,False,False,False
26,1,2,1.0,"[0, 1, 2, 0, 1]",214.0,[3 2 4 3 6],214.0,173.0,False,False,False,False,True
26,2,1,0.9,"[0, 0, 2, 0, 1]",787.5,[3 2 4 3 6],787.5,405.90000000000003,False,False,False,False,True
26,2,2,0.9,"[0, 0, 2, 0, 0]",95.4,[3 2 4 3 6],95.4,155.70000000000002,False,True,False,False,True
26,3,1,0.81,[],,[3 2 4 3 6],,,,,,,
27,1,1,1.0,"[7, 2, 3, 0, 2]",285.0,[11  7  5  0  5],,812.0,False,True,False,False,False
27,1,2,1.0,"[7, 2, 3, 0, 2]",666.0,[11  7  5  0  5],666.0,646.0,False,False,False,False,False
28,1,1,1.0,"[1, 2, 0, 3, 3]",1200.0,[5 7 1 7 6],,368.0,False,False,False,False,False
28,1,2,1.0,"[1, 2, 0, 2, 2]",263.0,[5 7 1 7 6],263.0,453.0,False,True,False,False,True
28,2,1,0.9,[],,[5 7 1 7 6],,,,,,,
29,1,1,1.0,"[2, 1, 1, 3, 2]",378.0,[5 3 3 5 4],,75.0,False,False,False,False,False
29,1,2,1.0,"[1, 1, 0, 2, 2]",446.0,[5 3 3 5 4],446.0,501.0,False,True,False,False,True
29,2,1,0.9,"[0, 1, 0, 2, 3]",486.90000000000003,[5 3 3 5 4],486.90000000000003,67.5,False,False,False,False,True
30,1,1,1.0,"[0, 0, 1, 4, 2]",657.0,[3 2 4 6 3],,676.0,False,True,False,False,False
30,1,2,1.0,"[1, 0, 1, 3, 2]",167.0,[3 2 4 6 3],167.0,130.0,False,False,False,False,False
30,2,1,0.9,[],,[3 2 4 6 3],,,,,,,
31,1,1,1.0,"[0, 0, 1, 1, 1]",856.0,[6 0 3 4 4],,486.0,False,False,False,False,False
32,1,1,1.0,"[1, 2, 0, 0, 0]",1280.0,[6 7 3 2 5],,755.0,False,False,False,False,False
32,1,2,1.0,"[3, 2, 0, 0, 0]",385.0,[6 7 3 2 5],385.0,253.0,False,False,False,False,False
