game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 0, 0, 0, 5]",1366.0,[ 3  2  5  3 11],,249.0,False,False,False,False,False
0,1,2,1.0,"[0, 1, 2, 3, 3]",321.0,[ 3  2  5  3 11],321.0,426.0,False,True,False,False,False
0,2,1,0.9,"[0, 0, 2, 3, 0]",1467.0,[ 3  2  5  3 11],1467.0,224.1,False,False,True,False,False
0,2,2,0.9,"[0, 0, 1, 3, 0]",26.1,[ 3  2  5  3 11],26.1,383.40000000000003,False,True,False,False,True
0,3,1,0.81,[],,[ 3  2  5  3 11],,,,,,,
1,1,1,1.0,"[0, 2, 1, 1, 1]",669.0,[3 3 5 4 4],,136.0,False,False,False,False,False
1,1,2,1.0,"[0, 1, 1, 1, 1]",168.0,[3 3 5 4 4],168.0,23.0,False,False,True,False,True
1,2,1,0.9,"[0, 1, 1, 0, 2]",611.1,[3 3 5 4 4],611.1,122.4,False,False,True,False,True
1,2,2,0.9,"[0, 0, 1, 0, 2]",125.10000000000001,[3 3 5 4 4],125.10000000000001,20.7,False,False,True,False,True
1,3,1,0.81,[],,[3 3 5 4 4],,,,,,,
2,1,1,1.0,"[1, 0, 4, 0, 3]",896.0,[4 5 9 1 6],,435.0,False,False,False,False,False
2,1,2,1.0,"[0, 0, 3, 0, 3]",534.0,[4 5 9 1 6],534.0,319.0,False,False,True,False,True
2,2,1,0.9,"[1, 0, 4, 0, 2]",825.3000000000001,[4 5 9 1 6],825.3000000000001,391.5,False,False,True,False,True
2,2,2,0.9,"[0, 0, 4, 0, 2]",491.40000000000003,[4 5 9 1 6],491.40000000000003,287.1,False,False,True,False,True
2,3,1,0.81,[],,[4 5 9 1 6],,,,,,,
3,1,1,1.0,"[0, 3, 0, 4, 1]",548.0,[1 6 4 4 1],,218.0,False,False,False,False,False
3,1,2,1.0,"[0, 2, 0, 4, 1]",157.0,[1 6 4 4 1],157.0,44.0,False,False,True,False,True
3,2,1,0.9,"[0, 1, 0, 4, 1]",581.4,[1 6 4 4 1],581.4,196.20000000000002,False,False,True,False,True
3,2,2,0.9,"[0, 2, 0, 4, 1]",141.3,[1 6 4 4 1],141.3,39.6,False,False,True,False,False
3,3,1,0.81,"[0, 2, 0, 4, 1]",483.57000000000005,[1 6 4 4 1],483.57000000000005,176.58,False,False,False,False,True
4,1,1,1.0,"[0, 5, 0, 3, 0]",707.0,[ 5 10  5  6  4],,641.0,False,False,False,False,False
4,1,2,1.0,"[0, 5, 0, 0, 0]",155.0,[ 5 10  5  6  4],155.0,533.0,False,True,False,False,True
4,2,1,0.9,[],,[ 5 10  5  6  4],,,,,,,
5,1,1,1.0,"[1, 1, 0, 0, 0]",951.0,[6 2 5 3 5],,489.0,False,False,False,False,False
5,1,2,1.0,"[1, 0, 2, 0, 0]",158.0,[6 2 5 3 5],158.0,371.0,False,True,False,False,False
5,2,1,0.9,"[1, 0, 1, 0, 0]",900.9,[6 2 5 3 5],900.9,440.1,False,False,True,False,True
5,2,2,0.9,"[2, 0, 1, 0, 1]",212.4,[6 2 5 3 5],212.4,333.90000000000003,False,True,False,False,False
5,3,1,0.81,[],,[6 2 5 3 5],,,,,,,
7,1,1,1.0,"[0, 3, 0, 2, 4]",607.0,[3 6 1 4 7],,183.0,False,False,False,False,False
8,1,1,1.0,"[0, 0, 0, 1, 1]",886.0,[4 2 4 1 3],,465.0,False,False,False,False,False
8,1,2,1.0,"[1, 0, 0, 0, 0]",61.0,[4 2 4 1 3],61.0,719.0,False,True,False,False,True
8,2,1,0.9,"[0, 0, 0, 1, 0]",878.4,[4 2 4 1 3],878.4,418.5,False,False,True,False,True
8,2,2,0.9,"[1, 0, 0, 0, 0]",54.9,[4 2 4 1 3],54.9,647.1,False,True,False,False,True
8,3,1,0.81,[],,[4 2 4 1 3],,,,,,,
9,1,1,1.0,"[0, 2, 1, 1, 3]",523.0,[1 5 3 5 6],,755.0,False,True,False,False,False
9,1,2,1.0,"[0, 2, 0, 1, 5]",270.0,[1 5 3 5 6],270.0,390.0,False,True,False,False,False
9,2,1,0.9,"[0, 1, 0, 1, 4]",508.5,[1 5 3 5 6],508.5,679.5,False,True,False,False,False
