game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
3,1,1,1,False,False,True,True,True,True,True
3,1,2,2,True,False,True,True,True,True,True
5,1,1,1,True,False,False,False,False,True,True
5,1,2,2,False,False,False,False,False,True,True
5,2,1,1,True,False,True,True,True,True,True
5,2,2,2,False,False,True,True,True,True,True
6,1,1,1,False,False,True,True,False,False,True
6,1,2,2,True,False,True,True,False,False,True
7,1,1,1,False,False,False,False,False,True,True
7,1,2,2,True,False,False,False,False,True,True
8,1,1,1,False,False,False,False,False,True,True
8,1,2,2,True,False,False,False,False,True,True
12,1,1,1,False,False,False,False,False,True,True
12,1,2,2,True,False,False,False,False,True,True
12,2,1,1,True,False,False,False,False,True,True
12,2,2,2,False,False,False,False,False,True,True
13,1,1,1,True,False,False,False,False,True,True
13,1,2,2,False,False,False,False,False,True,True
13,2,1,1,True,False,True,True,True,True,True
13,2,2,2,False,False,True,True,True,True,True
14,1,1,1,True,False,False,False,False,False,True
14,1,2,2,False,False,False,False,False,False,True
14,2,1,1,True,False,True,True,True,False,True
14,2,2,2,False,False,True,True,True,False,True
15,1,1,1,False,False,False,False,False,True,True
15,1,2,2,True,False,False,False,False,True,True
15,2,1,1,False,False,True,True,True,True,True
15,2,2,2,False,False,True,True,True,True,True
16,1,1,1,True,False,True,True,True,False,True
16,1,2,2,False,False,True,True,True,False,True
17,1,1,1,True,False,False,False,False,True,True
17,1,2,2,False,False,False,False,False,True,True
17,2,1,1,True,False,True,True,True,True,True
17,2,2,2,False,False,True,True,True,True,True
18,1,1,1,True,False,False,False,False,True,True
18,1,2,2,False,False,False,False,False,True,True
18,2,1,1,True,False,True,True,True,True,True
18,2,2,2,False,False,True,True,True,True,True
19,1,1,1,False,False,False,False,False,True,True
19,1,2,2,True,False,False,False,False,True,True
21,1,1,1,True,False,False,False,False,True,True
21,1,2,2,False,False,False,False,False,True,True
21,2,1,1,True,False,True,True,True,True,True
21,2,2,2,False,False,True,True,True,True,True
22,1,1,1,True,False,True,True,False,True,True
22,1,2,2,False,False,True,True,False,True,True
24,1,1,1,True,False,False,False,False,True,True
24,1,2,2,False,False,False,False,False,True,True
26,1,1,1,True,False,True,True,True,True,True
26,1,2,2,True,False,True,True,True,True,True
27,1,1,1,True,False,False,False,False,True,True
27,1,2,2,False,False,False,False,False,True,True
27,2,1,1,True,False,True,True,True,True,True
27,2,2,2,False,False,True,True,True,True,True
28,1,1,1,False,False,False,False,False,True,True
28,1,2,2,True,False,False,False,False,True,True
28,2,1,1,False,False,True,True,True,True,True
28,2,2,2,True,False,True,True,True,True,True
29,1,1,1,True,False,True,True,True,True,True
29,1,2,2,False,False,True,True,True,True,True
30,1,1,1,True,False,False,False,False,False,True
30,1,2,2,False,False,False,False,False,False,True
33,1,1,1,True,False,True,True,True,True,True
33,1,2,2,False,False,True,True,True,True,True
35,1,1,1,True,False,False,False,False,True,True
35,1,2,2,False,False,False,False,False,True,True
35,2,1,1,True,False,True,True,True,True,True
35,2,2,2,False,False,True,True,True,True,True
36,1,1,1,True,False,True,False,False,False,True
36,1,2,2,False,False,True,False,False,False,True
38,1,1,1,False,False,False,False,False,True,True
38,1,2,2,True,False,False,False,False,True,True
38,2,1,1,False,False,True,True,True,True,True
38,2,2,2,False,False,True,True,True,True,True
39,1,1,1,False,False,False,False,False,True,True
39,1,2,2,True,False,False,False,False,True,True
39,2,1,1,False,False,True,True,True,True,True
39,2,2,2,True,False,True,True,True,True,True
40,1,1,1,True,False,False,False,False,True,True
40,1,2,2,False,False,False,False,False,True,True
40,2,1,1,True,False,True,True,True,True,True
40,2,2,2,False,False,True,True,True,True,True
41,1,1,1,True,False,True,True,True,True,True
41,1,2,2,False,False,True,True,True,True,True
43,1,1,1,True,False,False,False,False,True,True
43,1,2,2,False,False,False,False,False,True,True
43,2,1,1,True,False,True,True,True,True,True
43,2,2,2,False,False,True,True,True,True,True
44,1,1,1,True,False,False,False,False,True,True
44,1,2,2,False,False,False,False,False,True,True
44,2,1,1,True,False,True,True,True,True,True
44,2,2,2,False,False,True,True,True,True,True
47,1,1,1,True,False,False,False,False,False,True
47,1,2,2,False,False,False,False,False,False,True
48,1,1,1,True,False,False,False,False,True,True
48,1,2,2,False,False,False,False,False,True,True
49,1,1,1,False,False,False,False,False,True,True
49,1,2,2,True,False,False,False,False,True,True
49,2,1,1,False,False,False,False,False,True,True
49,2,2,2,True,False,False,False,False,True,True
51,1,1,1,False,False,False,False,False,True,True
51,1,2,2,True,False,False,False,False,True,True
51,2,1,1,False,False,True,True,True,True,True
51,2,2,2,True,False,True,True,True,True,True
52,1,1,1,False,False,False,False,False,False,True
52,1,2,2,True,False,False,False,False,False,True
52,2,1,1,False,False,True,True,True,False,True
52,2,2,2,True,False,True,True,True,False,True
53,1,1,1,True,False,False,False,False,True,True
53,1,2,2,False,False,False,False,False,True,True
54,1,1,1,True,False,False,False,False,False,True
54,1,2,2,False,False,False,False,False,False,True
54,2,1,1,True,False,True,True,True,False,True
54,2,2,2,False,False,True,True,True,False,True
55,1,1,1,True,False,False,False,False,True,True
55,1,2,2,False,False,False,False,False,True,True
55,2,1,1,True,False,True,True,True,True,True
55,2,2,2,False,False,True,True,True,True,True
57,1,1,1,True,False,True,False,True,False,True
57,1,2,2,False,False,True,False,True,False,True
59,1,1,1,True,False,False,False,False,True,True
59,1,2,2,False,False,False,False,False,True,True
59,2,1,1,True,False,True,True,False,True,True
59,2,2,2,False,False,True,True,False,True,True
60,1,1,1,False,False,False,False,False,False,True
60,1,2,2,True,False,False,False,False,False,True
60,2,1,1,True,False,True,True,False,False,True
60,2,2,2,False,False,True,True,False,False,True
61,1,1,1,False,False,False,False,False,True,True
61,1,2,2,True,False,False,False,False,True,True
63,1,1,1,True,False,False,False,False,True,True
63,1,2,2,False,False,False,False,False,True,True
64,1,1,1,False,False,False,False,False,True,True
64,1,2,2,True,False,False,False,False,True,True
64,2,1,1,True,False,True,True,True,True,True
64,2,2,2,False,False,True,True,True,True,True
65,1,1,1,True,False,False,False,False,False,True
65,1,2,2,False,False,False,False,False,False,True
66,1,1,1,True,False,False,False,False,False,True
66,1,2,2,False,False,False,False,False,False,True
67,1,1,1,False,False,True,True,True,False,True
67,1,2,2,False,False,True,True,True,False,True
68,1,1,1,True,False,True,True,True,False,True
68,1,2,2,True,False,True,True,True,False,True
69,1,1,1,True,False,False,False,False,False,True
69,1,2,2,False,False,False,False,False,False,True
70,1,1,1,False,False,True,True,True,False,True
70,1,2,2,True,False,True,True,True,False,True
72,1,1,1,True,False,False,False,False,False,True
72,1,2,2,False,False,False,False,False,False,True
73,1,1,1,True,False,True,True,True,True,True
73,1,2,2,False,False,True,True,True,True,True
74,1,1,1,True,False,False,False,False,True,True
74,1,2,2,False,False,False,False,False,True,True
74,2,1,1,True,False,True,True,True,True,True
74,2,2,2,False,False,True,True,True,True,True
75,1,1,1,True,False,True,True,False,False,True
75,1,2,2,False,False,True,True,False,False,True
76,1,1,1,False,False,False,False,False,True,True
76,1,2,2,False,False,False,False,False,True,True
