game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 2, 4, 1, 2]",609.0,[3 6 8 2 3],,17.0,False,False,False,False,False
0,1,2,1.0,"[0, 0, 5, 0, 2]",272.0,[3 6 8 2 3],272.0,686.0,False,True,False,False,True
0,2,1,0.9,"[1, 3, 5, 1, 2]",468.90000000000003,[3 6 8 2 3],468.90000000000003,15.3,False,False,True,False,True
0,2,2,0.9,"[0, 1, 6, 1, 2]",379.8,[3 6 8 2 3],379.8,617.4,False,True,False,False,True
0,3,1,0.81,[],,[3 6 8 2 3],,,,,,,
1,1,1,1.0,"[1, 1, 3, 3, 0]",333.0,[3 3 5 4 1],,691.0,False,True,False,False,False
1,1,2,1.0,"[1, 1, 3, 2, 0]",68.0,[3 3 5 4 1],68.0,303.0,False,True,False,False,True
1,2,1,0.9,"[1, 2, 2, 1, 0]",261.90000000000003,[3 3 5 4 1],261.90000000000003,621.9,False,True,False,False,True
2,1,1,1.0,"[0, 0, 0, 0, 0]",1264.0,[3 1 6 4 2],,726.0,False,False,False,True,False
2,1,2,1.0,"[0, 0, 3, 1, 2]",262.0,[3 1 6 4 2],262.0,792.0,False,True,False,False,False
2,2,1,0.9,[],,[3 1 6 4 2],,,,,,,
3,1,1,1.0,"[0, 0, 2, 0, 3]",1210.0,[6 3 5 2 7],,191.0,False,False,False,False,False
3,1,2,1.0,"[0, 0, 1, 0, 3]",208.0,[6 3 5 2 7],208.0,751.0,False,True,False,False,True
3,2,1,0.9,"[0, 0, 1, 0, 2]",1177.2,[6 3 5 2 7],1177.2,171.9,False,False,True,False,True
3,2,2,0.9,"[0, 1, 1, 0, 3]",200.70000000000002,[6 3 5 2 7],200.70000000000002,675.9,False,True,False,False,False
3,3,1,0.81,[],,[6 3 5 2 7],,,,,,,
4,1,1,1.0,"[2, 0, 0, 1, 1]",1235.0,[5 4 1 6 4],,70.0,False,False,False,False,False
4,1,2,1.0,"[1, 0, 0, 1, 0]",95.0,[5 4 1 6 4],95.0,199.0,False,True,False,False,True
4,2,1,0.9,"[1, 0, 0, 0, 1]",1254.6000000000001,[5 4 1 6 4],1254.6000000000001,63.0,False,False,True,False,True
4,2,2,0.9,"[3, 0, 0, 1, 0]",177.3,[5 4 1 6 4],177.3,179.1,False,True,False,False,False
4,3,1,0.81,[],,[5 4 1 6 4],,,,,,,
5,1,1,1.0,"[0, 0, 0, 2, 5]",1304.0,[4 6 4 5 6],,88.0,False,False,False,False,False
6,1,1,1.0,"[0, 0, 1, 2, 3]",844.0,[2 2 3 4 7],,178.0,False,False,False,False,False
7,1,1,1.0,"[2, 1, 2, 1, 3]",805.0,[5 2 6 3 6],,217.0,False,False,False,False,False
8,1,1,1.0,"[2, 0, 0, 0, 0]",1042.0,[5 3 1 5 5],,604.0,False,False,False,False,False
