game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,[],,[6 1 2 2 2],,,,,,,
1,1,1,1.0,"[0, 0, 0, 0, 0]",1272.0,[4 3 6 7 3],,121.0,False,False,False,True,False
1,1,2,1.0,"[4, 3, 6, 7, 3]",1184.0,[4 3 6 7 3],1184.0,747.0,False,False,True,True,False
1,2,1,0.9,"[0, 0, 0, 0, 0]",1144.8,[4 3 6 7 3],1144.8,108.9,False,False,True,True,False
2,1,1,1.0,"[0, 0, 0, 0, 0]",622.0,[4 7 4 5 2],,138.0,False,False,False,True,False
2,1,2,1.0,"[0, 0, 0, 0, 0]",0.0,[4 7 4 5 2],0.0,642.0,False,True,False,True,False
2,2,1,0.9,"[0, 0, 0, 0, 0]",559.8000000000001,[4 7 4 5 2],559.8000000000001,124.2,False,False,True,True,True
3,1,1,1.0,"[0, 0, 0, 0, 0]",1247.0,[7 3 6 4 2],,120.0,False,False,False,True,False
3,1,2,1.0,"[7, 3, 6, 4, 2]",821.0,[7 3 6 4 2],821.0,828.0,False,True,False,True,False
3,2,1,0.9,"[0, 1, 0, 0, 0]",1047.6000000000001,[7 3 6 4 2],1047.6000000000001,108.0,False,False,True,False,False
3,2,2,0.9,"[7, 2, 6, 4, 2]",735.3000000000001,[7 3 6 4 2],735.3000000000001,745.2,False,True,False,False,False
3,3,1,0.81,[],,[7 3 6 4 2],,,,,,,
4,1,1,1.0,"[0, 0, 0, 0, 0]",1088.0,[5 0 2 2 5],,893.0,False,False,False,True,False
4,1,2,1.0,"[5, 0, 2, 2, 5]",1074.0,[5 0 2 2 5],1074.0,367.0,False,False,True,True,False
4,2,1,0.9,[],,[5 0 2 2 5],,,,,,,
5,1,1,1.0,"[0, 0, 2, 0, 0]",667.0,[6 4 5 3 5],,832.0,False,True,False,False,False
