game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,[],,[3 3 5 4 2],,,,,,,
1,1,1,1.0,"[0, 5, 3, 3, 2]",707.0,[2 9 7 6 4],,662.0,False,False,False,False,False
1,1,2,1.0,"[0, 3, 3, 2, 0]",153.0,[2 9 7 6 4],153.0,565.0,False,True,False,False,True
1,2,1,0.9,[],,[2 9 7 6 4],,,,,,,
2,1,1,1.0,"[0, 0, 2, 2, 0]",597.0,[2 3 5 5 0],,664.0,False,True,False,False,False
3,1,1,1.0,"[0, 0, 0, 4, 5]",748.0,[6 5 2 4 5],,897.0,False,True,False,False,False
3,1,2,1.0,"[1, 1, 1, 0, 0]",238.0,[6 5 2 4 5],238.0,43.0,False,False,True,False,True
3,2,1,0.9,[],,[6 5 2 4 5],,,,,,,
4,1,1,1.0,"[1, 3, 0, 1, 2]",813.0,[3 7 1 3 5],,555.0,False,False,False,False,False
4,1,2,1.0,"[0, 1, 0, 0, 1]",97.0,[3 7 1 3 5],97.0,375.0,False,True,False,False,True
4,2,1,0.9,"[0, 1, 0, 0, 0]",1097.1000000000001,[3 7 1 3 5],1097.1000000000001,499.5,False,False,True,False,True
5,1,1,1.0,"[0, 1, 2, 0, 1]",455.0,[3 3 4 3 4],,860.0,False,True,False,False,False
5,1,2,1.0,"[0, 0, 3, 0, 2]",365.0,[3 3 4 3 4],365.0,761.0,False,True,False,False,False
5,2,1,0.9,"[1, 0, 3, 1, 0]",385.2,[3 3 4 3 4],385.2,774.0,False,True,False,False,True
5,2,2,0.9,"[0, 0, 3, 0, 1]",284.40000000000003,[3 3 4 3 4],284.40000000000003,684.9,False,True,False,False,True
5,3,1,0.81,[],,[3 3 4 3 4],,,,,,,
6,1,1,1.0,"[0, 0, 0, 0, 0]",1193.0,[6 3 4 3 7],,677.0,False,False,False,True,False
6,1,2,1.0,"[6, 3, 3, 0, 7]",413.0,[6 3 4 3 7],413.0,828.0,False,True,False,False,False
6,2,1,0.9,[],,[6 3 4 3 7],,,,,,,
7,1,1,1.0,"[0, 1, 1, 0, 1]",949.0,[2 3 4 4 4],,394.0,False,False,False,False,False
7,1,2,1.0,"[0, 0, 0, 0, 0]",0.0,[2 3 4 4 4],0.0,792.0,False,True,False,True,True
7,2,1,0.9,"[0, 0, 0, 0, 0]",1031.4,[2 3 4 4 4],1031.4,354.6,False,False,True,True,True
8,1,1,1.0,"[3, 0, 1, 2, 0]",593.0,[10  2  1  4  2],,39.0,False,False,False,False,False
8,1,2,1.0,"[5, 0, 0, 0, 0]",155.0,[10  2  1  4  2],155.0,373.0,False,True,False,False,True
8,2,1,0.9,"[5, 0, 0, 0, 1]",556.2,[10  2  1  4  2],556.2,35.1,False,False,True,False,True
8,2,2,0.9,"[5, 0, 0, 0, 0]",139.5,[10  2  1  4  2],139.5,335.7,False,True,False,False,True
8,3,1,0.81,[],,[10  2  1  4  2],,,,,,,
9,1,1,1.0,"[0, 2, 0, 0, 0]",796.0,[2 6 2 5 0],,391.0,False,False,False,False,False
9,1,2,1.0,"[0, 2, 0, 0, 0]",76.0,[2 6 2 5 0],76.0,165.0,False,True,False,False,False
9,2,1,0.9,"[0, 1, 0, 2, 0]",727.2,[2 6 2 5 0],727.2,351.90000000000003,False,False,True,False,True
9,2,2,0.9,"[0, 0, 0, 1, 0]",35.1,[2 6 2 5 0],35.1,148.5,False,True,False,False,True
9,3,1,0.81,[],,[2 6 2 5 0],,,,,,,
10,1,1,1.0,"[0, 2, 0, 0, 0]",1151.0,[2 6 2 3 3],,138.0,False,False,False,False,False
10,1,2,1.0,"[0, 0, 0, 0, 0]",0.0,[2 6 2 3 3],0.0,939.0,False,True,False,True,True
10,2,1,0.9,"[0, 2, 1, 0, 0]",945.9,[2 6 2 3 3],945.9,124.2,False,False,True,False,True
11,1,1,1.0,"[0, 0, 4, 2, 0]",745.0,[2 2 9 4 2],,512.0,False,False,False,False,False
11,1,2,1.0,"[0, 0, 2, 0, 0]",138.0,[2 2 9 4 2],138.0,236.0,False,True,False,False,True
11,2,1,0.9,"[0, 0, 3, 0, 0]",860.4,[2 2 9 4 2],860.4,460.8,False,False,True,False,True
11,2,2,0.9,"[0, 0, 2, 1, 0]",144.9,[2 2 9 4 2],144.9,212.4,False,True,False,False,True
11,3,1,0.81,[],,[2 2 9 4 2],,,,,,,
12,1,1,1.0,"[4, 3, 2, 1, 2]",1054.0,[8 6 5 5 4],,559.0,False,False,False,False,False
12,1,2,1.0,"[3, 2, 1, 0, 0]",416.0,[8 6 5 5 4],416.0,427.0,False,True,False,False,True
12,2,1,0.9,"[3, 2, 0, 0, 0]",1317.6000000000001,[8 6 5 5 4],1317.6000000000001,503.1,False,False,True,False,True
13,1,1,1.0,"[0, 0, 0, 0, 8]",460.0,[0 1 3 3 8],,882.0,False,True,False,False,False
13,1,2,1.0,"[0, 0, 0, 0, 0]",0.0,[0 1 3 3 8],0.0,612.0,False,True,False,True,True
13,2,1,0.9,"[0, 0, 0, 3, 8]",297.90000000000003,[0 1 3 3 8],297.90000000000003,793.8000000000001,False,True,False,False,True
14,1,1,1.0,"[1, 0, 2, 1, 0]",499.0,[2 2 5 2 5],,375.0,False,False,False,False,False
15,1,1,1.0,"[0, 0, 1, 0, 0]",883.0,[3 0 6 3 2],,927.0,False,True,False,False,False
15,1,2,1.0,"[0, 0, 0, 1, 1]",106.0,[3 0 6 3 2],106.0,132.0,False,True,False,False,False
15,2,1,0.9,[],,[3 0 6 3 2],,,,,,,
16,1,1,1.0,"[0, 0, 0, 0, 0]",806.0,[2 3 2 6 3],,898.0,False,True,False,True,False
16,1,2,1.0,"[0, 1, 1, 4, 0]",269.0,[2 3 2 6 3],269.0,58.0,False,False,True,False,False
16,2,1,0.9,"[0, 0, 0, 3, 0]",517.5,[2 3 2 6 3],517.5,808.2,False,True,False,False,False
