game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 0, 2, 0, 5]",1212.0,[6 6 5 6 5],,945.0,False,False,False,False,False
0,1,2,1.0,"[0, 0, 0, 0, 5]",155.0,[6 6 5 6 5],155.0,315.0,False,True,False,False,True
0,2,1,0.9,"[0, 0, 0, 1, 5]",1161.0,[6 6 5 6 5],1161.0,850.5,False,False,True,False,True
0,2,2,0.9,"[0, 0, 0, 0, 5]",139.5,[6 6 5 6 5],139.5,283.5,False,True,False,False,True
0,3,1,0.81,[],,[6 6 5 6 5],,,,,,,
1,1,1,1.0,"[1, 0, 0, 2, 2]",343.0,[2 2 1 4 4],,408.0,False,True,False,False,False
2,1,1,1.0,"[1, 2, 1, 2, 1]",1306.0,[4 5 4 8 5],,220.0,False,False,False,False,False
2,1,2,1.0,"[0, 1, 0, 1, 0]",137.0,[4 5 4 8 5],137.0,175.0,False,True,False,False,True
2,2,1,0.9,"[0, 1, 0, 0, 0]",1548.0,[4 5 4 8 5],1548.0,198.0,False,False,True,False,True
2,2,2,0.9,"[0, 1, 0, 1, 0]",123.3,[4 5 4 8 5],123.3,157.5,False,True,False,False,False
2,3,1,0.81,[],,[4 5 4 8 5],,,,,,,
3,1,1,1.0,"[0, 2, 3, 1, 5]",492.0,[3 6 5 3 7],,509.0,False,True,False,False,False
3,1,2,1.0,"[0, 2, 2, 0, 3]",553.0,[3 6 5 3 7],553.0,454.0,False,False,True,False,True
3,2,1,0.9,"[0, 1, 2, 0, 3]",577.8000000000001,[3 6 5 3 7],577.8000000000001,458.1,False,False,True,False,True
3,2,2,0.9,"[0, 1, 2, 0, 2]",347.40000000000003,[3 6 5 3 7],347.40000000000003,408.6,False,True,False,False,True
3,3,1,0.81,[],,[3 6 5 3 7],,,,,,,
4,1,1,1.0,"[1, 0, 0, 6, 0]",900.0,[6 4 4 6 5],,699.0,False,False,False,False,False
4,1,2,1.0,"[1, 1, 1, 2, 1]",401.0,[6 4 4 6 5],401.0,95.0,False,False,True,False,True
