game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
0,1,1,1,False,False,True,False,False,False,True
0,1,2,2,True,False,True,False,False,False,True
1,1,1,1,False,False,False,False,False,True,True
1,1,2,2,True,False,False,False,False,True,True
1,2,1,1,True,False,True,True,True,True,True
1,2,2,2,True,False,True,True,True,True,True
2,1,1,1,False,False,False,False,False,True,True
2,1,2,2,True,False,False,False,False,True,True
2,2,1,1,False,False,False,False,False,True,True
2,2,2,2,False,False,False,False,False,True,True
3,1,1,1,True,False,False,False,False,False,False
3,1,2,2,False,False,False,False,False,False,False
3,2,1,1,False,False,False,False,False,False,False
3,2,2,2,False,False,False,False,False,False,False
4,1,1,1,False,False,False,False,False,False,True
4,1,2,2,False,False,False,False,False,False,True
5,1,1,1,False,False,False,False,False,True,True
5,1,2,2,True,False,False,False,False,True,True
5,2,1,1,True,False,False,False,False,True,True
5,2,2,2,False,False,False,False,False,True,True
6,1,1,1,False,False,False,False,False,False,True
6,1,2,2,False,False,False,False,False,False,True
6,2,1,1,False,False,False,False,False,False,True
6,2,2,2,False,False,False,False,False,False,True
7,1,1,1,False,False,False,False,False,False,True
7,1,2,2,False,False,False,False,False,False,True
7,2,1,1,False,False,False,False,False,False,True
7,2,2,2,False,False,False,False,False,False,True
8,1,1,1,False,False,False,False,False,False,False
8,1,2,2,False,False,False,False,False,False,False
8,2,1,1,False,False,False,False,False,False,False
8,2,2,2,False,False,False,False,False,False,False
9,1,1,1,False,False,False,False,False,False,False
9,1,2,2,True,False,False,False,False,False,False
9,2,1,1,False,False,False,False,False,False,False
9,2,2,2,True,False,False,False,False,False,False
10,1,1,1,False,False,False,False,False,False,True
10,1,2,2,False,False,False,False,False,False,True
10,2,1,1,False,False,False,False,False,False,True
10,2,2,2,False,False,False,False,False,False,True
11,1,1,1,False,False,False,False,False,False,True
11,1,2,2,False,False,False,False,False,False,True
11,2,1,1,False,False,False,False,False,False,True
11,2,2,2,False,False,False,False,False,False,True
12,1,1,1,False,False,False,False,False,True,True
12,1,2,2,False,False,False,False,False,True,True
12,2,1,1,False,False,False,False,False,True,True
12,2,2,2,False,False,False,False,False,True,True
13,1,1,1,False,False,False,False,False,False,True
13,1,2,2,False,False,False,False,False,False,True
14,1,1,1,False,False,False,False,False,True,True
14,1,2,2,True,False,False,False,False,True,True
14,2,1,1,False,False,False,False,False,True,True
14,2,2,2,True,False,False,False,False,True,True
15,1,1,1,False,False,False,False,False,False,False
15,1,2,2,True,False,False,False,False,False,False
15,2,1,1,False,False,False,False,False,False,False
15,2,2,2,True,False,False,False,False,False,False
16,1,1,1,False,False,False,False,False,True,True
16,1,2,2,True,False,False,False,False,True,True
16,2,1,1,False,False,False,False,False,True,True
16,2,2,2,True,False,False,False,False,True,True
17,1,1,1,False,False,False,False,False,False,False
17,1,2,2,False,False,False,False,False,False,False
17,2,1,1,False,False,False,False,False,False,False
17,2,2,2,True,False,False,False,False,False,False
18,1,1,1,False,False,False,False,False,True,True
18,1,2,2,False,False,False,False,False,True,True
18,2,1,1,False,False,False,False,False,True,True
18,2,2,2,False,False,False,False,False,True,True
19,1,1,1,False,False,False,False,False,False,False
19,1,2,2,True,False,False,False,False,False,False
19,2,1,1,False,False,True,False,False,False,False
