game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
1,1,1,1,True,False,True,True,True,True,True
1,1,2,2,True,False,True,True,True,True,True
55,1,1,1,True,False,True,True,True,False,True
55,1,2,2,True,False,True,True,True,False,True
56,1,1,1,True,False,True,True,False,False,True
56,1,2,2,False,False,True,True,False,False,True
75,1,1,1,True,False,True,True,True,False,True
75,1,2,2,False,False,True,True,True,False,True
76,1,1,1,True,False,True,False,False,False,True
76,1,2,2,True,False,True,False,False,False,True
91,1,1,1,True,False,True,True,True,True,True
91,1,2,2,True,False,True,True,True,True,True
