game_id,total_rounds,player1_outside_value,player2_outside_value,total_items
1,2,20,634,5
2,2,180,130,5
3,2,347,293,5
4,2,27,590,5
5,2,321,249,5
6,2,147,140,5
7,2,262,202,5
8,2,164,280,5
9,2,159,84,5
10,2,144,191,5
11,2,81,317,5
12,2,203,402,5
13,2,250,22,5
14,1,72,150,5
15,2,132,339,5
16,2,169,14,5
17,2,533,321,5
18,2,54,184,5
19,2,591,341,5
20,1,219,147,5
21,3,260,2,5
22,1,294,264,5
23,1,42,455,5
24,2,273,192,5
25,1,56,200,5
26,0,52,114,5
27,2,627,351,5
28,2,143,406,5
29,2,474,72,5
30,2,104,65,5
31,2,551,404,5
32,1,312,33,5
33,2,70,199,5
34,2,391,162,5
35,2,105,82,5
36,1,566,709,5
37,1,80,684,5
38,1,87,120,5
39,2,166,304,5
40,2,158,166,5
41,2,354,336,5
42,2,269,572,5
43,2,66,28,5
44,2,195,55,5
45,2,370,136,5
46,1,169,307,5
47,1,187,53,5
48,1,204,236,5
49,1,278,351,5
50,2,463,194,5
51,2,31,295,5
52,2,298,190,5
53,2,196,346,5
54,2,68,305,5
55,2,173,10,5
56,2,385,291,5
57,2,784,701,5
58,2,493,177,5
59,2,243,221,5
60,3,102,342,5
61,2,281,358,5
62,2,36,212,5
63,2,323,340,5
64,2,242,366,5
65,1,190,40,5
66,2,176,309,5
67,2,146,19,5
68,2,383,270,5
69,2,766,180,5
70,3,447,351,5
71,1,215,220,5
72,2,413,35,5
73,2,291,346,5
74,3,448,417,5
75,2,144,514,5
76,2,50,207,5
77,2,62,217,5
78,2,165,177,5
79,3,244,80,5
80,2,401,358,5
81,3,609,382,5
82,1,72,288,5
83,0,291,76,5
84,2,37,67,5
85,3,84,480,5
86,2,557,258,5
87,2,162,73,5
88,1,80,383,5
89,2,330,417,5
90,2,133,161,5
91,2,27,395,5
92,2,382,83,5
93,1,135,252,5
94,2,139,404,5
95,2,97,46,5
96,2,470,427,5
97,2,635,57,5
98,2,150,424,5
99,2,156,588,5
100,1,228,101,5
