game_id,total_rounds,player1_outside_value,player2_outside_value,total_items
1,1,166,103,5
2,1,44,480,5
3,2,401,1614,5
4,2,582,140,5
5,0,283,774,5
6,1,442,476,5
7,1,255,53,5
8,0,46,795,5
9,1,225,132,5
10,1,388,936,5
11,1,251,122,5
12,1,352,512,5
13,1,363,445,5
14,1,504,991,5
15,1,269,96,5
16,1,806,86,5
17,1,1128,18,5
18,1,562,249,5
19,1,975,158,5
20,1,1106,658,5
21,1,4,181,5
22,1,124,241,5
23,2,776,15,5
24,1,159,726,5
25,1,13,692,5
26,1,1035,28,5
27,1,862,1068,5
28,1,56,637,5
29,2,397,330,5
30,1,87,444,5
31,0,1296,996,5
32,0,919,774,5
33,0,826,823,5
34,1,336,145,5
35,1,413,14,5
36,1,491,425,5
37,1,257,55,5
38,1,901,12,5
39,1,824,1016,5
40,1,354,433,5
41,1,578,176,5
42,2,624,708,5
43,1,28,1063,5
44,1,70,117,5
45,1,314,749,5
46,1,187,151,5
47,1,227,344,5
48,2,1222,888,5
49,1,637,301,5
50,0,347,75,5
51,1,37,632,5
52,2,634,750,5
53,0,116,901,5
54,1,703,518,5
55,1,23,399,5
56,0,412,548,5
57,1,677,281,5
58,1,760,199,5
59,1,52,869,5
60,1,700,397,5
61,2,690,163,5
62,1,949,909,5
63,1,363,423,5
64,1,376,119,5
65,1,766,102,5
66,1,157,9,5
67,2,526,424,5
68,1,862,405,5
69,0,265,514,5
70,2,560,323,5
71,1,990,26,5
72,1,619,1047,5
73,1,297,1,5
74,2,723,978,5
75,2,415,718,5
76,1,333,354,5
77,1,1278,371,5
78,1,735,317,5
79,0,275,1516,5
80,1,221,93,5
81,0,588,1075,5
82,1,472,196,5
83,1,233,227,5
84,2,775,602,5
85,1,175,464,5
86,1,267,1243,5
87,1,363,236,5
88,1,1225,546,5
89,0,966,880,5
90,1,9,429,5
91,1,1611,1446,5
92,2,487,1092,5
93,2,870,471,5
94,1,781,47,5
95,1,1743,777,5
96,1,122,27,5
97,1,271,243,5
98,2,415,511,5
99,1,210,548,5
100,1,1411,125,5
