game_id,player_id,total_value,outside_value,num_offers
1,1,939,166,1
1,2,1354,103,2
2,1,945,44,1
2,2,735,480,2
3,1,735,401,2
3,2,1726,1614,2
4,1,1111,582,2
4,2,492,140,2
5,1,664,283,0
5,2,818,774,1
6,1,1228,442,1
6,2,1363,476,1
7,1,1791,255,1
7,2,490,53,1
8,1,1233,46,0
8,2,1000,795,1
9,1,1347,225,1
9,2,753,132,1
10,1,1492,388,1
10,2,1349,936,2
11,1,2280,251,1
11,2,1770,122,1
12,1,908,352,1
12,2,619,512,2
13,1,942,363,1
13,2,1840,445,1
14,1,510,504,1
14,2,1096,991,1
15,1,1104,269,1
15,2,1392,96,1
16,1,1183,806,1
16,2,1282,86,1
17,1,1456,1128,1
17,2,957,18,1
18,1,727,562,1
18,2,904,249,1
19,1,1069,975,1
19,2,755,158,1
20,1,1497,1106,1
20,2,1035,658,1
21,1,345,4,1
21,2,1058,181,1
22,1,1008,124,1
22,2,713,241,1
23,1,888,776,2
23,2,701,15,2
24,1,916,159,1
24,2,825,726,2
25,1,832,13,1
25,2,1603,692,1
26,1,1640,1035,1
26,2,1352,28,1
27,1,1149,862,1
27,2,1090,1068,1
28,1,672,56,1
28,2,956,637,2
29,1,599,397,2
29,2,552,330,2
30,1,448,87,1
30,2,616,444,2
31,1,1544,1296,0
31,2,1049,996,1
32,1,1016,919,0
32,2,1129,774,1
33,1,1070,826,0
33,2,878,823,1
34,1,741,336,1
34,2,703,145,1
35,1,447,413,1
35,2,741,14,1
36,1,611,491,1
36,2,429,425,2
37,1,1192,257,1
37,2,1457,55,1
38,1,1066,901,1
38,2,1508,12,1
39,1,963,824,1
39,2,1177,1016,1
40,1,503,354,1
40,2,1021,433,1
41,1,797,578,1
41,2,945,176,1
42,1,837,624,2
42,2,1010,708,2
43,1,788,28,1
43,2,1843,1063,2
44,1,1301,70,1
44,2,1409,117,1
45,1,587,314,1
45,2,984,749,2
46,1,333,187,1
46,2,678,151,1
47,1,1284,227,1
47,2,864,344,2
48,1,1653,1222,2
48,2,1387,888,2
49,1,1059,637,1
49,2,764,301,2
50,1,832,347,0
50,2,342,75,0
51,1,1214,37,1
51,2,1257,632,2
52,1,1717,634,2
52,2,1870,750,2
53,1,1250,116,0
53,2,1000,901,1
54,1,1490,703,1
54,2,1751,518,1
55,1,635,23,1
55,2,1102,399,1
56,1,636,412,0
56,2,1063,548,0
57,1,1072,677,1
57,2,1481,281,1
58,1,879,760,1
58,2,1056,199,1
59,1,1009,52,1
59,2,1050,869,2
60,1,1218,700,1
60,2,769,397,2
61,1,1140,690,2
61,2,1320,163,2
62,1,1408,949,1
62,2,1248,909,2
63,1,1115,363,1
63,2,650,423,2
64,1,986,376,1
64,2,602,119,1
65,1,794,766,1
65,2,1164,102,1
66,1,1110,157,1
66,2,999,9,1
67,1,964,526,2
67,2,996,424,2
68,1,1076,862,1
68,2,823,405,1
69,1,453,265,0
69,2,566,514,1
70,1,690,560,2
70,2,989,323,2
71,1,1256,990,1
71,2,1277,26,1
72,1,980,619,1
72,2,1326,1047,1
73,1,892,297,1
73,2,1106,1,1
74,1,1693,723,2
74,2,1418,978,3
75,1,1646,415,2
75,2,914,718,2
76,1,1151,333,1
76,2,1412,354,1
77,1,1533,1278,1
77,2,1275,371,1
78,1,947,735,1
78,2,649,317,1
79,1,1726,275,0
79,2,1562,1516,1
80,1,762,221,1
80,2,832,93,1
81,1,691,588,0
81,2,1237,1075,1
82,1,758,472,1
82,2,1051,196,1
83,1,1228,233,1
83,2,1334,227,1
84,1,839,775,2
84,2,872,602,2
85,1,517,175,1
85,2,957,464,1
86,1,1205,267,1
86,2,1308,1243,2
87,1,1177,363,1
87,2,1406,236,1
88,1,1452,1225,1
88,2,1294,546,1
89,1,1138,966,0
89,2,1628,880,0
90,1,1388,9,1
90,2,953,429,1
91,1,1614,1611,1
91,2,1709,1446,2
92,1,1010,487,2
92,2,1534,1092,2
93,1,940,870,2
93,2,841,471,2
94,1,1458,781,1
94,2,882,47,1
95,1,1992,1743,1
95,2,820,777,1
96,1,620,122,1
96,2,510,27,1
97,1,477,271,1
97,2,940,243,1
98,1,586,415,2
98,2,1000,511,2
99,1,662,210,1
99,2,651,548,1
100,1,1526,1411,1
100,2,1358,125,1
