game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 2, 1, 2, 2]",382.0,[2 5 3 3 4],,20.0,False,False,False,False,False
0,1,2,1.0,"[1, 3, 2, 1, 2]",402.0,[2 5 3 3 4],402.0,67.0,False,False,True,False,True
0,2,1,0.9,"[1, 3, 1, 1, 3]",280.8,[2 5 3 3 4],280.8,18.0,False,False,True,False,True
0,2,2,0.9,"[1, 2, 2, 1, 2]",316.8,[2 5 3 3 4],316.8,60.300000000000004,False,False,True,False,True
0,3,1,0.81,"[1, 2, 2, 1, 2]",289.98,[2 5 3 3 4],289.98,16.200000000000003,False,False,False,False,True
1,1,1,1.0,"[3, 4, 2, 2, 3]",609.0,[6 9 3 4 6],,866.0,False,True,False,False,False
1,1,2,1.0,"[2, 3, 1, 1, 2]",348.0,[6 9 3 4 6],348.0,747.0,False,True,False,False,True
1,2,1,0.9,"[2, 4, 1, 2, 3]",581.4,[6 9 3 4 6],581.4,779.4,False,True,False,False,True
1,2,2,0.9,"[3, 3, 1, 2, 2]",386.1,[6 9 3 4 6],386.1,672.3000000000001,False,True,False,False,True
1,3,1,0.81,[],,[6 9 3 4 6],,,,,,,
2,1,1,1.0,"[3, 4, 1, 3, 3]",784.0,[7 8 2 5 6],,770.0,False,False,False,False,False
2,1,2,1.0,"[4, 3, 1, 2, 3]",828.0,[7 8 2 5 6],828.0,188.0,False,False,True,False,True
2,2,1,0.9,"[4, 4, 1, 2, 3]",691.2,[7 8 2 5 6],691.2,693.0,False,True,False,False,True
2,2,2,0.9,"[3, 4, 1, 2, 2]",711.9,[7 8 2 5 6],711.9,169.20000000000002,False,False,True,False,True
2,3,1,0.81,"[3, 4, 1, 2, 2]",690.12,[7 8 2 5 6],690.12,623.7,False,False,False,False,True
3,1,1,1.0,"[2, 0, 1, 4, 3]",829.0,[4 3 3 8 6],,536.0,False,False,False,False,False
3,1,2,1.0,"[1, 2, 1, 3, 2]",383.0,[4 3 3 8 6],383.0,582.0,False,True,True,False,True
3,2,1,0.9,"[1, 1, 2, 4, 3]",641.7,[4 3 3 8 6],641.7,482.40000000000003,False,False,True,False,True
3,2,2,0.9,"[2, 2, 1, 3, 2]",383.40000000000003,[4 3 3 8 6],383.40000000000003,523.8000000000001,False,True,True,False,True
3,3,1,0.81,[],,[4 3 3 8 6],,,,,,,
4,1,1,1.0,"[0, 5, 3, 4, 4]",1053.0,[5 5 6 7 7],,441.0,False,False,False,False,False
4,1,2,1.0,"[5, 0, 3, 3, 3]",895.0,[5 5 6 7 7],895.0,387.0,False,False,True,False,True
4,2,1,0.9,"[2, 1, 4, 5, 5]",629.1,[5 5 6 7 7],629.1,396.90000000000003,False,False,True,False,True
4,2,2,0.9,"[3, 0, 3, 4, 4]",851.4,[5 5 6 7 7],851.4,348.3,False,False,True,False,True
4,3,1,0.81,"[2, 1, 4, 5, 5]",566.19,[5 5 6 7 7],566.19,357.21000000000004,False,False,True,False,True
5,1,1,1.0,"[3, 2, 1, 2, 1]",482.0,[6 5 3 5 3],,113.0,False,False,False,False,False
5,1,2,1.0,"[2, 2, 1, 3, 0]",334.0,[6 5 3 5 3],334.0,481.0,False,True,True,False,True
5,2,1,0.9,"[2, 3, 1, 2, 1]",487.8,[6 5 3 5 3],487.8,101.7,False,False,True,False,True
5,2,2,0.9,"[3, 2, 1, 1, 0]",235.8,[6 5 3 5 3],235.8,432.90000000000003,False,True,True,False,True
5,3,1,0.81,[],,[6 5 3 5 3],,,,,,,
6,1,1,1.0,"[1, 3, 0, 2, 2]",748.0,[2 7 1 3 5],,735.0,False,False,False,False,False
6,1,2,1.0,"[1, 2, 0, 1, 4]",245.0,[2 7 1 3 5],245.0,795.0,False,True,True,False,True
6,2,1,0.9,"[1, 4, 0, 2, 1]",652.5,[2 7 1 3 5],652.5,661.5,False,True,False,False,True
6,2,2,0.9,"[1, 3, 0, 1, 3]",301.5,[2 7 1 3 5],301.5,715.5,False,True,False,False,True
6,3,1,0.81,"[1, 2, 0, 2, 2]",675.5400000000001,[2 7 1 3 5],675.5400000000001,595.35,False,False,True,False,False
7,1,1,1.0,"[0, 1, 2, 2, 3]",408.0,[0 2 3 5 5],,477.0,False,True,False,False,False
7,1,2,1.0,"[0, 1, 1, 3, 2]",336.0,[0 2 3 5 5],336.0,463.0,False,True,False,False,False
7,2,1,0.9,"[0, 1, 1, 2, 3]",383.40000000000003,[0 2 3 5 5],383.40000000000003,429.3,False,True,False,False,True
7,2,2,0.9,"[0, 1, 1, 3, 2]",302.40000000000003,[0 2 3 5 5],302.40000000000003,416.7,False,True,False,False,False
7,3,1,0.81,[],,[0 2 3 5 5],,,,,,,
8,1,1,1.0,"[3, 2, 2, 0, 1]",558.0,[6 4 4 0 3],,17.0,False,False,False,False,False
8,1,2,1.0,"[2, 1, 1, 0, 1]",329.0,[6 4 4 0 3],329.0,127.0,False,False,True,False,True
8,2,1,0.9,"[2, 2, 1, 0, 1]",585.0,[6 4 4 0 3],585.0,15.3,False,False,True,False,True
8,2,2,0.9,"[3, 1, 2, 0, 1]",398.7,[6 4 4 0 3],398.7,114.3,False,False,True,False,False
8,3,1,0.81,"[3, 1, 2, 0, 1]",506.25000000000006,[6 4 4 0 3],506.25000000000006,13.770000000000001,False,False,False,False,True
9,1,1,1.0,"[3, 1, 1, 2, 2]",321.0,[6 2 3 4 4],,896.0,False,True,False,False,False
9,1,2,1.0,"[2, 0, 2, 1, 1]",231.0,[6 2 3 4 4],231.0,947.0,False,True,False,False,True
9,2,1,0.9,"[2, 1, 1, 2, 3]",266.40000000000003,[6 2 3 4 4],266.40000000000003,806.4,False,True,False,False,True
9,2,2,0.9,"[3, 0, 2, 1, 1]",243.0,[6 2 3 4 4],243.0,852.3000000000001,False,True,False,False,True
9,3,1,0.81,[],,[6 2 3 4 4],,,,,,,
10,1,1,1.0,"[2, 1, 0, 3, 2]",407.0,[5 3 1 7 4],,75.0,False,False,False,False,False
10,1,2,1.0,"[3, 2, 1, 4, 2]",549.0,[5 3 1 7 4],549.0,163.0,False,False,True,False,False
10,2,1,0.9,"[2, 1, 0, 3, 3]",317.7,[5 3 1 7 4],317.7,67.5,False,False,True,False,False
10,2,2,0.9,"[3, 2, 1, 5, 2]",571.5,[5 3 1 7 4],571.5,146.70000000000002,False,False,True,False,False
10,3,1,0.81,[],,[5 3 1 7 4],,,,,,,
11,1,1,1.0,"[0, 2, 1, 3, 1]",407.0,[1 4 2 6 3],,145.0,False,False,False,False,False
11,1,2,1.0,"[1, 1, 0, 2, 0]",342.0,[1 4 2 6 3],342.0,201.0,False,False,True,False,True
11,2,1,0.9,"[0, 2, 1, 3, 2]",304.2,[1 4 2 6 3],304.2,130.5,False,False,True,False,True
11,2,2,0.9,"[1, 1, 0, 2, 1]",334.8,[1 4 2 6 3],334.8,180.9,False,False,True,False,True
11,3,1,0.81,"[0, 2, 1, 3, 2]",273.78000000000003,[1 4 2 6 3],273.78000000000003,117.45,False,False,True,False,True
12,1,1,1.0,"[2, 0, 1, 2, 3]",414.0,[4 0 3 4 6],,532.0,False,True,False,False,False
12,1,2,1.0,"[1, 0, 2, 1, 2]",401.0,[4 0 3 4 6],401.0,444.0,False,True,False,False,True
12,2,1,0.9,"[2, 0, 1, 3, 4]",262.8,[4 0 3 4 6],262.8,478.8,False,True,False,False,True
12,2,2,0.9,"[1, 0, 2, 2, 3]",530.1,[4 0 3 4 6],530.1,399.6,False,False,False,False,True
12,3,1,0.81,"[2, 0, 1, 3, 4]",236.52,[4 0 3 4 6],236.52,430.92,False,True,False,False,True
13,1,1,1.0,"[3, 1, 4, 2, 2]",627.0,[6 2 9 3 4],,170.0,False,False,False,False,False
13,1,2,1.0,"[2, 1, 3, 1, 2]",473.0,[6 2 9 3 4],473.0,78.0,False,False,True,False,True
13,2,1,0.9,"[2, 1, 5, 1, 3]",587.7,[6 2 9 3 4],587.7,153.0,False,False,True,False,True
13,2,2,0.9,"[4, 1, 3, 2, 1]",537.3000000000001,[6 2 9 3 4],537.3000000000001,70.2,False,False,True,False,False
13,3,1,0.81,[],,[6 2 9 3 4],,,,,,,
14,1,1,1.0,"[3, 1, 2, 3, 2]",841.0,[6 3 4 6 4],,535.0,False,False,False,False,False
14,1,2,1.0,"[2, 1, 3, 2, 3]",328.0,[6 3 4 6 4],328.0,941.0,False,True,True,False,True
14,2,1,0.9,"[3, 2, 2, 3, 1]",746.1,[6 3 4 6 4],746.1,481.5,False,False,True,False,True
14,2,2,0.9,"[2, 1, 3, 2, 2]",294.3,[6 3 4 6 4],294.3,846.9,False,True,True,False,True
14,3,1,0.81,"[3, 2, 2, 3, 1]",671.49,[6 3 4 6 4],671.49,433.35,False,False,True,False,True
15,1,1,1.0,"[2, 2, 1, 1, 5]",654.0,[ 4  4  2  3 11],,758.0,False,True,False,False,False
15,1,2,1.0,"[1, 3, 1, 0, 4]",439.0,[ 4  4  2  3 11],439.0,377.0,False,False,False,False,True
15,2,1,0.9,"[2, 1, 1, 2, 6]",580.5,[ 4  4  2  3 11],580.5,682.2,False,True,False,False,True
15,2,2,0.9,"[1, 2, 1, 1, 5]",521.1,[ 4  4  2  3 11],521.1,339.3,False,False,False,False,True
15,3,1,0.81,"[1, 1, 1, 2, 6]",584.82,[ 4  4  2  3 11],584.82,613.98,False,True,False,False,True
16,1,1,1.0,"[1, 2, 1, 2, 0]",420.0,[3 4 3 5 1],,200.0,False,False,False,False,False
16,1,2,1.0,"[2, 1, 2, 3, 0]",508.0,[3 4 3 5 1],508.0,577.0,False,True,True,False,False
16,2,1,0.9,"[1, 2, 1, 3, 0]",328.5,[3 4 3 5 1],328.5,180.0,False,False,True,False,True
16,2,2,0.9,"[2, 1, 2, 2, 0]",406.8,[3 4 3 5 1],406.8,519.3000000000001,False,True,True,False,False
16,3,1,0.81,"[1, 2, 1, 3, 0]",295.65000000000003,[3 4 3 5 1],295.65000000000003,162.0,False,False,True,False,True
17,1,1,1.0,"[1, 0, 2, 3, 2]",503.0,[3 1 3 7 5],,701.0,False,True,False,False,False
17,1,2,1.0,"[2, 1, 1, 4, 3]",705.0,[3 1 3 7 5],705.0,176.0,False,False,False,False,False
17,2,1,0.9,"[1, 0, 2, 5, 2]",359.1,[3 1 3 7 5],359.1,630.9,False,True,False,False,False
17,2,2,0.9,"[2, 1, 1, 3, 4]",576.9,[3 1 3 7 5],576.9,158.4,False,False,False,False,True
17,3,1,0.81,[],,[3 1 3 7 5],,,,,,,
18,1,1,1.0,"[2, 3, 1, 0, 2]",646.0,[4 6 2 0 4],,749.0,False,True,False,False,False
18,1,2,1.0,"[1, 2, 1, 0, 1]",236.0,[4 6 2 0 4],236.0,407.0,False,True,True,False,True
18,2,1,0.9,"[1, 3, 1, 0, 2]",658.8000000000001,[4 6 2 0 4],658.8000000000001,674.1,False,True,False,False,True
18,2,2,0.9,"[2, 2, 1, 0, 1]",229.5,[4 6 2 0 4],229.5,366.3,False,True,True,False,True
18,3,1,0.81,[],,[4 6 2 0 4],,,,,,,
19,1,1,1.0,"[1, 0, 3, 2, 3]",1071.0,[3 1 7 4 7],,430.0,False,False,False,False,False
19,1,2,1.0,"[2, 1, 4, 2, 4]",788.0,[3 1 7 4 7],788.0,353.0,False,False,True,False,False
19,2,1,0.9,"[1, 0, 3, 2, 4]",879.3000000000001,[3 1 7 4 7],879.3000000000001,387.0,False,False,True,False,False
19,2,2,0.9,"[2, 1, 4, 2, 3]",665.1,[3 1 7 4 7],665.1,317.7,False,False,True,False,False
19,3,1,0.81,"[1, 0, 3, 2, 4]",791.37,[3 1 7 4 7],791.37,348.3,False,False,True,False,True
20,1,1,1.0,"[2, 2, 1, 0, 3]",643.0,[4 5 3 1 6],,395.0,False,False,False,False,False
20,1,2,1.0,"[1, 3, 2, 0, 4]",361.0,[4 5 3 1 6],361.0,398.0,False,True,True,False,False
20,2,1,0.9,"[2, 2, 1, 0, 3]",578.7,[4 5 3 1 6],578.7,355.5,False,False,True,False,False
20,2,2,0.9,"[1, 2, 2, 0, 4]",279.90000000000003,[4 5 3 1 6],279.90000000000003,358.2,False,True,True,False,False
20,3,1,0.81,[],,[4 5 3 1 6],,,,,,,
21,1,1,1.0,"[2, 2, 3, 2, 2]",791.0,[4 4 6 5 4],,522.0,False,False,False,False,False
21,1,2,1.0,"[1, 1, 2, 3, 1]",338.0,[4 4 6 5 4],338.0,607.0,False,True,True,False,True
21,2,1,0.9,"[1, 2, 3, 2, 2]",774.0,[4 4 6 5 4],774.0,469.8,False,False,True,False,True
21,2,2,0.9,"[2, 1, 2, 3, 1]",309.6,[4 4 6 5 4],309.6,546.3000000000001,False,True,True,False,True
21,3,1,0.81,"[2, 2, 3, 2, 1]",657.72,[4 4 6 5 4],657.72,422.82000000000005,False,False,True,False,True
22,1,1,1.0,"[0, 0, 0, 0, 0]",616.0,[2 4 2 0 2],,701.0,False,True,False,True,False
22,1,2,1.0,"[1, 2, 1, 0, 1]",269.0,[2 4 2 0 2],269.0,285.0,False,True,False,False,False
22,2,1,0.9,"[1, 1, 0, 0, 0]",409.5,[2 4 2 0 2],409.5,630.9,False,True,False,False,False
22,2,2,0.9,"[1, 3, 1, 0, 2]",348.3,[2 4 2 0 2],348.3,256.5,False,False,False,False,False
22,3,1,0.81,[],,[2 4 2 0 2],,,,,,,
23,1,1,1.0,"[2, 1, 3, 2, 1]",583.0,[5 4 5 3 2],,179.0,False,False,False,False,False
23,1,2,1.0,"[3, 2, 2, 1, 1]",590.0,[5 4 5 3 2],590.0,327.0,False,False,True,False,False
23,2,1,0.9,"[2, 1, 3, 2, 0]",536.4,[5 4 5 3 2],536.4,161.1,False,False,True,False,False
23,2,2,0.9,"[3, 2, 2, 1, 1]",531.0,[5 4 5 3 2],531.0,294.3,False,False,True,False,False
23,3,1,0.81,[],,[5 4 5 3 2],,,,,,,
24,1,1,1.0,"[0, 0, 0, 0, 6]",379.0,[4 3 1 2 7],,10.0,False,False,False,False,False
24,1,2,1.0,"[2, 1, 0, 1, 1]",300.0,[4 3 1 2 7],300.0,245.0,False,False,True,False,False
24,2,1,0.9,"[1, 0, 0, 0, 3]",504.0,[4 3 1 2 7],504.0,9.0,False,False,True,False,True
24,2,2,0.9,"[2, 1, 0, 1, 4]",396.90000000000003,[4 3 1 2 7],396.90000000000003,220.5,False,False,True,False,False
24,3,1,0.81,[],,[4 3 1 2 7],,,,,,,
25,1,1,1.0,"[0, 2, 4, 1, 3]",695.0,[1 5 5 4 5],,173.0,False,False,False,False,False
25,1,2,1.0,"[0, 0, 3, 0, 4]",480.0,[1 5 5 4 5],480.0,959.0,False,True,True,False,True
25,2,1,0.9,"[0, 3, 2, 1, 2]",598.5,[1 5 5 4 5],598.5,155.70000000000002,False,False,True,False,True
25,2,2,0.9,"[0, 4, 0, 4, 0]",270.0,[1 5 5 4 5],270.0,863.1,False,True,True,False,True
25,3,1,0.81,[],,[1 5 5 4 5],,,,,,,
26,1,1,1.0,"[0, 0, 0, 0, 4]",1016.0,[5 4 2 5 4],,255.0,False,False,False,False,False
27,1,1,1.0,"[0, 3, 4, 8, 0]",323.0,[ 0  7  7 10  3],,842.0,False,True,False,False,False
27,1,2,1.0,"[0, 4, 6, 9, 0]",590.0,[ 0  7  7 10  3],590.0,771.0,False,True,False,False,False
27,2,1,0.9,"[0, 4, 5, 7, 0]",237.6,[ 0  7  7 10  3],237.6,757.8000000000001,False,True,False,False,False
27,2,2,0.9,"[0, 3, 6, 8, 1]",533.7,[ 0  7  7 10  3],533.7,693.9,False,True,False,False,False
27,3,1,0.81,"[0, 4, 5, 9, 3]",170.91000000000003,[ 0  7  7 10  3],170.91000000000003,682.0200000000001,False,True,False,False,True
28,1,1,1.0,"[0, 0, 0, 0, 6]",713.0,[ 1  4  3  4 11],,624.0,False,False,False,False,False
28,1,2,1.0,"[0, 4, 3, 4, 5]",612.0,[ 1  4  3  4 11],612.0,182.0,False,False,False,False,False
