game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 1, 2, 0, 4]",731.0,[5 3 2 2 7],,938.0,False,True,False,False,False
0,1,2,1.0,"[2, 1, 0, 1, 6]",505.0,[5 3 2 2 7],505.0,542.0,False,True,False,False,False
0,2,1,0.9,"[2, 1, 2, 0, 4]",657.9,[5 3 2 2 7],657.9,844.2,False,True,False,False,False
0,2,2,0.9,"[2, 1, 2, 0, 4]",450.0,[5 3 2 2 7],450.0,487.8,True,True,False,False,False
1,1,1,1.0,"[0, 3, 2, 0, 0]",485.0,[3 3 2 3 2],,276.0,False,False,False,False,False
1,1,2,1.0,"[1, 0, 2, 2, 2]",170.0,[3 3 2 3 2],170.0,496.0,False,True,False,False,True
1,2,1,0.9,"[1, 3, 0, 1, 0]",349.2,[3 3 2 3 2],349.2,248.4,False,False,False,False,False
1,2,2,0.9,"[2, 0, 1, 2, 2]",202.5,[3 3 2 3 2],202.5,446.40000000000003,False,True,False,False,True
1,3,1,0.81,"[2, 0, 1, 2, 2]",127.17,[3 3 2 3 2],127.17,223.56,True,True,False,False,True
2,1,1,1.0,"[3, 0, 8, 10, 2]",759.0,[ 3  3  8 10  9],,565.0,False,False,False,False,False
2,1,2,1.0,"[0, 3, 8, 0, 7]",218.0,[ 3  3  8 10  9],218.0,801.0,False,True,False,False,True
2,2,1,0.9,"[3, 0, 8, 5, 2]",809.1,[ 3  3  8 10  9],809.1,508.5,False,False,False,False,False
2,2,2,0.9,"[3, 0, 8, 5, 2]",593.1,[ 3  3  8 10  9],593.1,720.9,True,True,False,False,False
3,1,1,1.0,"[2, 2, 2, 3, 1]",530.0,[4 5 3 6 2],,337.0,False,False,False,False,False
3,1,2,1.0,"[1, 3, 1, 3, 1]",445.0,[4 5 3 6 2],445.0,795.0,False,True,False,False,True
3,2,1,0.9,"[2, 2, 1, 3, 1]",507.6,[4 5 3 6 2],507.6,303.3,False,False,False,False,True
3,2,2,0.9,"[1, 3, 1, 3, 1]",400.5,[4 5 3 6 2],400.5,715.5,False,True,False,False,True
3,3,1,0.81,"[1, 3, 1, 3, 1]",432.54,[4 5 3 6 2],432.54,272.97,False,False,False,False,True
4,1,1,1.0,"[0, 1, 2, 6, 1]",835.0,[1 3 6 9 4],,403.0,False,False,False,False,False
4,1,2,1.0,"[0, 1, 2, 3, 2]",241.0,[1 3 6 9 4],241.0,22.0,False,False,False,False,True
4,2,1,0.9,"[0, 2, 4, 7, 1]",543.6,[1 3 6 9 4],543.6,362.7,False,False,False,False,True
4,2,2,0.9,"[1, 2, 2, 7, 2]",356.40000000000003,[1 3 6 9 4],356.40000000000003,19.8,False,False,False,False,True
4,3,1,0.81,"[1, 2, 2, 7, 2]",486.00000000000006,[1 3 6 9 4],486.00000000000006,326.43,False,False,False,False,True
5,1,1,1.0,"[6, 7, 0, 0, 0]",735.0,[6 7 1 1 8],,645.0,False,False,False,False,False
5,1,2,1.0,"[0, 3, 0, 0, 4]",182.0,[6 7 1 1 8],182.0,905.0,False,True,False,False,True
5,2,1,0.9,"[3, 4, 0, 0, 0]",756.0,[6 7 1 1 8],756.0,580.5,False,False,False,False,False
5,2,2,0.9,"[2, 3, 0, 0, 5]",291.6,[6 7 1 1 8],291.6,814.5,False,True,False,False,False
5,3,1,0.81,"[2, 3, 0, 0, 5]",364.5,[6 7 1 1 8],364.5,522.45,True,True,False,False,True
6,1,1,1.0,"[2, 2, 4, 0, 0]",1196.0,[8 5 6 2 3],,592.0,False,False,False,False,False
6,1,2,1.0,"[3, 3, 2, 1, 2]",588.0,[8 5 6 2 3],588.0,627.0,False,True,False,False,False
6,2,1,0.9,"[4, 2, 4, 0, 1]",864.9,[8 5 6 2 3],864.9,532.8000000000001,False,False,False,False,False
6,2,2,0.9,"[3, 3, 2, 1, 2]",529.2,[8 5 6 2 3],529.2,564.3000000000001,False,True,False,False,True
6,3,1,0.81,"[3, 3, 2, 1, 2]",684.45,[8 5 6 2 3],684.45,479.52000000000004,False,False,False,False,True
7,1,1,1.0,"[0, 4, 0, 2, 4]",840.0,[4 5 4 2 6],,360.0,False,False,False,False,False
7,1,2,1.0,"[3, 2, 1, 0, 2]",376.0,[4 5 4 2 6],376.0,944.0,False,True,False,False,True
7,2,1,0.9,"[1, 3, 1, 1, 3]",717.3000000000001,[4 5 4 2 6],717.3000000000001,324.0,False,False,False,False,True
7,2,2,0.9,"[3, 3, 1, 0, 2]",358.2,[4 5 4 2 6],358.2,849.6,False,True,False,False,True
7,3,1,0.81,"[3, 3, 1, 0, 2]",570.24,[4 5 4 2 6],570.24,291.6,False,False,False,False,True
8,1,1,1.0,"[1, 0, 1, 1, 7]",933.0,[6 4 4 2 8],,365.0,False,False,False,False,False
8,1,2,1.0,"[2, 2, 2, 1, 4]",839.0,[6 4 4 2 8],839.0,164.0,False,False,False,False,False
8,2,1,0.9,"[1, 1, 1, 1, 6]",764.1,[6 4 4 2 8],764.1,328.5,False,False,False,False,False
8,2,2,0.9,"[2, 2, 2, 1, 4]",755.1,[6 4 4 2 8],755.1,147.6,False,False,False,False,False
8,3,1,0.81,"[2, 2, 2, 1, 4]",528.12,[6 4 4 2 8],528.12,295.65000000000003,False,False,False,False,True
9,1,1,1.0,"[9, 0, 0, 4, 5]",498.0,[9 6 3 4 5],,50.0,False,False,False,False,False
9,1,2,1.0,"[0, 3, 1, 2, 2]",327.0,[9 6 3 4 5],327.0,868.0,False,True,False,False,True
9,2,1,0.9,"[9, 2, 0, 3, 4]",423.90000000000003,[9 6 3 4 5],423.90000000000003,45.0,False,False,False,False,False
9,2,2,0.9,"[9, 2, 0, 3, 4]",667.8000000000001,[9 6 3 4 5],667.8000000000001,781.2,True,True,False,False,False
10,1,1,1.0,"[1, 2, 2, 1, 2]",506.0,[3 4 4 3 4],,95.0,False,False,False,False,False
