game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 2, 1, 1, 3]",350.0,[5 4 2 3 6],,208.0,False,False,False,False,False
0,1,2,1.0,"[3, 1, 1, 2, 3]",496.0,[5 4 2 3 6],496.0,939.0,False,True,False,False,False
0,2,1,0.9,"[2, 1, 1, 2, 4]",278.1,[5 4 2 3 6],278.1,187.20000000000002,False,False,False,False,True
0,2,2,0.9,"[3, 2, 1, 1, 2]",392.40000000000003,[5 4 2 3 6],392.40000000000003,845.1,False,True,False,False,True
0,3,1,0.81,"[2, 1, 1, 2, 3]",298.08000000000004,[5 4 2 3 6],298.08000000000004,168.48000000000002,False,False,False,False,True
1,1,1,1.0,"[2, 1, 3, 1, 1]",701.0,[4 2 6 3 3],,450.0,False,False,False,False,False
1,1,2,1.0,"[0, 0, 0, 0, 0]",0.0,[4 2 6 3 3],0.0,864.0,False,True,False,True,True
1,2,1,0.9,[],,[4 2 6 3 3],,,,,,,
2,1,1,1.0,"[2, 1, 4, 2, 3]",443.0,[4 3 5 4 5],,110.0,False,False,False,False,False
2,1,2,1.0,"[2, 2, 1, 2, 2]",421.0,[4 3 5 4 5],421.0,981.0,False,True,False,False,True
2,2,1,0.9,"[1, 1, 3, 1, 2]",537.3000000000001,[4 3 5 4 5],537.3000000000001,99.0,False,False,False,False,False
2,2,2,0.9,"[3, 2, 2, 3, 3]",566.1,[4 3 5 4 5],566.1,882.9,False,True,False,False,False
2,3,1,0.81,[],,[4 3 5 4 5],,,,,,,
3,1,1,1.0,"[0, 0, 3, 4, 3]",433.0,[4 4 6 4 7],,871.0,False,True,False,False,False
3,1,2,1.0,"[4, 4, 3, 0, 4]",1033.0,[4 4 6 4 7],1033.0,161.0,False,False,False,False,False
3,2,1,0.9,[],,[4 4 6 4 7],,,,,,,
4,1,1,1.0,"[1, 4, 1, 6, 3]",358.0,[3 5 2 7 4],,288.0,False,False,False,False,False
4,1,2,1.0,"[2, 0, 0, 7, 4]",239.0,[3 5 2 7 4],239.0,671.0,False,True,False,False,True
4,2,1,0.9,"[0, 5, 0, 6, 3]",477.0,[3 5 2 7 4],477.0,259.2,False,False,False,False,False
4,2,2,0.9,"[3, 0, 2, 1, 0]",255.6,[3 5 2 7 4],255.6,603.9,False,True,False,False,True
4,3,1,0.81,[],,[3 5 2 7 4],,,,,,,
5,1,1,1.0,"[2, 3, 1, 1, 1]",525.0,[4 7 2 3 3],,485.0,False,False,False,False,False
6,1,1,1.0,"[3, 2, 1, 3, 0]",681.0,[7 5 3 6 1],,903.0,False,True,False,False,False
6,1,2,1.0,"[4, 3, 2, 3, 1]",667.0,[7 5 3 6 1],667.0,99.0,False,False,False,False,False
6,2,1,0.9,"[6, 0, 0, 0, 0]",910.8000000000001,[7 5 3 6 1],910.8000000000001,812.7,False,False,False,False,False
6,2,2,0.9,"[1, 5, 3, 6, 0]",414.90000000000003,[7 5 3 6 1],414.90000000000003,89.10000000000001,False,False,False,False,True
6,3,1,0.81,[],,[7 5 3 6 1],,,,,,,
7,1,1,1.0,"[0, 0, 0, 0, 6]",870.0,[2 2 4 3 6],,140.0,False,False,False,False,False
8,1,1,1.0,"[0, 3, 0, 0, 0]",698.0,[1 3 1 4 4],,16.0,False,False,False,False,False
8,1,2,1.0,"[0, 0, 0, 4, 4]",336.0,[1 3 1 4 4],336.0,608.0,False,True,False,False,False
8,2,1,0.9,[],,[1 3 1 4 4],,,,,,,
9,1,1,1.0,"[0, 3, 0, 4, 0]",987.0,[2 7 5 5 1],,467.0,False,False,False,False,False
10,1,1,1.0,"[0, 4, 0, 0, 6]",1135.0,[2 8 8 3 7],,330.0,False,False,False,False,False
10,1,2,1.0,"[2, 4, 7, 3, 0]",958.0,[2 8 8 3 7],958.0,178.0,False,False,False,False,False
10,2,1,0.9,"[0, 4, 6, 0, 7]",473.40000000000003,[2 8 8 3 7],473.40000000000003,297.0,False,False,False,False,True
10,2,2,0.9,"[2, 4, 7, 3, 0]",862.2,[2 8 8 3 7],862.2,160.20000000000002,False,False,False,False,True
10,3,1,0.81,"[2, 4, 7, 3, 0]",400.14000000000004,[2 8 8 3 7],,267.3,False,False,False,False,False
11,1,1,1.0,"[0, 0, 0, 0, 0]",741.0,[5 1 5 4 4],,537.0,False,False,False,True,False
12,1,1,1.0,"[0, 6, 0, 0, 0]",1089.0,[4 6 1 4 5],,797.0,False,False,False,False,False
13,1,1,1.0,"[3, 0, 0, 0, 0]",497.0,[6 3 2 3 3],,967.0,False,True,False,False,False
13,1,2,1.0,"[0, 3, 2, 3, 0]",156.0,[6 3 2 3 3],156.0,136.0,False,False,False,False,False
13,2,1,0.9,[],,[6 3 2 3 3],,,,,,,
14,1,1,1.0,"[0, 0, 4, 0, 6]",479.0,[4 3 4 3 6],,183.0,False,False,False,False,False
14,1,2,1.0,"[4, 3, 0, 3, 0]",465.0,[4 3 4 3 6],465.0,768.0,False,True,False,False,False
14,2,1,0.9,"[0, 0, 4, 0, 5]",471.6,[4 3 4 3 6],471.6,164.70000000000002,False,False,False,False,False
15,1,1,1.0,"[3, 0, 0, 0, 0]",934.0,[7 4 4 3 5],,699.0,False,False,False,False,False
15,1,2,1.0,"[4, 4, 0, 3, 5]",1002.0,[7 4 4 3 5],1002.0,523.0,False,False,False,False,False
15,2,1,0.9,[],,[7 4 4 3 5],,,,,,,
16,1,1,1.0,"[4, 2, 2, 2, 1]",805.0,[9 5 5 4 2],,234.0,False,False,False,False,False
16,1,2,1.0,"[5, 3, 3, 2, 1]",636.0,[9 5 5 4 2],636.0,462.0,False,False,False,False,False
