game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 0, 4, 4, 0]",755.0,[2 7 4 4 1],,504.0,False,False,False,False,False
0,1,2,1.0,"[1, 3, 2, 2, 0]",727.2,[2 7 4 4 1],727.2,417.0,False,False,False,False,False
0,2,1,0.9,"[1, 0, 0, 0, 0]",1196.1000000000001,[2 7 4 4 1],1196.1000000000001,453.6,False,False,False,False,False
1,1,1,1.0,"[0, 0, 0, 0, 0]",1057.0,[7 4 5 2 6],,573.0,False,False,False,True,False
1,1,2,1.0,"[3, 2, 2, 1, 3]",478.8,[7 4 5 2 6],478.8,463.0,False,False,False,False,False
1,2,1,0.9,"[6, 3, 1, 2, 4]",484.2,[7 4 5 2 6],484.2,515.7,False,True,False,False,False
1,2,2,0.9,"[6, 3, 1, 2, 4]",570.6,[7 4 5 2 6],,416.7,False,False,False,False,False
2,1,1,1.0,"[1, 0, 1, 0, 1]",783.0,[2 3 2 4 2],,305.0,False,False,False,False,False
2,1,2,1.0,"[1, 1, 1, 2, 1]",323.1,[2 3 2 4 2],323.1,94.0,False,False,False,False,False
2,2,1,0.9,"[1, 1, 1, 1, 1]",534.6,[2 3 2 4 2],534.6,274.5,False,False,False,False,False
2,2,2,0.9,"[1, 1, 1, 1, 1]",242.1,[2 3 2 4 2],,84.60000000000001,False,False,False,False,False
3,1,1,1.0,"[0, 0, 0, 0, 0]",916.0,[4 6 7 3 4],,504.0,False,False,False,True,False
3,1,2,1.0,"[0, 0, 0, 0, 0]",1080.0,[4 6 7 3 4],1080.0,398.0,False,False,False,True,False
3,2,1,0.9,"[0, 0, 0, 0, 0]",0.0,[4 6 7 3 4],,453.6,True,False,False,False,False
4,1,1,1.0,"[1, 1, 1, 0, 1]",790.0,[9 3 3 4 4],,573.0,False,False,False,False,False
4,1,2,1.0,"[1, 1, 0, 0, 0]",945.0,[9 3 3 4 4],945.0,12.0,False,False,False,False,False
4,2,1,0.9,"[1, 0, 0, 0, 0]",938.7,[9 3 3 4 4],938.7,515.7,False,False,False,False,False
4,2,2,0.9,"[6, 0, 0, 1, 1]",515.1600000000001,[9 3 3 4 4],515.1600000000001,10.8,False,False,False,False,False
4,3,1,0.81,[],,[9 3 3 4 4],,,,,,,
5,1,1,1.0,"[1, 1, 2, 0, 3]",657.0,[5 2 4 1 6],,354.0,False,False,False,False,False
6,1,1,1.0,"[0, 2, 2, 0, 0]",1059.0,[2 2 2 5 5],,590.0,False,False,False,False,False
6,1,2,1.0,"[2, 0, 2, 0, 0]",864.9,[2 2 2 5 5],864.9,951.0,False,True,False,False,False
6,2,1,0.9,"[0, 0, 0, 0, 0]",965.7,[2 2 2 5 5],965.7,531.0,False,False,False,True,False
6,2,2,0.9,"[0, 0, 0, 0, 0]",948.5100000000001,[2 2 2 5 5],948.5100000000001,855.9,False,False,False,True,False
6,3,1,0.81,"[0, 0, 0, 1, 1]",725.76,[2 2 2 5 5],725.76,477.90000000000003,False,False,False,False,False
7,1,1,1.0,"[0, 1, 3, 3, 3]",588.0,[0 2 6 6 6],,389.0,False,False,False,False,False
7,1,2,1.0,"[0, 0, 0, 0, 0]",1083.6000000000001,[0 2 6 6 6],1083.6000000000001,633.0,False,False,False,True,False
7,2,1,0.9,"[0, 0, 0, 0, 0]",1058.4,[0 2 6 6 6],1058.4,350.1,False,False,False,True,False
7,2,2,0.9,"[0, 0, 0, 0, 0]",975.24,[0 2 6 6 6],975.24,569.7,False,False,False,True,False
7,3,1,0.81,[],,[0 2 6 6 6],,,,,,,
8,1,1,1.0,"[1, 3, 2, 2, 2]",736.0,[3 7 5 4 5],,71.0,False,False,False,False,False
8,1,2,1.0,"[0, 2, 2, 1, 1]",743.4,[3 7 5 4 5],743.4,728.0,False,False,False,False,False
8,2,1,0.9,"[0, 2, 1, 0, 0]",1080.0,[3 7 5 4 5],1080.0,63.9,False,False,False,False,False
8,2,2,0.9,"[1, 0, 1, 1, 1]",771.9300000000001,[3 7 5 4 5],771.9300000000001,655.2,False,False,False,False,False
8,3,1,0.81,"[1, 0, 1, 1, 1]",214.65,[3 7 5 4 5],,57.510000000000005,False,False,False,False,False
9,1,1,1.0,"[0, 1, 1, 1, 1]",948.0,[3 7 5 2 3],,754.0,False,False,False,False,False
9,1,2,1.0,"[1, 2, 2, 1, 1]",450.90000000000003,[3 7 5 2 3],450.90000000000003,284.0,False,False,False,False,False
9,2,1,0.9,"[0, 0, 0, 0, 0]",1076.4,[3 7 5 2 3],1076.4,678.6,False,False,False,True,False
9,2,2,0.9,"[0, 3, 2, 1, 1]",443.07000000000005,[3 7 5 2 3],443.07000000000005,255.6,False,False,False,False,False
9,3,1,0.81,[],,[3 7 5 2 3],,,,,,,
10,1,1,1.0,"[0, 0, 0, 0, 0]",737.0,[5 3 4 6 3],,143.0,False,False,False,True,False
10,1,2,1.0,"[0, 0, 0, 0, 0]",1419.3,[5 3 4 6 3],1419.3,762.0,False,False,False,True,False
10,2,1,0.9,"[3, 1, 2, 3, 1]",391.5,[5 3 4 6 3],391.5,128.70000000000002,False,False,False,False,False
10,2,2,0.9,"[1, 1, 1, 2, 1]",924.21,[5 3 4 6 3],924.21,685.8000000000001,False,False,False,False,False
10,3,1,0.81,"[1, 1, 1, 2, 1]",183.06,[5 3 4 6 3],,115.83000000000001,False,False,False,False,False
11,1,1,1.0,"[1, 0, 0, 0, 1]",261.0,[4 1 2 3 4],,227.0,False,False,False,False,False
11,1,2,1.0,"[1, 1, 0, 1, 1]",366.3,[4 1 2 3 4],366.3,378.0,False,True,False,False,False
11,2,1,0.9,"[0, 0, 0, 0, 0]",263.7,[4 1 2 3 4],263.7,204.3,False,False,False,True,False
11,2,2,0.9,"[0, 0, 0, 0, 0]",394.47,[4 1 2 3 4],394.47,340.2,False,False,False,True,False
11,3,1,0.81,"[0, 0, 0, 0, 0]",237.33,[4 1 2 3 4],237.33,183.87,False,False,False,True,False
12,1,1,1.0,"[0, 0, 0, 0, 0]",973.0,[1 4 3 2 8],,439.0,False,False,False,True,False
12,1,2,1.0,"[0, 1, 1, 1, 1]",728.1,[1 4 3 2 8],728.1,245.0,False,False,False,False,False
12,2,1,0.9,"[0, 0, 0, 0, 0]",875.7,[1 4 3 2 8],875.7,395.1,False,False,False,True,False
12,2,2,0.9,"[0, 2, 1, 1, 4]",495.72,[1 4 3 2 8],495.72,220.5,False,False,False,False,False
12,3,1,0.81,[],,[1 4 3 2 8],,,,,,,
13,1,1,1.0,"[0, 0, 0, 0, 0]",578.0,[2 2 4 4 7],,940.0,False,True,False,True,False
13,1,2,1.0,"[1, 0, 1, 1, 3]",581.4,[2 2 4 4 7],581.4,381.0,False,False,False,False,False
13,2,1,0.9,[],,[2 2 4 4 7],,,,,,,
14,1,1,1.0,"[5, 2, 5, 1, 1]",539.0,[5 5 5 3 3],,225.0,False,False,False,False,False
14,1,2,1.0,"[0, 1, 0, 1, 1]",566.1,[5 5 5 3 3],566.1,311.0,False,False,False,False,False
14,2,1,0.9,"[0, 0, 0, 0, 0]",857.7,[5 5 5 3 3],857.7,202.5,False,False,False,True,False
14,2,2,0.9,"[0, 0, 0, 0, 0]",583.2,[5 5 5 3 3],583.2,279.90000000000003,False,False,False,True,False
14,3,1,0.81,"[0, 1, 0, 0, 0]",691.74,[5 5 5 3 3],691.74,182.25,False,False,False,False,False
15,1,1,1.0,"[1, 0, 0, 0, 0]",796.0,[5 2 2 2 0],,747.0,False,False,False,False,False
15,1,2,1.0,"[0, 0, 0, 0, 0]",629.1,[5 2 2 2 0],629.1,360.0,False,False,False,True,False
15,2,1,0.9,"[0, 0, 0, 0, 0]",802.8000000000001,[5 2 2 2 0],802.8000000000001,672.3000000000001,False,False,False,True,False
15,2,2,0.9,"[0, 0, 0, 0, 0]",566.19,[5 2 2 2 0],566.19,324.0,False,False,False,True,False
15,3,1,0.81,"[0, 0, 0, 0, 0]",722.5200000000001,[5 2 2 2 0],722.5200000000001,605.07,False,False,False,True,False
16,1,1,1.0,"[1, 1, 1, 1, 2]",976.0,[5 2 5 3 7],,875.0,False,False,False,False,False
16,1,2,1.0,"[1, 1, 1, 1, 2]",813.6,[5 2 5 3 7],813.6,780.0,False,False,False,False,False
16,2,1,0.9,"[0, 0, 0, 0, 0]",1167.3,[5 2 5 3 7],1167.3,787.5,False,False,False,True,False
16,2,2,0.9,"[0, 0, 0, 0, 0]",1010.07,[5 2 5 3 7],1010.07,702.0,False,False,False,True,False
16,3,1,0.81,"[0, 0, 0, 0, 0]",1050.5700000000002,[5 2 5 3 7],1050.5700000000002,708.75,False,False,False,True,False
17,1,1,1.0,"[0, 0, 0, 0, 0]",786.0,[5 2 8 6 4],,404.0,False,False,False,True,False
17,1,2,1.0,"[3, 1, 4, 3, 2]",580.5,[5 2 8 6 4],580.5,583.0,False,True,False,False,False
17,2,1,0.9,"[0, 0, 0, 0, 0]",707.4,[5 2 8 6 4],707.4,363.6,False,False,False,True,False
17,2,2,0.9,"[0, 0, 0, 0, 0]",1054.6200000000001,[5 2 8 6 4],1054.6200000000001,524.7,False,False,False,True,False
17,3,1,0.81,"[0, 0, 0, 0, 0]",636.6600000000001,[5 2 8 6 4],636.6600000000001,327.24,False,False,False,True,False
18,1,1,1.0,"[1, 1, 1, 1, 1]",845.0,[5 7 4 6 5],,41.0,False,False,False,False,False
18,1,2,1.0,"[1, 5, 0, 5, 0]",811.8000000000001,[5 7 4 6 5],811.8000000000001,710.0,False,False,False,False,False
18,2,1,0.9,"[0, 0, 0, 0, 0]",945.0,[5 7 4 6 5],945.0,36.9,False,False,False,True,False
18,2,2,0.9,"[0, 0, 0, 0, 0]",982.5300000000001,[5 7 4 6 5],982.5300000000001,639.0,False,False,False,True,False
18,3,1,0.81,"[1, 1, 1, 1, 1]",684.45,[5 7 4 6 5],684.45,33.21,False,False,False,False,False
19,1,1,1.0,"[1, 0, 1, 2, 0]",572.0,[5 3 4 6 3],,228.0,False,False,False,False,False
19,1,2,1.0,"[0, 0, 0, 0, 0]",972.0,[5 3 4 6 3],972.0,773.0,False,False,False,True,False
19,2,1,0.9,"[1, 1, 1, 1, 1]",523.8000000000001,[5 3 4 6 3],523.8000000000001,205.20000000000002,False,False,False,False,False
19,2,2,0.9,"[0, 0, 0, 0, 0]",874.8000000000001,[5 3 4 6 3],874.8000000000001,695.7,False,False,False,True,False
19,3,1,0.81,"[1, 1, 1, 1, 1]",471.42,[5 3 4 6 3],471.42,184.68,False,False,False,False,False
20,1,1,1.0,"[0, 1, 0, 1, 1]",931.0,[3 3 4 4 6],,567.0,False,False,False,False,False
20,1,2,1.0,"[2, 0, 2, 0, 2]",955.8000000000001,[3 3 4 4 6],955.8000000000001,824.0,False,False,False,False,False
20,2,1,0.9,"[0, 2, 0, 2, 4]",662.4,[3 3 4 4 6],662.4,510.3,False,False,False,False,False
20,2,2,0.9,"[0, 0, 0, 0, 0]",1121.04,[3 3 4 4 6],1121.04,741.6,False,False,False,True,False
20,3,1,0.81,"[0, 0, 0, 0, 1]",819.72,[3 3 4 4 6],819.72,459.27000000000004,False,False,False,False,False
21,1,1,1.0,"[0, 0, 0, 0, 0]",721.0,[3 3 2 2 4],,378.0,False,False,False,True,False
22,1,1,1.0,"[2, 0, 1, 1, 1]",730.0,[10  1  4  5  4],,635.0,False,False,False,False,False
22,1,2,1.0,"[1, 0, 1, 1, 1]",513.9,[10  1  4  5  4],513.9,336.0,False,False,False,False,False
22,2,1,0.9,"[0, 0, 0, 0, 0]",821.7,[10  1  4  5  4],821.7,571.5,False,False,False,True,False
22,2,2,0.9,"[9, 1, 3, 1, 0]",377.46000000000004,[10  1  4  5  4],377.46000000000004,302.40000000000003,False,False,False,False,False
22,3,1,0.81,[],,[10  1  4  5  4],,,,,,,
23,1,1,1.0,"[1, 1, 1, 1, 1]",722.0,[4 2 7 2 4],,505.0,False,False,False,False,False
23,1,2,1.0,"[0, 0, 0, 0, 0]",1238.4,[4 2 7 2 4],1238.4,655.0,False,False,False,True,False
23,2,1,0.9,"[0, 0, 0, 0, 0]",884.7,[4 2 7 2 4],884.7,454.5,False,False,False,True,False
23,2,2,0.9,"[0, 0, 0, 0, 0]",1114.5600000000002,[4 2 7 2 4],1114.5600000000002,589.5,False,False,False,True,False
23,3,1,0.81,"[0, 0, 0, 0, 0]",796.23,[4 2 7 2 4],796.23,409.05,False,False,False,True,False
24,1,1,1.0,"[0, 0, 0, 0, 0]",1000.0,[4 3 6 0 1],,86.0,False,False,False,True,False
24,1,2,1.0,"[0, 0, 0, 0, 0]",619.2,[4 3 6 0 1],619.2,499.0,False,False,False,True,False
24,2,1,0.9,"[0, 0, 0, 0, 0]",900.0,[4 3 6 0 1],900.0,77.4,False,False,False,True,False
24,2,2,0.9,"[0, 0, 0, 0, 0]",557.2800000000001,[4 3 6 0 1],557.2800000000001,449.1,False,False,False,True,False
24,3,1,0.81,"[0, 0, 0, 0, 1]",807.57,[4 3 6 0 1],807.57,69.66000000000001,False,False,False,False,False
25,1,1,1.0,"[0, 2, 3, 1, 3]",387.0,[1 5 6 2 6],,72.0,False,False,False,False,False
25,1,2,1.0,"[0, 2, 3, 1, 3]",711.0,[1 5 6 2 6],,551.0,False,False,False,False,False
26,1,1,1.0,"[0, 0, 0, 0, 0]",823.0,[2 3 2 4 4],,503.0,False,False,False,True,False
26,1,2,1.0,"[0, 0, 0, 0, 0]",673.2,[2 3 2 4 4],673.2,592.0,False,False,False,True,False
26,2,1,0.9,"[0, 0, 0, 2, 2]",638.1,[2 3 2 4 4],638.1,452.7,False,False,False,False,False
26,2,2,0.9,"[1, 0, 1, 1, 0]",492.48,[2 3 2 4 4],492.48,532.8000000000001,False,True,False,False,False
26,3,1,0.81,[],,[2 3 2 4 4],,,,,,,
27,1,1,1.0,"[1, 3, 3, 2, 1]",888.0,[3 6 7 4 3],,479.0,False,False,False,False,False
27,1,2,1.0,"[1, 3, 3, 2, 1]",576.0,[3 6 7 4 3],,446.0,False,False,False,False,False
28,1,1,1.0,"[0, 0, 0, 0, 2]",1127.0,[5 3 3 4 2],,753.0,False,False,False,False,False
28,1,2,1.0,"[0, 0, 0, 0, 0]",693.0,[5 3 3 4 2],693.0,609.0,False,False,False,True,False
28,2,1,0.9,"[0, 0, 0, 0, 0]",1073.7,[5 3 3 4 2],1073.7,677.7,False,False,False,True,False
28,2,2,0.9,"[0, 0, 0, 0, 0]",623.7,[5 3 3 4 2],623.7,548.1,False,False,False,True,False
28,3,1,0.81,"[0, 0, 0, 0, 0]",966.33,[5 3 3 4 2],966.33,609.9300000000001,False,False,False,True,False
