game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 1, 2, 2, 1]",968.0,[4 3 6 5 4],,310.0,False,False,False,False,False
0,1,2,1.0,"[1, 1, 2, 2, 1]",443.0,[4 3 6 5 4],,256.0,False,False,False,False,False
1,1,1,1.0,"[0, 3, 0, 5, 1]",457.0,[1 5 1 8 2],,491.0,False,True,False,False,False
1,1,2,1.0,"[0, 3, 0, 5, 1]",517.0,[1 5 1 8 2],,30.0,False,False,False,False,False
2,1,1,1.0,"[1, 3, 0, 0, 1]",970.0,[3 7 3 3 5],,21.0,False,False,False,False,False
2,1,2,1.0,"[1, 3, 0, 0, 1]",184.0,[3 7 3 3 5],,2.0,False,False,False,False,False
3,1,1,1.0,"[3, 4, 0, 2, 0]",612.0,[6 6 2 3 1],,80.0,False,False,False,False,False
3,1,2,1.0,"[3, 4, 0, 2, 0]",577.0,[6 6 2 3 1],,363.0,False,False,False,False,False
4,1,1,1.0,"[1, 0, 2, 0, 3]",977.0,[3 3 7 1 7],,42.0,False,False,False,False,False
4,1,2,1.0,"[1, 0, 2, 0, 3]",205.0,[3 3 7 1 7],,46.0,False,False,False,False,False
5,1,1,1.0,"[0, 0, 1, 1, 1]",886.0,[2 3 5 2 3],,139.0,False,False,False,False,False
5,1,2,1.0,"[0, 0, 1, 1, 1]",152.0,[2 3 5 2 3],,121.0,False,False,False,False,False
6,1,1,1.0,"[2, 2, 1, 1, 2]",468.0,[4 4 1 3 4],,411.0,False,False,False,False,False
6,1,2,1.0,"[2, 2, 1, 1, 2]",288.0,[4 4 1 3 4],,23.0,False,False,False,False,False
7,1,1,1.0,"[0, 2, 4, 7, 2]",540.0,[9 2 4 7 2],,508.0,False,False,False,False,False
7,1,2,1.0,"[0, 2, 4, 7, 2]",735.0,[9 2 4 7 2],,88.0,False,False,False,False,False
8,1,1,1.0,"[0, 2, 2, 5, 3]",601.0,[2 5 5 8 4],,48.0,False,False,False,False,False
8,1,2,1.0,"[0, 2, 2, 5, 3]",309.0,[2 5 5 8 4],,33.0,False,False,False,False,False
9,1,1,1.0,"[0, 3, 3, 2, 0]",635.0,[5 5 3 2 3],,379.0,False,False,False,False,False
9,1,2,1.0,"[0, 3, 3, 2, 0]",339.0,[5 5 3 2 3],,20.0,False,False,False,False,False
10,1,1,1.0,"[0, 0, 1, 2, 1]",812.0,[2 2 4 6 3],,408.0,False,False,False,False,False
10,1,2,1.0,"[2, 2, 1, 4, 0]",321.3,[2 2 4 6 3],321.3,192.6,False,False,False,False,False
10,2,1,0.9,"[2, 2, 1, 4, 0]",547.2,[2 2 4 6 3],,367.2,False,False,False,False,False
11,1,1,1.0,"[0, 4, 0, 3, 0]",978.0,[3 8 3 6 0],,232.0,False,False,False,False,False
11,1,2,1.0,"[0, 2, 1, 1, 0]",702.9,[3 8 3 6 0],702.9,285.3,False,False,False,False,False
