game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 1, 1, 0, 2]",820.0,[5 2 3 3 6],,817.0,False,False,False,False,False
0,1,2,1.0,"[2, 0, 2, 1, 3]",543.6,[5 2 3 3 6],543.6,520.2,False,False,False,False,False
0,2,1,0.9,[],,[5 2 3 3 6],,,,,,,
1,1,1,1.0,"[1, 0, 1, 1, 3]",578.0,[4 0 3 3 6],,320.0,False,False,False,False,False
1,1,2,1.0,"[1, 0, 1, 1, 3]",781.2,[4 0 3 3 6],781.2,638.1,False,False,False,False,False
1,2,1,0.9,"[1, 0, 1, 1, 3]",520.2,[4 0 3 3 6],520.2,288.0,False,False,False,False,False
2,1,1,1.0,"[4, 3, 3, 2, 0]",615.0,[7 5 6 8 1],,863.0,False,True,False,False,False
2,1,2,1.0,"[2, 4, 2, 3, 1]",824.4,[7 5 6 8 1],824.4,613.8000000000001,False,False,False,False,False
2,2,1,0.9,[],,[7 5 6 8 1],,,,,,,
3,1,1,1.0,"[1, 3, 1, 0, 3]",572.0,[3 4 6 2 4],,668.0,False,True,False,False,False
3,1,2,1.0,"[2, 1, 4, 1, 2]",581.4,[3 4 6 2 4],581.4,3.6,False,False,False,False,True
3,2,1,0.9,[],,[3 4 6 2 4],,,,,,,
4,1,1,1.0,"[3, 2, 1, 1, 2]",524.0,[4 4 4 3 3],,279.0,False,False,False,False,False
4,1,2,1.0,"[2, 1, 3, 1, 2]",485.1,[4 4 4 3 3],485.1,431.1,False,False,False,False,False
4,2,1,0.9,"[2, 1, 3, 1, 2]",387.0,[4 4 4 3 3],,251.1,False,False,False,False,False
5,1,1,1.0,"[1, 1, 1, 3, 1]",667.0,[3 4 3 5 3],,261.0,False,False,False,False,False
6,1,1,1.0,"[4, 1, 1, 2, 0]",480.0,[5 5 4 2 1],,781.0,False,True,False,False,False
7,1,1,1.0,"[2, 1, 3, 2, 1]",863.0,[5 2 6 6 4],,965.0,False,True,False,False,False
8,1,1,1.0,"[2, 1, 0, 1, 1]",746.0,[6 5 1 3 1],,730.0,False,False,False,False,False
8,1,2,1.0,"[2, 4, 0, 1, 0]",511.2,[6 5 1 3 1],511.2,270.0,False,False,False,False,False
8,2,1,0.9,[],,[6 5 1 3 1],,,,,,,
9,1,1,1.0,"[1, 2, 0, 2, 4]",932.0,[3 6 2 4 7],,793.0,False,False,False,False,False
9,1,2,1.0,"[1, 2, 0, 2, 4]",337.0,[3 6 2 4 7],,137.0,False,False,False,False,False
