game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 1, 1, 3, 1]",831.0,[5 3 2 8 3],,771.0,False,False,False,False,False
0,1,2,1.0,"[2, 1, 1, 3, 1]",231.0,[5 3 2 8 3],,181.0,False,False,False,False,False
1,1,1,1.0,"[1, 3, 2, 2, 0]",669.0,[2 7 4 4 1],,597.0,False,False,False,False,False
1,1,2,1.0,"[0, 2, 1, 1, 0]",640.8000000000001,[2 7 4 4 1],640.8000000000001,519.3000000000001,False,False,False,False,False
1,2,1,0.9,"[0, 2, 1, 1, 0]",255.6,[2 7 4 4 1],,537.3000000000001,True,False,False,False,False
2,1,1,1.0,"[2, 2, 1, 0, 4]",455.0,[4 3 2 1 9],,259.0,False,False,False,False,False
3,1,1,1.0,"[1, 1, 1, 2, 2]",504.0,[3 3 2 5 5],,282.0,False,False,False,False,False
3,1,2,1.0,"[2, 2, 0, 2, 2]",411.3,[3 3 2 5 5],411.3,439.2,False,True,False,False,False
3,2,1,0.9,[],,[3 3 2 5 5],,,,,,,
4,1,1,1.0,"[0, 2, 1, 1, 1]",471.0,[1 5 2 2 3],,55.0,False,False,False,False,False
5,1,1,1.0,"[2, 1, 2, 1, 3]",482.0,[4 3 5 3 7],,610.0,False,True,False,False,False
6,1,1,1.0,"[0, 0, 2, 0, 3]",1410.0,[6 2 4 8 7],,771.0,False,False,False,False,False
7,1,1,1.0,"[3, 2, 3, 3, 1]",807.0,[6 5 5 7 3],,228.0,False,False,False,False,False
7,1,2,1.0,"[3, 2, 3, 3, 1]",870.0,[6 5 5 7 3],,722.0,False,False,False,False,False
8,1,1,1.0,"[1, 0, 4, 0, 1]",569.0,[4 3 5 2 4],,606.0,False,True,False,False,False
9,1,1,1.0,[],,[5 5 3 4 3],,,,,,,
10,1,1,1.0,"[1, 0, 0, 2, 1]",537.0,[3 0 1 4 2],,71.0,False,False,False,False,False
11,1,1,1.0,[],,[5 4 3 0 7],,,,,,,
12,1,1,1.0,"[2, 2, 1, 2, 1]",475.0,[5 4 3 3 3],,517.0,False,True,False,False,False
12,1,2,1.0,"[2, 2, 1, 2, 1]",473.0,[5 4 3 3 3],,308.0,False,False,False,False,False
13,1,1,1.0,"[1, 2, 3, 2, 4]",933.0,[2 6 5 5 9],,561.0,False,False,False,False,False
14,1,1,1.0,"[1, 3, 2, 2, 0]",285.0,[3 7 5 4 2],,146.0,False,False,False,False,False
14,1,2,1.0,"[1, 5, 2, 1, 0]",486.0,[3 7 5 4 2],486.0,427.5,False,False,False,False,False
14,2,1,0.9,"[1, 4, 3, 3, 1]",166.5,[3 7 5 4 2],166.5,131.4,False,False,False,False,False
15,1,1,1.0,"[1, 4, 0, 3, 4]",113.0,[2 9 1 5 7],,100.0,False,False,False,False,False
15,1,2,1.0,"[1, 4, 0, 3, 4]",558.0,[2 9 1 5 7],,103.0,False,False,False,False,False
16,1,1,1.0,"[2, 2, 3, 4, 1]",851.0,[4 5 7 8 2],,1328.0,False,True,False,False,False
17,1,1,1.0,"[1, 2, 4, 1, 2]",862.0,[ 2  4 11  2  4],,1039.0,False,True,False,False,False
18,1,1,1.0,"[2, 3, 1, 0, 0]",491.0,[4 7 5 7 2],,394.0,False,False,False,False,False
19,1,1,1.0,"[3, 2, 2, 0, 3]",658.0,[6 9 4 1 7],,125.0,False,False,False,False,False
20,1,1,1.0,"[1, 3, 2, 0, 5]",457.0,[4 5 4 2 7],,306.0,False,False,False,False,False
21,1,1,1.0,"[2, 1, 2, 1, 2]",800.0,[8 2 5 2 6],,87.0,False,False,False,False,False
22,1,1,1.0,"[2, 2, 3, 1, 1]",650.0,[5 4 5 5 3],,119.0,False,False,False,False,False
23,1,1,1.0,"[1, 1, 2, 1, 1]",991.0,[5 4 6 3 5],,941.0,False,False,False,False,False
23,1,2,1.0,"[1, 1, 2, 1, 1]",179.0,[5 4 6 3 5],,62.0,False,False,False,False,False
24,1,1,1.0,"[2, 1, 1, 2, 1]",554.0,[4 4 2 5 3],,620.0,False,True,False,False,False
25,1,1,1.0,"[2, 2, 1, 2, 1]",573.0,[5 3 3 4 3],,844.0,False,True,False,False,False
25,1,2,1.0,"[2, 2, 1, 2, 1]",658.0,[5 3 3 4 3],,402.0,False,False,False,False,False
26,1,1,1.0,"[0, 1, 2, 0, 0]",520.0,[0 2 6 2 1],,519.0,False,False,False,False,False
26,1,2,1.0,"[0, 1, 4, 1, 0]",171.0,[0 2 6 2 1],171.0,195.3,False,True,False,False,False
26,2,1,0.9,[],,[0 2 6 2 1],,,,,,,
27,1,1,1.0,"[3, 2, 1, 0, 1]",669.0,[7 4 2 1 3],,487.0,False,False,False,False,False
27,1,2,1.0,"[3, 2, 1, 0, 1]",335.0,[7 4 2 1 3],,140.0,False,False,False,False,False
28,1,1,1.0,"[4, 1, 2, 2, 0]",660.0,[9 3 5 5 1],,131.0,False,False,False,False,False
29,1,1,1.0,"[2, 1, 3, 1, 3]",403.0,[4 3 5 2 5],,221.0,False,False,False,False,False
29,1,2,1.0,"[2, 1, 3, 1, 3]",448.0,[4 3 5 2 5],,263.0,False,False,False,False,False
30,1,1,1.0,"[2, 4, 2, 2, 3]",846.0,[4 8 4 3 7],,649.0,False,False,False,False,False
30,1,2,1.0,"[2, 4, 2, 2, 3]",711.0,[4 8 4 3 7],,635.0,False,False,False,False,False
31,1,1,1.0,"[0, 3, 1, 2, 2]",400.0,[1 6 3 5 5],,198.0,False,False,False,False,False
