game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 7, 4, 2, 0]",640.0,[4 7 6 4 4],,383.0,False,False,False,False,False
0,1,2,1.0,"[0, 7, 4, 2, 0]",674.0,[4 7 6 4 4],,366.0,False,False,False,False,False
1,1,1,1.0,"[0, 5, 3, 0, 1]",394.0,[2 7 4 2 3],,249.0,False,False,False,False,False
1,1,2,1.0,"[0, 5, 3, 0, 1]",641.0,[2 7 4 2 3],,244.0,False,False,False,False,False
2,1,1,1.0,"[0, 1, 2, 2, 4]",708.0,[3 4 7 2 4],,517.0,False,False,False,False,False
2,1,2,1.0,"[0, 1, 2, 2, 4]",657.0,[3 4 7 2 4],,601.0,False,False,False,False,False
3,1,1,1.0,"[1, 2, 0, 1, 0]",750.0,[3 6 2 3 3],,529.0,False,False,False,False,False
3,1,2,1.0,"[1, 2, 0, 1, 0]",219.0,[3 6 2 3 3],,89.0,False,False,False,False,False
4,1,1,1.0,"[0, 2, 0, 2, 3]",394.0,[2 5 0 4 5],,151.0,False,False,False,False,False
4,1,2,1.0,"[0, 2, 0, 0, 2]",514.8000000000001,[2 5 0 4 5],514.8000000000001,326.7,False,False,False,False,False
4,2,1,0.9,"[1, 3, 0, 1, 2]",396.0,[2 5 0 4 5],396.0,135.9,False,False,False,False,False
4,2,2,0.9,"[1, 2, 0, 1, 2]",375.84000000000003,[2 5 0 4 5],375.84000000000003,294.03000000000003,False,False,False,False,False
4,3,1,0.81,"[1, 2, 0, 1, 2]",201.69000000000003,[2 5 0 4 5],,122.31,False,False,False,False,False
5,1,1,1.0,"[3, 2, 1, 1, 2]",298.0,[5 4 3 2 4],,122.0,False,False,False,False,False
5,1,2,1.0,"[3, 2, 1, 1, 2]",510.0,[5 4 3 2 4],,199.0,False,False,False,False,False
6,1,1,1.0,"[1, 2, 3, 3, 3]",624.0,[5 2 6 5 3],,379.0,False,False,False,False,False
6,1,2,1.0,"[1, 2, 3, 3, 3]",756.0,[5 2 6 5 3],,692.0,False,False,False,False,False
7,1,1,1.0,"[0, 2, 2, 1, 1]",438.0,[2 4 4 3 3],,236.0,False,False,False,False,False
7,1,2,1.0,"[0, 2, 0, 0, 1]",521.1,[2 4 4 3 3],521.1,221.4,False,False,False,False,False
7,2,1,0.9,"[0, 2, 0, 0, 1]",53.1,[2 4 4 3 3],,212.4,True,False,False,False,False
8,1,1,1.0,"[2, 1, 4, 5, 3]",741.0,[7 2 7 9 5],,410.0,False,False,False,False,False
8,1,2,1.0,"[2, 1, 4, 5, 3]",674.0,[7 2 7 9 5],,93.0,False,False,False,False,False
9,1,1,1.0,"[2, 1, 0, 0, 3]",528.0,[5 4 2 2 9],,192.0,False,False,False,False,False
9,1,2,1.0,"[1, 1, 0, 0, 4]",1005.3000000000001,[5 4 2 2 9],1005.3000000000001,558.0,False,False,False,False,False
9,2,1,0.9,"[2, 2, 0, 0, 5]",417.6,[5 4 2 2 9],417.6,172.8,False,False,False,False,False
9,2,2,0.9,"[2, 2, 0, 0, 5]",643.5,[5 4 2 2 9],,558.0,False,False,False,False,False
10,1,1,1.0,"[0, 2, 1, 2, 0]",736.0,[2 4 2 5 2],,12.0,False,False,False,False,False
10,1,2,1.0,"[0, 4, 2, 2, 0]",323.1,[2 4 2 5 2],323.1,100.8,False,False,False,False,False
10,2,1,0.9,"[0, 4, 2, 2, 0]",666.0,[2 4 2 5 2],,10.8,False,False,False,False,False
11,1,1,1.0,"[2, 0, 0, 3, 1]",616.0,[5 1 4 6 2],,489.0,False,False,False,False,False
12,1,1,1.0,"[3, 1, 1, 0, 1]",503.0,[6 2 2 1 3],,126.0,False,False,False,False,False
12,1,2,1.0,"[3, 1, 1, 0, 1]",383.0,[6 2 2 1 3],,52.0,False,False,False,False,False
13,1,1,1.0,"[0, 5, 6, 3, 0]",540.0,[1 8 8 6 3],,470.0,False,False,False,False,False
13,1,2,1.0,"[0, 5, 6, 3, 0]",815.0,[1 8 8 6 3],,531.0,False,False,False,False,False
14,1,1,1.0,"[1, 2, 1, 1, 2]",454.0,[4 5 4 2 3],,42.0,False,False,False,False,False
14,1,2,1.0,"[1, 0, 0, 1, 0]",834.3000000000001,[4 5 4 2 3],834.3000000000001,452.7,False,False,False,False,False
14,2,1,0.9,"[1, 0, 0, 0, 0]",580.5,[4 5 4 2 3],580.5,37.800000000000004,False,False,False,False,False
15,1,1,1.0,"[2, 2, 1, 1, 1]",965.0,[6 4 3 6 4],,125.0,False,False,False,False,False
