game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 0, 0, 0, 0]",1040.0,[2 9 2 5 3],,20.0,False,False,False,True,False
0,1,2,1.0,"[0, 2, 0, 1, 0]",1070.1000000000001,[2 9 2 5 3],1070.1000000000001,570.6,False,False,False,False,False
0,2,1,0.9,"[0, 0, 0, 0, 0]",936.0,[2 9 2 5 3],936.0,18.0,False,False,False,True,False
0,2,2,0.9,"[0, 0, 0, 0, 0]",1166.4,[2 9 2 5 3],1166.4,513.5400000000001,False,False,False,True,False
0,3,1,0.81,[],,[2 9 2 5 3],,,,,,,
1,1,1,1.0,"[0, 0, 0, 0, 0]",490.0,[2 6 2 3 2],,180.0,False,False,False,True,False
1,1,2,1.0,"[1, 3, 1, 1, 1]",149.4,[2 6 2 3 2],149.4,117.0,False,False,False,False,False
1,2,1,0.9,"[0, 0, 0, 0, 0]",441.0,[2 6 2 3 2],441.0,162.0,False,False,False,True,False
1,2,2,0.9,"[1, 3, 1, 1, 1]",134.46,[2 6 2 3 2],134.46,105.30000000000001,False,False,False,False,False
1,3,1,0.81,"[1, 3, 1, 1, 1]",188.73000000000002,[2 6 2 3 2],,145.8,False,False,False,False,False
2,1,1,1.0,"[1, 1, 1, 1, 1]",644.0,[6 2 4 1 5],,347.0,False,False,False,False,False
2,1,2,1.0,"[1, 1, 0, 1, 1]",869.4,[6 2 4 1 5],869.4,263.7,False,False,False,False,False
2,2,1,0.9,"[0, 0, 0, 0, 0]",792.0,[6 2 4 1 5],792.0,312.3,False,False,False,True,False
2,2,2,0.9,"[0, 0, 0, 0, 0]",984.96,[6 2 4 1 5],984.96,237.33,False,False,False,True,False
2,3,1,0.81,"[0, 0, 0, 0, 0]",712.8000000000001,[6 2 4 1 5],712.8000000000001,281.07,False,False,False,True,False
3,1,1,1.0,"[0, 0, 0, 0, 5]",1231.0,[4 3 4 7 5],,27.0,False,False,False,False,False
3,1,2,1.0,"[0, 0, 0, 0, 0]",1647.9,[4 3 4 7 5],1647.9,531.0,False,False,False,True,False
3,2,1,0.9,"[1, 1, 1, 1, 0]",876.6,[4 3 4 7 5],876.6,24.3,False,False,False,False,False
3,2,2,0.9,"[0, 0, 0, 0, 0]",1483.1100000000001,[4 3 4 7 5],1483.1100000000001,477.90000000000003,False,False,False,True,False
3,3,1,0.81,"[0, 0, 0, 1, 0]",936.36,[4 3 4 7 5],936.36,21.87,False,False,False,False,False
4,1,1,1.0,"[0, 0, 0, 0, 0]",821.0,[3 5 2 3 5],,321.0,False,False,False,True,False
4,1,2,1.0,"[1, 2, 1, 1, 2]",449.1,[3 5 2 3 5],449.1,224.1,False,False,False,False,False
4,2,1,0.9,"[1, 1, 1, 1, 1]",528.3000000000001,[3 5 2 3 5],528.3000000000001,288.90000000000003,False,False,False,False,False
4,2,2,0.9,"[1, 2, 1, 1, 2]",404.19000000000005,[3 5 2 3 5],404.19000000000005,201.69000000000003,False,False,False,False,False
4,3,1,0.81,"[1, 1, 1, 1, 1]",475.47,[3 5 2 3 5],475.47,260.01,False,False,False,False,False
5,1,1,1.0,"[0, 2, 3, 1, 0]",506.0,[2 5 9 4 2],,147.0,False,False,False,False,False
5,1,2,1.0,"[0, 5, 9, 4, 0]",280.8,[2 5 9 4 2],280.8,126.0,False,False,False,False,False
5,2,1,0.9,"[0, 2, 0, 0, 0]",621.0,[2 5 9 4 2],621.0,132.3,False,False,False,False,False
5,2,2,0.9,"[0, 0, 0, 0, 0]",603.45,[2 5 9 4 2],603.45,113.4,False,False,False,True,False
5,3,1,0.81,"[0, 0, 8, 0, 0]",196.02,[2 5 9 4 2],196.02,119.07000000000001,False,False,False,False,False
6,1,1,1.0,"[0, 0, 0, 0, 0]",970.0,[4 5 1 3 5],,262.0,False,False,False,True,False
6,1,2,1.0,"[1, 1, 0, 1, 1]",827.1,[4 5 1 3 5],827.1,181.8,False,False,False,False,False
6,2,1,0.9,"[0, 0, 0, 0, 0]",873.0,[4 5 1 3 5],873.0,235.8,False,False,False,True,False
6,2,2,0.9,"[0, 0, 0, 0, 0]",944.46,[4 5 1 3 5],944.46,163.62,False,False,False,True,False
6,3,1,0.81,[],,[4 5 1 3 5],,,,,,,
7,1,1,1.0,"[0, 0, 0, 0, 0]",883.0,[1 2 5 3 3],,164.0,False,False,False,True,False
7,1,2,1.0,"[0, 0, 0, 0, 0]",527.4,[1 2 5 3 3],527.4,252.0,False,False,False,True,False
7,2,1,0.9,"[0, 1, 2, 1, 1]",531.9,[1 2 5 3 3],531.9,147.6,False,False,False,False,False
7,2,2,0.9,"[0, 0, 0, 0, 0]",474.66,[1 2 5 3 3],474.66,226.8,False,False,False,True,False
7,3,1,0.81,"[0, 0, 0, 0, 0]",715.23,[1 2 5 3 3],715.23,132.84,False,False,False,True,False
8,1,1,1.0,"[0, 2, 2, 2, 3]",550.0,[2 3 4 5 5],,159.0,False,False,False,False,False
8,1,2,1.0,"[1, 1, 1, 1, 2]",549.0,[2 3 4 5 5],549.0,75.60000000000001,False,False,False,False,False
8,2,1,0.9,"[1, 1, 1, 1, 1]",768.6,[2 3 4 5 5],768.6,143.1,False,False,False,False,False
8,2,2,0.9,"[1, 1, 1, 2, 2]",478.71000000000004,[2 3 4 5 5],478.71000000000004,68.04,False,False,False,False,False
8,3,1,0.81,"[1, 1, 1, 2, 2]",326.43,[2 3 4 5 5],,128.79000000000002,False,False,False,False,False
9,1,1,1.0,"[1, 1, 1, 1, 1]",439.0,[4 2 3 2 7],,144.0,False,False,False,False,False
