game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 2, 2, 0, 1]",954.0,[6 5 5 1 3],,968.0,False,True,False,False,False
0,1,2,1.0,"[4, 3, 3, 1, 2]",292.5,[6 5 5 1 3],292.5,543.6,False,True,False,False,True
0,2,1,0.9,[],,[6 5 5 1 3],,,,,,,
1,1,1,1.0,"[2, 2, 1, 2, 1]",1004.0,[4 4 4 6 4],,727.0,False,False,False,False,False
1,1,2,1.0,"[2, 2, 1, 2, 1]",332.0,[4 4 4 6 4],,241.0,False,False,False,False,False
2,1,1,1.0,"[0, 3, 0, 0, 2]",401.0,[2 5 5 2 4],,64.0,False,False,False,False,False
2,1,2,1.0,"[0, 3, 0, 0, 2]",317.0,[2 5 5 2 4],,65.0,False,False,False,False,False
4,1,1,1.0,"[0, 3, 3, 4, 3]",318.0,[2 6 6 5 6],,68.0,False,False,False,False,False
4,1,2,1.0,"[0, 3, 3, 4, 3]",603.0,[2 6 6 5 6],,362.0,False,False,False,False,False
5,1,1,1.0,"[2, 2, 3, 0, 5]",939.0,[ 4  5  6  1 10],,1196.0,False,True,False,False,False
6,1,1,1.0,"[3, 2, 2, 1, 3]",961.0,[6 4 5 3 7],,332.0,False,False,False,False,False
7,1,1,1.0,"[3, 3, 4, 0, 1]",522.0,[5 6 7 1 2],,397.0,False,False,False,False,False
7,1,2,1.0,"[3, 3, 4, 0, 1]",646.0,[5 6 7 1 2],,52.0,False,False,False,False,False
8,1,1,1.0,"[3, 1, 4, 3, 2]",504.0,[6 3 7 6 3],,706.0,False,True,False,False,False
9,1,1,1.0,"[2, 1, 2, 3, 3]",690.0,[4 3 4 6 6],,420.0,False,False,False,False,False
10,1,1,1.0,"[1, 3, 0, 3, 2]",451.0,[3 3 1 6 5],,336.0,False,False,False,False,False
11,1,1,1.0,"[1, 3, 1, 0, 6]",798.0,[2 7 2 3 9],,13.0,False,False,False,False,False
11,1,2,1.0,"[1, 3, 1, 0, 6]",535.0,[2 7 2 3 9],,27.0,False,False,False,False,False
12,1,1,1.0,"[1, 0, 0, 0, 0]",1208.0,[4 3 6 1 5],,508.0,False,False,False,False,False
12,1,2,1.0,"[2, 2, 3, 1, 2]",444.6,[4 3 6 1 5],444.6,425.7,False,False,False,False,False
12,2,1,0.9,[],,[4 3 6 1 5],,,,,,,
13,1,1,1.0,"[3, 4, 0, 5, 0]",1080.0,[ 6  6  2 11  1],,149.0,False,False,False,False,False
14,1,1,1.0,"[2, 1, 0, 3, 4]",767.0,[5 2 3 4 6],,725.0,False,False,False,False,False
14,1,2,1.0,"[2, 0, 2, 1, 3]",556.2,[5 2 3 4 6],556.2,564.3000000000001,False,True,False,False,False
14,2,1,0.9,[],,[5 2 3 4 6],,,,,,,
15,1,1,1.0,"[3, 1, 2, 4, 2]",439.0,[7 3 4 6 3],,675.0,False,True,False,False,False
16,1,1,1.0,"[1, 1, 2, 3, 2]",646.0,[3 3 5 7 6],,54.0,False,False,False,False,False
17,1,1,1.0,"[2, 2, 3, 2, 1]",606.0,[4 4 5 4 3],,448.0,False,False,False,False,False
18,1,1,1.0,"[1, 1, 2, 2, 3]",424.0,[4 2 4 4 4],,156.0,False,False,False,False,False
19,1,1,1.0,"[2, 0, 0, 0, 0]",718.0,[4 1 3 3 2],,538.0,False,False,False,False,False
19,1,2,1.0,"[1, 1, 2, 2, 1]",244.8,[4 1 3 3 2],244.8,200.70000000000002,False,False,False,False,False
19,2,1,0.9,[],,[4 1 3 3 2],,,,,,,
20,1,1,1.0,"[2, 0, 4, 2, 2]",758.0,[5 1 9 5 4],,399.0,False,False,False,False,False
22,1,1,1.0,"[2, 2, 1, 1, 1]",693.0,[5 6 3 3 3],,239.0,False,False,False,False,False
23,1,1,1.0,"[2, 1, 3, 2, 1]",742.0,[6 2 5 3 3],,191.0,False,False,False,False,False
23,1,2,1.0,"[4, 1, 2, 1, 2]",303.3,[6 2 5 3 3],303.3,399.6,False,True,False,False,True
23,2,1,0.9,"[3, 1, 3, 2, 1]",594.0,[6 2 5 3 3],594.0,171.9,False,False,False,False,True
24,1,1,1.0,"[1, 3, 2, 3, 3]",385.0,[4 5 5 4 5],,430.0,False,True,False,False,False
25,1,1,1.0,"[2, 2, 1, 2, 1]",1064.0,[6 6 4 5 4],,118.0,False,False,False,False,False
25,1,2,1.0,"[3, 3, 2, 5, 3]",383.40000000000003,[6 6 4 5 4],383.40000000000003,572.4,False,True,False,False,False
25,2,1,0.9,[],,[6 6 4 5 4],,,,,,,
26,1,1,1.0,"[0, 2, 1, 2, 2]",461.0,[0 4 2 4 4],,522.0,False,True,False,False,False
27,1,1,1.0,"[2, 2, 1, 1, 2]",750.0,[5 4 3 2 5],,328.0,False,False,False,False,False
27,1,2,1.0,"[2, 2, 1, 1, 2]",445.0,[5 4 3 2 5],,76.0,False,False,False,False,False
28,1,1,1.0,"[0, 2, 0, 2, 4]",373.0,[1 4 1 4 8],,320.0,False,False,False,False,False
28,1,2,1.0,"[0, 2, 0, 2, 4]",232.0,[1 4 1 4 8],,150.0,False,False,False,False,False
29,1,1,1.0,"[1, 1, 1, 3, 1]",633.0,[4 4 4 5 2],,301.0,False,False,False,False,False
30,1,1,1.0,"[2, 2, 3, 1, 3]",365.0,[5 5 4 4 5],,234.0,False,False,False,False,False
31,1,1,1.0,"[2, 1, 1, 1, 1]",428.0,[4 2 3 2 9],,449.0,False,True,False,False,False
32,1,1,1.0,"[0, 1, 1, 2, 1]",703.0,[1 4 3 4 3],,432.0,False,False,False,False,False
32,1,2,1.0,"[0, 1, 1, 2, 1]",208.0,[1 4 3 4 3],,221.0,True,False,False,False,False
33,1,1,1.0,"[1, 0, 0, 0, 4]",739.0,[3 2 1 3 8],,120.0,False,False,False,False,False
35,1,1,1.0,"[2, 0, 2, 3, 1]",571.0,[4 1 4 6 3],,263.0,False,False,False,False,False
35,1,2,1.0,"[2, 1, 3, 4, 2]",409.5,[4 1 4 6 3],409.5,515.7,False,True,False,False,True
35,2,1,0.9,[],,[4 1 4 6 3],,,,,,,
36,1,1,1.0,"[1, 1, 1, 1, 2]",612.0,[3 3 2 2 5],,408.0,False,False,False,False,False
37,1,1,1.0,"[1, 1, 0, 3, 0]",1057.0,[5 3 5 7 2],,106.0,False,False,False,False,False
38,1,1,1.0,"[1, 2, 1, 1, 0]",764.0,[3 6 3 4 1],,289.0,False,False,False,False,False
39,1,1,1.0,"[2, 1, 0, 1, 2]",503.0,[8 4 2 3 6],,54.0,False,False,False,False,False
39,1,2,1.0,"[2, 1, 0, 1, 2]",292.0,[8 4 2 3 6],,169.0,False,False,False,False,False
40,1,1,1.0,"[1, 1, 0, 1, 0]",368.0,[2 2 1 3 2],,121.0,False,False,False,False,False
41,1,1,1.0,[],,[ 8  4  2 11  5],,,,,,,
42,1,1,1.0,"[2, 1, 0, 2, 3]",712.0,[5 4 1 5 6],,451.0,False,False,False,False,False
43,1,1,1.0,"[1, 3, 0, 0, 3]",425.0,[3 5 2 2 6],,326.0,False,False,False,False,False
45,1,1,1.0,"[0, 0, 1, 2, 0]",893.0,[5 3 3 3 1],,43.0,False,False,False,False,False
46,1,1,1.0,[],,[8 5 2 3 5],,,,,,,
47,1,1,1.0,"[3, 2, 1, 1, 1]",634.0,[6 4 5 3 3],,527.0,False,False,False,False,False
48,1,1,1.0,"[0, 1, 1, 0, 1]",519.0,[1 4 3 0 3],,182.0,False,False,False,False,False
49,1,1,1.0,"[0, 1, 1, 2, 2]",279.0,[1 3 3 5 4],,14.0,False,False,False,False,False
49,1,2,1.0,"[1, 2, 2, 3, 3]",262.8,[1 3 3 5 4],262.8,562.5,False,True,False,False,True
49,2,1,0.9,[],,[1 3 3 5 4],,,,,,,
50,1,1,1.0,"[1, 1, 2, 1, 1]",560.0,[3 3 5 2 3],,171.0,False,False,False,False,False
50,1,2,1.0,"[1, 1, 2, 1, 1]",318.0,[3 3 5 2 3],,479.0,True,False,False,False,False
51,1,1,1.0,"[1, 3, 2, 3, 1]",479.0,[3 7 4 6 2],,601.0,False,True,False,False,False
51,1,2,1.0,"[1, 3, 2, 3, 1]",452.0,[3 7 4 6 2],,338.0,False,False,False,False,False
52,1,1,1.0,"[1, 0, 0, 3, 3]",861.0,[ 3 10  1  5  5],,458.0,False,False,False,False,False
52,1,2,1.0,"[1, 0, 0, 3, 3]",333.0,[ 3 10  1  5  5],,217.0,False,False,False,False,False
53,1,1,1.0,"[4, 2, 4, 3, 1]",922.0,[8 5 8 6 4],,471.0,False,False,False,False,False
