game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 1, 3, 2, 1]",597.0,[4 3 4 5 2],,777.0,False,True,False,False,False
0,1,2,1.0,"[1, 2, 1, 3, 1]",239.0,[4 3 4 5 2],239.0,931.0,False,True,False,False,True
0,2,1,0.9,[],,[4 3 4 5 2],,,,,,,
1,1,1,1.0,"[0, 0, 0, 3, 0]",852.0,[4 1 3 3 5],,827.0,False,False,False,False,False
1,1,2,1.0,"[2, 0, 1, 0, 2]",263.0,[4 1 3 3 5],263.0,690.0,False,True,False,False,False
1,2,1,0.9,"[1, 0, 2, 0, 3]",506.7,[4 1 3 3 5],506.7,744.3000000000001,False,True,False,False,True
1,2,2,0.9,"[2, 0, 1, 1, 2]",290.7,[4 1 3 3 5],290.7,621.0,False,True,False,False,False
1,3,1,0.81,[],,[4 1 3 3 5],,,,,,,
2,1,1,1.0,"[1, 2, 2, 4, 1]",595.0,[3 5 4 7 3],,484.0,False,False,False,False,False
2,1,2,1.0,"[2, 3, 1, 3, 2]",714.0,[3 5 4 7 3],714.0,765.0,False,True,False,False,True
2,2,1,0.9,"[0, 0, 4, 6, 0]",681.3000000000001,[3 5 4 7 3],681.3000000000001,435.6,False,False,True,False,False
3,1,1,1.0,"[1, 2, 2, 1, 1]",540.0,[3 4 5 2 3],,402.0,False,False,False,False,False
3,1,2,1.0,"[2, 1, 3, 1, 2]",354.0,[3 4 5 2 3],354.0,586.0,False,True,True,False,False
3,2,1,0.9,"[1, 2, 2, 1, 1]",486.0,[3 4 5 2 3],486.0,361.8,False,False,True,False,False
3,2,2,0.9,"[1, 1, 3, 1, 2]",306.90000000000003,[3 4 5 2 3],306.90000000000003,527.4,False,True,True,False,False
3,3,1,0.81,[],,[3 4 5 2 3],,,,,,,
4,1,1,1.0,"[0, 0, 4, 0, 8]",464.0,[3 2 4 3 8],,187.0,False,False,False,False,False
4,1,2,1.0,"[3, 2, 0, 3, 6]",651.0,[3 2 4 3 8],651.0,31.0,False,False,True,False,True
4,2,1,0.9,"[1, 1, 2, 1, 4]",360.90000000000003,[3 2 4 3 8],360.90000000000003,168.3,False,False,True,False,False
4,2,2,0.9,"[2, 2, 1, 2, 3]",410.40000000000003,[3 2 4 3 8],410.40000000000003,27.900000000000002,False,False,True,False,True
4,3,1,0.81,"[1, 1, 2, 1, 5]",324.0,[3 2 4 3 8],324.0,151.47,False,False,True,False,False
5,1,1,1.0,"[0, 0, 0, 6, 0]",635.0,[4 3 1 7 1],,187.0,False,False,False,False,False
5,1,2,1.0,"[2, 1, 0, 1, 0]",170.0,[4 3 1 7 1],170.0,478.0,False,True,True,False,False
5,2,1,0.9,"[1, 0, 0, 3, 0]",693.9,[4 3 1 7 1],693.9,168.3,False,False,True,False,True
5,2,2,0.9,"[1, 2, 0, 4, 0]",171.0,[4 3 1 7 1],171.0,430.2,False,True,True,False,False
5,3,1,0.81,[],,[4 3 1 7 1],,,,,,,
6,1,1,1.0,"[1, 4, 1, 3, 1]",776.0,[3 8 2 6 2],,334.0,False,False,False,False,False
6,1,2,1.0,"[0, 7, 0, 6, 0]",386.0,[3 8 2 6 2],386.0,733.0,False,True,True,False,True
6,2,1,0.9,"[2, 3, 1, 2, 1]",794.7,[3 8 2 6 2],794.7,300.6,False,False,True,False,False
6,2,2,0.9,"[1, 5, 0, 4, 0]",333.90000000000003,[3 8 2 6 2],333.90000000000003,659.7,False,True,True,False,True
6,3,1,0.81,"[1, 4, 1, 3, 1]",628.5600000000001,[3 8 2 6 2],628.5600000000001,270.54,False,False,True,False,True
7,1,1,1.0,"[1, 2, 2, 1, 3]",846.0,[3 3 5 3 6],,535.0,False,False,False,False,False
7,1,2,1.0,"[0, 0, 4, 0, 6]",384.0,[3 3 5 3 6],384.0,899.0,False,True,True,False,True
7,2,1,0.9,[],,[3 3 5 3 6],,,,,,,
8,1,1,1.0,"[2, 3, 4, 3, 1]",421.0,[4 5 5 6 2],,105.0,False,False,False,False,False
8,1,2,1.0,"[0, 0, 0, 0, 0]",0.0,[4 5 5 6 2],0.0,645.0,False,True,True,True,True
8,2,1,0.9,[],,[4 5 5 6 2],,,,,,,
9,1,1,1.0,"[0, 0, 3, 0, 0]",178.0,[3 4 3 2 0],,763.0,False,True,False,False,False
9,1,2,1.0,"[3, 4, 0, 0, 0]",588.0,[3 4 3 2 0],588.0,485.0,False,False,False,False,False
9,2,1,0.9,[],,[3 4 3 2 0],,,,,,,
10,1,1,1.0,"[0, 6, 0, 0, 3]",436.0,[3 7 1 3 4],,854.0,False,True,False,False,False
10,1,2,1.0,"[2, 4, 0, 0, 2]",486.0,[3 7 1 3 4],486.0,133.0,False,False,False,False,True
10,2,1,0.9,"[0, 6, 0, 0, 3]",392.40000000000003,[3 7 1 3 4],392.40000000000003,768.6,False,True,False,False,False
11,1,1,1.0,"[0, 4, 0, 0, 0]",958.0,[4 5 3 1 4],,404.0,False,False,False,False,False
12,1,1,1.0,"[0, 3, 0, 6, 0]",476.0,[1 5 2 8 1],,324.0,False,False,False,False,False
12,1,2,1.0,"[1, 2, 1, 4, 0]",106.0,[1 5 2 8 1],106.0,628.0,False,True,True,False,False
12,2,1,0.9,"[0, 3, 0, 6, 0]",428.40000000000003,[1 5 2 8 1],428.40000000000003,291.6,False,False,True,False,True
12,2,2,0.9,"[0, 4, 0, 7, 0]",35.1,[1 5 2 8 1],35.1,565.2,False,True,True,False,False
12,3,1,0.81,[],,[1 5 2 8 1],,,,,,,
13,1,1,1.0,"[1, 0, 1, 1, 2]",391.0,[3 2 3 3 5],,519.0,False,True,False,False,False
13,1,2,1.0,"[0, 0, 0, 0, 4]",88.0,[3 2 3 3 5],88.0,159.0,False,True,False,False,True
13,2,1,0.9,[],,[3 2 3 3 5],,,,,,,
14,1,1,1.0,"[2, 1, 3, 2, 1]",842.0,[5 3 7 5 3],,972.0,False,True,False,False,False
14,1,2,1.0,"[3, 2, 4, 3, 2]",785.0,[5 3 7 5 3],785.0,516.0,False,False,False,False,False
14,2,1,0.9,"[2, 1, 3, 2, 1]",757.8000000000001,[5 3 7 5 3],757.8000000000001,874.8000000000001,False,True,False,False,False
14,2,2,0.9,"[0, 0, 6, 0, 0]",475.2,[5 3 7 5 3],475.2,464.40000000000003,False,False,False,False,True
14,3,1,0.81,[],,[5 3 7 5 3],,,,,,,
15,1,1,1.0,"[0, 0, 6, 0, 0]",692.0,[2 4 7 3 1],,424.0,False,False,False,False,False
15,1,2,1.0,"[2, 4, 1, 0, 0]",141.0,[2 4 7 3 1],141.0,816.0,False,True,True,False,False
15,2,1,0.9,"[0, 4, 6, 0, 0]",345.6,[2 4 7 3 1],345.6,381.6,False,True,False,False,True
16,1,1,1.0,"[3, 4, 2, 2, 3]",751.0,[6 7 3 4 5],,649.0,False,False,False,False,False
16,1,2,1.0,"[2, 5, 1, 1, 2]",444.0,[6 7 3 4 5],444.0,689.0,False,True,True,False,True
16,2,1,0.9,"[0, 7, 0, 0, 5]",965.7,[6 7 3 4 5],965.7,584.1,False,False,True,False,False
16,2,2,0.9,"[6, 0, 3, 4, 0]",587.7,[6 7 3 4 5],587.7,620.1,False,True,False,False,False
16,3,1,0.81,[],,[6 7 3 4 5],,,,,,,
17,1,1,1.0,"[2, 0, 4, 5, 1]",375.0,[4 1 8 5 2],,739.0,False,True,False,False,False
17,1,2,1.0,"[1, 0, 3, 2, 1]",500.0,[4 1 8 5 2],500.0,172.0,False,False,False,False,True
17,2,1,0.9,"[1, 0, 5, 4, 1]",288.0,[4 1 8 5 2],288.0,665.1,False,True,False,False,True
17,2,2,0.9,"[2, 1, 3, 1, 2]",556.2,[4 1 8 5 2],556.2,154.8,False,False,False,False,True
17,3,1,0.81,[],,[4 1 8 5 2],,,,,,,
18,1,1,1.0,"[1, 1, 2, 3, 3]",409.0,[2 3 4 4 5],,705.0,False,True,False,False,False
18,1,2,1.0,"[0, 0, 4, 0, 4]",64.0,[2 3 4 4 5],64.0,347.0,False,True,False,False,True
18,2,1,0.9,[],,[2 3 4 4 5],,,,,,,
19,1,1,1.0,"[0, 0, 4, 0, 0]",931.0,[4 3 5 5 1],,437.0,False,False,False,False,False
20,1,1,1.0,"[1, 1, 2, 1, 1]",507.0,[3 2 4 3 2],,57.0,False,False,False,False,False
20,1,2,1.0,"[0, 0, 0, 0, 0]",0.0,[3 2 4 3 2],0.0,68.0,False,True,True,True,True
20,2,1,0.9,[],,[3 2 4 3 2],,,,,,,
21,1,1,1.0,"[0, 0, 6, 0, 0]",754.0,[2 2 6 2 4],,39.0,False,False,False,False,False
22,1,1,1.0,"[3, 0, 6, 0, 0]",766.0,[6 3 6 2 3],,907.0,False,True,False,False,False
22,1,2,1.0,"[5, 3, 4, 0, 0]",607.0,[6 3 6 2 3],607.0,321.0,False,False,False,False,False
22,2,1,0.9,"[4, 3, 6, 0, 0]",488.7,[6 3 6 2 3],488.7,816.3000000000001,False,True,False,False,True
22,2,2,0.9,"[5, 3, 5, 0, 0]",579.6,[6 3 6 2 3],579.6,288.90000000000003,False,False,False,False,False
22,3,1,0.81,[],,[6 3 6 2 3],,,,,,,
23,1,1,1.0,"[2, 1, 2, 3, 2]",660.0,[4 2 4 7 4],,570.0,False,False,False,False,False
23,1,2,1.0,"[1, 1, 1, 3, 1]",452.0,[4 2 4 7 4],452.0,167.0,False,False,True,False,True
23,2,1,0.9,"[0, 0, 0, 6, 0]",665.1,[4 2 4 7 4],665.1,513.0,False,False,True,False,True
24,1,1,1.0,[],,[4 4 6 5 2],,,,,,,
25,1,1,1.0,[],,[4 4 5 4 7],,,,,,,
26,1,1,1.0,"[1, 2, 3, 1, 2]",674.0,[3 5 6 2 5],,442.0,False,False,False,False,False
27,1,1,1.0,"[1, 4, 2, 2, 7]",907.0,[ 2  8  4  5 15],,317.0,False,False,False,False,False
27,1,2,1.0,"[1, 6, 2, 3, 10]",856.0,[ 2  8  4  5 15],856.0,270.0,False,False,True,False,False
27,2,1,0.9,"[1, 7, 1, 2, 8]",849.6,[ 2  8  4  5 15],849.6,285.3,False,False,True,False,False
27,2,2,0.9,"[0, 8, 0, 0, 14]",660.6,[ 2  8  4  5 15],660.6,243.0,False,False,True,False,False
27,3,1,0.81,[],,[ 2  8  4  5 15],,,,,,,
28,1,1,1.0,"[2, 1, 2, 1, 2]",394.0,[4 2 4 2 4],,895.0,False,True,False,False,False
28,1,2,1.0,"[1, 1, 3, 1, 1]",376.0,[4 2 4 2 4],376.0,866.0,False,True,False,False,True
28,2,1,0.9,"[2, 1, 2, 1, 2]",354.6,[4 2 4 2 4],354.6,805.5,False,True,False,False,True
28,2,2,0.9,"[1, 1, 3, 1, 2]",405.0,[4 2 4 2 4],405.0,779.4,False,True,False,False,True
28,3,1,0.81,[],,[4 2 4 2 4],,,,,,,
29,1,1,1.0,"[1, 2, 4, 1, 2]",1091.0,[3 5 8 3 4],,387.0,False,False,False,False,False
29,1,2,1.0,"[0, 0, 6, 0, 0]",498.0,[3 5 8 3 4],498.0,392.0,False,False,True,False,True
29,2,1,0.9,"[1, 3, 2, 1, 2]",1056.6000000000001,[3 5 8 3 4],1056.6000000000001,348.3,False,False,True,False,True
29,2,2,0.9,"[0, 1, 1, 0, 1]",136.8,[3 5 8 3 4],136.8,352.8,False,True,True,False,True
29,3,1,0.81,"[1, 2, 3, 1, 2]",951.7500000000001,[3 5 8 3 4],951.7500000000001,313.47,False,False,True,False,True
30,1,1,1.0,"[0, 1, 3, 2, 5]",313.0,[ 0  3  7  4 10],,464.0,False,True,False,False,False
30,1,2,1.0,"[0, 2, 4, 1, 6]",918.0,[ 0  3  7  4 10],918.0,575.0,False,False,False,False,False
30,2,1,0.9,"[0, 1, 3, 2, 7]",254.70000000000002,[ 0  3  7  4 10],254.70000000000002,417.6,False,True,False,False,False
30,2,2,0.9,"[0, 0, 6, 3, 8]",912.6,[ 0  3  7  4 10],912.6,517.5,False,False,False,False,False
30,3,1,0.81,[],,[ 0  3  7  4 10],,,,,,,
31,1,1,1.0,"[2, 1, 2, 1, 1]",543.0,[5 1 4 3 3],,900.0,False,True,False,False,False
31,1,2,1.0,"[3, 0, 3, 2, 2]",588.0,[5 1 4 3 3],588.0,28.0,False,False,False,False,False
31,2,1,0.9,"[2, 0, 2, 1, 1]",505.8,[5 1 4 3 3],505.8,810.0,False,True,False,False,False
31,2,2,0.9,"[2, 0, 1, 1, 2]",341.1,[5 1 4 3 3],341.1,25.2,False,False,False,False,False
31,3,1,0.81,[],,[5 1 4 3 3],,,,,,,
32,1,1,1.0,"[1, 1, 1, 3, 2]",648.0,[3 3 2 6 5],,270.0,False,False,False,False,False
32,1,2,1.0,"[2, 2, 1, 3, 3]",498.0,[3 3 2 6 5],498.0,186.0,False,False,True,False,False
32,2,1,0.9,"[1, 1, 1, 2, 2]",659.7,[3 3 2 6 5],659.7,243.0,False,False,True,False,False
32,2,2,0.9,"[2, 1, 1, 3, 3]",414.90000000000003,[3 3 2 6 5],414.90000000000003,167.4,False,False,True,False,False
32,3,1,0.81,[],,[3 3 2 6 5],,,,,,,
33,1,1,1.0,"[3, 0, 1, 2, 2]",707.0,[7 1 3 5 5],,956.0,False,True,False,False,False
33,1,2,1.0,"[2, 0, 1, 3, 3]",530.0,[7 1 3 5 5],530.0,586.0,False,True,False,False,False
33,2,1,0.9,"[3, 0, 2, 2, 2]",578.7,[7 1 3 5 5],578.7,860.4,False,True,False,False,True
33,2,2,0.9,"[2, 0, 1, 3, 3]",477.0,[7 1 3 5 5],477.0,527.4,False,True,False,False,True
33,3,1,0.81,[],,[7 1 3 5 5],,,,,,,
34,1,1,1.0,"[3, 5, 1, 2, 4]",699.0,[6 6 3 4 7],,511.0,False,False,False,False,False
34,1,2,1.0,"[2, 3, 1, 1, 3]",546.0,[6 6 3 4 7],546.0,961.0,False,True,True,False,True
34,2,1,0.9,"[2, 4, 1, 2, 3]",757.8000000000001,[6 6 3 4 7],757.8000000000001,459.90000000000003,False,False,True,False,True
34,2,2,0.9,"[3, 2, 1, 1, 4]",541.8000000000001,[6 6 3 4 7],541.8000000000001,864.9,False,True,True,False,True
34,3,1,0.81,[],,[6 6 3 4 7],,,,,,,
35,1,1,1.0,"[1, 3, 1, 2, 3]",737.0,[2 7 3 4 6],,31.0,False,False,False,False,False
35,1,2,1.0,"[1, 2, 1, 1, 2]",629.0,[2 7 3 4 6],629.0,922.0,False,True,True,False,True
35,2,1,0.9,"[1, 4, 1, 2, 3]",606.6,[2 7 3 4 6],606.6,27.900000000000002,False,False,True,False,True
35,2,2,0.9,"[1, 3, 1, 2, 2]",734.4,[2 7 3 4 6],734.4,829.8000000000001,False,True,True,False,True
35,3,1,0.81,"[1, 3, 1, 2, 2]",661.7700000000001,[2 7 3 4 6],661.7700000000001,25.110000000000003,False,False,False,False,True
36,1,1,1.0,"[4, 3, 4, 0, 0]",976.0,[8 7 9 5 3],,504.0,False,False,False,False,False
36,1,2,1.0,"[7, 6, 8, 5, 0]",1640.0,[8 7 9 5 3],1640.0,813.0,False,False,False,False,False
36,2,1,0.9,"[3, 2, 4, 1, 0]",883.8000000000001,[8 7 9 5 3],883.8000000000001,453.6,False,False,True,False,False
36,2,2,0.9,"[2, 1, 3, 0, 0]",355.5,[8 7 9 5 3],355.5,731.7,False,True,True,False,True
36,3,1,0.81,"[1, 1, 2, 0, 0]",1025.46,[8 7 9 5 3],1025.46,408.24,False,False,True,False,True
37,1,1,1.0,"[0, 4, 0, 0, 0]",1057.0,[3 4 5 5 5],,331.0,False,False,False,False,False
37,1,2,1.0,"[3, 0, 2, 2, 5]",343.0,[3 4 5 5 5],343.0,316.0,False,False,True,False,False
37,2,1,0.9,"[1, 4, 1, 1, 0]",793.8000000000001,[3 4 5 5 5],793.8000000000001,297.90000000000003,False,False,True,False,False
37,2,2,0.9,"[2, 1, 3, 3, 5]",417.6,[3 4 5 5 5],417.6,284.40000000000003,False,False,False,False,False
37,3,1,0.81,[],,[3 4 5 5 5],,,,,,,
38,1,1,1.0,"[2, 2, 1, 2, 1]",613.0,[4 4 3 5 3],,236.0,False,False,False,False,False
38,1,2,1.0,"[1, 1, 2, 3, 2]",543.0,[4 4 3 5 3],543.0,724.0,False,True,True,False,False
38,2,1,0.9,"[2, 2, 1, 2, 1]",551.7,[4 4 3 5 3],551.7,212.4,False,False,True,False,True
39,1,1,1.0,"[3, 1, 1, 1, 1]",148.0,[6 2 2 2 2],,874.0,False,True,False,False,False
39,1,2,1.0,"[0, 0, 0, 0, 0]",0.0,[6 2 2 2 2],0.0,800.0,False,True,False,True,True
39,2,1,0.9,"[2, 1, 0, 1, 0]",221.4,[6 2 2 2 2],221.4,786.6,False,True,False,False,True
39,2,2,0.9,"[4, 2, 2, 2, 2]",621.0,[6 2 2 2 2],621.0,720.0,False,True,False,False,False
39,3,1,0.81,[],,[6 2 2 2 2],,,,,,,
40,1,1,1.0,"[1, 1, 2, 2, 3]",963.0,[3 2 5 4 7],,954.0,False,False,False,False,False
40,1,2,1.0,"[2, 1, 3, 1, 4]",798.0,[3 2 5 4 7],798.0,785.0,False,False,False,False,False
40,2,1,0.9,"[1, 1, 2, 3, 4]",723.6,[3 2 5 4 7],723.6,858.6,False,True,False,False,True
40,2,2,0.9,"[1, 0, 2, 2, 3]",477.0,[3 2 5 4 7],477.0,706.5,False,True,True,False,True
40,3,1,0.81,[],,[3 2 5 4 7],,,,,,,
41,1,1,1.0,"[0, 0, 0, 0, 0]",879.0,[4 7 1 5 2],,90.0,False,False,False,True,False
42,1,1,1.0,"[1, 2, 1, 2, 1]",302.0,[2 4 3 4 2],,748.0,False,True,False,False,False
42,1,2,1.0,"[1, 3, 2, 1, 0]",455.0,[2 4 3 4 2],455.0,156.0,False,False,False,False,True
42,2,1,0.9,[],,[2 4 3 4 2],,,,,,,
43,1,1,1.0,"[2, 1, 0, 2, 4]",620.0,[4 2 0 5 9],,327.0,False,False,False,False,False
43,1,2,1.0,"[0, 0, 0, 3, 6]",726.0,[4 2 0 5 9],726.0,745.0,False,True,True,False,False
43,2,1,0.9,"[1, 1, 0, 2, 3]",672.3000000000001,[4 2 0 5 9],672.3000000000001,294.3,False,False,True,False,False
43,2,2,0.9,"[0, 0, 0, 1, 5]",479.7,[4 2 0 5 9],479.7,670.5,False,True,True,False,False
43,3,1,0.81,[],,[4 2 0 5 9],,,,,,,
44,1,1,1.0,"[4, 3, 2, 2, 2]",944.0,[8 6 5 5 4],,638.0,False,False,False,False,False
44,1,2,1.0,"[3, 2, 1, 1, 1]",353.0,[8 6 5 5 4],353.0,327.0,False,False,True,False,True
44,2,1,0.9,"[4, 3, 3, 2, 1]",780.3000000000001,[8 6 5 5 4],780.3000000000001,574.2,False,False,True,False,True
44,2,2,0.9,"[4, 4, 0, 0, 0]",169.20000000000002,[8 6 5 5 4],169.20000000000002,294.3,False,True,True,False,True
44,3,1,0.81,[],,[8 6 5 5 4],,,,,,,
45,1,1,1.0,"[3, 4, 3, 0, 0]",796.0,[6 8 6 1 1],,420.0,False,False,False,False,False
45,1,2,1.0,"[5, 7, 5, 0, 0]",951.0,[6 8 6 1 1],951.0,926.0,False,False,False,False,False
45,2,1,0.9,"[4, 5, 4, 0, 1]",517.5,[6 8 6 1 1],517.5,378.0,False,False,True,False,False
45,2,2,0.9,"[2, 3, 2, 0, 0]",357.3,[6 8 6 1 1],357.3,833.4,False,True,True,False,True
45,3,1,0.81,"[1, 2, 1, 0, 0]",986.58,[6 8 6 1 1],986.58,340.20000000000005,False,False,True,False,False
46,1,1,1.0,"[1, 5, 2, 1, 1]",461.0,[ 3 10  4  2  2],,518.0,False,True,False,False,False
47,1,1,1.0,"[3, 0, 3, 0, 4]",719.0,[6 2 6 5 7],,51.0,False,False,False,False,False
47,1,2,1.0,"[2, 1, 2, 1, 3]",314.0,[6 2 6 5 7],314.0,30.0,False,False,True,False,False
