game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[0, 2, 0, 1, 3]",656.0,[2 4 3 2 6],,434.0,False,False,False,False,False
0,1,2,1.0,"[1, 2, 1, 1, 2]",331.0,[2 4 3 2 6],331.0,477.0,False,True,False,False,False
0,2,1,0.9,"[0, 2, 0, 1, 3]",590.4,[2 4 3 2 6],590.4,390.6,False,False,True,False,False
0,2,2,0.9,"[1, 2, 1, 1, 2]",297.90000000000003,[2 4 3 2 6],297.90000000000003,429.3,False,True,False,False,False
0,3,1,0.81,[],,[2 4 3 2 6],,,,,,,
1,1,1,1.0,"[0, 0, 0, 0, 0]",1131.0,[6 1 4 5 4],,427.0,False,False,False,True,False
1,1,2,1.0,"[1, 0, 0, 0, 0]",37.0,[6 1 4 5 4],37.0,43.0,False,True,False,False,False
1,2,1,0.9,"[0, 0, 0, 0, 0]",1017.9,[6 1 4 5 4],1017.9,384.3,False,False,True,True,True
1,2,2,0.9,"[1, 0, 0, 0, 0]",33.300000000000004,[6 1 4 5 4],33.300000000000004,38.7,False,True,False,False,False
1,3,1,0.81,[],,[6 1 4 5 4],,,,,,,
2,1,1,1.0,"[0, 3, 1, 1, 0]",772.0,[5 6 2 2 5],,326.0,False,False,False,False,False
2,1,2,1.0,"[0, 1, 1, 2, 0]",211.0,[5 6 2 2 5],211.0,444.0,False,True,False,False,False
2,2,1,0.9,"[0, 2, 1, 1, 0]",708.3000000000001,[5 6 2 2 5],708.3000000000001,293.40000000000003,False,False,True,False,True
2,2,2,0.9,"[0, 2, 1, 0, 2]",39.6,[5 6 2 2 5],39.6,399.6,False,True,False,False,True
2,3,1,0.81,[],,[5 6 2 2 5],,,,,,,
3,1,1,1.0,"[0, 0, 0, 0, 1]",1064.0,[4 4 4 4 1],,839.0,False,False,False,False,False
3,1,2,1.0,"[0, 0, 0, 0, 0]",0.0,[4 4 4 4 1],0.0,205.0,False,True,False,True,True
3,2,1,0.9,"[0, 0, 0, 0, 1]",957.6,[4 4 4 4 1],957.6,755.1,False,False,True,False,True
4,1,1,1.0,"[0, 5, 1, 3, 0]",486.0,[1 8 2 6 4],,314.0,False,False,False,False,False
4,1,2,1.0,"[1, 3, 1, 2, 4]",423.0,[1 8 2 6 4],423.0,990.0,False,True,False,False,True
4,2,1,0.9,"[0, 4, 1, 2, 3]",422.1,[1 8 2 6 4],422.1,282.6,False,False,True,False,True
4,2,2,0.9,"[1, 3, 1, 2, 4]",380.7,[1 8 2 6 4],380.7,891.0,False,True,False,False,True
4,3,1,0.81,[],,[1 8 2 6 4],,,,,,,
5,1,1,1.0,"[0, 0, 1, 0, 0]",1083.0,[4 4 7 2 5],,761.0,False,False,False,False,False
5,1,2,1.0,"[0, 0, 2, 0, 0]",6.0,[4 4 7 2 5],6.0,83.0,False,True,False,False,False
5,2,1,0.9,"[0, 0, 1, 0, 0]",974.7,[4 4 7 2 5],974.7,684.9,False,False,True,False,True
5,2,2,0.9,"[0, 0, 2, 0, 0]",5.4,[4 4 7 2 5],5.4,74.7,False,True,False,False,False
5,3,1,0.81,[],,[4 4 7 2 5],,,,,,,
6,1,1,1.0,"[0, 2, 0, 2, 0]",767.0,[3 4 5 4 2],,157.0,False,False,False,False,False
6,1,2,1.0,"[1, 1, 0, 2, 0]",301.0,[3 4 5 4 2],301.0,676.0,False,True,False,False,True
6,2,1,0.9,"[0, 1, 0, 3, 0]",669.6,[3 4 5 4 2],669.6,141.3,False,False,True,False,True
6,2,2,0.9,"[1, 1, 0, 2, 0]",270.90000000000003,[3 4 5 4 2],270.90000000000003,608.4,False,True,False,False,False
6,3,1,0.81,[],,[3 4 5 4 2],,,,,,,
7,1,1,1.0,"[0, 2, 1, 2, 2]",759.0,[2 4 3 5 5],,706.0,False,False,False,False,False
7,1,2,1.0,"[1, 1, 1, 2, 3]",438.0,[2 4 3 5 5],438.0,576.0,False,True,False,False,False
7,2,1,0.9,"[0, 2, 1, 2, 2]",683.1,[2 4 3 5 5],683.1,635.4,False,False,True,False,True
7,2,2,0.9,"[1, 1, 1, 2, 3]",394.2,[2 4 3 5 5],394.2,518.4,False,True,False,False,False
7,3,1,0.81,[],,[2 4 3 5 5],,,,,,,
8,1,1,1.0,"[0, 0, 0, 0, 0]",1034.0,[5 8 5 3 3],,726.0,False,False,False,True,False
8,1,2,1.0,"[5, 8, 5, 3, 3]",1711.0,[5 8 5 3 3],1711.0,559.0,False,False,True,True,False
8,2,1,0.9,[],,[5 8 5 3 3],,,,,,,
9,1,1,1.0,"[0, 0, 0, 0, 0]",768.0,[11  7  5  6  4],,966.0,False,True,False,True,False
9,1,2,1.0,"[0, 0, 0, 0, 4]",188.0,[11  7  5  6  4],188.0,99.0,False,False,True,False,False
9,2,1,0.9,"[0, 0, 0, 0, 3]",537.3000000000001,[11  7  5  6  4],537.3000000000001,869.4,False,True,False,False,True
9,2,2,0.9,"[0, 0, 0, 0, 4]",169.20000000000002,[11  7  5  6  4],169.20000000000002,89.10000000000001,False,False,True,False,False
9,3,1,0.81,[],,[11  7  5  6  4],,,,,,,
10,1,1,1.0,"[0, 0, 0, 0, 0]",1324.0,[6 8 6 6 6],,868.0,False,False,False,True,False
10,1,2,1.0,"[6, 8, 6, 6, 6]",1696.0,[6 8 6 6 6],1696.0,828.0,False,False,True,True,False
10,2,1,0.9,"[0, 0, 0, 0, 0]",1191.6000000000001,[6 8 6 6 6],1191.6000000000001,781.2,False,False,True,True,False
10,2,2,0.9,"[6, 8, 6, 6, 6]",1526.4,[6 8 6 6 6],1526.4,745.2,False,False,True,True,False
10,3,1,0.81,[],,[6 8 6 6 6],,,,,,,
11,1,1,1.0,"[0, 0, 3, 3, 4]",930.0,[0 1 8 6 8],,227.0,False,False,False,False,False
11,1,2,1.0,"[0, 0, 4, 2, 3]",469.0,[0 1 8 6 8],469.0,210.0,False,False,True,False,True
11,2,1,0.9,"[0, 0, 3, 3, 4]",837.0,[0 1 8 6 8],837.0,204.3,False,False,True,False,True
